gene	classification_i	classification_j	start_i	end_i	start_j	end_j	fusion	species	is_contiguous_assembly	num_expressed	is_expressed	is_contiguous_coverage	evidence_status
Adig_XP_015747529.1	H3	H3	1	127	113	229	H3 H3	Adig	TRUE	0	FALSE	TRUE	contiguous assembly, no expression
Adig_XP_015747530.1	H4	H2B	30	107	101	211	H4 H2B	Adig	TRUE	1	TRUE	TRUE	contiguous assembly, complete expression
Adig_XP_015770236.1	H4	H2B	30	107	98	207	H4 H2B	Adig	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022782076_1	H4	H2B	30	106	99	212	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022791544_1	H4	H2B	30	107	102	213	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022792401_1	H3	other_CENP	1	127	113	229	H3 other_CENP	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022792402_1	H4	H2B	30	107	98	207	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022792403_1	H4	H2B	30	111	100	209	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022808494_1	H4	H2B	30	107	97	213	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Spis_XP_022808495_1	H4	H2B	30	106	101	207	H4 H2B	Spis	TRUE	12	TRUE	TRUE	contiguous assembly, complete expression
Ttra_KNC50674	H2B	H2A	1	83	94	185	H2B H2A	Ttra	TRUE	1	TRUE	TRUE	contiguous assembly, complete expression
Ddis_EAL60556	H2B	H2A	1	89	135	207	H2B H2A	Ddis	TRUE	22	TRUE	TRUE	contiguous assembly, complete expression
Hetalb_XP_020438449.1	H2A	NA	142	211	205	298	H2A NA	Hetalb	TRUE	5	TRUE	FALSE	contiguous assembly, partial expression
Mgut_XP_012843330.1	H2B	H2B	1	124	126	266	H2B H2B	Mgut	TRUE	11	TRUE	TRUE	contiguous assembly, complete expression
Azfi_s0007.g010920	H4	H4	30	106	165	234	H4 H4	Azfi	TRUE	19	TRUE	TRUE	contiguous assembly, complete expression
Ppat_Pp3c3_13480V3.1	NA	NA	29	89	116	158	NA NA	Ppat	TRUE	12	TRUE	FALSE	contiguous assembly, partial expression
Sphfal_Sphfalx19G069500.1.p	NA	NA	4	56	56	105	NA NA	Sphfal	TRUE	3	TRUE	TRUE	contiguous assembly, complete expression
Klenit_GAQ87552.1	H3	H3	1	145	163	315	H3 H3	Klenit	TRUE	2	TRUE	FALSE	contiguous assembly, partial expression
Perkma_EER12562	H2A	H2B	2	97	110	195	H2A H2B	Perkma	TRUE	NA	FALSE	FALSE	contiguous assembly, no expression
Symmic_Smic4872	NA	H3	16	114	117	186	NA H3	Symmic	TRUE	21	TRUE	TRUE	contiguous assembly, complete expression
