taxon	gene_i	domain_id_i	start_i	end_i	domains_i	length_i	HMM_length_i	is_complete_i	component_i	classification_i	posx_i	posy_i	Index_i	domain_id_j	gene_j	start_j	end_j	domains_j	length_j	HMM_length_j	is_complete_j	component_j	classification_j	posx_j	posy_j	Index_j	taxnid	species	genus	family	order	class	phylum	kingdom	superkingdom
NA	Ctel_CapteP205827	Ctel_CapteP205827_1-98	1	98	Histone	98	131	TRUE	34	H2A	0.129399657249451	-0.299232333898544	1	Ctel_CapteP205827_159-232	Ctel_CapteP205827	159	232	CENP-T_C	74	108	TRUE	31	H4	0.320850653062949	0.541467054107931	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ctel_CapteP20749	Ctel_CapteP20749_2-108	2	108	Histone,CBFD_NFYB_HMF	107	65	TRUE	33	H2B	0.00197088974528015	-0.320988386869431	1	Ctel_CapteP20749_144-217	Ctel_CapteP20749	144	217	CENP-T_C	74	108	TRUE	31	H4	0.55919081557964	0.173248615823911	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ctel_CapteP207719	Ctel_CapteP207719_1-139	1	139	Histone	139	131	TRUE	30	H3	0.127114608883858	-0.0248196348547935	1	Ctel_CapteP207719_128-230	Ctel_CapteP207719	128	230	Histone,CBFD_NFYB_HMF	103	65	TRUE	33	H2B	-0.00180493970401585	-0.259297400712967	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ctel_CapteP219998	Ctel_CapteP219998_2-87	2	87	Histone	86	131	TRUE	33	H2B	-0.222122266888618	-0.268922507762909	1	Ctel_CapteP219998_112-186	Ctel_CapteP219998	112	186	CENP-T_C	75	108	TRUE	31	H4	0.240191365423073	0.470841518746729	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ddis_EAL60556	Ddis_EAL60556_1-89	1	89	Histone	89	131	TRUE	33	H2B	0.130134657025337	0.0332846343517303	1	Ddis_EAL60556_135-207	Ddis_EAL60556	135	207	Histone	73	131	TRUE	34	H2A	0.142719939351082	-0.316873967647552	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Dpul_EFX72335	Dpul_EFX72335_4-55	4	55	CBFD_NFYB_HMF	52	65	TRUE	35	NA	0.359221190214157	0.539187252521515	1	Dpul_EFX72335_53-105	Dpul_EFX72335	53	105	CBFD_NFYB_HMF	53	65	TRUE	35	NA	0.366048812866211	0.610174655914307	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Drer_ENSDARP00000126712.1	Drer_ENSDARP00000126712.1_15-138	15	138	Histone,CBFD_NFYB_HMF	124	65	TRUE	33	H2B	-0.170922011137009	-0.265720516443253	1	Drer_ENSDARP00000126712.1_151-219	Drer_ENSDARP00000126712.1	151	219	Histone	69	131	TRUE	34	H2A	0.221840307116508	-0.175885662436485	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Exapal_XP_020896800.1	Exapal_XP_020896800.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	-0.00299040808192162	0.681880768302768	1	Exapal_XP_020896800.1_94-207	Exapal_XP_020896800.1	94	207	Histone,CBFD_NFYB_HMF	114	65	TRUE	33	H2B	-0.133470445871353	-0.215500101447105	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Exapal_XP_020896927.1	Exapal_XP_020896927.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.290265293933609	-0.652896667752453	1	Exapal_XP_020896927.1_98-211	Exapal_XP_020896927.1	98	211	Histone,CBFD_NFYB_HMF	114	65	TRUE	33	H2B	-0.117730364203453	-0.239534422755241	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Exapal_XP_020906586.1	Exapal_XP_020906586.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.223784568217236	0.587164560908218	1	Exapal_XP_020906586.1_94-207	Exapal_XP_020906586.1	94	207	Histone,CBFD_NFYB_HMF	114	65	TRUE	33	H2B	-0.12784118950367	-0.224863231182098	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Exapal_XP_020913119.1	Exapal_XP_020913119.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	-0.0880828577116836	0.716621942023019	1	Exapal_XP_020913119.1_100-210	Exapal_XP_020913119.1	100	210	Histone,CBFD_NFYB_HMF	111	65	TRUE	33	H2B	-0.11990263313055	-0.241890355944633	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Exapal_XP_020917667.1	Exapal_XP_020917667.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.101448854206163	0.632862456004825	1	Exapal_XP_020917667.1_101-212	Exapal_XP_020917667.1	101	212	Histone,CBFD_NFYB_HMF	112	65	TRUE	33	H2B	-0.108459539711475	-0.238303318619728	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Gefoke_MALSP_13867.mRNA.1	Gefoke_MALSP_13867.mRNA.1_1-84	1	84	Histone	84	131	TRUE	33	H2B	0.145287394523621	0.158748924732208	1	Gefoke_MALSP_13867.mRNA.1_98-186	Gefoke_MALSP_13867.mRNA.1	98	186	Histone	89	131	TRUE	34	H2A	0.109796024858952	-0.164442420005798	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Hetalb_XP_020438449.1	Hetalb_XP_020438449.1_142-211	142	211	Histone	70	131	TRUE	34	H2A	0.899046957492828	-0.999999940395355	1	Hetalb_XP_020438449.1_205-298	Hetalb_XP_020438449.1	205	298	Histone	94	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Klenit_GAQ87552.1	Klenit_GAQ87552.1_1-145	1	145	Histone	145	131	TRUE	30	H3	0.00257900496944785	-0.0374726951122284	1	Klenit_GAQ87552.1_163-315	Klenit_GAQ87552.1	163	315	Histone	153	131	TRUE	30	H3	-0.0278780572116375	-0.0560016147792339	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Lgig_LotgiP175997	Lgig_LotgiP175997_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	-0.243274110914964	0.643785779951861	1	Lgig_LotgiP175997_100-201	Lgig_LotgiP175997	100	201	Histone,CBFD_NFYB_HMF	102	65	TRUE	33	H2B	0.268440961837769	0.327254414558411	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Lgig_LotgiP176498	Lgig_LotgiP176498_1-128	1	128	Histone	128	131	TRUE	30	H3	0.095737561583519	-0.0306142512708902	1	Lgig_LotgiP176498_111-194	Lgig_LotgiP176498	111	194	Histone	84	131	TRUE	30	H3	0.0116897094994783	0.0178469810634851	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Mgut_XP_012843330.1	Mgut_XP_012843330.1_1-124	1	124	Histone	124	131	TRUE	33	H2B	0.228658646345139	0.274332195520401	1	Mgut_XP_012843330.1_126-266	Mgut_XP_012843330.1	126	266	Histone,CBFD_NFYB_HMF	141	65	TRUE	33	H2B	0.340503364801407	0.403814256191254	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Nvec_NVE24230	Nvec_NVE24230_1-98	1	98	Histone	98	131	TRUE	34	H2A	-0.102780677378178	-0.21006865799427	1	Nvec_NVE24230_94-172	Nvec_NVE24230	94	172	CENP-T_C	79	108	TRUE	31	H4	-0.512557436232569	0.2935106674353	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Perkma_EER12562	Perkma_EER12562_2-97	2	97	Histone	96	131	TRUE	34	H2A	-0.0711201131343842	-0.250356256961823	1	Perkma_EER12562_110-195	Perkma_EER12562	110	195	Histone	86	131	TRUE	33	H2B	-0.147954717278481	0.165472701191902	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ppat_Pp3c3_13480V3.1	Ppat_Pp3c3_13480V3.1_29-89	29	89	CBFD_NFYB_HMF	61	65	TRUE	32	NA	0.310537904500961	0.491087198257446	1	Ppat_Pp3c3_13480V3.1_116-158	Ppat_Pp3c3_13480V3.1	116	158	CBFD_NFYB_HMF	43	65	TRUE	32	NA	-0.253513157367706	-0.122501149773598	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Rigram_Gene.13180	Rigram_Gene.13180_11-101	11	101	Histone	91	131	TRUE	33	H2B	-0.184303358197212	0.138572007417679	1	Rigram_Gene.13180_129-208	Rigram_Gene.13180	129	208	Histone	80	131	TRUE	34	H2A	0.220532536506653	-0.168267071247101	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Rigram_Gene.3566	Rigram_Gene.3566_29-132	29	132	Histone	104	131	TRUE	33	H2B	0.112653039395809	-0.116693176329136	1	Rigram_Gene.3566_166-248	Rigram_Gene.3566	166	248	CBFD_NFYB_HMF,Histone	83	65	TRUE	34	H2A	0.114947415888309	-0.14082133769989	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Rigram_Gene.7863	Rigram_Gene.7863_1-86	1	86	Histone	86	131	TRUE	33	H2B	0.125483393669128	0.352133870124817	1	Rigram_Gene.7863_90-194	Rigram_Gene.7863	90	194	Histone	105	131	TRUE	34	H2A	0.117906749248505	-0.252096712589264	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Skow_XP_002736435.2	Skow_XP_002736435.2_1-143	1	143	Histone	143	131	TRUE	30	other_CENP	-0.0334030389785767	0.0642364919185638	1	Skow_XP_002736435.2_163-308	Skow_XP_002736435.2	163	308	Histone	146	131	TRUE	30	H3	0.0221737120300531	-0.0635991021990776	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Skow_XP_002737620.2	Skow_XP_002737620.2_1-138	1	138	Histone	138	131	TRUE	30	H3	0.0206705015152693	-0.0813330486416817	1	Skow_XP_002737620.2_180-328	Skow_XP_002737620.2	180	328	Histone	149	131	TRUE	30	H3	-0.0279973726719618	0.0620888248085976	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Skow_XP_002738088.2	Skow_XP_002738088.2_1-142	1	142	Histone	142	131	TRUE	30	H3	0.0551379546523094	0.00463639991357923	1	Skow_XP_002738088.2_172-319	Skow_XP_002738088.2	172	319	Histone	148	131	TRUE	30	H3	0.0643495246767998	0.0021041005384177	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Skow_XP_006820302.1	Skow_XP_006820302.1_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	-0.199659734209756	0.666271333064123	1	Skow_XP_006820302.1_95-193	Skow_XP_006820302.1	95	193	Histone,CBFD_NFYB_HMF	99	65	TRUE	34	H2A	0.12316270917654	-0.274069488048553	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Skow_XP_006825798.1	Skow_XP_006825798.1_1-142	1	142	Histone	142	131	TRUE	30	H3	0.0453282371163368	0.00280860741622746	1	Skow_XP_006825798.1_147-291	Skow_XP_006825798.1	147	291	Histone	145	131	TRUE	30	H3	0.0700169801712036	0.00434753252193332	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Sphfal_Sphfalx19G069500.1.p	Sphfal_Sphfalx19G069500.1.p_4-56	4	56	CBFD_NFYB_HMF	53	65	TRUE	32	NA	0.101461231708527	-0.0839520916342735	1	Sphfal_Sphfalx19G069500.1.p_56-105	Sphfal_Sphfalx19G069500.1.p	56	105	CBFD_NFYB_HMF	50	65	TRUE	32	NA	0.269119888544083	0.548188447952271	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022782076_1	Spis_XP_022782076_1_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	0.26686507437319	0.614926214253914	1	Spis_XP_022782076_1_99-212	Spis_XP_022782076_1	99	212	Histone,CBFD_NFYB_HMF	114	65	TRUE	33	H2B	-0.0812978073954582	-0.058261513710022	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022791544_1	Spis_XP_022791544_1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.18732593069093	0.615207821970999	1	Spis_XP_022791544_1_102-213	Spis_XP_022791544_1	102	213	Histone,CBFD_NFYB_HMF	112	65	TRUE	33	H2B	-0.0926280915737152	-0.0763118416070938	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022792401_1	Spis_XP_022792401_1_1-127	1	127	Histone	127	131	TRUE	30	H3	0.0829379111528397	0.00762083986774087	1	Spis_XP_022792401_1_113-229	Spis_XP_022792401_1	113	229	Histone	117	131	TRUE	30	other_CENP	-0.0714742690324783	0.0570407100021839	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022792402_1	Spis_XP_022792402_1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	-0.024043018771464	0.697645943997178	1	Spis_XP_022792402_1_98-207	Spis_XP_022792402_1	98	207	Histone,CBFD_NFYB_HMF	110	65	TRUE	33	H2B	-0.0886154547333717	-0.0751781612634659	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022792403_1	Spis_XP_022792403_1_30-111	30	111	CENP-T_C	82	108	TRUE	31	H4	-0.491976698841708	0.227941472657351	1	Spis_XP_022792403_1_100-209	Spis_XP_022792403_1	100	209	Histone,CBFD_NFYB_HMF	110	65	TRUE	33	H2B	-0.0845338329672813	-0.096584789454937	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022808494_1	Spis_XP_022808494_1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.248120053666331	0.559082170107001	1	Spis_XP_022808494_1_97-213	Spis_XP_022808494_1	97	213	Histone,CBFD_NFYB_HMF	117	65	TRUE	33	H2B	-0.0844685658812523	-0.0973613932728767	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spis_XP_022808495_1	Spis_XP_022808495_1_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	0.146269774007108	0.555836737825377	1	Spis_XP_022808495_1_101-207	Spis_XP_022808495_1	101	207	Histone,CBFD_NFYB_HMF	107	65	TRUE	33	H2B	-0.0915466174483299	-0.0800419896841049	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spur_XP_030830328.1	Spur_XP_030830328.1_1-120	1	120	Histone	120	131	TRUE	30	H3	0.0949812456965446	0.0522257313132286	1	Spur_XP_030830328.1_145-218	Spur_XP_030830328.1	145	218	CENP-T_C	74	108	TRUE	31	H4	0.157712305954861	0.549155623529941	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spur_XP_030838374.1	Spur_XP_030838374.1_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	-0.418521842579561	0.220145456560332	1	Spur_XP_030838374.1_125-218	Spur_XP_030838374.1	125	218	Histone,CBFD_NFYB_HMF	94	65	TRUE	33	H2B	-0.132398292422295	-0.0787516832351685	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Spur_XP_030840799.1	Spur_XP_030840799.1_1-142	1	142	Histone	142	131	TRUE	30	H3	0.0210060756653547	-0.0683954358100891	1	Spur_XP_030840799.1_142-286	Spur_XP_030840799.1	142	286	Histone	145	131	TRUE	30	H3	0.0554083772003651	0.0154677499085665	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Symmic_Smic4872	Symmic_Smic4872_16-114	16	114	Histone	99	131	TRUE	NA	NA	NA	NA	1	Symmic_Smic4872_117-186	Symmic_Smic4872	117	186	Histone	70	131	TRUE	30	H3	0.0133864125236869	0.0628781095147133	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ttra_KNC50674	Ttra_KNC50674_1-83	1	83	Histone	83	131	TRUE	33	H2B	-0.247178852558136	0.114981934428215	1	Ttra_KNC50674_94-185	Ttra_KNC50674	94	185	Histone	92	131	TRUE	34	H2A	0.0327108465135098	-0.0233194679021835	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_AHL67618.1	vir_AHL67618.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	NA	NA	NA	NA	1	vir_AHL67618.1_76-176	vir_AHL67618.1	76	176	Histone,CBFD_NFYB_HMF	101	65	TRUE	41	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_AMQ10946.1	vir_AMQ10946.1_17-97	17	97	CBFD_NFYB_HMF	81	65	TRUE	NA	NA	NA	NA	1	vir_AMQ10946.1_117-219	vir_AMQ10946.1	117	219	Histone	103	131	TRUE	40	other_CENP	-0.318553739912917	-0.155738188099399	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_ERX552270.89_contig_5874_12	vir_ERX552270.89_contig_5874_12_92-191	92	191	Histone	100	131	TRUE	34	H2A	-0.0313991457223892	-0.319626122713089	1	vir_ERX552270.89_contig_5874_12_303-414	vir_ERX552270.89_contig_5874_12	303	414	Histone	112	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK85671.1	vir_QBK85671.1_1-80	1	80	Histone,CBFD_NFYB_HMF	80	65	TRUE	NA	NA	NA	NA	1	vir_QBK85671.1_74-188	vir_QBK85671.1	74	188	Histone	115	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK85672.1	vir_QBK85672.1_33-101	33	101	CBFD_NFYB_HMF	69	65	TRUE	NA	NA	NA	NA	1	vir_QBK85672.1_101-234	vir_QBK85672.1	101	234	Histone,CBFD_NFYB_HMF	134	65	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK86460.1	vir_QBK86460.1_2-92	2	92	Histone	91	131	TRUE	NA	NA	NA	NA	1	vir_QBK86460.1_221-361	vir_QBK86460.1	221	361	Histone	141	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK86552.1	vir_QBK86552.1_1-94	1	94	Histone,CBFD_NFYB_HMF	94	65	TRUE	NA	NA	NA	NA	1	vir_QBK86552.1_213-336	vir_QBK86552.1	213	336	Histone	124	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK86758.1	vir_QBK86758.1_61-134	61	134	CBFD_NFYB_HMF	74	65	TRUE	NA	NA	NA	NA	1	vir_QBK86758.1_131-240	vir_QBK86758.1	131	240	Histone,CBFD_NFYB_HMF	110	65	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_QBK91784.1	vir_QBK91784.1_31-113	31	113	Histone	83	131	TRUE	NA	NA	NA	NA	1	vir_QBK91784.1_119-238	vir_QBK91784.1	119	238	Histone	120	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_SRX331703.17_contig_3733_4	vir_SRX331703.17_contig_3733_4_5-98	5	98	Histone,CBFD_NFYB_HMF	94	65	TRUE	NA	NA	NA	NA	1	vir_SRX331703.17_contig_3733_4_219-343	vir_SRX331703.17_contig_3733_4	219	343	Histone	125	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_SRX802143.125_contig_8432_87	vir_SRX802143.125_contig_8432_87_125-193	125	193	Histone	69	131	TRUE	NA	NA	NA	NA	1	vir_SRX802143.125_contig_8432_87_206-340	vir_SRX802143.125_contig_8432_87	206	340	Histone	135	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_SRX802202.41_contig_2978_4	vir_SRX802202.41_contig_2978_4_110-183	110	183	Histone	74	131	TRUE	NA	NA	NA	NA	1	vir_SRX802202.41_contig_2978_4_203-319	vir_SRX802202.41_contig_2978_4	203	319	Histone	117	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_SRX802963.105_contig_12868_50	vir_SRX802963.105_contig_12868_50_110-183	110	183	Histone	74	131	TRUE	NA	NA	NA	NA	1	vir_SRX802963.105_contig_12868_50_203-319	vir_SRX802963.105_contig_12868_50	203	319	Histone	117	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_YP_009021202.1	vir_YP_009021202.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	NA	NA	NA	NA	1	vir_YP_009021202.1_76-176	vir_YP_009021202.1	76	176	Histone,CBFD_NFYB_HMF	101	65	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	vir_YP_009238943.1	vir_YP_009238943.1_17-97	17	97	CBFD_NFYB_HMF	81	65	TRUE	NA	NA	NA	NA	1	vir_YP_009238943.1_117-219	vir_YP_009238943.1	117	219	Histone	103	131	TRUE	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
	arc_pdb|1F1E|A	arc_pdb|1F1E|A_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	2	NA	NA	NA	1	arc_pdb|1F1E|A_76-154	arc_pdb|1F1E|A	76	154	CBFD_NFYB_HMF	79	65	TRUE	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Candidatus Halobonum tyrrellensis	arc_WP_023393545.1	arc_WP_023393545.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.273689031600952	-0.709369122982025	1	arc_WP_023393545.1_61-143	arc_WP_023393545.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.353196322917938	0.761841714382172	2	1431545	NA	Candidatus Halobonum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Candidatus Halobonum tyrrellensis G22	arc_ESP89303.1	arc_ESP89303.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.268946528434753	-0.710991144180298	1	arc_ESP89303.1_61-143	arc_ESP89303.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.328907698392868	0.755448937416077	2	1324957	Candidatus Halobonum tyrrellensis	Candidatus Halobonum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Candidatus Heimdallarchaeota archaeon B3_Heim	arc_PWI48254.1	arc_PWI48254.1_1-75	1	75	CBFD_NFYB_HMF	75	65	TRUE	0	NA	0.257410645484924	0.239895895123482	1	arc_PWI48254.1_74-142	arc_PWI48254.1	74	142	Histone,CBFD_NFYB_HMF	69	65	TRUE	0	NA	0.113593675196171	0.0605342574417591	2	2012493	NA	NA	NA	NA	NA	Candidatus Heimdallarchaeota	NA	Archaea
Haladaptatus cibarius	arc_WP_049971705.1	arc_WP_049971705.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.344120770692825	-0.747208535671234	1	arc_WP_049971705.1_62-143	arc_WP_049971705.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.314337819814682	0.715918958187103	2	453847	NA	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Haladaptatus litoreus	arc_SIQ73391.1	arc_SIQ73391.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.339989393949509	-0.715419113636017	1	arc_SIQ73391.1_62-143	arc_SIQ73391.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.323266744613647	0.712168395519257	2	553468	NA	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Haladaptatus litoreus	arc_WP_076427241.1	arc_WP_076427241.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.365776479244232	-0.743947744369507	1	arc_WP_076427241.1_62-143	arc_WP_076427241.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.33932688832283	0.759498775005341	2	553468	NA	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
