gene	node	taxon	family	order	kingdom	core_domain	homology_group	closest_group	closest_group_top10frac	closest_OG_euk	closest_OG_euk_top10frac	closest_node	closest_node_dist	euk_top_frac	arc_top_frac	bac_top_frac	closest_group_filt	closest_OG_euk_filt	architecture	simarq
vir_AEA06907.1	vir_AEA06907.1_81-160	Lausannevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	6.9422513876	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	CBFD_NFYB_HMF	CBFD_NFYB_HMF
vir_AGV01521.1	vir_AGV01521.1_80-160	Cannes 8 virus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Lcom_lcpid146350_99-193	5.2224296838	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_ERX552270.68_contig_44073_13	vir_ERX552270.68_contig_44073_13_205-310	ERX552270.68	Mimiviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.9	Hduj_OQV15625.1_1-97	4.1417250667	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_ADB04176.1	vir_ADB04176.1_72-169	Marseillevirus marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.8523521891	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_BAU79970.1	vir_BAU79970.1_100-191	Tokyovirus A1	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.9827972256	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AHA45913.1	vir_AHA45913.1_100-206	Insectomime virus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.6027405137	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AQM73060.1	vir_AQM73060.1_95-200	Noumeavirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.0613317098	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AQQ73805.1	vir_AQQ73805.1_91-200	Kurlavirus BKC-1	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.0788719542	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AEA07236.1	vir_AEA07236.1_101-202	Lausannevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	2.0542368375	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_AMQ10945.1	vir_AMQ10945.1_120-202	Brazilian marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG1	euk	1	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	1	Exapal_XP_020895036.1_3-98	1.9383360941	1	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_BBI30458.1	vir_BBI30458.1_26-143	Acanthamoeba castellanii medusavirus	NA	NA	NA	Histone	Histone.HG1	euk	0.9	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	0.8	Ttra_KNC50674_94-185	6.1457577038	0.9	0	0	euk	AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Histone	Histone
vir_ADO00424.1	vir_ADO00424.1_74-176	Wiseana iridescent virus	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.6754209995	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_CCV02159.1	vir_CCV02159.1_74-176	Invertebrate iridovirus 25	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.6566387996	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_CCV01809.1	vir_CCV01809.1_72-176	Invertebrate iridovirus 22	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.5360858245	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AHL67618.1	vir_AHL67618.1_76-176	Anopheles minimus irodovirus	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.0093365259	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AHL67618.1	vir_AHL67618.1_1-72	Anopheles minimus irodovirus	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG4	euk	1	H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	1	Strcul_EPY23518_19-99	2.8511819126	1	0	0	euk	H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	Histone	Histone
vir_AQM73059.1	vir_AQM73059.1_117-219	Noumeavirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	4.9929254011	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AEA07237.1	vir_AEA07237.1_117-217	Lausannevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.1770127476	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AMQ10946.1	vir_AMQ10946.1_117-219	Brazilian marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.2060614712	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	CBFD_NFYB_HMF Histone	CBFD_NFYB_HMF,Histone
vir_AMQ10946.1	vir_AMQ10946.1_17-97	Brazilian marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG4	euk	0.6	H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	0.6	arc_CAI64119.1_1-71	4.9199900171	0.6	0.4	0	euk	H4-16/H4C1/H4C2/H4C3/H4C4/H4C5/H4C6/H4C8/H4C9/H4C11/H4C12/H4C13/H4C14/H4C15	CBFD_NFYB_HMF Histone	CBFD_NFYB_HMF,Histone
vir_AHA45912.1	vir_AHA45912.1_118-219	Insectomime virus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	5.3159400564	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_ADB04175.1	vir_ADB04175.1_135-232	Marseillevirus marseillevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	6.2984105155	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AIT54981.1	vir_AIT54981.1_119-216	Melbournevirus	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	6.3161490645	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_BAU79971.1	vir_BAU79971.1_120-216	Tokyovirus A1	Marseilleviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.7	Perkma_EER04097_119-260	6.5323228044	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AAN04299.1	vir_AAN04299.1_1003-1098	Heliothis zea nudivirus	Nudiviridae	NA	NA	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	0.9	Ptyfla_pfl_40v0_9_20150316_1g8553.t1_18-157	4.8724499357	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_DAC81234.1	vir_DAC81234.1_45-173	Manila clam xenomavirus	NA	NA	NA	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	1	Mpus_XP_003059221.1_1-136	0.7348930097	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_AUT18984.1	vir_AUT18984.1_45-189	Dishui lake phycodnavirus 1	Phycodnaviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	1	Malcal_MALCA_06249.mRNA.1_1-136	0.2283322854	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_BBI30395.1	vir_BBI30395.1_1-139	Acanthamoeba castellanii medusavirus	NA	NA	NA	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	1	Vitbra_CEM25384.1_1-135	2.3397083097	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
vir_CCV02394.1	vir_CCV02394.1_19-140	Armadillidium vulgare iridescent virus	Iridoviridae	NA	Nucleocytoviricota	Histone	Histone.HG2	euk	1	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	1	Vitbra_CEM25384.1_1-135	2.4120884582	1	0	0	euk	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Histone	Histone
