Transcript	Length	NumReads	Unmapped	Sample	Gene
Rhidel_EIE78394	3807	121	0	mapping	Rhidel_EIE78394
Rhidel_EIE78399	4902	4755	72	mapping	Rhidel_EIE78399
Rhidel_EIE78842	5421	629	9	mapping	Rhidel_EIE78842
Rhidel_EIE80914	3558	551	1	mapping	Rhidel_EIE78842
Rhidel_EIE78870	4701	324	27	mapping	Rhidel_EIE78870
Rhidel_EIE79044	4776	7985	44	mapping	Rhidel_EIE79044
Rhidel_EIE79091	3894	231	10	mapping	Rhidel_EIE79091
Rhidel_EIE79410	2148	839	10	mapping	Rhidel_EIE79410
Rhidel_EIE80565	3111	933	6	mapping	Rhidel_EIE80565
Rhidel_EIE80575	4902	3677	63	mapping	Rhidel_EIE80575
Rhidel_EIE80633	3117	1874	5	mapping	Rhidel_EIE80633
Rhidel_EIE80639	4503	11802	68	mapping	Rhidel_EIE80639
Rhidel_EIE80640	2907	218	0	mapping	Rhidel_EIE80640
Rhidel_EIE80648	4734	156073	6896	mapping	Rhidel_EIE80648
Rhidel_EIE80914	3558	551	1	mapping	Rhidel_EIE80914
Rhidel_EIE78842	5421	629	9	mapping	Rhidel_EIE80914
Rhidel_EIE81160	4428	10967	72	mapping	Rhidel_EIE81160
Rhidel_EIE81255	4887	7216	20	mapping	Rhidel_EIE81255
Rhidel_EIE81258	4917	3063	7	mapping	Rhidel_EIE81258
Rhidel_EIE81720	4698	11054	61	mapping	Rhidel_EIE81720
Rhidel_EIE81722	5013	589	3	mapping	Rhidel_EIE81722
Rhidel_EIE81723	4515	549	6	mapping	Rhidel_EIE81723
Rhidel_EIE81737	10305	11448	1747	mapping	Rhidel_EIE81737
Rhidel_EIE75586	3807	53	0	mapping	Rhidel_EIE81737
Rhidel_EIE81797	4653	10550	74	mapping	Rhidel_EIE81797
Rhidel_EIE82323	4455	112	1	mapping	Rhidel_EIE82323
Rhidel_EIE82393	4581	185	2	mapping	Rhidel_EIE82393
Rhidel_EIE77223	1746	47	0	mapping	Rhidel_EIE82393
Rhidel_EIE82400	3291	13247	678	mapping	Rhidel_EIE82400
Rhidel_EIE82600	4902	4816	62	mapping	Rhidel_EIE82600
Rhidel_EIE85845	4902	4561	78	mapping	Rhidel_EIE82600
Rhidel_EIE87376	4902	4762	61	mapping	Rhidel_EIE82600
Rhidel_EIE82606	4704	2003	25	mapping	Rhidel_EIE82606
Rhidel_EIE83023	3204	21024	103	mapping	Rhidel_EIE83023
Rhidel_EIE83035	4608	30	0	mapping	Rhidel_EIE83035
Rhidel_EIE83269	2229	6980	39	mapping	Rhidel_EIE83269
Rhidel_EIE83288	3111	2199	7	mapping	Rhidel_EIE83288
Rhidel_EIE83402	1215	370	23	mapping	Rhidel_EIE83402
Rhidel_EIE83907	4902	6885	68	mapping	Rhidel_EIE83907
Rhidel_EIE83960	2574	1199	8	mapping	Rhidel_EIE83960
Rhidel_EIE84492	3111	903	4	mapping	Rhidel_EIE84492
Rhidel_EIE84783	3411	603	15	mapping	Rhidel_EIE84783
Rhidel_EIE84828	1188	8	1	mapping	Rhidel_EIE84828
Rhidel_EIE84837	4698	11932	49	mapping	Rhidel_EIE84837
Rhidel_EIE84894	3111	1029	5	mapping	Rhidel_EIE84894
Rhidel_EIE84896	3939	4987	20	mapping	Rhidel_EIE84896
Rhidel_EIE85255	5421	495	9	mapping	Rhidel_EIE85255
Rhidel_EIE85512	4677	289	19	mapping	Rhidel_EIE85512
Rhidel_EIE85825	3117	61	0	mapping	Rhidel_EIE85825
Rhidel_EIE85851	3117	26412	65	mapping	Rhidel_EIE85851
Rhidel_EIE86093	4704	1919	29	mapping	Rhidel_EIE86093
Rhidel_EIE86149	4764	31968	320	mapping	Rhidel_EIE86149
Rhidel_EIE86153	3111	970	1	mapping	Rhidel_EIE86153
Rhidel_EIE86162	4764	75	1	mapping	Rhidel_EIE86162
Rhidel_EIE86280	4776	9806	71	mapping	Rhidel_EIE86280
Rhidel_EIE86531	3108	774	2	mapping	Rhidel_EIE86531
Rhidel_EIE86564	5061	4643	66	mapping	Rhidel_EIE86564
Rhidel_EIE86809	1188	8	0	mapping	Rhidel_EIE86809
Rhidel_EIE87065	2316	497	10	mapping	Rhidel_EIE87065
Rhidel_EIE87259	4407	3870	54	mapping	Rhidel_EIE87259
Rhidel_EIE87303	4701	859	21	mapping	Rhidel_EIE87303
Rhidel_EIE87356	4701	499	30	mapping	Rhidel_EIE87356
Rhidel_EIE87472	3204	12492	58	mapping	Rhidel_EIE87472
Rhidel_EIE87482	1908	267	8	mapping	Rhidel_EIE87482
Rhidel_EIE76499	5061	5892	59	mapping	Rhidel_EIE87482
Rhidel_EIE77014	5061	5519	58	mapping	Rhidel_EIE87482
Rhidel_EIE78399	4902	4755	72	mapping	Rhidel_EIE87482
Rhidel_EIE80575	4902	3677	63	mapping	Rhidel_EIE87482
Rhidel_EIE81711	5061	5886	64	mapping	Rhidel_EIE87482
Rhidel_EIE82600	4902	4816	62	mapping	Rhidel_EIE87482
Rhidel_EIE85845	4902	4561	78	mapping	Rhidel_EIE87482
Rhidel_EIE85850	5061	5634	62	mapping	Rhidel_EIE87482
Rhidel_EIE86564	5061	4643	66	mapping	Rhidel_EIE87482
Rhidel_EIE86692	5061	5678	58	mapping	Rhidel_EIE87482
Rhidel_EIE87376	4902	4762	61	mapping	Rhidel_EIE87482
Rhidel_EIE88268	4902	4101	50	mapping	Rhidel_EIE87482
Rhidel_EIE88739	4719	3545	66	mapping	Rhidel_EIE87482
Rhidel_EIE89993	4902	4472	62	mapping	Rhidel_EIE87482
Rhidel_EIE91158	5061	5883	79	mapping	Rhidel_EIE87482
Rhidel_EIE92033	5061	5417	100	mapping	Rhidel_EIE87482
Rhidel_EIE79285	1659	216	3	mapping	Rhidel_EIE87482
Rhidel_EIE87751	4446	499	18	mapping	Rhidel_EIE87751
Rhidel_EIE87816	4863	6736	39	mapping	Rhidel_EIE87816
Rhidel_EIE87827	4755	1486	23	mapping	Rhidel_EIE87827
Rhidel_EIE87962	3999	1645	23	mapping	Rhidel_EIE87962
Rhidel_EIE87966	4677	10307	42	mapping	Rhidel_EIE87966
Rhidel_EIE88241	1338	32	2	mapping	Rhidel_EIE88241
Rhidel_EIE88248	1257	988	9	mapping	Rhidel_EIE88248
Rhidel_EIE88268	4902	4101	50	mapping	Rhidel_EIE88268
Rhidel_EIE88433	4734	117084	2528	mapping	Rhidel_EIE88433
Rhidel_EIE88739	4719	3545	66	mapping	Rhidel_EIE88739
Rhidel_EIE88990	4701	414	15	mapping	Rhidel_EIE88990
Rhidel_EIE89038	3735	2340	180	mapping	Rhidel_EIE89038
Rhidel_EIE89138	4776	11633	69	mapping	Rhidel_EIE89138
Rhidel_EIE92576	4776	11661	65	mapping	Rhidel_EIE89138
Rhidel_EIE89144	4701	290	17	mapping	Rhidel_EIE89144
Rhidel_EIE89148	4686	4681	38	mapping	Rhidel_EIE89148
Rhidel_EIE89156	5301	2264	122	mapping	Rhidel_EIE89156
Rhidel_EIE89204	3204	39884	116	mapping	Rhidel_EIE89204
Rhidel_EIE89207	4863	6010	51	mapping	Rhidel_EIE89207
Rhidel_EIE89209	5421	747	11	mapping	Rhidel_EIE89209
Rhidel_EIE89636	4794	24324	1502	mapping	Rhidel_EIE89636
Rhidel_EIE89637	1452	255	6	mapping	Rhidel_EIE89637
Rhidel_EIE89644	3432	1530	15	mapping	Rhidel_EIE89644
Rhidel_EIE89993	4902	4472	62	mapping	Rhidel_EIE89993
Rhidel_EIE90091	4431	3934	20	mapping	Rhidel_EIE90091
Rhidel_EIE90458	4833	324	1	mapping	Rhidel_EIE90458
Rhidel_EIE90539	5181	2451	29	mapping	Rhidel_EIE90539
Rhidel_EIE90565	2178	7334	32	mapping	Rhidel_EIE90565
Rhidel_EIE90578	3252	10880	45	mapping	Rhidel_EIE90578
Rhidel_EIE90862	4776	7706	48	mapping	Rhidel_EIE90862
Rhidel_EIE90960	4836	46	0	mapping	Rhidel_EIE90960
Rhidel_EIE91650	4698	771	17	mapping	Rhidel_EIE91650
Rhidel_EIE91828	4755	1226	26	mapping	Rhidel_EIE91828
Rhidel_EIE91846	4581	195	3	mapping	Rhidel_EIE91846
Rhidel_EIE91850	2343	52	0	mapping	Rhidel_EIE91850
Rhidel_EIE91975	4902	3530	33	mapping	Rhidel_EIE91975
Rhidel_EIE91982	4863	1344	20	mapping	Rhidel_EIE91982
Rhidel_EIE92033	5061	5417	100	mapping	Rhidel_EIE92033
Rhidel_EIE92041	4539	149200	6774	mapping	Rhidel_EIE92041
Rhidel_EIE92204	4533	70260	458	mapping	Rhidel_EIE92204
Rhidel_EIE92211	4533	57491	449	mapping	Rhidel_EIE92211
Rhidel_EIE92216	1260	146	12	mapping	Rhidel_EIE92216
Rhidel_EIE92294	1239	505	37	mapping	Rhidel_EIE92294
Rhidel_EIE92710	3804	453	1	mapping	Rhidel_EIE92294
Rhidel_EIE92578	4764	12052	293	mapping	Rhidel_EIE92578
Rhidel_EIE92660	5181	2271	21	mapping	Rhidel_EIE92660
Rhidel_EIE92672	1971	65	0	mapping	Rhidel_EIE92672
Rhidel_EIE92681	3111	1257	3	mapping	Rhidel_EIE92681
Rhidel_EIE92687	4659	12256	52	mapping	Rhidel_EIE92687
Rhidel_EIE92693	1833	400	6	mapping	Rhidel_EIE92693
Rhidel_EIE92694	2652	2195	5	mapping	Rhidel_EIE92694
Rhidel_EIE92716	1905	948	2	mapping	Rhidel_EIE92716
Rhidel_EIE92726	4113	119	3	mapping	Rhidel_EIE92726
Rhidel_EIE92742	3111	1182	2	mapping	Rhidel_EIE92742
