Transcript	Length	NumReads	Unmapped	Sample	Gene
Chabra_GBG64355	2553	62	10	mapping	Chabra_GBG64355
Chabra_GBG64417	3234	22	0	mapping	Chabra_GBG64417
Chabra_GBG64484	9120	432	0	mapping	Chabra_GBG64484
Chabra_GBG64587	3576	24	0	mapping	Chabra_GBG64587
Chabra_GBG64694	6945	323	10	mapping	Chabra_GBG64694
Chabra_GBG64935	2217	12	0	mapping	Chabra_GBG64935
Chabra_GBG64943	2403	22	2	mapping	Chabra_GBG64943
Chabra_GBG65087	2703	8	0	mapping	Chabra_GBG65087
Chabra_GBG65481	3627	11	0	mapping	Chabra_GBG65481
Chabra_GBG65588	2178	5	1	mapping	Chabra_GBG65588
Chabra_GBG65694	1461	4	0	mapping	Chabra_GBG65694
Chabra_GBG65696	2724	2	0	mapping	Chabra_GBG65696
Chabra_GBG65726	2418	6	0	mapping	Chabra_GBG65726
Chabra_GBG65742	3063	4	0	mapping	Chabra_GBG65742
Chabra_GBG65783	2376	9	0	mapping	Chabra_GBG65783
Chabra_GBG65886	2673	52	6	mapping	Chabra_GBG65886
Chabra_GBG66465	3474	63	2	mapping	Chabra_GBG66465
Chabra_GBG66639	3057	7	0	mapping	Chabra_GBG66639
Chabra_GBG66927	4920	1509	205	mapping	Chabra_GBG66927
Chabra_GBG67760	3126	28	0	mapping	Chabra_GBG67760
Chabra_GBG68149	3843	43	4	mapping	Chabra_GBG68149
Chabra_GBG68433	3273	4	0	mapping	Chabra_GBG68433
Chabra_GBG68489	2490	6	0	mapping	Chabra_GBG68489
Chabra_GBG68587	1953	10	1	mapping	Chabra_GBG68587
Chabra_GBG68681	3393	92	13	mapping	Chabra_GBG68681
Chabra_GBG68974	2778	3211	2117	mapping	Chabra_GBG68974
Chabra_GBG69036	2229	1	1	mapping	Chabra_GBG69036
Chabra_GBG69312	2790	4	0	mapping	Chabra_GBG69312
Chabra_GBG69525	1980	18	1	mapping	Chabra_GBG69525
Chabra_GBG69971	4737	23	0	mapping	Chabra_GBG69971
Chabra_GBG70122	4077	14	0	mapping	Chabra_GBG70122
Chabra_GBG70257	2505	2	0	mapping	Chabra_GBG70257
Chabra_GBG70548	2259	17	1	mapping	Chabra_GBG70548
Chabra_GBG70872	1821	416	0	mapping	Chabra_GBG70872
Chabra_GBG70955	2061	3	0	mapping	Chabra_GBG70955
Chabra_GBG71123	2001	0	0	mapping	Chabra_GBG71123
Chabra_GBG71240	1857	0	0	mapping	Chabra_GBG71240
Chabra_GBG71259	2148	6	0	mapping	Chabra_GBG71259
Chabra_GBG71415	3948	155	1	mapping	Chabra_GBG71415
Chabra_GBG72047	11844	28880	480	mapping	Chabra_GBG72047
Chabra_GBG72069	2319	9	0	mapping	Chabra_GBG72069
Chabra_GBG72087	1431	4	0	mapping	Chabra_GBG72087
Chabra_GBG72348	6876	5718	253	mapping	Chabra_GBG72348
Chabra_GBG72505	2043	8	0	mapping	Chabra_GBG72505
Chabra_GBG72519	2073	16	1	mapping	Chabra_GBG72519
Chabra_GBG72775	4227	3815	284	mapping	Chabra_GBG72775
Chabra_GBG73229	6921	8489	217	mapping	Chabra_GBG73229
Chabra_GBG73474	6591	11886	286	mapping	Chabra_GBG73474
Chabra_GBG73982	4653	511	21	mapping	Chabra_GBG73982
Chabra_GBG74089	1506	2	0	mapping	Chabra_GBG74089
Chabra_GBG74134	2364	123	6	mapping	Chabra_GBG74134
Chabra_GBG74160	3555	22	0	mapping	Chabra_GBG74160
Chabra_GBG74600	1869	6	0	mapping	Chabra_GBG74600
Chabra_GBG74892	1443	40	0	mapping	Chabra_GBG74892
Chabra_GBG74902	2613	343	1	mapping	Chabra_GBG74902
Chabra_GBG75101	3060	80	18	mapping	Chabra_GBG75101
Chabra_GBG75344	2820	131	0	mapping	Chabra_GBG75344
Chabra_GBG75516	2010	5	0	mapping	Chabra_GBG75516
Chabra_GBG76006	7932	125	8	mapping	Chabra_GBG76006
Chabra_GBG76198	2136	57	21	mapping	Chabra_GBG76198
Chabra_GBG76224	1698	2	0	mapping	Chabra_GBG76224
Chabra_GBG76399	2685	6	0	mapping	Chabra_GBG76399
Chabra_GBG76413	1191	21	1	mapping	Chabra_GBG76413
Chabra_GBG76468	2883	36	1	mapping	Chabra_GBG76468
Chabra_GBG76758	1785	3	0	mapping	Chabra_GBG76758
Chabra_GBG76785	2994	2	0	mapping	Chabra_GBG76785
Chabra_GBG76809	2022	20	0	mapping	Chabra_GBG76809
Chabra_GBG76880	945	0	0	mapping	Chabra_GBG76880
Chabra_GBG76903	2307	4	0	mapping	Chabra_GBG76903
Chabra_GBG77055	2502	744	0	mapping	Chabra_GBG77055
Chabra_GBG77426	1896	0	0	mapping	Chabra_GBG77426
Chabra_GBG77614	2334	10	0	mapping	Chabra_GBG77614
Chabra_GBG77709	3048	70	0	mapping	Chabra_GBG77709
Chabra_GBG78811	3261	1192	31	mapping	Chabra_GBG78811
Chabra_GBG78988	1923	5	0	mapping	Chabra_GBG78988
Chabra_GBG79044	2553	2	0	mapping	Chabra_GBG79044
Chabra_GBG79068	2697	22	0	mapping	Chabra_GBG79068
Chabra_GBG79211	3066	22	0	mapping	Chabra_GBG79211
Chabra_GBG79229	2178	0	0	mapping	Chabra_GBG79229
Chabra_GBG79239	1845	11926	420	mapping	Chabra_GBG79239
Chabra_GBG79250	6462	8295	222	mapping	Chabra_GBG79250
Chabra_GBG79634	3030	45	0	mapping	Chabra_GBG79634
Chabra_GBG79648	2922	615	1	mapping	Chabra_GBG79648
Chabra_GBG79681	3063	571	65	mapping	Chabra_GBG79681
Chabra_GBG80045	3909	2300	87	mapping	Chabra_GBG80045
Chabra_GBG80090	1662	30	1	mapping	Chabra_GBG80090
Chabra_GBG80280	2940	733	1	mapping	Chabra_GBG80280
Chabra_GBG80309	2478	4	0	mapping	Chabra_GBG80309
Chabra_GBG80503	1446	6	0	mapping	Chabra_GBG80503
Chabra_GBG80696	2514	2	0	mapping	Chabra_GBG80696
Chabra_GBG80989	2457	17	0	mapping	Chabra_GBG80989
Chabra_GBG81351	1566	2	0	mapping	Chabra_GBG81351
Chabra_GBG81372	3069	0	0	mapping	Chabra_GBG81372
Chabra_GBG81810	5691	2666	162	mapping	Chabra_GBG81810
Chabra_GBG81918	2412	66	0	mapping	Chabra_GBG81918
Chabra_GBG82132	3084	16	0	mapping	Chabra_GBG82132
Chabra_GBG82273	5472	3954	70	mapping	Chabra_GBG82273
Chabra_GBG82501	3366	14	0	mapping	Chabra_GBG82501
Chabra_GBG82517	2646	1	0	mapping	Chabra_GBG82517
Chabra_GBG82819	4035	48	2	mapping	Chabra_GBG82819
Chabra_GBG82836	2769	26	0	mapping	Chabra_GBG82836
Chabra_GBG82990	1197	4	0	mapping	Chabra_GBG82990
Chabra_GBG83039	4671	19	0	mapping	Chabra_GBG83039
Chabra_GBG83168	3210	4	0	mapping	Chabra_GBG83168
Chabra_GBG83333	4203	17	2	mapping	Chabra_GBG83333
Chabra_GBG83362	2244	3	0	mapping	Chabra_GBG83362
Chabra_GBG83469	3351	11	0	mapping	Chabra_GBG83469
Chabra_GBG83578	2169	16	0	mapping	Chabra_GBG83578
Chabra_GBG83580	2940	37	1	mapping	Chabra_GBG83580
Chabra_GBG84159	1443	0	0	mapping	Chabra_GBG84159
Chabra_GBG84395	3201	30	0	mapping	Chabra_GBG84395
Chabra_GBG84737	3813	17	0	mapping	Chabra_GBG84737
Chabra_GBG84758	2388	8	0	mapping	Chabra_GBG84758
Chabra_GBG84862	2253	28	0	mapping	Chabra_GBG84862
Chabra_GBG70257	2505	2	0	mapping	Chabra_GBG84862
Chabra_GBG84926	8076	585	55	mapping	Chabra_GBG84926
Chabra_GBG85065	3039	8	0	mapping	Chabra_GBG85065
Chabra_GBG85461	1467	17	0	mapping	Chabra_GBG85461
Chabra_GBG85533	2433	180	13	mapping	Chabra_GBG85533
Chabra_GBG85663	4845	85	3	mapping	Chabra_GBG85663
Chabra_GBG85827	2385	5	0	mapping	Chabra_GBG85827
Chabra_GBG86049	3636	0	0	mapping	Chabra_GBG86049
Chabra_GBG86244	2295	659	203	mapping	Chabra_GBG86244
Chabra_GBG86325	2472	16	0	mapping	Chabra_GBG86325
Chabra_GBG86329	7419	12762	420	mapping	Chabra_GBG86329
Chabra_GBG87066	1962	15	0	mapping	Chabra_GBG87066
Chabra_GBG87380	8319	3588	105	mapping	Chabra_GBG87380
Chabra_GBG87529	1443	0	0	mapping	Chabra_GBG87529
Chabra_GBG87741	3471	9	0	mapping	Chabra_GBG87741
Chabra_GBG87829	4551	182	13	mapping	Chabra_GBG87829
Chabra_GBG88138	1881	22	2	mapping	Chabra_GBG88138
Chabra_GBG88139	1881	144	0	mapping	Chabra_GBG88139
Chabra_GBG88190	3345	17	0	mapping	Chabra_GBG88190
Chabra_GBG88234	4221	455	42	mapping	Chabra_GBG88234
Chabra_GBG88937	4323	229	8	mapping	Chabra_GBG88937
Chabra_GBG89399	3627	18	1	mapping	Chabra_GBG89399
Chabra_GBG89950	11046	10982	197	mapping	Chabra_GBG89950
Chabra_GBG90211	8115	5658	255	mapping	Chabra_GBG90211
Chabra_GBG90460	2604	4	0	mapping	Chabra_GBG90460
Chabra_GBG90968	3120	295	6	mapping	Chabra_GBG90968
Chabra_GBG91146	3636	121	4	mapping	Chabra_GBG91146
Chabra_GBG91964	2283	38	1	mapping	Chabra_GBG91964
Chabra_GBG91988	1764	45	11	mapping	Chabra_GBG91988
Chabra_GBG92189	3222	1755	453	mapping	Chabra_GBG92189
Chabra_GBG92241	2268	4	0	mapping	Chabra_GBG92241
Chabra_GBG92410	1677	8	0	mapping	Chabra_GBG92410
Chabra_GBG92524	3927	12	0	mapping	Chabra_GBG92524
Chabra_GBG92551	2841	8	1	mapping	Chabra_GBG92551
Chabra_GBG92564	2856	45	2	mapping	Chabra_GBG92564
Chabra_GBG92595	2169	16	0	mapping	Chabra_GBG92595
