gene	genomic_cluster	members	component	classification	posx	posy	species
Bdis_KQJ95915	23	Bdis_KQJ95915_1-138	2	H3	-0.0310390666127205	-0.0137670915573835	Bdis
Bdis_KQK05678	24	Bdis_KQK05678_107-239	2	H3	0.0420395918190479	0.0595553293824196	Bdis
Bdis_KQK05861	25	Bdis_KQK05861_117-190	1	H4	0.53314602702725	-0.315851383225153	Bdis
Bdis_KQK06658	22	Bdis_KQK06658_1-139	0	H2B	0.370145261287689	-0.723779499530792	Bdis
Bdis_KQK15862	26	Bdis_KQK15862_4-100	4	H2A	-0.0673002675175667	-0.097627617418766	Bdis
Bdis_KQK15863	26	Bdis_KQK15863_5-100	4	H2A	-0.0393007956445217	-0.116487711668015	Bdis
Bdis_KQK22303	27	Bdis_KQK22303_15-111	4	H2A	0.131976112723351	-0.168070510029793	Bdis
Bdis_KQK22304	27	Bdis_KQK22304_3-111	4	H2A	-0.00309681287035346	-0.147566050291061	Bdis
Bdis_PNT61710	25	Bdis_PNT61710_125-198	1	H4	0.517600687816957	-0.330273784570527	Bdis
Bdis_PNT71022	24	Bdis_PNT71022_14-102	2	H3	-0.0601817928254604	-0.029608953744173	Bdis
Bnat_JGI_V11_141571	28	Bnat_JGI_V11_141571_1-136	2	H3	-0.00337276887148619	-0.0157781820744276	Bnat
Bnat_JGI_V11_38173	29	Bnat_JGI_V11_38173_26-103	1	H4	0.279417751492325	0.300105232447895	Bnat
Bnat_JGI_V11_42386	28	Bnat_JGI_V11_42386_1-105	0	H2B	0.246582061052322	0.297003656625748	Bnat
Bnat_JGI_V11_46712	29	Bnat_JGI_V11_46712_10-101	4	H2A	0.0644585341215134	-0.179821625351906	Bnat
Bnat_JGI_V11_48254	29	Bnat_JGI_V11_48254_12-103	4	H2A	0.188717991113663	-0.254931718111038	Bnat
Cang_ORZ40169	30	Cang_ORZ40169_1-101	4	H2A	0.20406337082386	-0.260307788848877	Cang
Cang_ORZ40170	30	Cang_ORZ40170_1-52	0	H2B	-0.111804097890854	-0.108982436358929	Cang
Cang_ORZ41062	31	Cang_ORZ41062_23-100	1	H4	0.283219946923399	0.147766511518469	Cang
Cang_ORZ41063	31	Cang_ORZ41063_1-138	2	H3	-0.0469245538115501	-0.0813578888773918	Cang
Caulen_g6083.t1	32	Caulen_g6083.t1_1-97	4	H2A	0.182978183031082	-0.211446017026901	Caulen
Caulen_g6084.t1	32	Caulen_g6084.t1_1-107	0	H2B	0.246715575456619	-0.531335055828094	Caulen
Caulen_g6227.t1	33	Caulen_g6227.t1_25-103	1	H4	0.223929189925216	0.522454942748039	Caulen
Caulen_g7257.t1	34	Caulen_g7257.t1_752-896	2	H3	-0.0187331028282642	-0.0128488996997476	Caulen
Caulen_g7319.t1	33	Caulen_g7319.t1_1-138	2	H3	0.0349746197462082	-0.0651234090328217	Caulen
Caulen_g7322.t1	33	Caulen_g7322.t1_1-138	2	H3	0.024653073400259	-0.115612179040909	Caulen
Ccin_EAU82836	35	Ccin_EAU82836_26-103	1	H4	-0.494823391721415	0.0243011410493284	Ccin
Ccin_EAU89257	36	Ccin_EAU89257_9-104	4	H2A	0.211793020367622	-0.337505847215652	Ccin
Ccin_EAU89258	36	Ccin_EAU89258_1-128	0	H2B	0.187387332320213	0.127717211842537	Ccin
Ccin_EAU89413	37	Ccin_EAU89413_1-129	0	H2B	-0.0713456124067307	0.305795848369598	Ccin
Ccin_EAU89414	37	Ccin_EAU89414_1-106	4	H2A	0.141110524535179	-0.196430921554565	Ccin
Ccin_EAU90217	35	Ccin_EAU90217_1-138	2	H3	0.00976827275007963	0.0387455932796001	Ccin
Cfra_CFRG3582T1	38	Cfra_CFRG3582T1_1-136	2	H3	0.00731410970911384	-0.0510831922292709	Cfra
Cfra_CFRG3583T1	38	Cfra_CFRG3583T1_3-101	4	H2AZ	-0.537702262401581	0.740035474300385	Cfra
Cfra_CFRG3584T1	38	Cfra_CFRG3584T1_8-109	0	H2B	0.110942773520947	0.198672518134117	Cfra
Cfra_CFRG3585T1	38	Cfra_CFRG3585T1_26-103	1	H4	-0.403019953493325	0.00169876736272558	Cfra
Cfra_CFRG3671T1	38	Cfra_CFRG3671T1_7-108	0	H2B	0.0650816187262535	0.234023243188858	Cfra
Cfra_CFRG4822T1	38	Cfra_CFRG4822T1_6-108	0	H2B	0.0870444998145103	0.220545887947083	Cfra
Cgig_EKC28009	39	Cgig_EKC28009_124-264	2	H3	0.060138788074255	0.0333882011473179	Cgig
Cgig_EKC28010	39	Cgig_EKC28010_26-103	1	H4	-0.00446192027450049	-0.0341391304528211	Cgig
Cgig_EKC28011	39	Cgig_EKC28011_1-108	0	H2B	-0.343756943941116	0.237106084823608	Cgig
Cgig_EKC28012	39	Cgig_EKC28012_4-98	4	H2AZ	-0.560416340827942	0.799697756767273	Cgig
Cgig_EKC28032	39	Cgig_EKC28032_1-108	0	H2B	-0.41630282998085	0.220950871706009	Cgig
Chabra_GBG82318	40	Chabra_GBG82318_45-191	2	other_CENP	-0.0330274142324924	0.268069475889206	Chabra
Chabra_GBG82319	40	Chabra_GBG82319_351-465	2	H3	-0.0143406251445413	-0.0482872650027275	Chabra
Chabra_GBG85942	41	Chabra_GBG85942_1-136	2	H3	0.00395870814099908	-0.0347265154123306	Chabra
Chocri_XP_005711872.1	42	Chocri_XP_005711872.1_1-136	2	H3	-0.0021401047706604	-0.0426385551691055	Chocri
Chocri_XP_005711873.1	42	Chocri_XP_005711873.1_25-103	1	H4	0.164492928070684	0.55568994176689	Chocri
Chocri_XP_005715903.1	43	Chocri_XP_005715903.1_2-112	0	H2B	0.0220435839146376	0.0304161254316568	Chocri
Chocri_XP_005715904.1	43	Chocri_XP_005715904.1_1-91	4	H2A	0.138952299952507	-0.287656903266907	Chocri
Clim_evm13s167	44	Clim_evm13s167_26-103	1	H4	-0.00544515309661927	-0.0593343743713161	Clim
Clim_evm20s1	44	Clim_evm20s1_12-106	0	H2B	0.00689348066225648	0.165525704622269	Clim
Cmer_CMN145CT	45	Cmer_CMN145CT_1-103	0	H2B	0.0601543486118317	0.0860305801033974	Cmer
Cmer_CMN166CT	45	Cmer_CMN166CT_25-103	1	H4	0.243735299583714	0.515887131467547	Cmer
Cmer_CMN170CT	45	Cmer_CMN170CT_90-185	4	H2A	0.225128144025803	-0.194951862096786	Cmer
Cneo_AAW41758	46	Cneo_AAW41758_2-99	4	H2A	0.241388574242592	-0.217453598976135	Cneo
Cneo_AAW41759	46	Cneo_AAW41759_1-124	0	H2B	0.224371194839478	0.191558927297592	Cneo
Cneo_AAW41760	46	Cneo_AAW41760_1-138	2	H3	0.00296339718624949	-0.0405034124851227	Cneo
Cocsub_XP_005643643.1	47	Cocsub_XP_005643643.1_1-97	4	H2AZ	-0.539834499359131	0.737162172794342	Cocsub
Cocsub_XP_005643644.1	47	Cocsub_XP_005643644.1_1-99	0	H2B	0.178554058074951	-0.370952308177948	Cocsub
Cocsub_XP_005643645.1	47	Cocsub_XP_005643645.1_26-103	1	H4	-0.158327038692689	0.28866243814414	Cocsub
Cocsub_XP_005643646.1	47	Cocsub_XP_005643646.1_1-136	2	H3	0.0110042449086905	-0.0430611595511436	Cocsub
Cocsub_XP_005646408.1	47	Cocsub_XP_005646408.1_1-97	4	H2A	-0.041161235421896	-0.121874630451202	Cocsub
Coerev_PIA15958.1	48	Coerev_PIA15958.1_29-105	1	H4	-0.162616721039988	-0.143274062651163	Coerev
Coerev_PIA15959.1	48	Coerev_PIA15959.1_1-138	2	H3	0.0161679126322269	-0.0358959138393402	Coerev
Coka_g12254.t1	49	Coka_g12254.t1_2-97	4	H2AZ	-0.5364049077034	0.738715529441833	Coka
Coka_g12255.t1	49	Coka_g12255.t1_1-102	0	H2B	0.134648829698563	0.0635350570082664	Coka
Coka_g12257.t1	49	Coka_g12257.t1_1-136	2	H3	-0.00301405158825219	-0.0261917319148779	Coka
Coka_g12259.t1	49	Coka_g12259.t1_26-103	1	H4	0.250709069918694	0.204891008994989	Coka
Coka_g12260.t1	49	Coka_g12260.t1_6-111	4	H2A	0.235755249857903	-0.265061676502228	Coka
Coka_g12416.t1	49	Coka_g12416.t1_4-97	4	H2AZ	-0.538039982318878	0.741990685462952	Coka
Coka_g12422.t1	49	Coka_g12422.t1_3-97	4	H2A	-0.0284842401742935	-0.119951970875263	Coka
Coka_g13641.t1	49	Coka_g13641.t1_2-97	4	H2A	0.00244859955273569	-0.143833711743355	Coka
Coka_g14698.t1	49	Coka_g14698.t1_2-97	4	H2A	0.0345596149563789	-0.161392420530319	Coka
Cowc_KJE89241	50	Cowc_KJE89241_26-103	1	H4	-0.418413101657236	0.0203488947772179	Cowc
Cowc_KJE90505	50	Cowc_KJE90505_7-105	4	H2A	0.260654807090759	-0.19496950507164	Cowc
Cowc_KJE90506	50	Cowc_KJE90506_1-136	2	H3	0.0130957625806332	-0.0775482505559921	Cowc
Cowc_KJE90508	51	Cowc_KJE90508_1-111	0	H2B	-0.454883128404617	0.52455747127533	Cowc
Cowc_KJE91054	51	Cowc_KJE91054_7-105	4	H2A	0.159755185246468	-0.156540110707283	Cowc
Crei_PNW70159	52	Crei_PNW70159_1-135	2	H3	-0.0332757271826267	0.0152288386598229	Crei
Crei_PNW70160	52	Crei_PNW70160_25-103	1	H4	0.150335609101189	0.573508333856348	Crei
Crei_PNW70168	52	Crei_PNW70168_1-98	4	H2A	-0.00685793627053499	-0.13248099386692	Crei
Crei_PNW70169	52	Crei_PNW70169_1-139	0	H2B	0.311530143022537	-0.64224112033844	Crei
Crei_PNW70180	52	Crei_PNW70180_1-139	0	H2B	0.291687548160553	-0.593297123908997	Crei
Crei_PNW70181	52	Crei_PNW70181_1-98	4	H2AZ	-0.536500871181488	0.737263739109039	Crei
Crei_PNW70209	52	Crei_PNW70209_1-139	0	H2B	0.314968079328537	-0.643373906612396	Crei
Crei_PNW70244	52	Crei_PNW70244_1-139	0	H2B	0.302258133888245	-0.629522383213043	Crei
Crei_PNW70284	52	Crei_PNW70284_1-139	0	H2B	0.315785378217697	-0.649558663368225	Crei
Crei_PNW70299	52	Crei_PNW70299_1-139	0	H2B	0.383216172456741	-0.837945997714996	Crei
Crei_PNW70310	52	Crei_PNW70310_1-139	0	H2B	0.301097482442856	-0.622903287410736	Crei
Crei_PNW71302	53	Crei_PNW71302_1-135	2	H3	-0.0349055640399456	0.0140939690172672	Crei
Crei_PNW71303	53	Crei_PNW71303_23-103	1	H4	-0.0666799931732208	0.676110212034631	Crei
Crei_PNW73723	52	Crei_PNW73723_25-103	1	H4	0.123242496274958	0.608657395080355	Crei
Crei_PNW73725	52	Crei_PNW73725_11-142	0	H2B	-0.0484480485320091	0.248033240437508	Crei
Crei_PNW74238	52	Crei_PNW74238_1-141	0	H2B	0.363778561353683	-0.753786981105804	Crei
Crei_PNW74239	52	Crei_PNW74239_1-98	4	H2A	-0.0169030763208866	-0.132744744420052	Crei
Crei_PNW74250	52	Crei_PNW74250_1-141	0	H2B	-0.378564774990082	0.205935761332512	Crei
Crei_PNW74884	52	Crei_PNW74884_1-98	4	H2A	-0.0180187206715345	-0.109606869518757	Crei
Crei_PNW74885	52	Crei_PNW74885_1-139	0	H2B	0.300236165523529	-0.624945819377899	Crei
Crei_PNW74917	52	Crei_PNW74917_1-138	0	H2B	0.0339905209839344	0.372862756252289	Crei
Crei_PNW81893	52	Crei_PNW81893_1-141	2	H3	-0.0147256003692746	0.00270164711400867	Crei
Crei_PNW81930	52	Crei_PNW81930_1-98	4	H2A	-0.00598869891837239	-0.13070011138916	Crei
Crei_PNW82042	52	Crei_PNW82042_1-123	0	H2B	0.309164822101593	-0.6282017827034	Crei
Crei_PNW82161	52	Crei_PNW82161_1-139	0	H2B	-0.0596085041761398	0.235487625002861	Crei
Cscu_XP_023213286.1	54	Cscu_XP_023213286.1_26-103	1	H4	-0.00492538006553597	-0.046401416277551	Cscu
Cscu_XP_023227341.1	55	Cscu_XP_023227341.1_1-104	4	H2A	0.30876561999321	-0.205392926931381	Cscu
Cscu_XP_023234367.1	54	Cscu_XP_023234367.1_1-109	0	H2B	-0.378262490034103	0.202544778585434	Cscu
Cscu_XP_023234590.1	56	Cscu_XP_023234590.1_2-98	4	H2A	0.172226011753082	-0.259101450443268	Cscu
Cscu_XP_023235533.1	56	Cscu_XP_023235533.1_1-109	0	H2B	-0.43626868724823	0.220821738243103	Cscu
Cscu_XP_023241764.1	55	Cscu_XP_023241764.1_1-104	4	H2AZ	-0.540988504886627	0.744631826877594	Cscu
Cscu_XP_023242603.1	56	Cscu_XP_023242603.1_1-109	0	H2B	-0.360701590776443	0.195255115628242	Cscu
Cscu_XP_023244702.1	56	Cscu_XP_023244702.1_1-109	0	H2B	-0.38093301653862	0.196226492524147	Cscu
Ctel_CapteP103051	57	Ctel_CapteP103051_1-136	2	H3	-0.0383190624415874	0.0455060191452503	Ctel
Ctel_CapteP111354	57	Ctel_CapteP111354_1-98	4	H2A	0.273720622062683	-0.178390845656395	Ctel
Ctel_CapteP125227	57	Ctel_CapteP125227_1-87	4	H2A	0.102091431617737	-0.276592373847961	Ctel
Ctel_CapteP128452	57	Ctel_CapteP128452_1-98	4	H2A	0.278745979070663	-0.181255802512169	Ctel
Ctel_CapteP1352	57	Ctel_CapteP1352_2-108	0	H2B	-0.194696068763733	-0.0429573282599449	Ctel
Ctel_CapteP137819	57	Ctel_CapteP137819_1-98	4	H2A	0.293243169784546	-0.164240971207619	Ctel
Ctel_CapteP198869	57	Ctel_CapteP198869_1-98	4	H2A	0.288252472877502	-0.203872695565224	Ctel
Ctel_CapteP198869	57	Ctel_CapteP198869_159-232	1	H4	0.155924081061053	-0.577055155342414	Ctel
Ctel_CapteP203037	57	Ctel_CapteP203037_1-98	4	H2A	0.273654997348785	-0.179926559329033	Ctel
Ctel_CapteP20749	57	Ctel_CapteP20749_144-217	1	H4	0.149881023179367	-0.570050829225005	Ctel
Ctel_CapteP20749	57	Ctel_CapteP20749_2-108	0	H2B	0.192409977316856	0.0984191820025444	Ctel
Ctel_CapteP213180	57	Ctel_CapteP213180_1-103	0	H2B	-0.324529141187668	0.168659895658493	Ctel
Ctel_CapteP219998	57	Ctel_CapteP219998_112-186	1	H4	0.158913569213723	-0.434087456888934	Ctel
Ctel_CapteP219998	57	Ctel_CapteP219998_2-87	0	H2B	-0.268206000328064	0.53331446647644	Ctel
Ctel_CapteP98994	57	Ctel_CapteP98994_27-103	1	H4	-0.33889013293602	-0.5193344297627	Ctel
Cvar_XP_005843094.1	58	Cvar_XP_005843094.1_1-98	4	H2A	0.0439435392618179	-0.135389909148216	Cvar
Cvar_XP_005843095.1	58	Cvar_XP_005843095.1_1-127	2	H3	-0.0336640104651451	9.6760610176716e-05	Cvar
Cvar_XP_005843099.1	58	Cvar_XP_005843099.1_1-136	2	H3	-0.0257484540343285	-0.0152137456461787	Cvar
Cvar_XP_005843124.1	58	Cvar_XP_005843124.1_1-108	0	H2B	0.395701617002487	-0.853616237640381	Cvar
Cvar_XP_005843638.1	58	Cvar_XP_005843638.1_1-98	4	H2A	0.00685484055429697	-0.129710763692856	Cvar
Cvar_XP_005843643.1	58	Cvar_XP_005843643.1_1-107	0	H2B	0.410804778337479	-0.809257626533508	Cvar
Cvar_XP_005843696.1	58	Cvar_XP_005843696.1_26-103	1	H4	-0.261592874134751	0.276125359073957	Cvar
Cvar_XP_005843706.1	58	Cvar_XP_005843706.1_1-107	0	H2B	-0.323334753513336	0.473562151193619	Cvar
Cvar_XP_005847450.1	58	Cvar_XP_005847450.1_26-103	1	H4	0.24821668114933	0.462761809117292	Cvar
Cvar_XP_005851845.1	59	Cvar_XP_005851845.1_1-111	0	H2B	0.363025814294815	-0.792360663414001	Cvar
Cvar_XP_005852170.1	59	Cvar_XP_005852170.1_1-99	4	H2A	0.214036077260971	-0.222621649503708	Cvar
Ddis_EAL72769	60	Ddis_EAL72769_1-136	2	H3	0.015105820260942	-0.0216615572571754	Ddis
Ddis_EAL72896	60	Ddis_EAL72896_1-136	2	H3	0.0071751712821424	-0.0626967400312424	Ddis
Dmel_FBpp0082421	61	Dmel_FBpp0082421_26-103	1	H4	-0.00805124177056628	-0.0654025255545506	Dmel
Dmel_FBpp0085249	61	Dmel_FBpp0085249_3-98	4	H2A	0.28214305639267	-0.183971554040909	Dmel
Dmel_FBpp0085250	61	Dmel_FBpp0085250_1-136	2	H3	-0.0267739500850439	0.0143517898395658	Dmel
Dmel_FBpp0085281	61	Dmel_FBpp0085281_1-108	0	H2B	-0.482989698648453	0.225958839058876	Dmel
Dmel_FBpp0091099	61	Dmel_FBpp0091099_2-98	4	H2A	0.276557385921478	-0.204027473926544	Dmel
Dmel_FBpp0091114	61	Dmel_FBpp0091114_26-103	1	H4	-0.33072760073414	0.160849012783051	Dmel
Dpul_EFX62752	62	Dpul_EFX62752_26-103	1	H4	0.013134558856496	-0.0429860804861168	Dpul
Dpul_EFX62753	62	Dpul_EFX62753_1-136	2	H3	0.00878929533064365	-0.0413023084402084	Dpul
Dpul_EFX62825	62	Dpul_EFX62825_2-98	4	H2A	0.158970758318901	-0.161538541316986	Dpul
Dpul_EFX72335	63	Dpul_EFX72335_4-55	5		0.57865434885025	-0.0691274553537369	Dpul
Dpul_EFX72335	63	Dpul_EFX72335_53-105	5		0.608956158161163	-0.0606242120265961	Dpul
Dpul_EFX72413	63	Dpul_EFX72413_52-187	7	macroH2A	0.549051784523476	-0.280662700023222	Dpul
Dpul_EFX78453	64	Dpul_EFX78453_26-103	1	H4	-0.588832481836919	-0.210993255829572	Dpul
Dpul_EFX78516	64	Dpul_EFX78516_1-107	0	H2B	-0.229718118906021	0.486128300428391	Dpul
Dpul_EFX78517	64	Dpul_EFX78517_12-133	2	H3	0.0132944528013468	-0.0900965332984924	Dpul
Dpul_EFX86829	62	Dpul_EFX86829_1-72	2	H3	-0.0362428426742554	-0.00654746778309345	Dpul
Dpul_EFX86889	62	Dpul_EFX86889_2-108	0	H2B	-0.373863458633423	0.22650907933712	Dpul
Dpul_EFX87063	62	Dpul_EFX87063_1-108	0	H2B	-0.373229593038559	0.293825447559357	Dpul
Drer_ENSDARP00000047268.5	65	Drer_ENSDARP00000047268.5_1-136	2	H3	0.0348677262663841	-0.0402586162090302	Drer
Drer_ENSDARP00000055912.4	66	Drer_ENSDARP00000055912.4_1-111	0	H2B	-0.312246203422546	0.344448059797287	Drer
Drer_ENSDARP00000067893.2	67	Drer_ENSDARP00000067893.2_1-99	4	H2A	0.223002716898918	-0.326163977384567	Drer
Drer_ENSDARP00000067895.1	67	Drer_ENSDARP00000067895.1_1-99	4	H2A	0.206918120384216	-0.215294733643532	Drer
Drer_ENSDARP00000067896.1	67	Drer_ENSDARP00000067896.1_1-136	2	H3	0.0240168925374746	-0.0711630880832672	Drer
Drer_ENSDARP00000067948.4	67	Drer_ENSDARP00000067948.4_1-109	0	H2B	-0.139982551336288	-0.108059488236904	Drer
Drer_ENSDARP00000077832.3	67	Drer_ENSDARP00000077832.3_26-103	1	H4	-0.00766682158389523	-0.0904716565193782	Drer
Drer_ENSDARP00000084277.3	67	Drer_ENSDARP00000084277.3_1-136	2	H3	0.00873553939163685	-0.0419761165976524	Drer
Drer_ENSDARP00000090632.3	67	Drer_ENSDARP00000090632.3_1-99	4	H2A	-0.0343856438994408	-0.129273980855942	Drer
Drer_ENSDARP00000090794.3	66	Drer_ENSDARP00000090794.3_1-99	4	H2A	-0.0489230789244175	-0.104820802807808	Drer
Drer_ENSDARP00000093780.2	67	Drer_ENSDARP00000093780.2_1-99	4	H2A	-0.00145430094562471	-0.114311523735523	Drer
Drer_ENSDARP00000099813.2	67	Drer_ENSDARP00000099813.2_1-109	0	H2B	-0.174294412136078	0.240133181214333	Drer
Drer_ENSDARP00000101525.2	67	Drer_ENSDARP00000101525.2_1-109	0	H2B	-0.100967921316624	0.197275623679161	Drer
