genomic_cluster	species	members	num_genes	list_genes
93	Helrob	H2A,H2B,H3,H4,other_CENP	8	Helrob_HelroP126929,Helrob_HelroP158271,Helrob_HelroP172804,Helrob_HelroP172808,Helrob_HelroP79198,Helrob_HelroP79262,Helrob_HelroP79367,Helrob_HelroP84695
94	Helrob	H2B,H4	2	Helrob_HelroP70817,Helrob_HelroP70875
165	Phoaus	H2A,H2B	2	Phoaus_g244.t1,Phoaus_g245.t1
166	Phoaus	H2A,H2B	2	Phoaus_g5990.t1,Phoaus_g5991.t1
167	Phoaus	H2A,H2B	2	Phoaus_g7466.t1,Phoaus_g7467.t1
123	Linana	H2A,H4	2	Linana_g18735.t1,Linana_g18758.t1
76	Emul	H2A,H2B,H4	5	Emul_CDI96644.1,Emul_CDS35647.1,Emul_CDS36059.2,Emul_CDS36085.1,Emul_CDS36284.1
77	Emul	H2A,H2B	2	Emul_CDS37479.1,Emul_CDS37480.1
208	Sman	H2A,H3	3	Sman_Smp_074610.1_pep,Sman_Smp_089840.1_pep,Sman_Smp_089870.1_pep
148	Nvec	H2A,H2AZ,H2B,H3,H4	24	Nvec_NVE11853,Nvec_NVE11854,Nvec_NVE14103,Nvec_NVE14104,Nvec_NVE14705,Nvec_NVE14706,Nvec_NVE14833,Nvec_NVE18406,Nvec_NVE18668,Nvec_NVE18842,Nvec_NVE19301,Nvec_NVE21350,Nvec_NVE22352,Nvec_NVE23182,Nvec_NVE23183,Nvec_NVE23382,Nvec_NVE24022,Nvec_NVE24044,Nvec_NVE24359,Nvec_NVE2880,Nvec_NVE5224,Nvec_NVE5229,Nvec_NVE8838,Nvec_NVE9689
149	Nvec	H2A,H2B	2	Nvec_NVE12410,Nvec_NVE17265
150	Nvec	H2A,H2B	2	Nvec_NVE14995,Nvec_NVE14996
151	Nvec	H2A,H2B	2	Nvec_NVE19491,Nvec_NVE19492
152	Nvec	H2A,H2B	2	Nvec_NVE24007,Nvec_NVE24008
153	Nvec	H2A,H2B	2	Nvec_NVE9468,Nvec_NVE9469
82	Exapal	H2A,H2AZ,H2B,H3,H4	14	Exapal_XP_020893576.1,Exapal_XP_020893577.1,Exapal_XP_020893578.1,Exapal_XP_020893626.1,Exapal_XP_020894112.1,Exapal_XP_020894113.1,Exapal_XP_020894114.1,Exapal_XP_020896799.1,Exapal_XP_020896800.1,Exapal_XP_020896800.1,Exapal_XP_020899522.1,Exapal_XP_020899546.1,Exapal_XP_020913118.1,Exapal_XP_020917666.1
83	Exapal	H2A,H2B	2	Exapal_XP_020908223.1,Exapal_XP_020908224.1
84	Exapal	H2A,H2B	2	Exapal_XP_020913618.1,Exapal_XP_020913656.1
6	Adig	H2A,H2B,H3,H4	14	Adig_XP_015747488.1,Adig_XP_015747488.1,Adig_XP_015747523.1,Adig_XP_015747524.1,Adig_XP_015747527.1,Adig_XP_015747528.1,Adig_XP_015747529.1,Adig_XP_015747529.1,Adig_XP_015747530.1,Adig_XP_015747530.1,Adig_XP_015748861.1,Adig_XP_015748862.1,Adig_XP_015759837.1,Adig_XP_015767152.1
7	Adig	H2A,H2B	2	Adig_XP_015769293.1,Adig_XP_015769294.1
210	Spis	H2A,H2AZ,H2B,H3,H4	9	Spis_XP_022782074_1,Spis_XP_022782075_1,Spis_XP_022792392_1,Spis_XP_022792393_1,Spis_XP_022792396_1,Spis_XP_022792397_1,Spis_XP_022792399_1,Spis_XP_022792401_1,Spis_XP_022792401_1
211	Spis	H2A,H2B	2	Spis_XP_022801281_1,Spis_XP_022801292_1
100	Hydvul	H2A	2	Hydvul_Sc4wPfr_24.g32543.t1,Hydvul_Sc4wPfr_24.g32544.t1
101	Hydvul	H2A,H2B	2	Hydvul_Sc4wPfr_433.g11154.t1,Hydvul_Sc4wPfr_433.g11155.t1
102	Hydvul	H2A,H2B	2	Hydvul_Sc4wPfr_488.g29965.t1,Hydvul_Sc4wPfr_488.g29966.t1
17	Auraur	H2B,H4	2	Auraur_scaffold1826.g10.t1,Auraur_scaffold1826.g7.t1
138	Morvir	H2B,H3,macroH2A	3	Morvir_scaffold298.g4.t1,Morvir_scaffold402.g10.t1,Morvir_scaffold402.g12.t1
139	Morvir	H2A,H2B	2	Morvir_scaffold37.g44.t1,Morvir_scaffold37.g45.t1
140	Morvir	H2A	2	Morvir_scaffold376.g1.t1,Morvir_scaffold376.g2.t1
12	Aque	H2A,H2B,H4	3	Aque_Aqu2.1.08429_001,Aque_Aqu2.1.08430_001,Aque_Aqu2.1.08431_001
13	Aque	,H4	2	Aque_Aqu2.1.40839_001,Aque_Aqu2.1.40841_001
232	Tetwil	,H4	2	Tetwil_Twilhelma_g10937.t1,Tetwil_Twilhelma_g10938.t1
233	Tetwil	H2A,H2B	2	Tetwil_Twilhelma_g18014.t1,Tetwil_Twilhelma_g18015.t1
234	Tetwil	H2A,H2B	2	Tetwil_Twilhelma_g23784.t1,Tetwil_Twilhelma_g23785.t1
70	Emue	H2A,H2B	2	Emue_0001g2522a,Emue_0001g2523a
71	Emue	H2A,H2AZ,H2B	10	Emue_0007g126a,Emue_0007g127a,Emue_0007g151a,Emue_0007g190a,Emue_0007g191a,Emue_0007g192a,Emue_0007g207a,Emue_0007g208a,Emue_0014g552a,Emue_0014g878a
72	Emue	H2A,H2B	3	Emue_0007g209a,Emue_0007g216a,Emue_0007g228a
73	Emue	H2A,H2AZ,H2B	3	Emue_0008g1238a,Emue_0008g1239a,Emue_0008g1254a
154	Ocar	H2A,H2AZ	2	Ocar_g3737.t1,Ocar_g3738.t1
130	Mbre	H2A,H4	2	Mbre_EDQ85108,Mbre_EDQ86044
131	Mbre	H2B,H3	2	Mbre_EDQ85965,Mbre_EDQ86043
224	Sros	H2A,H4	2	Sros_EGD75966,Sros_EGD75967
225	Sros	H2B,H3	2	Sros_EGD76768,Sros_EGD76769
50	Cowc	H2A,H3,H4	3	Cowc_KJE89241,Cowc_KJE90505,Cowc_KJE90506
51	Cowc	H2A,H2B	2	Cowc_KJE90508,Cowc_KJE91054
194	Sarc	H2A,H2B,H3,H4	6	Sarc_Sarc4_g12926T,Sarc_Sarc4_g12927T,Sarc_Sarc4_g12928T,Sarc_Sarc4_g12929T,Sarc_Sarc4_g3247T,Sarc_Sarc4_g9386T
38	Cfra	H2AZ,H2B,H3,H4	6	Cfra_CFRG3582T1,Cfra_CFRG3583T1,Cfra_CFRG3584T1,Cfra_CFRG3585T1,Cfra_CFRG3671T1,Cfra_CFRG4822T1
146	Nk52	H2A,H2B,H3,H4	4	Nk52_evm13s282,Nk52_evm14s282,Nk52_evm16s282,Nk52_evm1s269
44	Clim	H2B,H4	2	Clim_evm13s167,Clim_evm20s1
212	Spom	H3,H4	2	Spom_SPAC1834.03c.1_pep,Spom_SPAC1834.04.1_pep
213	Spom	H2A,H2B	2	Spom_SPCC622.08c.1_pep,Spom_SPCC622.09.1_pep
143	Ncra	H3,H4	2	Ncra_EAA26766,Ncra_EAA26767
237	Tmel	H2A,H2B	2	Tmel_CAZ79646,Tmel_CAZ79647
238	Tmel	H3,H4	2	Tmel_CAZ81813,Tmel_CAZ83100
198	Scer	H2A,H2B	2	Scer_YBL002W,Scer_YBL003C
199	Scer	H3,H4	2	Scer_YBR009C,Scer_YBR010W
200	Scer	H2AZ,H2B	2	Scer_YDR224C,Scer_YDR225W
46	Cneo	H2A,H2B,H3	3	Cneo_AAW41758,Cneo_AAW41759,Cneo_AAW41760
35	Ccin	H3,H4	2	Ccin_EAU82836,Ccin_EAU90217
36	Ccin	H2A,H2B	2	Ccin_EAU89257,Ccin_EAU89258
37	Ccin	H2A,H2B	2	Ccin_EAU89413,Ccin_EAU89414
245	Umay	H3,H4	2	Umay_KIS69374,Umay_KIS69375
246	Umay	H2AZ,H2B	2	Umay_KIS70332,Umay_KIS70333
136	Morelo	H3,H4	3	Morelo_OAQ25419,Morelo_OAQ25420,Morelo_OAQ31267
137	Morelo	H2A,H2B	2	Morelo_OAQ31272,Morelo_OAQ31273
189	Rirr	H3,H4	2	Rirr_GBC16678,Rirr_GBC16680
190	Rirr	H3,H4	2	Rirr_GBC16827,Rirr_GBC16828
191	Rirr	H2A,H2B	2	Rirr_GBC46393,Rirr_GBC46394
132	Mcir	H2AZ,H3,H4	3	Mcir_OAD00957,Mcir_OAD03484,Mcir_OAD03486
188	Rhidel	H2A,H2B,H3,H4	7	Rhidel_EIE79225,Rhidel_EIE83417,Rhidel_EIE83418,Rhidel_EIE83419,Rhidel_EIE83508,Rhidel_EIE91735,Rhidel_EIE91736
247	Umbram	H2A,H2B,H3,H4	5	Umbram_171390,Umbram_206617,Umbram_229022,Umbram_229025,Umbram_229050
48	Coerev	H3,H4	2	Coerev_PIA15958.1,Coerev_PIA15959.1
85	Gpro	H2A,H2B	3	Gpro_KXS09017,Gpro_KXS14520,Gpro_KXS14521
86	Gpro	H3,H4	2	Gpro_KXS13514,Gpro_KXS13515
170	Pisp	H3,H4	2	Pisp_OUM63886.1,Pisp_OUM66373.1
19	Bden	H3,H4	2	Bden_EGF78877,Bden_EGF79075
20	Bden	H2A,H2B,macroH2A	3	Bden_EGF83343,Bden_EGF84074,Bden_EGF84161
214	Spun	H3,H4	2	Spun_KNC96050,Spun_KNC96051
215	Spun	H2A,H2B	2	Spun_KND03295,Spun_KND03296
9	Amac	H2AZ,H2B	3	Amac_KNE55234,Amac_KNE55235,Amac_KNE59880
10	Amac	H3,H4	3	Amac_KNE60951,Amac_KNE60952,Amac_KNE69927
30	Cang	H2A,H2B	2	Cang_ORZ40169,Cang_ORZ40170
31	Cang	H3,H4	2	Cang_ORZ41062,Cang_ORZ41063
185	Rall	H3,H4	2	Rall_EPZ30802,Rall_EPZ32223
186	Rall	H2A,H2B	2	Rall_EPZ30830,Rall_EPZ30831
240	Ttra	H4	2	Ttra_KNC46204,Ttra_KNC53726
241	Ttra	H2A,H2B	2	Ttra_KNC47362,Ttra_KNC47386
242	Ttra	H3	2	Ttra_KNC54420,Ttra_KNC54421
60	Ddis	H3	2	Ddis_EAL72769,Ddis_EAL72896
3	Acas	H2B,H4	2	Acas_ELR14806,Acas_ELR19361
172	Plafun	H2A,H4	2	Plafun_PRP74141,Plafun_PRP74142
14	Atha	H3,other_CENP	2	Atha_AT1G09200.1,Atha_AT5G65350.1
133	Mgut	H2A	2	Mgut_XP_012831980.1,Mgut_XP_012831981.1
135	Mgut	H2A,macroH2A	2	Mgut_XP_012837292.1,Mgut_XP_012837303.1
5	Acoe	H2A	2	Acoe_PIA58461.1,Acoe_PIA58462.1
22	Bdis	H2B,H3	2	Bdis_KQJ86807,Bdis_KQK06658
23	Bdis	H3	3	Bdis_KQJ95913,Bdis_KQJ95914,Bdis_KQJ95915
24	Bdis	H3	2	Bdis_KQK05678,Bdis_PNT71022
25	Bdis	H4	2	Bdis_KQK05861,Bdis_PNT61710
26	Bdis	H2A	2	Bdis_KQK15862,Bdis_KQK15863
27	Bdis	H2A	2	Bdis_KQK22303,Bdis_KQK22304
196	Sbic	H2A,H2B	3	Sbic_EER92457,Sbic_EER92458,Sbic_EER95079
197	Sbic	H2A	2	Sbic_EER97344,Sbic_EER97345
16	Atri	H2B	2	Atri_ERN07750,Atri_ERN07751
18	Azfi	H2B	2	Azfi_s0005.g008911,Azfi_s0005.g008912
180	Ppat	H2B	2	Ppat_Pp3c17_15780V3.1,Ppat_Pp3c17_15800V3.1
182	Ppat	H2B,H4	2	Ppat_Pp3c27_7460V3.1,Ppat_Pp3c6_27740V3.1
183	Ppat	H2A,H2AZ	2	Ppat_Pp3c5_1791V3.1,Ppat_Pp3c5_1800V3.1
209	Sphfal	H2B	2	Sphfal_Sphfalx05G143800.1.p,Sphfal_Sphfalx05G143900.1.p
129	Marpol	H2B,H4	2	Marpol_PTQ27186,Marpol_PTQ27188
40	Chabra	H3,other_CENP	2	Chabra_GBG82318,Chabra_GBG82319
105	Klenit	H2A,H2B	2	Klenit_GAQ82270.1,Klenit_GAQ82271.1
108	Klenit	H3	2	Klenit_GAQ87552.1,Klenit_GAQ87552.1
109	Klenit	H3,H4	2	Klenit_GAQ88012.1,Klenit_GAQ88311.1
111	Klenit	H3	2	Klenit_GAQ89159.1,Klenit_GAQ89160.1
118	Klenit	H3,other_CENP	3	Klenit_GAQ92405.1,Klenit_GAQ92406.1,Klenit_GAQ92407.1
119	Klenit	H3	2	Klenit_GAQ93071.1,Klenit_GAQ93071.1
52	Crei	H2A,H2AZ,H2B,H3,H4	23	Crei_PNW70159,Crei_PNW70160,Crei_PNW70168,Crei_PNW70169,Crei_PNW70180,Crei_PNW70181,Crei_PNW70209,Crei_PNW70244,Crei_PNW70284,Crei_PNW70299,Crei_PNW70310,Crei_PNW73723,Crei_PNW73725,Crei_PNW74238,Crei_PNW74239,Crei_PNW74250,Crei_PNW74884,Crei_PNW74885,Crei_PNW74917,Crei_PNW81893,Crei_PNW81930,Crei_PNW82042,Crei_PNW82161
53	Crei	H3,H4	2	Crei_PNW71302,Crei_PNW71303
248	Vcar	H2A,H2B,H3,H4	11	Vcar_XP_002945759.1,Vcar_XP_002945852.1,Vcar_XP_002946107.1,Vcar_XP_002946112.1,Vcar_XP_002946193.1,Vcar_XP_002947842.1,Vcar_XP_002948276.1,Vcar_XP_002951795.1,Vcar_XP_002955481.1,Vcar_XP_002956799.1,Vcar_XP_002956803.1
249	Vcar	H2A,H2B	2	Vcar_XP_002948133.1,Vcar_XP_002948271.1
32	Caulen	H2A,H2B	2	Caulen_g6083.t1,Caulen_g6084.t1
33	Caulen	H3,H4	3	Caulen_g6227.t1,Caulen_g7319.t1,Caulen_g7322.t1
47	Cocsub	H2A,H2AZ,H2B,H3,H4	5	Cocsub_XP_005643643.1,Cocsub_XP_005643644.1,Cocsub_XP_005643645.1,Cocsub_XP_005643646.1,Cocsub_XP_005646408.1
58	Cvar	H2A,H2B,H3,H4	9	Cvar_XP_005843094.1,Cvar_XP_005843095.1,Cvar_XP_005843099.1,Cvar_XP_005843124.1,Cvar_XP_005843638.1,Cvar_XP_005843643.1,Cvar_XP_005843696.1,Cvar_XP_005843706.1,Cvar_XP_005847450.1
59	Cvar	H2A,H2B	2	Cvar_XP_005851845.1,Cvar_XP_005852170.1
155	Otau	H3,H4	2	Otau_XP_003079482.2,Otau_XP_022838377.1
156	Otau	H2A,H2B	2	Otau_XP_003080758.2,Otau_XP_003080759.2
141	Mpus	H2A,H2B	2	Mpus_XP_003054974.1,Mpus_XP_003055512.1
142	Mpus	H3,H4	2	Mpus_XP_003059221.1,Mpus_XP_003059520.1
87	Gracho	H3,H4	2	Gracho_PXF43757.1,Gracho_PXF43758.1
88	Gracho	H2A,H2B	2	Gracho_PXF47806.1,Gracho_PXF47807.1
89	Gracho	H2A,H2B	2	Gracho_PXF49105.1,Gracho_PXF49106.1
42	Chocri	H3,H4	2	Chocri_XP_005711872.1,Chocri_XP_005711873.1
43	Chocri	H2A,H2B	2	Chocri_XP_005715903.1,Chocri_XP_005715904.1
175	Porumb	H2A,H2B	2	Porumb_OSX71619.1,Porumb_OSX71620.1
176	Porumb	H3	2	Porumb_OSX72825.1,Porumb_OSX72826.1
177	Porumb	H2A,H2B	2	Porumb_OSX77442.1,Porumb_OSX77443.1
178	Porumb	H3,H4	2	Porumb_OSX80297.1,Porumb_OSX80298.1
179	Porumb	H2A,H2B	2	Porumb_OSX81222.1,Porumb_OSX81223.1
173	Porpur	H3,H4	2	Porpur_KAA8495289.1,Porpur_KAA8495290.1
174	Porpur	H2A,H2B	2	Porpur_KAA8497739.1,Porpur_KAA8497740.1
45	Cmer	H2A,H2B,H4	3	Cmer_CMN145CT,Cmer_CMN166CT,Cmer_CMN170CT
1	Aano	H2A,H2AZ,H2B,H3,H4	6	Aano_EGB02157,Aano_EGB03228,Aano_EGB03692,Aano_EGB03693,Aano_EGB03982,Aano_EGB04036
2	Aano	H3,H4	2	Aano_EGB03512,Aano_EGB03522
163	Phatri	H2A,H2B	2	Phatri_Phatr3_J11823.p1,Phatri_Phatr3_J26802.p1
164	Phatri	H3,H4	2	Phatri_Phatr3_J11841.p1,Phatri_Phatr3_J26896.p1
239	Tpse	H2A,H2B,H3,H4	7	Tpse_ACI64441,Tpse_ACI64530,Tpse_ACI64534,Tpse_ACI64535,Tpse_EED89017,Tpse_EED92171,Tpse_EED93631
81	Esil	H2A,H2B,H3,H4	9	Esil_CBJ32072,Esil_CBJ32075,Esil_CBJ32076,Esil_CBJ32077,Esil_CBJ33198,Esil_CBJ48885,Esil_CBJ48887,Esil_CBN74671,Esil_CBN77408
49	Coka	H2A,H2AZ,H2B,H3,H4	9	Coka_g12254.t1,Coka_g12255.t1,Coka_g12257.t1,Coka_g12259.t1,Coka_g12260.t1,Coka_g12416.t1,Coka_g12422.t1,Coka_g13641.t1,Coka_g14698.t1
144	Ngad	H2A,H2B	2	Ngad_EWM21571,Ngad_EWM21651
145	Ngad	H2A,H3,H4	3	Ngad_EWM24685,Ngad_EWM29620,Ngad_EWM29644
168	Pinf	H2B,H3,H4	3	Pinf_PITG_03550T0,Pinf_PITG_03551T0,Pinf_PITG_03552T0
169	Pinf	H2A	2	Pinf_PITG_03881T0,Pinf_PITG_03882T0
8	Alblai	H3,H4	2	Alblai_CCA15304,Alblai_CCA15305
192	Sappar	H3,H4	4	Sappar_KDO17679,Sappar_KDO17680,Sappar_KDO26684,Sappar_KDO27242
193	Sappar	H2A,H2B	3	Sappar_KDO23558,Sappar_KDO24590,Sappar_KDO27381
95	Honfer	H2A,H2B	2	Honfer_GBG34895,Honfer_GBG34896
161	Pfal	H2A,H3	2	Pfal_CAG24993,Pfal_CAG24994
162	Pfal	H2B,H4	2	Pfal_CZT98716,Pfal_CZT98717
235	Tgon	H2A,H3	2	Tgon_TGME49_261240-t26_1-p1-CDS1,Tgon_TGME49_261250-t26_1-p1-CDS1
250	Vitbra	H2AZ,H2B	2	Vitbra_CEM20937.1,Vitbra_CEM20939.1
158	Perkma	H2A,H2AZ,H2B,H3	8	Perkma_EEQ98672,Perkma_EEQ99303,Perkma_EEQ99409,Perkma_EER03781,Perkma_EER04007,Perkma_EER04402,Perkma_EER15538,Perkma_EER15802
159	Perkma	H2A	2	Perkma_EER08567,Perkma_EER08568
160	Perkma	H2A,H2AZ	2	Perkma_EER15850,Perkma_EER15851
28	Bnat	H2B,H3	2	Bnat_JGI_V11_141571,Bnat_JGI_V11_42386
29	Bnat	H2A,H4	3	Bnat_JGI_V11_38173,Bnat_JGI_V11_46712,Bnat_JGI_V11_48254
171	Plabra	H3,H4	2	Plabra_CEO95731,Plabra_CEO95732
68	Ehux	H2A,H3,H4	3	Ehux_EOD03932,Ehux_EOD22945,Ehux_EOD22956
69	Ehux	H3,H4	2	Ehux_EOD21027,Ehux_EOD21028
157	Pavlsp	H3	2	Pavlsp_560888,Pavlsp_908208
227	Tcru	H2B	2	Tcru_EAN83533,Tcru_EAN83534
228	Tcru	H3	2	Tcru_EAN84604,Tcru_EAN85677
230	Tcru	H2A	2	Tcru_EAN88264,Tcru_EAN88265
231	Tcru	H2A	3	Tcru_EAN91807,Tcru_EAN97511,Tcru_EAN97527
124	Lmaj	H3	2	Lmaj_CAJ02838,Lmaj_CAJ03576
127	Lmaj	H2A	3	Lmaj_CBZ12512,Lmaj_CBZ12513,Lmaj_CBZ12514
243	Tvag	H2A,H2B	3	Tvag_XP_001301678.1,Tvag_XP_001301679.1,Tvag_XP_001329050.1
244	Tvag	H3,H4	2	Tvag_XP_001308219.1,Tvag_XP_001308229.1
