gene_j	gene_i	strand_i	strand_j	dist_ij	class_i	class_j	pair	pair_hists	pair_orientation	pair_hists_ori	species
Adig_XP_015748861.1	Adig_XP_015748862.1	+	+	1287	H2A	H3	Adig_XP_015748861.1,Adig_XP_015748862.1	H2A,H3	ht	H2A,H3 ht	Adig
Adig_XP_015748861.1	Adig_XP_015767152.1	+	-	-417	H2B	H3	Adig_XP_015748861.1,Adig_XP_015767152.1	H2B,H3	hh	H2B,H3 hh	Adig
Adig_XP_015769293.1	Adig_XP_015769294.1	+	-	-228	H2B	H2A	Adig_XP_015769293.1,Adig_XP_015769294.1	H2A,H2B	hh	H2A,H2B hh	Adig
Alblai_CCA15304	Alblai_CCA15305	+	-	-306	H4	H3	Alblai_CCA15304,Alblai_CCA15305	H3,H4	hh	H3,H4 hh	Alblai
Amac_KNE55234	Amac_KNE55235	+	-	-374	H2AZ	H2B	Amac_KNE55234,Amac_KNE55235	H2AZ,H2B	hh	H2AZ,H2B hh	Amac
Amac_KNE55235	Amac_KNE59880	-	+	179	H2B	H2AZ	Amac_KNE55235,Amac_KNE59880	H2AZ,H2B	hh	H2AZ,H2B hh	Amac
Amac_KNE60951	Amac_KNE60952	+	-	-203	H4	H3	Amac_KNE60951,Amac_KNE60952	H3,H4	hh	H3,H4 hh	Amac
Amac_KNE60952	Amac_KNE69927	+	-	-346	H3	H4	Amac_KNE60952,Amac_KNE69927	H3,H4	hh	H3,H4 hh	Amac
Apla_XP_022080340.1	Apla_XP_022080340.1	-	+	1089	H4	H4	Apla_XP_022080340.1,Apla_XP_022080340.1	H4,H4	hh	H4,H4 hh	Apla
Apla_XP_022080340.1	Apla_XP_022108863.1	+	-	-519	H2AZ	H4	Apla_XP_022080340.1,Apla_XP_022108863.1	H2AZ,H4	hh	H2AZ,H4 hh	Apla
Apla_XP_022080340.1	Apla_XP_022080478.1	+	-	472	H2A	H4	Apla_XP_022080340.1,Apla_XP_022080478.1	H2A,H4	tt	H2A,H4 tt	Apla
Apla_XP_022080478.1	Apla_XP_022080479.1	-	+	55	H2B	H2A	Apla_XP_022080478.1,Apla_XP_022080479.1	H2A,H2B	hh	H2A,H2B hh	Apla
Apla_XP_022080479.1	Apla_XP_022088169.1	+	-	-349	H2A	H2B	Apla_XP_022080479.1,Apla_XP_022088169.1	H2A,H2B	hh	H2A,H2B hh	Apla
Apla_XP_022088169.1	Apla_XP_022088067.1	-	+	-2032	H3	H2A	Apla_XP_022088067.1,Apla_XP_022088169.1	H2A,H3	tt	H2A,H3 tt	Apla
Aque_Aqu2.1.08429_001	Aque_Aqu2.1.08430_001	-	-	-467	H2B	H4	Aque_Aqu2.1.08429_001,Aque_Aqu2.1.08430_001	H2B,H4	ht	H2B,H4 ht	Aque
Aque_Aqu2.1.08430_001	Aque_Aqu2.1.08431_001	+	-	-295	H2A	H2B	Aque_Aqu2.1.08430_001,Aque_Aqu2.1.08431_001	H2A,H2B	hh	H2A,H2B hh	Aque
Aque_Aqu2.1.40841_001	Aque_Aqu2.1.40839_001	-	+	184	H4		Aque_Aqu2.1.40839_001,Aque_Aqu2.1.40841_001	H4	hh	H4 hh	Aque
Atha_AT1G09200.1	Atha_AT1G09200.1	-	-	579	H3	H3	Atha_AT1G09200.1,Atha_AT1G09200.1	H3,H3	ht	H3,H3 ht	Atha
Atha_AT1G09200.1	Atha_AT5G65350.1	-	-	35	other_CENP	H3	Atha_AT1G09200.1,Atha_AT5G65350.1	H3,other_CENP	ht	H3,other_CENP ht	Atha
Atha_AT4G40030.2	Atha_AT4G40030.2	-	-	-268	H3	H3	Atha_AT4G40030.2,Atha_AT4G40030.2	H3,H3	ht	H3,H3 ht	Atha
Atri_ERN07750	Atri_ERN07751	-	-	-11340	H2B	H2B	Atri_ERN07750,Atri_ERN07751	H2B,H2B	ht	H2B,H2B ht	Atri
Auraur_scaffold1826.g10.t1	Auraur_scaffold1826.g7.t1	-	-	-135	H4	H2B	Auraur_scaffold1826.g10.t1,Auraur_scaffold1826.g7.t1	H2B,H4	ht	H2B,H4 ht	Auraur
Azfi_s0005.g008911	Azfi_s0005.g008912	+	-	-11685	H2B	H2B	Azfi_s0005.g008911,Azfi_s0005.g008912	H2B,H2B	hh	H2B,H2B hh	Azfi
Bden_EGF78877	Bden_EGF79075	-	+	241	H4	H3	Bden_EGF78877,Bden_EGF79075	H3,H4	hh	H3,H4 hh	Bden
Bden_EGF83343	Bden_EGF84074	-	+	370	macroH2A	H2B	Bden_EGF83343,Bden_EGF84074	H2B,macroH2A	hh	H2B,macroH2A hh	Bden
Bden_EGF83343	Bden_EGF84161	-	+	63	H2A	H2B	Bden_EGF83343,Bden_EGF84161	H2A,H2B	hh	H2A,H2B hh	Bden
Bdis_KQJ82897	Bdis_KQJ82897	-	-	5233	H3	H3	Bdis_KQJ82897,Bdis_KQJ82897	H3,H3	ht	H3,H3 ht	Bdis
Bdis_KQJ86807	Bdis_KQK06658	+	+	967	H2B	H3	Bdis_KQJ86807,Bdis_KQK06658	H2B,H3	ht	H2B,H3 ht	Bdis
Bdis_KQJ95913	Bdis_KQJ95914	+	+	-8449	H3	H3	Bdis_KQJ95913,Bdis_KQJ95914	H3,H3	ht	H3,H3 ht	Bdis
Bdis_KQJ95914	Bdis_KQJ95915	+	+	-2557	H3	H3	Bdis_KQJ95914,Bdis_KQJ95915	H3,H3	ht	H3,H3 ht	Bdis
Bdis_KQK05678	Bdis_PNT71022	+	+	1278	H3	H3	Bdis_KQK05678,Bdis_PNT71022	H3,H3	ht	H3,H3 ht	Bdis
Bdis_KQK05861	Bdis_KQK05861	+	+	-6636	H4	H4	Bdis_KQK05861,Bdis_KQK05861	H4,H4	ht	H4,H4 ht	Bdis
Bdis_KQK05861	Bdis_PNT61710	-	-	-2074	H4	H4	Bdis_KQK05861,Bdis_PNT61710	H4,H4	ht	H4,H4 ht	Bdis
Bdis_KQK15862	Bdis_KQK15863	-	-	-3867	H2A	H2A	Bdis_KQK15862,Bdis_KQK15863	H2A,H2A	ht	H2A,H2A ht	Bdis
Bdis_KQK22303	Bdis_KQK22304	+	+	-3274	H2A	H2A	Bdis_KQK22303,Bdis_KQK22304	H2A,H2A	ht	H2A,H2A ht	Bdis
Bnat_JGI_V11_141571	Bnat_JGI_V11_42386	-	+	730	H2B	H3	Bnat_JGI_V11_141571,Bnat_JGI_V11_42386	H2B,H3	hh	H2B,H3 hh	Bnat
Bnat_JGI_V11_38173	Bnat_JGI_V11_46712	+	-	-483	H2A	H4	Bnat_JGI_V11_38173,Bnat_JGI_V11_46712	H2A,H4	hh	H2A,H4 hh	Bnat
Bnat_JGI_V11_38173	Bnat_JGI_V11_48254	+	-	-789	H2A	H4	Bnat_JGI_V11_38173,Bnat_JGI_V11_48254	H2A,H4	hh	H2A,H4 hh	Bnat
Cang_ORZ40169	Cang_ORZ40170	+	-	-600	H2B	H2A	Cang_ORZ40169,Cang_ORZ40170	H2A,H2B	hh	H2A,H2B hh	Cang
Cang_ORZ41062	Cang_ORZ41063	+	-	-789	H3	H4	Cang_ORZ41062,Cang_ORZ41063	H3,H4	hh	H3,H4 hh	Cang
Caulen_g6083.t1	Caulen_g6084.t1	+	-	-203	H2B	H2A	Caulen_g6083.t1,Caulen_g6084.t1	H2A,H2B	hh	H2A,H2B hh	Caulen
Caulen_g6227.t1	Caulen_g7319.t1	+	-	-263	H3	H4	Caulen_g6227.t1,Caulen_g7319.t1	H3,H4	hh	H3,H4 hh	Caulen
Caulen_g6227.t1	Caulen_g7322.t1	+	-	-273	H3	H4	Caulen_g6227.t1,Caulen_g7322.t1	H3,H4	hh	H3,H4 hh	Caulen
Caulen_g7257.t1	Caulen_g7257.t1	-	+	-10005	H3	H3	Caulen_g7257.t1,Caulen_g7257.t1	H3,H3	tt	H3,H3 tt	Caulen
Ccin_EAU82836	Ccin_EAU90217	+	-	-243	H3	H4	Ccin_EAU82836,Ccin_EAU90217	H3,H4	hh	H3,H4 hh	Ccin
Ccin_EAU89257	Ccin_EAU89258	+	-	-257	H2B	H2A	Ccin_EAU89257,Ccin_EAU89258	H2A,H2B	hh	H2A,H2B hh	Ccin
Ccin_EAU89413	Ccin_EAU89414	+	-	-264	H2A	H2B	Ccin_EAU89413,Ccin_EAU89414	H2A,H2B	hh	H2A,H2B hh	Ccin
Cfra_CFRG3582T1	Cfra_CFRG3583T1	-	+	653	H2AZ	H3	Cfra_CFRG3582T1,Cfra_CFRG3583T1	H2AZ,H3	hh	H2AZ,H3 hh	Cfra
Cfra_CFRG3583T1	Cfra_CFRG3584T1	-	+	-1177	H2B	H2AZ	Cfra_CFRG3583T1,Cfra_CFRG3584T1	H2AZ,H2B	tt	H2AZ,H2B tt	Cfra
Cfra_CFRG3583T1	Cfra_CFRG3585T1	+	-	1067	H4	H2AZ	Cfra_CFRG3583T1,Cfra_CFRG3585T1	H2AZ,H4	tt	H2AZ,H4 tt	Cfra
Cfra_CFRG3584T1	Cfra_CFRG3585T1	+	-	-579	H4	H2B	Cfra_CFRG3584T1,Cfra_CFRG3585T1	H2B,H4	hh	H2B,H4 hh	Cfra
Cfra_CFRG3585T1	Cfra_CFRG3671T1	-	+	609	H2B	H4	Cfra_CFRG3585T1,Cfra_CFRG3671T1	H2B,H4	hh	H2B,H4 hh	Cfra
Cfra_CFRG3585T1	Cfra_CFRG4822T1	+	-	-717	H2B	H4	Cfra_CFRG3585T1,Cfra_CFRG4822T1	H2B,H4	hh	H2B,H4 hh	Cfra
Cgig_EKC28009	Cgig_EKC28009	-	-	-119	H3	H3	Cgig_EKC28009,Cgig_EKC28009	H3,H3	ht	H3,H3 ht	Cgig
Cgig_EKC28009	Cgig_EKC28012	+	+	475	H2AZ	H3	Cgig_EKC28009,Cgig_EKC28012	H2AZ,H3	ht	H2AZ,H3 ht	Cgig
Cgig_EKC28009	Cgig_EKC28010	+	+	-685	H4	H3	Cgig_EKC28009,Cgig_EKC28010	H3,H4	ht	H3,H4 ht	Cgig
Cgig_EKC28009	Cgig_EKC28032	+	-	1307	H2B	H3	Cgig_EKC28009,Cgig_EKC28032	H2B,H3	tt	H2B,H3 tt	Cgig
Cgig_EKC28010	Cgig_EKC28011	-	+	-632	H2B	H4	Cgig_EKC28010,Cgig_EKC28011	H2B,H4	tt	H2B,H4 tt	Cgig
Cgig_EKC28010	Cgig_EKC28032	+	-	305	H2B	H4	Cgig_EKC28010,Cgig_EKC28032	H2B,H4	tt	H2B,H4 tt	Cgig
Cgig_EKC28010	Cgig_EKC28012	-	-	-811	H2AZ	H4	Cgig_EKC28010,Cgig_EKC28012	H2AZ,H4	ht	H2AZ,H4 ht	Cgig
Cgig_EKC28011	Cgig_EKC28012	+	-	-21	H2AZ	H2B	Cgig_EKC28011,Cgig_EKC28012	H2AZ,H2B	hh	H2AZ,H2B hh	Cgig
Cgig_EKC28012	Cgig_EKC28032	+	-	-202	H2B	H2AZ	Cgig_EKC28012,Cgig_EKC28032	H2AZ,H2B	hh	H2AZ,H2B hh	Cgig
Chabra_GBG82318	Chabra_GBG82319	+	-	-21772	H3	other_CENP	Chabra_GBG82318,Chabra_GBG82319	H3,other_CENP	hh	H3,other_CENP hh	Chabra
Chabra_GBG85942	Chabra_GBG85942	-	-	-85553	H3	H3	Chabra_GBG85942,Chabra_GBG85942	H3,H3	ht	H3,H3 ht	Chabra
Chocri_XP_005711872.1	Chocri_XP_005711873.1	-	+	565	H4	H3	Chocri_XP_005711872.1,Chocri_XP_005711873.1	H3,H4	hh	H3,H4 hh	Chocri
Chocri_XP_005715903.1	Chocri_XP_005715904.1	+	-	-496	H2A	H2B	Chocri_XP_005715903.1,Chocri_XP_005715904.1	H2A,H2B	hh	H2A,H2B hh	Chocri
Clim_evm13s167	Clim_evm20s1	+	-	-1320	H2B	H4	Clim_evm13s167,Clim_evm20s1	H2B,H4	hh	H2B,H4 hh	Clim
Cmer_CMN145CT	Cmer_CMN170CT	-	+	1484	H2A	H2B	Cmer_CMN145CT,Cmer_CMN170CT	H2A,H2B	hh	H2A,H2B hh	Cmer
Cmer_CMN166CT	Cmer_CMN170CT	-	+	-607	H2A	H4	Cmer_CMN166CT,Cmer_CMN170CT	H2A,H4	tt	H2A,H4 tt	Cmer
Cneo_AAW41758	Cneo_AAW41759	+	-	-380	H2B	H2A	Cneo_AAW41758,Cneo_AAW41759	H2A,H2B	hh	H2A,H2B hh	Cneo
Cneo_AAW41759	Cneo_AAW41760	+	+	-1562	H3	H2B	Cneo_AAW41759,Cneo_AAW41760	H2B,H3	ht	H2B,H3 ht	Cneo
Cocsub_XP_005643643.1	Cocsub_XP_005643644.1	+	-	-338	H2B	H2AZ	Cocsub_XP_005643643.1,Cocsub_XP_005643644.1	H2AZ,H2B	hh	H2AZ,H2B hh	Cocsub
Cocsub_XP_005643644.1	Cocsub_XP_005646408.1	+	-	-338	H2A	H2B	Cocsub_XP_005643644.1,Cocsub_XP_005646408.1	H2A,H2B	hh	H2A,H2B hh	Cocsub
Cocsub_XP_005643644.1	Cocsub_XP_005643645.1	+	-	1946	H4	H2B	Cocsub_XP_005643644.1,Cocsub_XP_005643645.1	H2B,H4	tt	H2B,H4 tt	Cocsub
Cocsub_XP_005643645.1	Cocsub_XP_005643646.1	+	-	-371	H3	H4	Cocsub_XP_005643645.1,Cocsub_XP_005643646.1	H3,H4	hh	H3,H4 hh	Cocsub
Coerev_PIA15958.1	Coerev_PIA15959.1	-	+	517	H3	H4	Coerev_PIA15958.1,Coerev_PIA15959.1	H3,H4	hh	H3,H4 hh	Coerev
Coka_g12254.t1	Coka_g12255.t1	+	-	-292	H2B	H2AZ	Coka_g12254.t1,Coka_g12255.t1	H2AZ,H2B	hh	H2AZ,H2B hh	Coka
Coka_g12254.t1	Coka_g12257.t1	-	+	-2080	H3	H2AZ	Coka_g12254.t1,Coka_g12257.t1	H2AZ,H3	tt	H2AZ,H3 tt	Coka
Coka_g12255.t1	Coka_g12416.t1	+	-	-292	H2AZ	H2B	Coka_g12255.t1,Coka_g12416.t1	H2AZ,H2B	hh	H2AZ,H2B hh	Coka
Coka_g12255.t1	Coka_g12422.t1	-	+	282	H2A	H2B	Coka_g12255.t1,Coka_g12422.t1	H2A,H2B	hh	H2A,H2B hh	Coka
Coka_g12255.t1	Coka_g13641.t1	-	+	262	H2A	H2B	Coka_g12255.t1,Coka_g13641.t1	H2A,H2B	hh	H2A,H2B hh	Coka
Coka_g12255.t1	Coka_g14698.t1	+	-	-242	H2A	H2B	Coka_g12255.t1,Coka_g14698.t1	H2A,H2B	hh	H2A,H2B hh	Coka
Coka_g12255.t1	Coka_g12257.t1	+	-	2280	H3	H2B	Coka_g12255.t1,Coka_g12257.t1	H2B,H3	tt	H2B,H3 tt	Coka
Coka_g12257.t1	Coka_g14698.t1	+	-	4008	H2A	H3	Coka_g12257.t1,Coka_g14698.t1	H2A,H3	tt	H2A,H3 tt	Coka
Coka_g12257.t1	Coka_g12259.t1	-	+	232	H4	H3	Coka_g12257.t1,Coka_g12259.t1	H3,H4	hh	H3,H4 hh	Coka
Coka_g12259.t1	Coka_g12416.t1	+	-	1148	H2AZ	H4	Coka_g12259.t1,Coka_g12416.t1	H2AZ,H4	tt	H2AZ,H4 tt	Coka
Coka_g12259.t1	Coka_g12260.t1	+	-	-212	H2A	H4	Coka_g12259.t1,Coka_g12260.t1	H2A,H4	hh	H2A,H4 hh	Coka
Cowc_KJE89241	Cowc_KJE90506	-	+	838	H3	H4	Cowc_KJE89241,Cowc_KJE90506	H3,H4	hh	H3,H4 hh	Cowc
Cowc_KJE90505	Cowc_KJE90506	+	-	-675	H3	H2A	Cowc_KJE90505,Cowc_KJE90506	H2A,H3	hh	H2A,H3 hh	Cowc
Cowc_KJE90508	Cowc_KJE91054	-	+	446	H2A	H2B	Cowc_KJE90508,Cowc_KJE91054	H2A,H2B	hh	H2A,H2B hh	Cowc
Crei_PNW70159	Crei_PNW70160	-	+	94	H4	H3	Crei_PNW70159,Crei_PNW70160	H3,H4	hh	H3,H4 hh	Crei
Crei_PNW70159	Crei_PNW74884	+	-	258	H2A	H3	Crei_PNW70159,Crei_PNW74884	H2A,H3	tt	H2A,H3 tt	Crei
Crei_PNW70159	Crei_PNW82161	-	+	-42	H2B	H3	Crei_PNW70159,Crei_PNW82161	H2B,H3	tt	H2B,H3 tt	Crei
Crei_PNW70159	Crei_PNW81930	-	+	-2024	H2A	H3	Crei_PNW70159,Crei_PNW81930	H2A,H3	tt	H2A,H3 tt	Crei
Crei_PNW70159	Crei_PNW70209	-	+	-174	H2B	H3	Crei_PNW70159,Crei_PNW70209	H2B,H3	tt	H2B,H3 tt	Crei
Crei_PNW70159	Crei_PNW74885	+	-	1371	H2B	H3	Crei_PNW70159,Crei_PNW74885	H2B,H3	tt	H2B,H3 tt	Crei
Crei_PNW70160	Crei_PNW74884	-	+	-14	H2A	H4	Crei_PNW70160,Crei_PNW74884	H2A,H4	tt	H2A,H4 tt	Crei
Crei_PNW70160	Crei_PNW70209	+	-	7	H2B	H4	Crei_PNW70160,Crei_PNW70209	H2B,H4	tt	H2B,H4 tt	Crei
Crei_PNW70160	Crei_PNW74917	-	+	-1498	H2B	H4	Crei_PNW70160,Crei_PNW74917	H2B,H4	tt	H2B,H4 tt	Crei
Crei_PNW70160	Crei_PNW81893	-	+	122	H3	H4	Crei_PNW70160,Crei_PNW81893	H3,H4	hh	H3,H4 hh	Crei
Crei_PNW70160	Crei_PNW70180	-	+	-400	H2B	H4	Crei_PNW70160,Crei_PNW70180	H2B,H4	tt	H2B,H4 tt	Crei
Crei_PNW70160	Crei_PNW74239	-	+	-214	H2A	H4	Crei_PNW70160,Crei_PNW74239	H2A,H4	tt	H2A,H4 tt	Crei
Crei_PNW70160	Crei_PNW70181	-	+	-34	H2AZ	H4	Crei_PNW70160,Crei_PNW70181	H2AZ,H4	tt	H2AZ,H4 tt	Crei
Crei_PNW70160	Crei_PNW70169	+	-	54	H2B	H4	Crei_PNW70160,Crei_PNW70169	H2B,H4	tt	H2B,H4 tt	Crei
Crei_PNW70168	Crei_PNW70169	+	-	-222	H2B	H2A	Crei_PNW70168,Crei_PNW70169	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW70180	Crei_PNW70181	+	-	-222	H2AZ	H2B	Crei_PNW70180,Crei_PNW70181	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW70209	+	-	-102	H2B	H2AZ	Crei_PNW70181,Crei_PNW70209	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW70244	+	-	-192	H2B	H2AZ	Crei_PNW70181,Crei_PNW70244	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW82161	+	-	-172	H2B	H2AZ	Crei_PNW70181,Crei_PNW82161	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW70310	+	-	-182	H2B	H2AZ	Crei_PNW70181,Crei_PNW70310	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW70299	-	+	202	H2B	H2AZ	Crei_PNW70181,Crei_PNW70299	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW73725	-	+	132	H2B	H2AZ	Crei_PNW70181,Crei_PNW73725	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70181	Crei_PNW70284	+	-	-202	H2B	H2AZ	Crei_PNW70181,Crei_PNW70284	H2AZ,H2B	hh	H2AZ,H2B hh	Crei
Crei_PNW70209	Crei_PNW74239	-	+	122	H2A	H2B	Crei_PNW70209,Crei_PNW74239	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW70209	Crei_PNW74884	+	-	-132	H2A	H2B	Crei_PNW70209,Crei_PNW74884	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW70209	Crei_PNW81930	-	+	132	H2A	H2B	Crei_PNW70209,Crei_PNW81930	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW71302	Crei_PNW71303	+	-	-102	H4	H3	Crei_PNW71302,Crei_PNW71303	H3,H4	hh	H3,H4 hh	Crei
Crei_PNW73723	Crei_PNW73725	-	+	-4	H2B	H4	Crei_PNW73723,Crei_PNW73725	H2B,H4	tt	H2B,H4 tt	Crei
Crei_PNW73725	Crei_PNW74239	-	+	122	H2A	H2B	Crei_PNW73725,Crei_PNW74239	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW74238	Crei_PNW74239	+	-	-102	H2A	H2B	Crei_PNW74238,Crei_PNW74239	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW74239	Crei_PNW81893	-	+	-66	H3	H2A	Crei_PNW74239,Crei_PNW81893	H2A,H3	tt	H2A,H3 tt	Crei
Crei_PNW74239	Crei_PNW74250	+	-	-122	H2B	H2A	Crei_PNW74239,Crei_PNW74250	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW74884	Crei_PNW74917	-	+	162	H2B	H2A	Crei_PNW74884,Crei_PNW74917	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW74884	Crei_PNW82042	+	-	-112	H2B	H2A	Crei_PNW74884,Crei_PNW82042	H2A,H2B	hh	H2A,H2B hh	Crei
Crei_PNW74884	Crei_PNW74885	-	+	192	H2B	H2A	Crei_PNW74884,Crei_PNW74885	H2A,H2B	hh	H2A,H2B hh	Crei
Cscu_XP_023213286.1	Cscu_XP_023213286.1	-	-	-4081	H4	H4	Cscu_XP_023213286.1,Cscu_XP_023213286.1	H4,H4	ht	H4,H4 ht	Cscu
Cscu_XP_023213286.1	Cscu_XP_023234367.1	-	-	163	H2B	H4	Cscu_XP_023213286.1,Cscu_XP_023234367.1	H2B,H4	ht	H2B,H4 ht	Cscu
Cscu_XP_023227341.1	Cscu_XP_023241764.1	-	-	2665	H2AZ	H2A	Cscu_XP_023227341.1,Cscu_XP_023241764.1	H2A,H2AZ	ht	H2A,H2AZ ht	Cscu
Cscu_XP_023234590.1	Cscu_XP_023234590.1	-	-	19078	H2A	H2A	Cscu_XP_023234590.1,Cscu_XP_023234590.1	H2A,H2A	ht	H2A,H2A ht	Cscu
Cscu_XP_023234590.1	Cscu_XP_023242603.1	-	+	-22892	H2B	H2A	Cscu_XP_023234590.1,Cscu_XP_023242603.1	H2A,H2B	tt	H2A,H2B tt	Cscu
Cscu_XP_023234590.1	Cscu_XP_023244702.1	-	-	-530	H2B	H2A	Cscu_XP_023234590.1,Cscu_XP_023244702.1	H2A,H2B	ht	H2A,H2B ht	Cscu
Cscu_XP_023234590.1	Cscu_XP_023235533.1	-	+	-18686	H2B	H2A	Cscu_XP_023234590.1,Cscu_XP_023235533.1	H2A,H2B	tt	H2A,H2B tt	Cscu
Ctel_CapteP103051	Ctel_CapteP198869	+	-	-1298	H4	H3	Ctel_CapteP103051,Ctel_CapteP198869	H3,H4	hh	H3,H4 hh	Ctel
Ctel_CapteP103051	Ctel_CapteP20749	+	+	2714	H4	H3	Ctel_CapteP103051,Ctel_CapteP20749	H3,H4	ht	H3,H4 ht	Ctel
Ctel_CapteP103051	Ctel_CapteP125227	-	-	-1353	H2A	H3	Ctel_CapteP103051,Ctel_CapteP125227	H2A,H3	ht	H2A,H3 ht	Ctel
Ctel_CapteP103051	Ctel_CapteP111354	+	+	-1311	H2A	H3	Ctel_CapteP103051,Ctel_CapteP111354	H2A,H3	ht	H2A,H3 ht	Ctel
