Caulen_g1.t1	Caulen_1_1
Caulen_g244.t1	Caulen_1_244
Caulen_g245.t1	Caulen_1_245
Caulen_g246.t1	Caulen_1_246
Caulen_g247.t1	Caulen_1_247
Caulen_g248.t1	Caulen_1_248
Caulen_g249.t1	Caulen_1_249
Caulen_g250.t1	Caulen_1_250
Caulen_g251.t1	Caulen_1_251
Caulen_g252.t1	Caulen_1_252
Caulen_g253.t1	Caulen_1_253
Caulen_g254.t1	Caulen_1_254
Caulen_g255.t1	Caulen_1_255
Caulen_g256.t1	Caulen_1_256
Caulen_g257.t1	Caulen_1_257
Caulen_g258.t1	Caulen_1_258
Caulen_g259.t1	Caulen_1_259
Caulen_g260.t1	Caulen_1_260
Caulen_g261.t1	Caulen_1_261
Caulen_g262.t1	Caulen_1_262
Caulen_g263.t1	Caulen_1_263
Caulen_g264.t1	Caulen_1_264
Caulen_g265.t1	Caulen_1_265
Caulen_g266.t1	Caulen_1_266
Caulen_g267.t1	Caulen_1_267
Caulen_g268.t1	Caulen_1_268
Caulen_g269.t1	Caulen_1_269
Caulen_g270.t1	Caulen_1_270
Caulen_g271.t1	Caulen_1_271
Caulen_g272.t1	Caulen_1_272
Caulen_g273.t1	Caulen_1_273
Caulen_g274.t1	Caulen_1_274
Caulen_g275.t1	Caulen_1_275
Caulen_g276.t1	Caulen_1_276
Caulen_g277.t1	Caulen_1_277
Caulen_g278.t1	Caulen_1_278
Caulen_g279.t1	Caulen_1_279
Caulen_g280.t1	Caulen_1_280
Caulen_g281.t1	Caulen_1_281
Caulen_g282.t1	Caulen_1_282
Caulen_g283.t1	Caulen_1_283
Caulen_g284.t1	Caulen_1_284
Caulen_g285.t1	Caulen_1_285
Caulen_g286.t1	Caulen_1_286
Caulen_g287.t1	Caulen_1_287
Caulen_g288.t1	Caulen_1_288
Caulen_g289.t1	Caulen_1_289
Caulen_g290.t1	Caulen_1_290
Caulen_g291.t1	Caulen_1_291
Caulen_g292.t1	Caulen_1_292
Caulen_g293.t1	Caulen_1_293
Caulen_g294.t1	Caulen_1_294
Caulen_g295.t1	Caulen_1_295
Caulen_g296.t1	Caulen_1_296
Caulen_g297.t1	Caulen_1_297
Caulen_g298.t1	Caulen_1_298
Caulen_g299.t1	Caulen_1_299
Caulen_g300.t1	Caulen_1_300
Caulen_g301.t1	Caulen_1_301
Caulen_g302.t1	Caulen_1_302
Caulen_g303.t1	Caulen_1_303
Caulen_g304.t1	Caulen_1_304
Caulen_g305.t1	Caulen_1_305
Caulen_g306.t1	Caulen_1_306
Caulen_g307.t1	Caulen_1_307
Caulen_g308.t1	Caulen_1_308
Caulen_g309.t1	Caulen_1_309
Caulen_g310.t1	Caulen_1_310
Caulen_g311.t1	Caulen_1_311
Caulen_g312.t1	Caulen_1_312
Caulen_g313.t1	Caulen_1_313
Caulen_g314.t1	Caulen_1_314
Caulen_g315.t1	Caulen_1_315
Caulen_g316.t1	Caulen_1_316
Caulen_g317.t1	Caulen_1_317
Caulen_g318.t1	Caulen_1_318
Caulen_g319.t1	Caulen_1_319
Caulen_g320.t1	Caulen_1_320
Caulen_g321.t1	Caulen_1_321
Caulen_g322.t1	Caulen_1_322
Caulen_g323.t1	Caulen_1_323
Caulen_g324.t1	Caulen_1_324
Caulen_g325.t1	Caulen_1_325
Caulen_g326.t1	Caulen_1_326
Caulen_g327.t1	Caulen_1_327
Caulen_g328.t1	Caulen_1_328
Caulen_g329.t1	Caulen_1_329
Caulen_g330.t1	Caulen_1_330
Caulen_g331.t1	Caulen_1_331
Caulen_g332.t1	Caulen_1_332
Caulen_g333.t1	Caulen_1_333
Caulen_g334.t1	Caulen_1_334
Caulen_g335.t1	Caulen_1_335
Caulen_g336.t1	Caulen_1_336
Caulen_g337.t1	Caulen_1_337
Caulen_g338.t1	Caulen_1_338
Caulen_g339.t1	Caulen_1_339
Caulen_g340.t1	Caulen_1_340
Caulen_g341.t1	Caulen_1_341
Caulen_g342.t1	Caulen_1_342
Caulen_g343.t1	Caulen_1_343
Caulen_g344.t1	Caulen_1_344
Caulen_g345.t1	Caulen_1_345
Caulen_g346.t1	Caulen_1_346
Caulen_g347.t1	Caulen_1_347
Caulen_g348.t1	Caulen_1_348
Caulen_g349.t1	Caulen_1_349
Caulen_g350.t1	Caulen_1_350
Caulen_g351.t1	Caulen_1_351
Caulen_g352.t1	Caulen_1_352
Caulen_g353.t1	Caulen_1_353
Caulen_g354.t1	Caulen_1_354
Caulen_g355.t1	Caulen_1_355
Caulen_g356.t1	Caulen_1_356
Caulen_g357.t1	Caulen_1_357
Caulen_g358.t1	Caulen_1_358
Caulen_g359.t1	Caulen_1_359
Caulen_g360.t1	Caulen_1_360
Caulen_g361.t1	Caulen_1_361
Caulen_g362.t1	Caulen_1_362
Caulen_g363.t1	Caulen_1_363
Caulen_g364.t1	Caulen_1_364
Caulen_g365.t1	Caulen_1_365
Caulen_g366.t1	Caulen_1_366
Caulen_g367.t1	Caulen_1_367
Caulen_g368.t1	Caulen_1_368
Caulen_g369.t1	Caulen_1_369
Caulen_g370.t1	Caulen_1_370
Caulen_g371.t1	Caulen_1_371
Caulen_g372.t1	Caulen_1_372
Caulen_g373.t2	Caulen_1_373
Caulen_g374.t1	Caulen_1_374
Caulen_g375.t1	Caulen_1_375
Caulen_g376.t1	Caulen_1_376
Caulen_g377.t1	Caulen_1_377
Caulen_g378.t1	Caulen_1_378
Caulen_g379.t1	Caulen_1_379
Caulen_g380.t1	Caulen_1_380
Caulen_g381.t1	Caulen_1_381
Caulen_g382.t1	Caulen_1_382
Caulen_g383.t1	Caulen_1_383
Caulen_g384.t1	Caulen_1_384
Caulen_g385.t1	Caulen_1_385
Caulen_g386.t1	Caulen_1_386
Caulen_g387.t1	Caulen_1_387
Caulen_g388.t1	Caulen_1_388
Caulen_g389.t1	Caulen_1_389
Caulen_g390.t1	Caulen_1_390
Caulen_g391.t1	Caulen_1_391
Caulen_g392.t1	Caulen_1_392
Caulen_g393.t1	Caulen_1_393
Caulen_g394.t1	Caulen_1_394
Caulen_g395.t1	Caulen_1_395
Caulen_g396.t1	Caulen_1_396
Caulen_g397.t1	Caulen_1_397
Caulen_g398.t1	Caulen_1_398
Caulen_g399.t1	Caulen_1_399
Caulen_g400.t1	Caulen_1_400
Caulen_g401.t1	Caulen_1_401
Caulen_g402.t1	Caulen_1_402
Caulen_g403.t1	Caulen_1_403
Caulen_g404.t1	Caulen_1_404
Caulen_g405.t1	Caulen_1_405
Caulen_g406.t1	Caulen_1_406
Caulen_g407.t1	Caulen_1_407
Caulen_g408.t1	Caulen_1_408
Caulen_g409.t1	Caulen_1_409
Caulen_g410.t1	Caulen_1_410
Caulen_g411.t1	Caulen_1_411
Caulen_g412.t1	Caulen_1_412
Caulen_g413.t1	Caulen_1_413
Caulen_g414.t1	Caulen_1_414
Caulen_g415.t1	Caulen_1_415
Caulen_g416.t1	Caulen_1_416
Caulen_g417.t1	Caulen_1_417
Caulen_g418.t1	Caulen_1_418
Caulen_g419.t1	Caulen_1_419
Caulen_g420.t1	Caulen_1_420
Caulen_g421.t1	Caulen_1_421
Caulen_g422.t1	Caulen_1_422
Caulen_g423.t1	Caulen_1_423
Caulen_g424.t1	Caulen_1_424
Caulen_g425.t1	Caulen_1_425
Caulen_g426.t1	Caulen_1_426
Caulen_g427.t1	Caulen_1_427
Caulen_g428.t1	Caulen_1_428
Caulen_g429.t1	Caulen_1_429
Caulen_g430.t1	Caulen_1_430
Caulen_g431.t1	Caulen_1_431
Caulen_g432.t1	Caulen_1_432
Caulen_g433.t1	Caulen_1_433
Caulen_g434.t1	Caulen_1_434
Caulen_g435.t1	Caulen_1_435
Caulen_g436.t1	Caulen_1_436
Caulen_g437.t1	Caulen_1_437
Caulen_g438.t1	Caulen_1_438
Caulen_g439.t1	Caulen_1_439
Caulen_g3722.t1	Caulen_2_1
Caulen_g3723.t1	Caulen_2_2
Caulen_g3724.t1	Caulen_2_3
Caulen_g3725.t1	Caulen_2_4
Caulen_g3726.t1	Caulen_2_5
Caulen_g3727.t1	Caulen_2_6
Caulen_g3728.t1	Caulen_2_7
Caulen_g3729.t1	Caulen_2_8
Caulen_g3730.t1	Caulen_2_9
Caulen_g3731.t1	Caulen_2_10
Caulen_g3732.t1	Caulen_2_11
Caulen_g3733.t1	Caulen_2_12
Caulen_g3734.t1	Caulen_2_13
Caulen_g3735.t1	Caulen_2_14
Caulen_g3736.t1	Caulen_2_15
Caulen_g3737.t2	Caulen_2_16
Caulen_g3738.t1	Caulen_2_17
Caulen_g3739.t1	Caulen_2_18
Caulen_g3740.t1	Caulen_2_19
Caulen_g3741.t1	Caulen_2_20
Caulen_g3742.t2	Caulen_2_21
Caulen_g3743.t1	Caulen_2_22
Caulen_g3744.t1	Caulen_2_23
Caulen_g3745.t1	Caulen_2_24
Caulen_g3746.t1	Caulen_2_25
Caulen_g3747.t1	Caulen_2_26
Caulen_g3748.t1	Caulen_2_27
Caulen_g3749.t1	Caulen_2_28
Caulen_g3750.t1	Caulen_2_29
Caulen_g3751.t1	Caulen_2_30
Caulen_g3752.t1	Caulen_2_31
Caulen_g3753.t2	Caulen_2_32
Caulen_g3754.t1	Caulen_2_33
Caulen_g3755.t1	Caulen_2_34
Caulen_g3756.t1	Caulen_2_35
Caulen_g3757.t1	Caulen_2_36
Caulen_g3758.t1	Caulen_2_37
Caulen_g3759.t1	Caulen_2_38
Caulen_g3760.t1	Caulen_2_39
Caulen_g3761.t1	Caulen_2_40
Caulen_g3762.t1	Caulen_2_41
Caulen_g3763.t1	Caulen_2_42
Caulen_g3764.t1	Caulen_2_43
Caulen_g3765.t1	Caulen_2_44
Caulen_g3766.t1	Caulen_2_45
Caulen_g3767.t1	Caulen_2_46
Caulen_g3768.t1	Caulen_2_47
Caulen_g3769.t1	Caulen_2_48
Caulen_g3770.t2	Caulen_2_49
Caulen_g3771.t1	Caulen_2_50
Caulen_g3772.t1	Caulen_2_51
Caulen_g3773.t1	Caulen_2_52
Caulen_g3774.t1	Caulen_2_53
Caulen_g3775.t1	Caulen_2_54
Caulen_g3776.t1	Caulen_2_55
Caulen_g3777.t1	Caulen_2_56
Caulen_g3778.t1	Caulen_2_57
Caulen_g3779.t1	Caulen_2_58
Caulen_g3780.t1	Caulen_2_59
Caulen_g3781.t1	Caulen_2_60
Caulen_g3782.t1	Caulen_2_61
Caulen_g3783.t1	Caulen_2_62
Caulen_g3784.t1	Caulen_2_63
Caulen_g3785.t1	Caulen_2_64
Caulen_g3786.t1	Caulen_2_65
Caulen_g3787.t1	Caulen_2_66
Caulen_g3788.t1	Caulen_2_67
Caulen_g3789.t1	Caulen_2_68
Caulen_g3790.t1	Caulen_2_69
Caulen_g3791.t1	Caulen_2_70
Caulen_g3792.t1	Caulen_2_71
Caulen_g3793.t1	Caulen_2_72
Caulen_g3794.t1	Caulen_2_73
Caulen_g3795.t1	Caulen_2_74
Caulen_g3796.t1	Caulen_2_75
Caulen_g3797.t1	Caulen_2_76
Caulen_g3798.t1	Caulen_2_77
Caulen_g3799.t1	Caulen_2_78
Caulen_g3800.t1	Caulen_2_79
Caulen_g3801.t1	Caulen_2_80
Caulen_g3802.t1	Caulen_2_81
Caulen_g3803.t1	Caulen_2_82
Caulen_g3804.t1	Caulen_2_83
Caulen_g3805.t1	Caulen_2_84
Caulen_g3806.t1	Caulen_2_85
Caulen_g3807.t1	Caulen_2_86
Caulen_g3808.t1	Caulen_2_87
Caulen_g3809.t1	Caulen_2_88
Caulen_g3810.t1	Caulen_2_89
Caulen_g3811.t1	Caulen_2_90
Caulen_g3812.t1	Caulen_2_91
Caulen_g3813.t1	Caulen_2_92
Caulen_g3814.t1	Caulen_2_93
Caulen_g3815.t1	Caulen_2_94
Caulen_g3816.t1	Caulen_2_95
Caulen_g3817.t1	Caulen_2_96
Caulen_g3818.t1	Caulen_2_97
Caulen_g3819.t1	Caulen_2_98
Caulen_g3820.t1	Caulen_2_99
Caulen_g3821.t1	Caulen_2_100
Caulen_g3822.t1	Caulen_2_101
Caulen_g3823.t2	Caulen_2_102
Caulen_g3824.t1	Caulen_2_103
Caulen_g3825.t1	Caulen_2_104
Caulen_g3826.t1	Caulen_2_105
Caulen_g3827.t1	Caulen_2_106
Caulen_g3828.t1	Caulen_2_107
Caulen_g3829.t1	Caulen_2_108
Caulen_g3830.t1	Caulen_2_109
Caulen_g3831.t1	Caulen_2_110
Caulen_g3832.t1	Caulen_2_111
Caulen_g3833.t1	Caulen_2_112
Caulen_g3834.t1	Caulen_2_113
Caulen_g3835.t1	Caulen_2_114
Caulen_g3836.t1	Caulen_2_115
Caulen_g3837.t1	Caulen_2_116
Caulen_g3838.t1	Caulen_2_117
Caulen_g3839.t1	Caulen_2_118
Caulen_g3840.t1	Caulen_2_119
Caulen_g3841.t1	Caulen_2_120
Caulen_g3842.t1	Caulen_2_121
Caulen_g3843.t1	Caulen_2_122
Caulen_g3844.t1	Caulen_2_123
Caulen_g3845.t1	Caulen_2_124
Caulen_g3846.t1	Caulen_2_125
Caulen_g3847.t1	Caulen_2_126
Caulen_g3848.t1	Caulen_2_127
Caulen_g3849.t1	Caulen_2_128
Caulen_g3850.t1	Caulen_2_129
Caulen_g3851.t1	Caulen_2_130
Caulen_g3852.t1	Caulen_2_131
Caulen_g3853.t1	Caulen_2_132
Caulen_g3854.t1	Caulen_2_133
Caulen_g3855.t1	Caulen_2_134
Caulen_g3856.t1	Caulen_2_135
Caulen_g3857.t1	Caulen_2_136
Caulen_g3858.t1	Caulen_2_137
Caulen_g3859.t1	Caulen_2_138
Caulen_g3860.t1	Caulen_2_139
Caulen_g3861.t1	Caulen_2_140
Caulen_g3862.t1	Caulen_2_141
Caulen_g3863.t1	Caulen_2_142
Caulen_g3864.t1	Caulen_2_143
Caulen_g3865.t1	Caulen_2_144
Caulen_g3866.t1	Caulen_2_145
Caulen_g3867.t1	Caulen_2_146
Caulen_g3868.t1	Caulen_2_147
Caulen_g3869.t1	Caulen_2_148
Caulen_g3870.t1	Caulen_2_149
Caulen_g3871.t1	Caulen_2_150
Caulen_g3872.t1	Caulen_2_151
Caulen_g3873.t1	Caulen_2_152
Caulen_g3874.t1	Caulen_2_153
Caulen_g3875.t1	Caulen_2_154
Caulen_g3876.t1	Caulen_2_155
Caulen_g3877.t1	Caulen_2_156
Caulen_g3878.t1	Caulen_2_157
Caulen_g3879.t1	Caulen_2_158
Caulen_g3880.t1	Caulen_2_159
Caulen_g3881.t1	Caulen_2_160
Caulen_g3882.t1	Caulen_2_161
Caulen_g3883.t1	Caulen_2_162
Caulen_g3884.t1	Caulen_2_163
Caulen_g3885.t1	Caulen_2_164
Caulen_g3886.t1	Caulen_2_165
Caulen_g3887.t1	Caulen_2_166
Caulen_g3888.t1	Caulen_2_167
Caulen_g3889.t1	Caulen_2_168
Caulen_g3890.t1	Caulen_2_169
Caulen_g3891.t1	Caulen_2_170
Caulen_g3892.t1	Caulen_2_171
Caulen_g3893.t1	Caulen_2_172
Caulen_g3894.t1	Caulen_2_173
Caulen_g3895.t1	Caulen_2_174
Caulen_g3896.t1	Caulen_2_175
Caulen_g3897.t2	Caulen_2_176
Caulen_g3898.t1	Caulen_2_177
Caulen_g3899.t1	Caulen_2_178
Caulen_g3900.t1	Caulen_2_179
Caulen_g3901.t1	Caulen_2_180
Caulen_g3902.t1	Caulen_2_181
Caulen_g3903.t1	Caulen_2_182
Caulen_g3904.t1	Caulen_2_183
Caulen_g3905.t2	Caulen_2_184
Caulen_g3906.t1	Caulen_2_185
Caulen_g3907.t1	Caulen_2_186
Caulen_g3908.t1	Caulen_2_187
Caulen_g3909.t1	Caulen_2_188
Caulen_g3910.t1	Caulen_2_189
Caulen_g3911.t1	Caulen_2_190
Caulen_g3912.t1	Caulen_2_191
Caulen_g3913.t1	Caulen_2_192
Caulen_g3914.t1	Caulen_2_193
Caulen_g3915.t1	Caulen_2_194
Caulen_g3916.t2	Caulen_2_195
Caulen_g3917.t1	Caulen_2_196
Caulen_g3918.t1	Caulen_2_197
Caulen_g3919.t1	Caulen_2_198
Caulen_g3920.t1	Caulen_2_199
Caulen_g3921.t1	Caulen_2_200
Caulen_g3922.t1	Caulen_2_201
Caulen_g3923.t1	Caulen_2_202
Caulen_g3924.t1	Caulen_2_203
Caulen_g3925.t1	Caulen_2_204
Caulen_g3926.t1	Caulen_2_205
Caulen_g3927.t1	Caulen_2_206
Caulen_g3928.t1	Caulen_2_207
Caulen_g3929.t1	Caulen_2_208
Caulen_g3930.t1	Caulen_2_209
Caulen_g3931.t1	Caulen_2_210
Caulen_g3932.t1	Caulen_2_211
Caulen_g3933.t1	Caulen_2_212
Caulen_g3934.t1	Caulen_2_213
Caulen_g3935.t1	Caulen_2_214
Caulen_g3936.t1	Caulen_2_215
Caulen_g3937.t1	Caulen_2_216
Caulen_g3938.t1	Caulen_2_217
Caulen_g3939.t1	Caulen_2_218
Caulen_g3940.t1	Caulen_2_219
Caulen_g3941.t1	Caulen_2_220
Caulen_g3942.t1	Caulen_2_221
Caulen_g3943.t1	Caulen_2_222
Caulen_g3944.t1	Caulen_2_223
Caulen_g3945.t1	Caulen_2_224
Caulen_g3946.t1	Caulen_2_225
Caulen_g3947.t1	Caulen_2_226
Caulen_g3948.t1	Caulen_2_227
Caulen_g3949.t1	Caulen_2_228
Caulen_g3950.t1	Caulen_2_229
Caulen_g3951.t1	Caulen_2_230
Caulen_g3952.t1	Caulen_2_231
Caulen_g3953.t1	Caulen_2_232
Caulen_g3954.t1	Caulen_2_233
Caulen_g3955.t1	Caulen_2_234
Caulen_g3956.t1	Caulen_2_235
Caulen_g3957.t1	Caulen_2_236
Caulen_g3958.t1	Caulen_2_237
Caulen_g3959.t1	Caulen_2_238
Caulen_g3960.t1	Caulen_2_239
Caulen_g3961.t1	Caulen_2_240
Caulen_g3962.t1	Caulen_2_241
Caulen_g3963.t1	Caulen_2_242
Caulen_g3964.t1	Caulen_2_243
Caulen_g3965.t1	Caulen_2_244
Caulen_g3966.t1	Caulen_2_245
Caulen_g3967.t1	Caulen_2_246
Caulen_g3968.t1	Caulen_2_247
