Adig_gene-ND5	Adig_1_1
Adig_XM_015903294.1	Adig_2_39
Adig_XM_015911794.1	Adig_2_40
Adig_XM_015912821.1	Adig_2_41
Adig_XM_015903390.1	Adig_2_42
Adig_XM_015903486.1	Adig_2_43
Adig_XM_015903586.1	Adig_2_44
Adig_XM_015913858.1	Adig_2_45
Adig_XM_015914865.1	Adig_2_46
Adig_XM_015915890.1	Adig_2_47
Adig_XM_015904312.1	Adig_2_48
Adig_XM_015903753.1	Adig_2_49
Adig_XM_015904219.1	Adig_2_50
Adig_XM_015917899.1	Adig_2_51
Adig_XM_015903979.1	Adig_2_52
Adig_XM_015904693.1	Adig_2_53
Adig_XM_015905022.1	Adig_2_54
Adig_XM_015904936.1	Adig_2_55
Adig_XM_015918880.1	Adig_2_56
Adig_XM_015905265.1	Adig_2_57
Adig_XM_015905622.1	Adig_2_58
Adig_XM_015905891.1	Adig_2_59
Adig_XM_015905364.1	Adig_2_60
Adig_XM_015905725.1	Adig_2_61
Adig_XM_015919859.1	Adig_2_62
Adig_XM_015905459.1	Adig_2_63
Adig_XM_015906071.1	Adig_2_64
Adig_XM_015906163.1	Adig_2_65
Adig_XM_015920916.1	Adig_2_66
Adig_XM_015906376.1	Adig_2_67
Adig_XM_015906275.1	Adig_2_68
Adig_XM_015906483.1	Adig_2_69
Adig_XM_015921951.1	Adig_2_70
Adig_XM_015906634.1	Adig_2_71
Adig_XM_015922923.1	Adig_2_72
Adig_XM_015906788.1	Adig_2_73
Adig_XM_015923898.1	Adig_2_74
Adig_XM_015906889.1	Adig_2_75
Adig_XM_015907146.1	Adig_2_76
Adig_XM_015907420.1	Adig_2_77
Adig_XM_015907325.1	Adig_2_78
Adig_XM_015924854.1	Adig_2_79
Adig_XM_015907612.1	Adig_2_80
Adig_XM_015907985.1	Adig_2_81
Adig_XM_015908154.1	Adig_2_82
Adig_XM_015907895.1	Adig_2_83
Adig_XM_015891942.1	Adig_2_84
Adig_XM_015907786.1	Adig_2_85
Adig_XM_015908248.1	Adig_2_86
Adig_XM_015908452.1	Adig_2_87
Adig_XM_015908357.1	Adig_2_88
Adig_XM_015908555.1	Adig_2_89
Adig_XM_015908705.1	Adig_2_90
Adig_XM_015892917.1	Adig_2_91
Adig_XM_015893883.1	Adig_2_92
Adig_XM_015908869.1	Adig_2_93
Adig_XM_015909071.1	Adig_2_94
Adig_XM_015894787.1	Adig_2_95
Adig_XM_015909238.1	Adig_2_96
Adig_XM_015895496.1	Adig_2_97
Adig_XM_015909339.1	Adig_2_98
Adig_XM_015910092.1	Adig_2_99
Adig_XM_015909652.1	Adig_2_100
Adig_XM_015909999.1	Adig_2_101
Adig_XM_015909547.1	Adig_2_102
Adig_XM_015909835.1	Adig_2_103
Adig_XM_015909440.1	Adig_2_104
Adig_XM_015910268.1	Adig_2_105
Adig_XM_015895591.1	Adig_2_106
Adig_XM_015910375.1	Adig_2_107
Adig_XM_015910471.1	Adig_2_108
Adig_XM_015895702.1	Adig_2_109
Adig_XM_015895805.1	Adig_2_110
Adig_XM_015910569.1	Adig_2_111
Adig_XM_015910670.1	Adig_2_112
Adig_XM_015895908.1	Adig_2_113
Adig_XM_015896004.1	Adig_2_114
Adig_XM_015896115.1	Adig_2_115
Adig_XM_015896220.1	Adig_2_116
Adig_XM_015910768.1	Adig_2_117
Adig_XM_015896325.1	Adig_2_118
Adig_XM_015896430.1	Adig_2_119
Adig_XM_015896540.1	Adig_2_120
Adig_XM_015911036.1	Adig_2_121
Adig_XM_015896652.1	Adig_2_122
Adig_XM_015896761.1	Adig_2_123
Adig_XM_015911142.1	Adig_2_124
Adig_XM_015911349.1	Adig_2_125
Adig_XM_015896868.1	Adig_2_126
Adig_XM_015911241.1	Adig_2_127
Adig_XM_015896966.1	Adig_2_128
Adig_XM_015897072.1	Adig_2_129
Adig_XM_015911445.1	Adig_2_130
Adig_XM_015911795.1	Adig_2_131
Adig_XM_015911688.1	Adig_2_132
Adig_XM_015897178.1	Adig_2_133
Adig_XM_015911896.1	Adig_2_134
Adig_XM_015912102.1	Adig_2_135
Adig_XM_015897381.1	Adig_2_136
Adig_XM_015912708.1	Adig_2_137
Adig_XM_015912878.1	Adig_2_138
Adig_XM_015897485.1	Adig_2_139
Adig_XM_015913049.1	Adig_2_140
Adig_XM_015913161.1	Adig_2_141
Adig_XM_015897577.1	Adig_2_142
Adig_XM_015913259.1	Adig_2_143
Adig_XM_015913369.1	Adig_2_144
Adig_XM_015913755.1	Adig_2_145
Adig_XM_015897679.1	Adig_2_146
Adig_XM_015913556.1	Adig_2_147
Adig_XM_015913859.1	Adig_2_148
Adig_XM_015914090.1	Adig_2_149
Adig_XM_015897781.1	Adig_2_150
Adig_XM_015914192.1	Adig_2_151
Adig_XM_015914291.1	Adig_2_152
Adig_XM_015914384.1	Adig_2_153
Adig_XM_015899947.1	Adig_2_154
Adig_XM_015914719.1	Adig_2_155
Adig_XM_015914628.1	Adig_2_156
Adig_XM_015914827.1	Adig_2_157
Adig_XM_015897884.1	Adig_2_158
Adig_XM_015915029.1	Adig_2_159
Adig_XM_015914921.1	Adig_2_160
Adig_XM_015897989.1	Adig_2_161
Adig_XM_015898102.1	Adig_2_162
Adig_XM_015898209.1	Adig_2_163
Adig_XM_015915336.1	Adig_2_164
Adig_XM_015915235.1	Adig_2_165
Adig_XM_015915446.1	Adig_2_166
Adig_XM_015915619.1	Adig_2_167
Adig_XM_015915816.1	Adig_2_168
Adig_XM_015916021.1	Adig_2_169
Adig_XM_015898315.1	Adig_2_170
Adig_XM_015915734.1	Adig_2_171
Adig_XM_015916268.1	Adig_2_172
Adig_XM_015916670.1	Adig_2_173
Adig_XM_015916505.1	Adig_2_174
Adig_XM_015916899.1	Adig_2_175
Adig_XM_015917063.1	Adig_2_176
Adig_XM_015917429.1	Adig_2_177
Adig_XM_015917540.1	Adig_2_178
Adig_XM_015917808.1	Adig_2_179
Adig_XM_015917636.1	Adig_2_180
Adig_XM_015917900.1	Adig_2_181
Adig_XM_015918141.1	Adig_2_182
Adig_XM_015898421.1	Adig_2_183
Adig_XM_015898529.1	Adig_2_184
Adig_XM_015918365.1	Adig_2_185
Adig_XM_015918635.1	Adig_2_186
Adig_XM_015898639.1	Adig_2_187
Adig_XM_015918483.1	Adig_2_188
Adig_XM_015918732.1	Adig_2_189
Adig_XM_015898743.1	Adig_2_190
Adig_XM_015918823.1	Adig_2_191
Adig_XM_015898838.1	Adig_2_192
Adig_XM_015898942.1	Adig_2_193
Adig_XM_015919400.1	Adig_2_194
Adig_XM_015899058.1	Adig_2_195
Adig_XM_015919501.1	Adig_2_196
Adig_XM_015919240.1	Adig_2_197
Adig_XM_015919678.1	Adig_2_198
Adig_XM_015899165.1	Adig_2_199
Adig_XM_015919772.1	Adig_2_200
Adig_XM_015920288.1	Adig_2_201
Adig_XM_015919860.1	Adig_2_202
Adig_XM_015920159.1	Adig_2_203
Adig_XM_015920454.1	Adig_2_204
Adig_XM_015920663.1	Adig_2_205
Adig_XM_015899261.1	Adig_2_206
Adig_XM_015920952.1	Adig_2_207
Adig_XM_015920841.1	Adig_2_208
Adig_XM_015899364.1	Adig_2_209
Adig_XM_015899471.1	Adig_2_210
Adig_XM_015921178.1	Adig_2_211
Adig_XM_015899578.1	Adig_2_212
Adig_XM_015921286.1	Adig_2_213
Adig_XM_015921843.1	Adig_2_214
Adig_XM_015921952.1	Adig_2_215
Adig_XM_015921665.1	Adig_2_216
Adig_XM_015922206.1	Adig_2_217
Adig_XM_015922106.1	Adig_2_218
Adig_XM_015894352.1	Adig_3_1
Adig_XM_015894265.1	Adig_3_2
Adig_XM_015894663.1	Adig_3_3
Adig_XM_015894752.1	Adig_3_4
Adig_XM_015894568.1	Adig_3_5
Adig_XM_015895089.1	Adig_3_6
Adig_XM_015895001.1	Adig_3_7
Adig_XM_015894913.1	Adig_3_8
Adig_XM_015895422.1	Adig_3_9
Adig_XM_015895237.1	Adig_3_10
Adig_XM_015922573.1	Adig_3_11
Adig_XM_015895329.1	Adig_3_12
Adig_XM_015922677.1	Adig_3_13
Adig_XM_015895470.1	Adig_3_14
Adig_XM_015922775.1	Adig_3_15
Adig_XM_015922869.1	Adig_3_16
Adig_XM_015922952.1	Adig_3_17
Adig_XM_015895521.1	Adig_3_18
Adig_XM_015895490.1	Adig_3_19
Adig_XM_015923054.1	Adig_3_20
Adig_XM_015923140.1	Adig_3_21
Adig_XM_015895511.1	Adig_3_22
Adig_XM_015923233.1	Adig_3_23
Adig_XM_015895501.1	Adig_3_24
Adig_XM_015895553.1	Adig_3_25
Adig_XM_015923335.1	Adig_3_26
Adig_XM_015895564.1	Adig_3_27
Adig_XM_015923433.1	Adig_3_28
Adig_XM_015923538.1	Adig_3_29
Adig_XM_015895573.1	Adig_3_30
Adig_XM_015923640.1	Adig_3_31
Adig_XM_015923739.1	Adig_3_32
Adig_XM_015895596.1	Adig_3_33
Adig_XM_015923834.1	Adig_3_34
Adig_XM_015923931.1	Adig_3_35
Adig_XM_015895613.1	Adig_3_36
Adig_XM_015924029.1	Adig_3_37
Adig_XM_015895643.1	Adig_3_38
Adig_XM_015924134.1	Adig_3_39
Adig_XM_015895584.1	Adig_3_40
Adig_XM_015895655.1	Adig_3_41
Adig_XM_015895667.1	Adig_3_42
Adig_XM_015895680.1	Adig_3_43
Adig_XM_015895737.1	Adig_3_44
Adig_XM_015895727.1	Adig_3_45
Adig_XM_015895753.1	Adig_3_46
Adig_XM_015924226.1	Adig_3_47
Adig_XM_015924320.1	Adig_3_48
Adig_XM_015924419.1	Adig_3_49
Adig_XM_015895760.1	Adig_3_50
Adig_XM_015924509.1	Adig_3_51
Adig_XM_015895787.1	Adig_3_52
Adig_XM_015895800.1	Adig_3_53
Adig_XM_015895776.1	Adig_3_54
Adig_XM_015924604.1	Adig_3_55
Adig_XM_015895831.1	Adig_3_56
Adig_XM_015895871.1	Adig_3_57
Adig_XM_015895851.1	Adig_3_58
Adig_XM_015895842.1	Adig_3_59
Adig_XM_015895862.1	Adig_3_60
Adig_XM_015924699.1	Adig_3_61
Adig_XM_015895938.1	Adig_3_62
Adig_XM_015893915.1	Adig_3_63
Adig_XM_015924798.1	Adig_3_64
Adig_XM_015924891.1	Adig_3_65
Adig_XM_015924986.1	Adig_3_66
Adig_XM_015925079.1	Adig_3_67
Adig_XM_015925183.1	Adig_3_68
Adig_XM_015925271.1	Adig_3_69
Adig_XM_015895964.1	Adig_3_70
Adig_XM_015925362.1	Adig_3_71
Adig_XM_015895995.1	Adig_3_72
Adig_XM_015895974.1	Adig_3_73
Adig_XM_015895986.1	Adig_3_74
Adig_XM_015891682.1	Adig_3_75
Adig_XM_015891781.1	Adig_3_76
Adig_XM_015896021.1	Adig_3_77
Adig_XM_015896008.1	Adig_3_78
Adig_XM_015891882.1	Adig_3_79
Adig_XM_015896033.1	Adig_3_80
Adig_XM_015891973.1	Adig_3_81
Adig_XM_015896067.1	Adig_3_82
Adig_XM_015892074.1	Adig_3_83
Adig_XM_015892171.1	Adig_3_84
Adig_XM_015896090.1	Adig_3_85
Adig_XM_015896056.1	Adig_3_86
Adig_XM_015896078.1	Adig_3_87
Adig_XM_015892275.1	Adig_3_88
Adig_XM_015892368.1	Adig_3_89
Adig_XM_015896125.1	Adig_3_90
Adig_XM_015896145.1	Adig_3_91
Adig_XM_015896155.1	Adig_3_92
Adig_XM_015896173.1	Adig_3_93
Adig_XM_015892467.1	Adig_3_94
Adig_XM_015896184.1	Adig_3_95
Adig_XM_015896200.1	Adig_3_96
Adig_XM_015896341.1	Adig_3_97
Adig_XM_015896354.1	Adig_3_98
Adig_XM_015896396.1	Adig_3_99
Adig_XM_015892565.1	Adig_3_100
Adig_XM_015896210.1	Adig_3_101
Adig_XM_015896262.1	Adig_3_102
Adig_XM_015896416.1	Adig_3_103
Adig_XM_015896431.1	Adig_3_104
Adig_XM_015892652.1	Adig_3_105
Adig_XM_015896529.1	Adig_3_106
Adig_XM_015892742.1	Adig_3_107
Adig_XM_015896541.1	Adig_3_108
Adig_XM_015896548.1	Adig_3_109
Adig_XM_015896576.1	Adig_3_110
Adig_XM_015896591.1	Adig_3_111
Adig_XM_015896631.1	Adig_3_112
Adig_XM_015896616.1	Adig_3_113
Adig_XM_015892953.1	Adig_3_114
Adig_XM_015896657.1	Adig_3_115
Adig_XM_015896666.1	Adig_3_116
Adig_XM_015893048.1	Adig_3_117
Adig_XM_015893145.1	Adig_3_118
Adig_XM_015896681.1	Adig_3_119
Adig_XM_015893228.1	Adig_3_120
Adig_XM_015896713.1	Adig_3_121
Adig_XM_015893323.1	Adig_3_122
Adig_XM_015893430.1	Adig_3_123
Adig_XM_015896745.1	Adig_3_124
Adig_XM_015896735.1	Adig_3_125
Adig_XM_015896787.1	Adig_3_126
Adig_XM_015896769.1	Adig_3_127
Adig_XM_015896757.1	Adig_3_128
Adig_XM_015893628.1	Adig_3_129
Adig_XM_015893721.1	Adig_3_130
Adig_XM_015893813.1	Adig_3_131
Adig_XM_015896800.1	Adig_3_132
Adig_XM_015896823.1	Adig_3_133
Adig_XM_015896833.1	Adig_3_134
Adig_XM_015896849.1	Adig_4_1
Adig_XM_015897529.1	Adig_4_2
Adig_XM_015897521.1	Adig_4_3
Adig_XM_015897565.1	Adig_4_4
Adig_XM_015897548.1	Adig_4_5
Adig_XM_015896860.1	Adig_4_6
Adig_XM_015897573.1	Adig_4_7
Adig_XM_015897587.1	Adig_4_8
Adig_XM_015896872.1	Adig_4_9
Adig_XM_015896880.1	Adig_4_10
Adig_XM_015897610.1	Adig_4_11
Adig_XM_015897620.1	Adig_4_12
Adig_XM_015896890.1	Adig_4_13
Adig_XM_015896899.1	Adig_4_14
Adig_XM_015896909.1	Adig_4_15
Adig_XM_015896918.1	Adig_4_16
Adig_XM_015897651.1	Adig_4_17
Adig_XM_015896929.1	Adig_4_18
Adig_XM_015896940.1	Adig_4_19
Adig_XM_015897668.1	Adig_4_20
Adig_XM_015896951.1	Adig_4_21
Adig_XM_015897680.1	Adig_4_22
Adig_XM_015896961.1	Adig_4_23
Adig_XM_015897446.1	Adig_4_24
Adig_XM_015896969.1	Adig_4_25
Adig_XM_015896981.1	Adig_4_26
Adig_XM_015897712.1	Adig_4_27
Adig_XM_015897699.1	Adig_4_28
Adig_XM_015896992.1	Adig_4_29
Adig_XM_015897732.1	Adig_4_30
Adig_XM_015897752.1	Adig_4_31
Adig_XM_015897742.1	Adig_4_32
Adig_XM_015897003.1	Adig_4_33
Adig_XM_015897015.1	Adig_4_34
Adig_XM_015897021.1	Adig_4_35
Adig_XM_015897032.1	Adig_4_36
Adig_XM_015897043.1	Adig_4_37
Adig_XM_015897053.1	Adig_4_38
Adig_XM_015897786.1	Adig_4_39
Adig_XM_015897457.1	Adig_4_40
Adig_XM_015897064.1	Adig_4_41
Adig_XM_015897076.1	Adig_4_42
Adig_XM_015897796.1	Adig_4_43
Adig_XM_015897086.1	Adig_4_44
Adig_XM_015897806.1	Adig_4_45
Adig_XM_015897817.1	Adig_4_46
Adig_XM_015897098.1	Adig_4_47
Adig_XM_015897109.1	Adig_4_48
Adig_XM_015897827.1	Adig_4_49
Adig_XM_015897844.1	Adig_4_50
Adig_XM_015897129.1	Adig_4_51
Adig_XM_015897138.1	Adig_4_52
Adig_XM_015897872.1	Adig_4_53
Adig_XM_015897862.1	Adig_4_54
Adig_XM_015897889.1	Adig_4_55
Adig_XM_015897904.1	Adig_4_56
Adig_XM_015897916.1	Adig_4_57
Adig_XM_015897149.1	Adig_4_58
Adig_XM_015897940.1	Adig_4_59
Adig_XM_015897925.1	Adig_4_60
Adig_XM_015897160.1	Adig_4_61
Adig_XM_015897949.1	Adig_4_62
Adig_XM_015897960.1	Adig_4_63
Adig_XM_015897998.1	Adig_4_64
Adig_XM_015898018.1	Adig_4_65
Adig_XM_015897171.1	Adig_4_66
Adig_XM_015898009.1	Adig_4_67
Adig_XM_015897183.1	Adig_4_68
Adig_XM_015898029.1	Adig_4_69
Adig_XM_015898219.1	Adig_4_70
Adig_XM_015898210.1	Adig_4_71
Adig_XM_015898193.1	Adig_4_72
Adig_XM_015898041.1	Adig_4_73
Adig_XM_015898203.1	Adig_4_74
Adig_XM_015898128.1	Adig_4_75
Adig_XM_015898183.1	Adig_4_76
Adig_XM_015897193.1	Adig_4_77
Adig_XM_015898164.1	Adig_4_78
Adig_XM_015898060.1	Adig_4_79
Adig_XM_015898174.1	Adig_4_80
Adig_XM_015898151.1	Adig_4_81
Adig_XM_015898140.1	Adig_4_82
Adig_XM_015898098.1	Adig_4_83
Adig_XM_015898070.1	Adig_4_84
Adig_XM_015898237.1	Adig_4_85
Adig_XM_015898268.1	Adig_4_86
Adig_XM_015898249.1	Adig_4_87
Adig_XM_015898278.1	Adig_4_88
Adig_XM_015898290.1	Adig_4_89
Adig_XM_015898257.1	Adig_4_90
Adig_XM_015897205.1	Adig_4_91
Adig_XM_015898318.1	Adig_4_92
Adig_XM_015897216.1	Adig_4_93
Adig_XM_015898330.1	Adig_4_94
Adig_XM_015897228.1	Adig_4_95
Adig_XM_015897479.1	Adig_4_96
Adig_XM_015898341.1	Adig_4_97
Adig_XM_015898353.1	Adig_4_98
Adig_XM_015897236.1	Adig_4_99
Adig_XM_015898374.1	Adig_4_100
Adig_XM_015898363.1	Adig_4_101
Adig_XM_015898398.1	Adig_4_102
Adig_XM_015898408.1	Adig_4_103
Adig_XM_015898416.1	Adig_4_104
Adig_XM_015897246.1	Adig_4_105
Adig_XM_015897257.1	Adig_4_106
Adig_XM_015897268.1	Adig_4_107
Adig_XM_015897278.1	Adig_4_108
Adig_XM_015898475.1	Adig_4_109
Adig_XM_015898456.1	Adig_4_110
Adig_XM_015898485.1	Adig_4_111
Adig_XM_015898496.1	Adig_4_112
Adig_XM_015898506.1	Adig_4_113
Adig_XM_015898562.1	Adig_4_114
Adig_XM_015898580.1	Adig_4_115
Adig_XM_015898655.1	Adig_4_116
Adig_XM_015897289.1	Adig_4_117
Adig_XM_015897298.1	Adig_4_118
Adig_XM_015898631.1	Adig_4_119
Adig_XM_015898550.1	Adig_4_120
Adig_XM_015898571.1	Adig_4_121
Adig_XM_015898596.1	Adig_4_122
Adig_XM_015898643.1	Adig_4_123
Adig_XM_015897307.1	Adig_4_124
Adig_XM_015897319.1	Adig_4_125
Adig_XM_015898674.1	Adig_4_126
Adig_XM_015898701.1	Adig_4_127
Adig_XM_015897330.1	Adig_4_128
Adig_XM_015898738.1	Adig_4_129
Adig_XM_015898712.1	Adig_4_130
Adig_XM_015898730.1	Adig_4_131
Adig_XM_015898718.1	Adig_4_132
Adig_XM_015898746.1	Adig_4_133
Adig_XM_015898764.1	Adig_4_134
Adig_XM_015898775.1	Adig_4_135
Adig_XM_015897345.1	Adig_4_136
Adig_XM_015898812.1	Adig_4_137
Adig_XM_015898790.1	Adig_4_138
Adig_XM_015898799.1	Adig_4_139
Adig_XM_015898820.1	Adig_4_140
Adig_XM_015898830.1	Adig_4_141
Adig_XM_015897355.1	Adig_4_142
Adig_XM_015897373.1	Adig_4_143
Adig_XM_015898862.1	Adig_4_144
Adig_XM_015897405.1	Adig_4_145
Adig_XM_015897416.1	Adig_4_146
Adig_XM_015897427.1	Adig_4_147
Adig_XM_015898889.1	Adig_4_148
Adig_XM_015898937.1	Adig_5_1
Adig_XM_015898950.1	Adig_5_2
Adig_XM_015899499.1	Adig_5_3
Adig_XM_015899687.1	Adig_5_4
Adig_XM_015899615.1	Adig_5_5
Adig_XM_015899655.1	Adig_5_6
Adig_XM_015898964.1	Adig_5_7
Adig_XM_015899726.1	Adig_5_8
Adig_XM_015898977.1	Adig_5_9
Adig_XM_015899579.1	Adig_5_10
Adig_XM_015899719.1	Adig_5_11
Adig_XM_015899708.1	Adig_5_12
Adig_XM_015898987.1	Adig_5_13
Adig_XM_015899754.1	Adig_5_14
Adig_XM_015899517.1	Adig_5_15
Adig_XM_015898998.1	Adig_5_16
Adig_XM_015899698.1	Adig_5_17
Adig_XM_015899666.1	Adig_5_18
Adig_XM_015899677.1	Adig_5_19
Adig_XM_015899008.1	Adig_5_20
Adig_XM_015899019.1	Adig_5_21
Adig_XM_015899800.1	Adig_5_22
Adig_XM_015899784.1	Adig_5_23
Adig_XM_015899817.1	Adig_5_24
Adig_XM_015899843.1	Adig_5_25
Adig_XM_015899862.1	Adig_5_26
Adig_XM_015899879.1	Adig_5_27
Adig_XM_015899914.1	Adig_5_28
Adig_XM_015899029.1	Adig_5_29
Adig_XM_015899943.1	Adig_5_30
Adig_XM_015899932.1	Adig_5_31
Adig_XM_015899961.1	Adig_5_32
Adig_XM_015899466.1	Adig_5_33
Adig_XM_015899995.1	Adig_5_34
Adig_XM_015899040.1	Adig_5_35
Adig_XM_015900019.1	Adig_5_36
Adig_XM_015900009.1	Adig_5_37
Adig_XM_015900032.1	Adig_5_38
Adig_XM_015899053.1	Adig_5_39
Adig_XM_015900042.1	Adig_5_40
Adig_XM_015900051.1	Adig_5_41
Adig_XM_015900061.1	Adig_5_42
Adig_XM_015900076.1	Adig_5_43
Adig_XM_015899064.1	Adig_5_44
Adig_XM_015900085.1	Adig_5_45
Adig_XM_015899077.1	Adig_5_46
Adig_XM_015899086.1	Adig_5_47
Adig_XM_015900125.1	Adig_5_48
Adig_XM_015900139.1	Adig_5_49
Adig_XM_015900150.1	Adig_5_50
Adig_XM_015900160.1	Adig_5_51
Adig_XM_015900171.1	Adig_5_52
Adig_XM_015899096.1	Adig_5_53
Adig_XM_015900220.1	Adig_5_54
Adig_XM_015900248.1	Adig_5_55
Adig_XM_015900188.1	Adig_5_56
Adig_XM_015900237.1	Adig_5_57
Adig_XM_015900211.1	Adig_5_58
Adig_XM_015900201.1	Adig_5_59
Adig_XM_015899107.1	Adig_5_60
Adig_XM_015900258.1	Adig_5_61
Adig_XM_015899120.1	Adig_5_62
Adig_XM_015899129.1	Adig_5_63
Adig_XM_015900265.1	Adig_5_64
Adig_XM_015900277.1	Adig_5_65
Adig_XM_015899478.1	Adig_5_66
Adig_XM_015899140.1	Adig_5_67
Adig_XM_015900291.1	Adig_5_68
Adig_XM_015900313.1	Adig_5_69
Adig_XM_015899150.1	Adig_5_70
Adig_XM_015900327.1	Adig_5_71
Adig_XM_015900337.1	Adig_5_72
Adig_XM_015899161.1	Adig_5_73
Adig_XM_015900349.1	Adig_5_74
Adig_XM_015900369.1	Adig_5_75
Adig_XM_015900379.1	Adig_5_76
Adig_XM_015900360.1	Adig_5_77
Adig_XM_015899172.1	Adig_5_78
Adig_XM_015900391.1	Adig_5_79
Adig_XM_015900413.1	Adig_5_80
Adig_XM_015900400.1	Adig_5_81
Adig_XM_015900422.1	Adig_5_82
Adig_XM_015899181.1	Adig_5_83
Adig_XM_015900449.1	Adig_5_84
Adig_XM_015900439.1	Adig_5_85
Adig_XM_015899487.1	Adig_5_86
Adig_XM_015900472.1	Adig_5_87
Adig_XM_015900467.1	Adig_5_88
Adig_XM_015899190.1	Adig_5_89
Adig_XM_015900457.1	Adig_5_90
Adig_XM_015899199.1	Adig_5_91
Adig_XM_015900483.1	Adig_5_92
Adig_XM_015899207.1	Adig_5_93
Adig_XM_015899218.1	Adig_5_94
Adig_XM_015900500.1	Adig_5_95
Adig_XM_015900512.1	Adig_5_96
Adig_XM_015900537.1	Adig_5_97
Adig_XM_015900524.1	Adig_5_98
Adig_XM_015899228.1	Adig_5_99
Adig_XM_015900567.1	Adig_5_100
Adig_XM_015900547.1	Adig_5_101
Adig_XM_015899237.1	Adig_5_102
Adig_XM_015899244.1	Adig_5_103
Adig_XM_015900572.1	Adig_5_104
Adig_XM_015900644.1	Adig_5_105
Adig_XM_015900655.1	Adig_5_106
Adig_XM_015899257.1	Adig_5_107
Adig_XM_015900675.1	Adig_5_108
Adig_XM_015900663.1	Adig_5_109
Adig_XM_015899269.1	Adig_5_110
Adig_XM_015900686.1	Adig_5_111
Adig_XM_015900697.1	Adig_5_112
Adig_XM_015900720.1	Adig_5_113
Adig_XM_015900732.1	Adig_5_114
Adig_XM_015900741.1	Adig_5_115
Adig_XM_015900863.1	Adig_5_116
Adig_XM_015900801.1	Adig_5_117
Adig_XM_015900773.1	Adig_5_118
Adig_XM_015900751.1	Adig_5_119
Adig_XM_015899276.1	Adig_5_120
Adig_XM_015900763.1	Adig_5_121
Adig_XM_015900853.1	Adig_5_122
Adig_XM_015899284.1	Adig_5_123
Adig_XM_015900833.1	Adig_5_124
Adig_XM_015900793.1	Adig_5_125
Adig_XM_015900910.1	Adig_5_126
Adig_XM_015900921.1	Adig_5_127
Adig_XM_015900932.1	Adig_5_128
Adig_XM_015899295.1	Adig_5_129
Adig_XM_015899306.1	Adig_5_130
Adig_XM_015900947.1	Adig_5_131
Adig_XM_015899316.1	Adig_5_132
Adig_XM_015899328.1	Adig_5_133
Adig_XM_015900966.1	Adig_5_134
Adig_XM_015900957.1	Adig_5_135
Adig_XM_015900980.1	Adig_5_136
Adig_XM_015899338.1	Adig_5_137
Adig_XM_015899348.1	Adig_5_138
Adig_XM_015901005.1	Adig_5_139
Adig_XM_015900987.1	Adig_5_140
Adig_XM_015901016.1	Adig_5_141
Adig_XM_015901024.1	Adig_5_142
Adig_XM_015901036.1	Adig_5_143
Adig_XM_015901045.1	Adig_5_144
Adig_XM_015899360.1	Adig_5_145
Adig_XM_015901063.1	Adig_5_146
Adig_XM_015899383.1	Adig_5_147
Adig_XM_015901074.1	Adig_5_148
Adig_XM_015901085.1	Adig_5_149
Adig_XM_015899393.1	Adig_5_150
Adig_XM_015899404.1	Adig_5_151
Adig_XM_015901157.1	Adig_5_152
Adig_XM_015901139.1	Adig_5_153
