Lpol_gene-COX1	Lpol_1_1
Lpol_XM_022392907.1	Lpol_3_7
Lpol_XM_022387515.1	Lpol_3_8
Lpol_XM_013922128.2	Lpol_3_9
Lpol_XM_022387910.1	Lpol_3_10
Lpol_XM_022386045.1	Lpol_3_11
Lpol_XM_022392983.1	Lpol_3_12
Lpol_XM_013922446.2	Lpol_3_13
Lpol_XM_022393068.1	Lpol_3_14
Lpol_XM_022393145.1	Lpol_3_15
Lpol_XM_022386124.1	Lpol_3_16
Lpol_XM_022388510.1	Lpol_3_17
Lpol_XM_022388637.1	Lpol_3_18
Lpol_XM_013922981.2	Lpol_3_19
Lpol_XM_022386202.1	Lpol_3_20
Lpol_XM_022388835.1	Lpol_3_21
Lpol_XM_013925492.2	Lpol_3_22
Lpol_XM_022386275.1	Lpol_3_23
Lpol_XM_013923093.2	Lpol_3_24
Lpol_XM_013919958.2	Lpol_3_25
Lpol_XM_013920064.2	Lpol_3_26
Lpol_XM_022389985.1	Lpol_3_27
Lpol_XM_022386428.1	Lpol_3_28
Lpol_XM_013925782.2	Lpol_3_29
Lpol_XM_013925893.2	Lpol_3_30
Lpol_XM_013920389.2	Lpol_3_31
Lpol_XM_022386515.1	Lpol_3_32
Lpol_XM_022386586.1	Lpol_3_33
Lpol_XM_022390553.1	Lpol_3_34
Lpol_XM_022390630.1	Lpol_3_35
Lpol_XM_013923207.2	Lpol_3_36
Lpol_XM_013920943.2	Lpol_3_37
Lpol_XM_022389753.1	Lpol_3_38
Lpol_XM_013923319.2	Lpol_3_39
Lpol_XM_022393400.1	Lpol_3_40
Lpol_XM_022390912.1	Lpol_3_41
Lpol_XM_013923429.2	Lpol_3_42
Lpol_NM_001314086.1	Lpol_3_43
Lpol_XM_013923720.2	Lpol_3_44
Lpol_XM_013921373.2	Lpol_3_45
Lpol_XM_013921479.2	Lpol_3_46
Lpol_XM_013923829.2	Lpol_3_47
Lpol_XM_022391440.1	Lpol_3_48
Lpol_XM_013921695.2	Lpol_3_49
Lpol_XM_022392835.1	Lpol_3_50
Lpol_XM_022392015.1	Lpol_3_51
Lpol_XM_013924011.2	Lpol_3_52
Lpol_XM_013924125.2	Lpol_3_53
Lpol_XM_022392390.1	Lpol_3_54
Lpol_XM_022393582.1	Lpol_4_1
Lpol_XM_022393918.1	Lpol_4_2
Lpol_XM_022394036.1	Lpol_4_3
Lpol_XM_022394255.1	Lpol_4_4
Lpol_XM_022396791.1	Lpol_4_5
Lpol_XM_022394533.1	Lpol_4_6
Lpol_XM_022394963.1	Lpol_4_7
Lpol_XM_013926648.2	Lpol_4_8
Lpol_XM_022396384.1	Lpol_4_9
Lpol_XM_013926860.2	Lpol_4_10
Lpol_XM_022395471.1	Lpol_4_11
Lpol_XM_022395649.1	Lpol_4_12
Lpol_XM_013928335.2	Lpol_4_13
Lpol_XM_013927359.2	Lpol_4_14
Lpol_XM_013927188.2	Lpol_4_15
Lpol_XM_022395947.1	Lpol_4_16
Lpol_XM_013927540.2	Lpol_4_17
Lpol_XM_013927721.2	Lpol_4_18
Lpol_XM_022397016.1	Lpol_5_1
Lpol_XM_022399003.1	Lpol_5_2
Lpol_XM_022397090.1	Lpol_5_3
Lpol_NM_001314151.1	Lpol_5_4
Lpol_XM_022397519.1	Lpol_5_5
Lpol_XM_022399436.1	Lpol_5_6
Lpol_XM_022399083.1	Lpol_5_7
Lpol_XM_013929094.2	Lpol_5_8
Lpol_XM_013929201.2	Lpol_5_9
Lpol_XM_013929304.2	Lpol_5_10
Lpol_XM_022397938.1	Lpol_5_11
Lpol_XM_022398095.1	Lpol_5_12
Lpol_XM_013929635.2	Lpol_5_13
Lpol_XM_022398290.1	Lpol_5_14
Lpol_XM_013929962.2	Lpol_5_15
Lpol_XM_013930073.1	Lpol_5_16
Lpol_XM_022399577.1	Lpol_5_17
Lpol_XM_013930177.1	Lpol_5_18
Lpol_XM_022399712.1	Lpol_5_19
Lpol_XM_022399788.1	Lpol_5_20
Lpol_XM_022399900.1	Lpol_5_21
Lpol_XM_022398409.1	Lpol_5_22
Lpol_XM_022398640.1	Lpol_5_23
Lpol_XM_013930497.2	Lpol_5_24
Lpol_XM_013932242.2	Lpol_6_1
Lpol_XM_013930856.2	Lpol_6_2
Lpol_XM_013932350.2	Lpol_6_3
Lpol_XM_022401885.1	Lpol_6_4
Lpol_XM_022400311.1	Lpol_6_5
Lpol_XM_022402275.1	Lpol_6_6
Lpol_XM_013931274.1	Lpol_6_7
Lpol_XM_022400610.1	Lpol_6_8
Lpol_XM_022400777.1	Lpol_6_9
Lpol_XM_013932459.2	Lpol_6_10
Lpol_XM_013932567.2	Lpol_6_11
Lpol_XM_022401947.1	Lpol_6_12
Lpol_XM_013932739.2	Lpol_6_13
Lpol_XM_013932917.2	Lpol_6_14
Lpol_XM_013933026.2	Lpol_6_15
Lpol_XM_022401263.1	Lpol_6_16
Lpol_XM_013931489.1	Lpol_6_17
Lpol_XM_022401377.1	Lpol_6_18
Lpol_XM_022401447.1	Lpol_6_19
Lpol_XM_022402205.1	Lpol_6_20
Lpol_XM_013933233.2	Lpol_6_21
Lpol_XM_022401764.1	Lpol_6_22
Lpol_XM_013931919.2	Lpol_6_23
Lpol_XM_013932026.1	Lpol_6_24
Lpol_XM_022402528.1	Lpol_6_25
Lpol_XM_013934231.2	Lpol_7_1
Lpol_XM_022380066.1	Lpol_7_2
Lpol_XM_013934507.2	Lpol_7_3
Lpol_XM_022379904.1	Lpol_7_4
Lpol_XM_022379958.1	Lpol_7_5
Lpol_XM_013933485.1	Lpol_7_6
Lpol_XM_022380151.1	Lpol_7_7
Lpol_XM_022402747.1	Lpol_7_8
Lpol_XM_013934999.2	Lpol_7_9
Lpol_XM_013933591.2	Lpol_7_10
Lpol_XM_013934790.2	Lpol_7_11
Lpol_XM_022380207.1	Lpol_7_12
Lpol_XM_013935106.2	Lpol_7_13
Lpol_XM_022379446.1	Lpol_7_14
Lpol_XM_013934897.2	Lpol_7_15
Lpol_XM_022380258.1	Lpol_7_16
Lpol_XM_013934125.2	Lpol_7_17
Lpol_XM_022381275.1	Lpol_8_1
Lpol_XM_013936321.2	Lpol_8_2
Lpol_XM_022380383.1	Lpol_8_3
Lpol_XM_013935697.2	Lpol_8_4
Lpol_XM_022380617.1	Lpol_8_5
Lpol_XM_022381302.1	Lpol_8_6
Lpol_XM_013935907.2	Lpol_8_7
Lpol_XM_013936940.2	Lpol_8_8
Lpol_XM_013936423.2	Lpol_8_9
Lpol_XM_022380953.1	Lpol_8_10
Lpol_XM_022381344.1	Lpol_8_11
Lpol_XM_013937045.2	Lpol_8_12
Lpol_XM_022380432.1	Lpol_8_13
Lpol_XM_013936737.2	Lpol_8_14
Lpol_XM_013937931.2	Lpol_9_1
Lpol_XM_022381449.1	Lpol_9_2
Lpol_XM_013937241.2	Lpol_9_3
Lpol_XM_013937335.1	Lpol_9_4
Lpol_XM_013937433.2	Lpol_9_5
Lpol_XM_022381499.1	Lpol_9_6
Lpol_XM_013937636.2	Lpol_9_7
Lpol_XM_022381397.1	Lpol_9_8
Lpol_XM_022381468.1	Lpol_9_9
Lpol_XM_013937833.2	Lpol_9_10
Lpol_XM_013938571.2	Lpol_10_1
Lpol_XM_022381668.1	Lpol_10_2
Lpol_XM_013938177.2	Lpol_10_3
Lpol_XM_022381534.1	Lpol_10_4
Lpol_XM_022381518.1	Lpol_10_5
Lpol_XM_013938592.2	Lpol_10_6
Lpol_XM_013938261.1	Lpol_10_7
Lpol_XM_013938603.2	Lpol_10_8
Lpol_XM_022381640.1	Lpol_10_9
Lpol_XM_013938411.1	Lpol_10_10
Lpol_XM_013938468.1	Lpol_10_11
Lpol_XM_013938515.1	Lpol_10_12
Lpol_XM_022381683.1	Lpol_10_13
Lpol_XM_022381545.1	Lpol_10_14
Lpol_XM_022381565.1	Lpol_10_15
Lpol_XM_013938629.2	Lpol_10_16
Lpol_XM_022381590.1	Lpol_10_17
Lpol_XM_013938549.2	Lpol_10_18
Lpol_XM_022381869.1	Lpol_11_1
Lpol_XM_022381706.1	Lpol_11_2
Lpol_XM_022381716.1	Lpol_11_3
Lpol_XM_022381732.1	Lpol_11_4
Lpol_XM_013938702.2	Lpol_11_5
Lpol_XM_022381883.1	Lpol_11_6
Lpol_XM_013938735.2	Lpol_11_7
Lpol_XM_013938756.2	Lpol_11_8
Lpol_XM_022381813.1	Lpol_11_9
Lpol_XM_013938785.2	Lpol_11_10
Lpol_XM_013938796.2	Lpol_11_11
Lpol_XM_022382077.1	Lpol_12_1
Lpol_XM_022381891.1	Lpol_12_2
Lpol_XM_022381905.1	Lpol_12_3
Lpol_XM_022382120.1	Lpol_12_4
Lpol_XM_022381916.1	Lpol_12_5
Lpol_XM_013938837.2	Lpol_12_6
Lpol_XM_013938937.2	Lpol_12_7
Lpol_XM_022381950.1	Lpol_12_8
Lpol_XM_022382139.1	Lpol_12_9
Lpol_XM_022381969.1	Lpol_12_10
Lpol_XM_022381979.1	Lpol_12_11
Lpol_XM_013938949.2	Lpol_12_12
Lpol_XM_013938960.2	Lpol_12_13
Lpol_XM_013938971.2	Lpol_12_14
Lpol_XM_013938883.2	Lpol_12_15
Lpol_XM_013938895.1	Lpol_12_16
Lpol_XM_013938904.2	Lpol_12_17
Lpol_XM_022382012.1	Lpol_12_18
Lpol_XM_022382026.1	Lpol_12_19
Lpol_XM_022382032.1	Lpol_12_20
Lpol_XM_022382041.1	Lpol_12_21
Lpol_XM_013939006.2	Lpol_12_22
Lpol_XM_022382101.1	Lpol_12_23
Lpol_XM_022382116.1	Lpol_12_24
Lpol_XM_013939149.2	Lpol_13_1
Lpol_XM_022382160.1	Lpol_13_2
Lpol_XM_022382466.1	Lpol_13_3
Lpol_XM_013939042.2	Lpol_13_4
Lpol_XM_013939052.2	Lpol_13_5
Lpol_XM_013939159.2	Lpol_13_6
Lpol_XM_013939185.2	Lpol_13_7
Lpol_XM_013939286.2	Lpol_13_8
Lpol_XM_013939063.2	Lpol_13_9
Lpol_XM_022382419.1	Lpol_13_10
Lpol_XM_013939083.1	Lpol_13_11
Lpol_XM_013939194.2	Lpol_13_12
Lpol_XM_013939204.2	Lpol_13_13
Lpol_XM_022382437.1	Lpol_13_14
Lpol_XM_013939107.1	Lpol_13_15
Lpol_XM_022382483.1	Lpol_13_16
Lpol_XM_022382289.1	Lpol_13_17
Lpol_XM_022382451.1	Lpol_13_18
Lpol_XM_013939214.2	Lpol_13_19
Lpol_XM_013939225.2	Lpol_13_20
Lpol_XM_013939127.2	Lpol_13_21
Lpol_XM_022382458.1	Lpol_13_22
Lpol_XM_022382384.1	Lpol_13_23
Lpol_XM_022382791.1	Lpol_14_1
Lpol_XM_022382818.1	Lpol_14_2
Lpol_XM_022382505.1	Lpol_14_3
Lpol_XM_013939427.2	Lpol_14_4
Lpol_XM_022382560.1	Lpol_14_5
Lpol_XM_013939438.2	Lpol_14_6
Lpol_XM_022382584.1	Lpol_14_7
Lpol_XM_022382797.1	Lpol_14_8
Lpol_XM_013939352.2	Lpol_14_9
Lpol_XM_022382663.1	Lpol_14_10
Lpol_XM_022382811.1	Lpol_14_11
Lpol_XM_013916234.2	Lpol_14_12
Lpol_XM_022382685.1	Lpol_14_13
Lpol_XM_022382692.1	Lpol_14_14
Lpol_XM_013916254.2	Lpol_14_15
Lpol_XM_022382734.1	Lpol_14_16
Lpol_XM_013939461.2	Lpol_14_17
Lpol_XM_022382756.1	Lpol_14_18
Lpol_XM_013939471.2	Lpol_14_19
Lpol_XM_022382771.1	Lpol_14_20
Lpol_XM_013939398.2	Lpol_14_21
Lpol_XM_022382844.1	Lpol_15_1
Lpol_XM_022382871.1	Lpol_15_2
Lpol_XM_022382880.1	Lpol_15_3
Lpol_XM_022382836.1	Lpol_15_4
Lpol_XM_022382896.1	Lpol_15_5
Lpol_XM_013916374.2	Lpol_15_6
Lpol_XM_022382960.1	Lpol_15_7
Lpol_XM_013916330.2	Lpol_15_8
Lpol_XM_022382996.1	Lpol_15_9
Lpol_XM_013916364.2	Lpol_15_10
Lpol_XM_022382915.1	Lpol_15_11
Lpol_XM_022383005.1	Lpol_16_1
Lpol_XM_013916569.2	Lpol_16_2
Lpol_XM_013916580.2	Lpol_16_3
Lpol_XM_022383047.1	Lpol_16_4
Lpol_XM_022383185.1	Lpol_16_5
Lpol_XM_013916487.2	Lpol_16_6
Lpol_XM_013916496.2	Lpol_16_7
Lpol_XM_022383091.1	Lpol_16_8
Lpol_XM_022383194.1	Lpol_16_9
Lpol_XM_013916515.2	Lpol_16_10
Lpol_XM_022383201.1	Lpol_16_11
Lpol_XM_022383230.1	Lpol_16_12
Lpol_XM_013916526.2	Lpol_16_13
Lpol_XM_022383207.1	Lpol_16_14
Lpol_XM_013916537.2	Lpol_16_15
Lpol_XM_013916548.2	Lpol_16_16
Lpol_XM_022383164.1	Lpol_16_17
Lpol_XM_013916477.2	Lpol_16_18
Lpol_XM_013916615.2	Lpol_17_1
Lpol_XM_013916627.2	Lpol_17_2
Lpol_XM_022383276.1	Lpol_17_3
Lpol_XM_022383290.1	Lpol_17_4
Lpol_XM_013916712.2	Lpol_17_5
Lpol_XM_022383317.1	Lpol_17_6
Lpol_XM_013916667.2	Lpol_17_7
Lpol_XM_022383354.1	Lpol_17_8
Lpol_XM_013916724.2	Lpol_18_1
Lpol_XM_013916828.2	Lpol_18_2
Lpol_XM_013916737.2	Lpol_18_3
Lpol_XM_022383526.1	Lpol_18_4
Lpol_XM_013916760.2	Lpol_18_5
Lpol_XM_013916773.2	Lpol_18_6
Lpol_XM_013916784.2	Lpol_18_7
Lpol_XM_013916868.2	Lpol_18_8
Lpol_XM_022383403.1	Lpol_18_9
Lpol_XM_022383445.1	Lpol_18_10
Lpol_XM_022383470.1	Lpol_18_11
Lpol_XM_013916857.2	Lpol_18_12
Lpol_XM_022383500.1	Lpol_18_13
Lpol_XM_022383485.1	Lpol_18_14
Lpol_XM_013916804.2	Lpol_18_15
Lpol_XM_022383544.1	Lpol_18_16
Lpol_XM_013916905.2	Lpol_18_17
Lpol_XM_013916926.2	Lpol_19_1
Lpol_XM_013916937.1	Lpol_19_2
Lpol_XM_013916948.2	Lpol_19_3
Lpol_XM_022383650.1	Lpol_19_4
Lpol_XM_022383665.1	Lpol_19_5
Lpol_XM_022383712.1	Lpol_19_6
Lpol_XM_013916960.2	Lpol_19_7
Lpol_XM_013917015.2	Lpol_19_8
Lpol_XM_022383671.1	Lpol_19_9
Lpol_XM_022383683.1	Lpol_19_10
Lpol_XM_013917026.2	Lpol_19_11
Lpol_XM_022383724.1	Lpol_19_12
Lpol_XM_022383628.1	Lpol_19_13
Lpol_XM_022383737.1	Lpol_19_14
Lpol_XM_022383745.1	Lpol_19_15
Lpol_XM_013917042.2	Lpol_19_16
Lpol_XM_022384041.1	Lpol_20_1
Lpol_XM_022383821.1	Lpol_20_2
Lpol_XM_013917072.2	Lpol_20_3
Lpol_XM_013917138.2	Lpol_20_4
Lpol_XM_013917150.2	Lpol_20_5
Lpol_XM_022383876.1	Lpol_20_6
Lpol_XM_022383771.1	Lpol_20_7
Lpol_XM_022383780.1	Lpol_20_8
Lpol_XM_022383898.1	Lpol_20_9
Lpol_XM_022383938.1	Lpol_20_10
Lpol_XM_013917173.2	Lpol_20_11
Lpol_XM_013917185.2	Lpol_20_12
Lpol_XM_022383790.1	Lpol_20_13
Lpol_XM_022383963.1	Lpol_20_14
Lpol_XM_013917126.2	Lpol_20_15
Lpol_XM_013917249.2	Lpol_20_16
Lpol_XM_013917196.2	Lpol_20_17
Lpol_XM_013917206.2	Lpol_20_18
Lpol_XM_013917216.2	Lpol_20_19
Lpol_XM_013917227.2	Lpol_20_20
Lpol_XM_022383802.1	Lpol_20_21
Lpol_XM_022383811.1	Lpol_20_22
Lpol_XM_022384125.1	Lpol_21_1
Lpol_XM_022384068.1	Lpol_21_2
Lpol_XM_013917341.2	Lpol_21_3
Lpol_XM_022384084.1	Lpol_21_4
Lpol_XM_022384092.1	Lpol_21_5
Lpol_XM_022384119.1	Lpol_21_6
Lpol_XM_022384106.1	Lpol_21_7
Lpol_XM_022384131.1	Lpol_22_1
Lpol_XM_013917576.2	Lpol_22_2
Lpol_XM_022384187.1	Lpol_22_3
Lpol_XM_022384198.1	Lpol_22_4
Lpol_XM_022384208.1	Lpol_22_5
Lpol_XM_022384242.1	Lpol_22_6
Lpol_XM_022384453.1	Lpol_22_7
Lpol_XM_013917401.2	Lpol_22_8
Lpol_XM_022384277.1	Lpol_22_9
Lpol_XM_013917425.2	Lpol_22_10
Lpol_XM_013917616.2	Lpol_22_11
Lpol_XM_022384285.1	Lpol_22_12
Lpol_XM_013917444.2	Lpol_22_13
Lpol_XM_022384465.1	Lpol_22_14
Lpol_XM_013917456.1	Lpol_22_15
Lpol_XM_013917466.1	Lpol_22_16
Lpol_XM_013917477.1	Lpol_22_17
Lpol_XM_013917490.2	Lpol_22_18
Lpol_XM_013917625.2	Lpol_22_19
Lpol_XM_013917501.2	Lpol_22_20
Lpol_XM_013917593.2	Lpol_22_21
Lpol_XM_022384346.1	Lpol_22_22
Lpol_XM_022384394.1	Lpol_22_23
Lpol_XM_022384406.1	Lpol_22_24
Lpol_XM_013917554.2	Lpol_22_25
Lpol_XM_022384491.1	Lpol_22_26
Lpol_XM_022384653.1	Lpol_23_1
Lpol_XM_013917730.2	Lpol_23_2
Lpol_XM_022384531.1	Lpol_23_3
Lpol_XM_013917751.2	Lpol_23_4
Lpol_XM_022384659.1	Lpol_23_5
Lpol_XM_022384547.1	Lpol_23_6
Lpol_XM_013917686.2	Lpol_23_7
Lpol_XM_013917697.2	Lpol_23_8
Lpol_XM_013917708.2	Lpol_23_9
Lpol_XM_013917802.2	Lpol_23_10
Lpol_XM_013917773.2	Lpol_23_11
Lpol_XM_022384675.1	Lpol_23_12
Lpol_XM_013917785.2	Lpol_23_13
Lpol_XM_022384682.1	Lpol_24_1
Lpol_XM_022384912.1	Lpol_24_2
Lpol_XM_022384708.1	Lpol_24_3
Lpol_XM_013917932.2	Lpol_24_4
Lpol_XM_022384895.1	Lpol_24_5
Lpol_XM_022384748.1	Lpol_24_6
Lpol_XM_013917873.1	Lpol_24_7
Lpol_XM_022384844.1	Lpol_24_8
Lpol_XM_022384792.1	Lpol_24_9
Lpol_XM_013917948.2	Lpol_24_10
Lpol_XM_022384915.1	Lpol_24_11
Lpol_XM_013917903.2	Lpol_24_12
Lpol_XM_022384954.1	Lpol_25_1
Lpol_XM_013917982.2	Lpol_25_2
Lpol_XM_013918137.1	Lpol_25_3
Lpol_XM_022384985.1	Lpol_25_4
Lpol_XM_022385024.1	Lpol_25_5
Lpol_XM_022385010.1	Lpol_25_6
Lpol_XM_022384922.1	Lpol_25_7
Lpol_XM_013918074.2	Lpol_25_8
Lpol_XM_013918149.2	Lpol_25_9
Lpol_XM_022385105.1	Lpol_25_10
Lpol_XM_013918107.2	Lpol_25_11
Lpol_XM_022384931.1	Lpol_25_12
Lpol_XM_013918023.2	Lpol_25_13
Lpol_XM_013918034.2	Lpol_25_14
Lpol_XM_013918043.2	Lpol_25_15
Lpol_XM_022385153.1	Lpol_25_16
Lpol_XM_022385168.1	Lpol_25_17
Lpol_XM_022385210.1	Lpol_25_18
Lpol_XM_022385191.1	Lpol_25_19
Lpol_XM_013918064.2	Lpol_25_20
Lpol_XM_013918357.2	Lpol_26_1
Lpol_XM_022385227.1	Lpol_26_2
Lpol_XM_013918369.2	Lpol_26_3
Lpol_XM_013918388.2	Lpol_26_4
Lpol_XM_022385372.1	Lpol_26_5
Lpol_XM_013918451.2	Lpol_26_6
Lpol_XM_022385397.1	Lpol_26_7
Lpol_XM_022385380.1	Lpol_26_8
Lpol_XM_013918251.1	Lpol_26_9
Lpol_XM_022385410.1	Lpol_26_10
Lpol_XM_022385304.1	Lpol_26_11
Lpol_XM_013918280.1	Lpol_26_12
Lpol_XM_013918292.2	Lpol_26_13
Lpol_XM_013918398.2	Lpol_26_14
Lpol_XM_022385424.1	Lpol_26_15
Lpol_XM_013918409.2	Lpol_26_16
Lpol_XM_013918326.2	Lpol_26_17
Lpol_XM_022385392.1	Lpol_26_18
Lpol_XM_013918347.2	Lpol_26_19
Lpol_XM_022385451.1	Lpol_27_1
Lpol_XM_013918491.2	Lpol_27_2
Lpol_XM_022385494.1	Lpol_27_3
Lpol_XM_022385503.1	Lpol_27_4
Lpol_XM_013918501.2	Lpol_27_5
Lpol_XM_022385718.1	Lpol_27_6
Lpol_XM_013918642.2	Lpol_27_7
Lpol_XM_022385511.1	Lpol_27_8
Lpol_XM_013918706.2	Lpol_27_9
Lpol_XM_013918666.2	Lpol_27_10
Lpol_XM_013918541.2	Lpol_27_11
Lpol_XM_022385726.1	Lpol_27_12
Lpol_XM_013918677.2	Lpol_27_13
Lpol_XM_022385730.1	Lpol_27_14
Lpol_XM_022385593.1	Lpol_27_15
Lpol_XM_022385597.1	Lpol_27_16
Lpol_XM_013918688.2	Lpol_27_17
Lpol_XM_022385650.1	Lpol_27_18
Lpol_XM_022385661.1	Lpol_27_19
Lpol_XM_013918607.2	Lpol_27_20
Lpol_XM_022385693.1	Lpol_27_21
Lpol_XM_022385685.1	Lpol_27_22
Lpol_XM_022385736.1	Lpol_28_1
Lpol_XM_022385747.1	Lpol_28_2
Lpol_XM_013918754.2	Lpol_28_3
Lpol_XM_013918850.2	Lpol_28_4
Lpol_XM_022385795.1	Lpol_28_5
Lpol_XM_022385914.1	Lpol_28_6
Lpol_XM_013918790.1	Lpol_28_7
Lpol_XM_022385898.1	Lpol_28_8
Lpol_XM_022385806.1	Lpol_28_9
Lpol_XM_013918811.2	Lpol_28_10
Lpol_XM_013918860.2	Lpol_28_11
Lpol_XM_022385940.1	Lpol_28_12
Lpol_XM_013918870.2	Lpol_28_13
Lpol_XM_022385909.1	Lpol_28_14
Lpol_XM_013918885.2	Lpol_28_15
Lpol_XM_013918896.2	Lpol_28_16
Lpol_XM_022385872.1	Lpol_28_17
Lpol_XM_013918840.2	Lpol_28_18
Lpol_XM_022385945.1	Lpol_29_1
Lpol_XM_022385956.1	Lpol_29_2
Lpol_XM_022385966.1	Lpol_29_3
Lpol_XM_022385995.1	Lpol_29_4
Lpol_XM_022386106.1	Lpol_29_5
Lpol_XM_013919021.2	Lpol_29_6
Lpol_XM_013919040.2	Lpol_29_7
Lpol_XM_013919062.2	Lpol_29_8
Lpol_XM_013918970.1	Lpol_29_9
Lpol_XM_022386049.1	Lpol_29_10
Lpol_XM_022386054.1	Lpol_29_11
Lpol_XM_013918990.1	Lpol_29_12
Lpol_XM_013918999.2	Lpol_29_13
Lpol_XM_013919010.2	Lpol_29_14
Lpol_XM_022386218.1	Lpol_30_1
Lpol_XM_022386234.1	Lpol_30_2
Lpol_XM_022386125.1	Lpol_30_3
Lpol_XM_022386223.1	Lpol_30_4
Lpol_XM_022386243.1	Lpol_30_5
Lpol_XM_022386133.1	Lpol_30_6
Lpol_XM_022386249.1	Lpol_30_7
Lpol_XM_022386152.1	Lpol_30_8
Lpol_XM_022386261.1	Lpol_30_9
Lpol_XM_013919232.2	Lpol_30_10
Lpol_XM_013919155.2	Lpol_30_11
Lpol_XM_013919123.1	Lpol_30_12
Lpol_XM_013919165.2	Lpol_30_13
Lpol_XM_013919177.2	Lpol_30_14
Lpol_XM_013919188.2	Lpol_30_15
Lpol_XM_013919134.2	Lpol_30_16
Lpol_XM_013919199.2	Lpol_30_17
Lpol_XM_022386277.1	Lpol_30_18
Lpol_XM_013919298.2	Lpol_31_1
Lpol_XM_013919242.2	Lpol_31_2
Lpol_XM_022386492.1	Lpol_31_3
Lpol_XM_022386341.1	Lpol_31_4
Lpol_XM_013919310.2	Lpol_31_5
Lpol_XM_022386372.1	Lpol_31_6
Lpol_XM_013919328.2	Lpol_31_7
Lpol_XM_022386401.1	Lpol_31_8
Lpol_XM_013919352.2	Lpol_31_9
Lpol_XM_013919364.2	Lpol_31_10
Lpol_XM_022386508.1	Lpol_31_11
Lpol_XM_022386477.1	Lpol_31_12
Lpol_XM_022386516.1	Lpol_32_1
Lpol_XM_013919490.2	Lpol_32_2
Lpol_XM_013919501.2	Lpol_32_3
Lpol_XM_013919411.2	Lpol_32_4
Lpol_XM_022386543.1	Lpol_32_5
Lpol_XM_013919512.2	Lpol_32_6
Lpol_XM_013919525.2	Lpol_32_7
Lpol_XM_022386698.1	Lpol_32_8
Lpol_XM_022386703.1	Lpol_32_9
Lpol_XM_013919539.2	Lpol_32_10
Lpol_XM_022386749.1	Lpol_32_11
Lpol_XM_022386712.1	Lpol_32_12
Lpol_XM_022386718.1	Lpol_32_13
Lpol_XM_022386625.1	Lpol_32_14
Lpol_XM_022386634.1	Lpol_32_15
