Ttra_KNC45887	Ttra_1_1
Ttra_KNC45988	Ttra_1_102
Ttra_KNC45989	Ttra_1_103
Ttra_KNC45990	Ttra_1_104
Ttra_KNC45991	Ttra_1_105
Ttra_KNC45992	Ttra_1_106
Ttra_KNC45993	Ttra_1_107
Ttra_KNC45994	Ttra_1_108
Ttra_KNC45995	Ttra_1_109
Ttra_KNC45996	Ttra_1_110
Ttra_KNC45997	Ttra_1_111
Ttra_KNC45998	Ttra_1_112
Ttra_KNC45999	Ttra_1_113
Ttra_KNC46000	Ttra_1_114
Ttra_KNC46001	Ttra_1_115
Ttra_KNC46002	Ttra_1_116
Ttra_KNC46003	Ttra_1_117
Ttra_KNC46004	Ttra_1_118
Ttra_KNC46005	Ttra_1_119
Ttra_KNC46006	Ttra_1_120
Ttra_KNC46007	Ttra_1_121
Ttra_KNC46008	Ttra_1_122
Ttra_KNC46009	Ttra_1_123
Ttra_KNC46010	Ttra_1_124
Ttra_KNC46011	Ttra_1_125
Ttra_KNC46012	Ttra_1_126
Ttra_KNC46013	Ttra_1_127
Ttra_KNC46014	Ttra_1_128
Ttra_KNC46015	Ttra_1_129
Ttra_KNC46016	Ttra_1_130
Ttra_KNC46017	Ttra_1_131
Ttra_KNC46018	Ttra_1_132
Ttra_KNC46019	Ttra_1_133
Ttra_KNC46020	Ttra_1_134
Ttra_KNC46021	Ttra_1_135
Ttra_KNC46022	Ttra_1_136
Ttra_KNC46023	Ttra_1_137
Ttra_KNC46024	Ttra_1_138
Ttra_KNC46025	Ttra_1_139
Ttra_KNC46026	Ttra_1_140
Ttra_KNC46027	Ttra_1_141
Ttra_KNC46028	Ttra_1_142
Ttra_KNC46029	Ttra_1_143
Ttra_KNC46030	Ttra_1_144
Ttra_KNC46031	Ttra_1_145
Ttra_KNC46032	Ttra_1_146
Ttra_KNC46033	Ttra_1_147
Ttra_KNC46034	Ttra_1_148
Ttra_KNC46035	Ttra_1_149
Ttra_KNC46036	Ttra_1_150
Ttra_KNC46037	Ttra_1_151
Ttra_KNC46038	Ttra_1_152
Ttra_KNC46039	Ttra_1_153
Ttra_KNC46040	Ttra_1_154
Ttra_KNC46041	Ttra_1_155
Ttra_KNC46042	Ttra_1_156
Ttra_KNC46043	Ttra_1_157
Ttra_KNC46045	Ttra_1_158
Ttra_KNC46046	Ttra_1_159
Ttra_KNC46047	Ttra_1_160
Ttra_KNC46048	Ttra_1_161
Ttra_KNC46049	Ttra_1_162
Ttra_KNC46050	Ttra_1_163
Ttra_KNC46051	Ttra_1_164
Ttra_KNC46052	Ttra_1_165
Ttra_KNC46053	Ttra_1_166
Ttra_KNC46054	Ttra_1_167
Ttra_KNC46055	Ttra_1_168
Ttra_KNC46056	Ttra_1_169
Ttra_KNC46057	Ttra_1_170
Ttra_KNC46058	Ttra_1_171
Ttra_KNC46059	Ttra_1_172
Ttra_KNC46060	Ttra_1_173
Ttra_KNC46061	Ttra_1_174
Ttra_KNC46062	Ttra_1_175
Ttra_KNC46063	Ttra_1_176
Ttra_KNC46064	Ttra_1_177
Ttra_KNC46065	Ttra_1_178
Ttra_KNC46066	Ttra_1_179
Ttra_KNC46067	Ttra_1_180
Ttra_KNC46068	Ttra_1_181
Ttra_KNC46069	Ttra_1_182
Ttra_KNC46070	Ttra_1_183
Ttra_KNC46071	Ttra_1_184
Ttra_KNC46072	Ttra_1_185
Ttra_KNC46073	Ttra_1_186
Ttra_KNC46074	Ttra_1_187
Ttra_KNC46075	Ttra_1_188
Ttra_KNC46076	Ttra_1_189
Ttra_KNC46077	Ttra_1_190
Ttra_KNC46078	Ttra_1_191
Ttra_KNC46079	Ttra_1_192
Ttra_KNC46080	Ttra_1_193
Ttra_KNC46081	Ttra_1_194
Ttra_KNC46082	Ttra_1_195
Ttra_KNC46083	Ttra_1_196
Ttra_KNC46084	Ttra_1_197
Ttra_KNC46085	Ttra_1_198
Ttra_KNC46086	Ttra_1_199
Ttra_KNC46087	Ttra_1_200
Ttra_KNC46088	Ttra_1_201
Ttra_KNC46089	Ttra_1_202
Ttra_KNC46090	Ttra_1_203
Ttra_KNC46091	Ttra_1_204
Ttra_KNC46092	Ttra_1_205
Ttra_KNC46093	Ttra_1_206
Ttra_KNC46094	Ttra_1_207
Ttra_KNC46095	Ttra_1_208
Ttra_KNC46096	Ttra_1_209
Ttra_KNC46097	Ttra_1_210
Ttra_KNC46098	Ttra_1_211
Ttra_KNC46099	Ttra_1_212
Ttra_KNC46100	Ttra_1_213
Ttra_KNC46101	Ttra_1_214
Ttra_KNC46102	Ttra_1_215
Ttra_KNC46103	Ttra_1_216
Ttra_KNC46104	Ttra_1_217
Ttra_KNC46105	Ttra_1_218
Ttra_KNC46106	Ttra_1_219
Ttra_KNC46107	Ttra_1_220
Ttra_KNC46108	Ttra_1_221
Ttra_KNC46109	Ttra_1_222
Ttra_KNC46110	Ttra_1_223
Ttra_KNC46111	Ttra_1_224
Ttra_KNC46112	Ttra_1_225
Ttra_KNC46113	Ttra_1_226
Ttra_KNC46114	Ttra_1_227
Ttra_KNC46115	Ttra_1_228
Ttra_KNC46116	Ttra_1_229
Ttra_KNC46117	Ttra_1_230
Ttra_KNC46118	Ttra_1_231
Ttra_KNC46119	Ttra_1_232
Ttra_KNC46120	Ttra_1_233
Ttra_KNC46121	Ttra_1_234
Ttra_KNC46122	Ttra_1_235
Ttra_KNC46123	Ttra_1_236
Ttra_KNC46124	Ttra_1_237
Ttra_KNC46125	Ttra_1_238
Ttra_KNC46126	Ttra_1_239
Ttra_KNC46127	Ttra_1_240
Ttra_KNC46128	Ttra_1_241
Ttra_KNC46129	Ttra_1_242
Ttra_KNC46130	Ttra_1_243
Ttra_KNC46131	Ttra_1_244
Ttra_KNC46132	Ttra_1_245
Ttra_KNC46133	Ttra_1_246
Ttra_KNC46134	Ttra_1_247
Ttra_KNC46135	Ttra_1_248
Ttra_KNC46136	Ttra_1_249
Ttra_KNC46137	Ttra_1_250
Ttra_KNC46138	Ttra_1_251
Ttra_KNC46139	Ttra_1_252
Ttra_KNC46140	Ttra_1_253
Ttra_KNC46141	Ttra_1_254
Ttra_KNC46142	Ttra_1_255
Ttra_KNC46143	Ttra_1_256
Ttra_KNC46144	Ttra_1_257
Ttra_KNC46145	Ttra_1_258
Ttra_KNC46146	Ttra_1_259
Ttra_KNC46147	Ttra_1_260
Ttra_KNC46148	Ttra_1_261
Ttra_KNC46149	Ttra_1_262
Ttra_KNC46150	Ttra_1_263
Ttra_KNC46151	Ttra_1_264
Ttra_KNC46152	Ttra_1_265
Ttra_KNC46153	Ttra_1_266
Ttra_KNC46154	Ttra_1_267
Ttra_KNC46155	Ttra_1_268
Ttra_KNC46156	Ttra_1_269
Ttra_KNC46157	Ttra_1_270
Ttra_KNC46158	Ttra_1_271
Ttra_KNC46159	Ttra_1_272
Ttra_KNC46160	Ttra_1_273
Ttra_KNC46161	Ttra_1_274
Ttra_KNC46162	Ttra_1_275
Ttra_KNC46163	Ttra_1_276
Ttra_KNC46164	Ttra_1_277
Ttra_KNC46165	Ttra_1_278
Ttra_KNC46166	Ttra_1_279
Ttra_KNC46167	Ttra_1_280
Ttra_KNC46168	Ttra_1_281
Ttra_KNC46169	Ttra_1_282
Ttra_KNC46170	Ttra_1_283
Ttra_KNC46171	Ttra_1_284
Ttra_KNC46172	Ttra_1_285
Ttra_KNC46173	Ttra_1_286
Ttra_KNC46174	Ttra_1_287
Ttra_KNC46175	Ttra_1_288
Ttra_KNC46176	Ttra_1_289
Ttra_KNC46177	Ttra_1_290
Ttra_KNC46178	Ttra_1_291
Ttra_KNC46179	Ttra_1_292
Ttra_KNC46180	Ttra_1_293
Ttra_KNC46181	Ttra_1_294
Ttra_KNC46182	Ttra_1_295
Ttra_KNC46183	Ttra_1_296
Ttra_KNC46184	Ttra_1_297
Ttra_KNC46185	Ttra_1_298
Ttra_KNC46186	Ttra_1_299
Ttra_KNC46187	Ttra_1_300
Ttra_KNC46188	Ttra_1_301
Ttra_KNC46189	Ttra_1_302
Ttra_KNC46190	Ttra_1_303
Ttra_KNC46191	Ttra_1_304
Ttra_KNC46192	Ttra_1_305
Ttra_KNC46193	Ttra_1_306
Ttra_KNC46194	Ttra_1_307
Ttra_KNC46195	Ttra_1_308
Ttra_KNC46196	Ttra_1_309
Ttra_KNC46197	Ttra_1_310
Ttra_KNC46198	Ttra_1_311
Ttra_KNC46199	Ttra_1_312
Ttra_KNC46200	Ttra_1_313
Ttra_KNC46201	Ttra_1_314
Ttra_KNC46202	Ttra_1_315
Ttra_KNC46203	Ttra_1_316
Ttra_KNC46204	Ttra_1_317
Ttra_KNC46205	Ttra_1_318
Ttra_KNC48549	Ttra_2_1
Ttra_KNC48550	Ttra_2_2
Ttra_KNC48551	Ttra_2_3
Ttra_KNC48552	Ttra_2_4
Ttra_KNC48553	Ttra_2_5
Ttra_KNC48554	Ttra_2_6
Ttra_KNC48555	Ttra_2_7
Ttra_KNC48556	Ttra_2_8
Ttra_KNC48557	Ttra_2_9
Ttra_KNC48558	Ttra_2_10
Ttra_KNC48559	Ttra_2_11
Ttra_KNC48560	Ttra_2_12
Ttra_KNC48561	Ttra_2_13
Ttra_KNC48562	Ttra_2_14
Ttra_KNC48563	Ttra_2_15
Ttra_KNC48564	Ttra_2_16
Ttra_KNC48565	Ttra_2_17
Ttra_KNC48566	Ttra_2_18
Ttra_KNC48567	Ttra_2_19
Ttra_KNC48568	Ttra_2_20
Ttra_KNC48569	Ttra_2_21
Ttra_KNC48570	Ttra_2_22
Ttra_KNC48571	Ttra_2_23
Ttra_KNC48572	Ttra_2_24
Ttra_KNC48573	Ttra_2_25
Ttra_KNC48574	Ttra_2_26
Ttra_KNC48575	Ttra_2_27
Ttra_KNC48576	Ttra_2_28
Ttra_KNC48577	Ttra_2_29
Ttra_KNC48578	Ttra_2_30
Ttra_KNC48579	Ttra_2_31
Ttra_KNC48580	Ttra_2_32
Ttra_KNC48581	Ttra_2_33
Ttra_KNC48582	Ttra_2_34
Ttra_KNC48583	Ttra_2_35
Ttra_KNC48584	Ttra_2_36
Ttra_KNC48585	Ttra_2_37
Ttra_KNC48586	Ttra_2_38
Ttra_KNC48587	Ttra_2_39
Ttra_KNC48588	Ttra_2_40
Ttra_KNC48589	Ttra_2_41
Ttra_KNC48590	Ttra_2_42
Ttra_KNC48591	Ttra_2_43
Ttra_KNC48592	Ttra_2_44
Ttra_KNC48593	Ttra_2_45
Ttra_KNC48594	Ttra_2_46
Ttra_KNC48595	Ttra_2_47
Ttra_KNC48596	Ttra_2_48
Ttra_KNC48597	Ttra_2_49
Ttra_KNC48598	Ttra_2_50
Ttra_KNC48599	Ttra_2_51
Ttra_KNC48600	Ttra_2_52
Ttra_KNC48601	Ttra_2_53
Ttra_KNC48602	Ttra_2_54
Ttra_KNC48603	Ttra_2_55
Ttra_KNC48604	Ttra_2_56
Ttra_KNC48605	Ttra_2_57
Ttra_KNC48606	Ttra_2_58
Ttra_KNC48607	Ttra_2_59
Ttra_KNC48608	Ttra_2_60
Ttra_KNC48609	Ttra_2_61
Ttra_KNC48610	Ttra_2_62
Ttra_KNC48611	Ttra_2_63
Ttra_KNC48612	Ttra_2_64
Ttra_KNC48613	Ttra_2_65
Ttra_KNC48614	Ttra_2_66
Ttra_KNC48615	Ttra_2_67
Ttra_KNC48616	Ttra_2_68
Ttra_KNC48617	Ttra_2_69
Ttra_KNC48618	Ttra_2_70
Ttra_KNC48619	Ttra_2_71
Ttra_KNC48620	Ttra_2_72
Ttra_KNC48621	Ttra_2_73
Ttra_KNC48622	Ttra_2_74
Ttra_KNC48623	Ttra_2_75
Ttra_KNC48624	Ttra_2_76
Ttra_KNC48625	Ttra_2_77
Ttra_KNC48626	Ttra_2_78
Ttra_KNC48627	Ttra_2_79
Ttra_KNC48628	Ttra_2_80
Ttra_KNC48629	Ttra_2_81
Ttra_KNC48630	Ttra_2_82
Ttra_KNC48631	Ttra_2_83
Ttra_KNC48632	Ttra_2_84
Ttra_KNC48633	Ttra_2_85
Ttra_KNC48634	Ttra_2_86
Ttra_KNC48635	Ttra_2_87
Ttra_KNC48636	Ttra_2_88
Ttra_KNC48637	Ttra_2_89
Ttra_KNC48638	Ttra_2_90
Ttra_KNC48639	Ttra_2_91
Ttra_KNC48640	Ttra_2_92
Ttra_KNC48641	Ttra_2_93
Ttra_KNC48642	Ttra_2_94
Ttra_KNC48643	Ttra_2_95
Ttra_KNC48644	Ttra_2_96
Ttra_KNC48645	Ttra_2_97
Ttra_KNC48646	Ttra_2_98
Ttra_KNC48647	Ttra_2_99
Ttra_KNC48648	Ttra_2_100
Ttra_KNC48649	Ttra_2_101
Ttra_KNC48650	Ttra_2_102
Ttra_KNC48651	Ttra_2_103
Ttra_KNC48652	Ttra_2_104
Ttra_KNC48653	Ttra_2_105
Ttra_KNC48654	Ttra_2_106
Ttra_KNC48655	Ttra_2_107
Ttra_KNC48656	Ttra_2_108
Ttra_KNC48657	Ttra_2_109
Ttra_KNC48658	Ttra_2_110
Ttra_KNC48659	Ttra_2_111
Ttra_KNC48660	Ttra_2_112
Ttra_KNC48661	Ttra_2_113
Ttra_KNC48662	Ttra_2_114
Ttra_KNC48663	Ttra_2_115
Ttra_KNC48664	Ttra_2_116
Ttra_KNC48665	Ttra_2_117
Ttra_KNC48666	Ttra_2_118
Ttra_KNC48667	Ttra_2_119
Ttra_KNC48668	Ttra_2_120
Ttra_KNC48669	Ttra_2_121
Ttra_KNC48670	Ttra_2_122
Ttra_KNC48672	Ttra_2_123
Ttra_KNC48673	Ttra_2_124
Ttra_KNC48674	Ttra_2_125
Ttra_KNC48675	Ttra_2_126
Ttra_KNC48676	Ttra_2_127
Ttra_KNC48677	Ttra_2_128
Ttra_KNC48678	Ttra_2_129
Ttra_KNC48679	Ttra_2_130
Ttra_KNC48680	Ttra_2_131
Ttra_KNC48681	Ttra_2_132
Ttra_KNC48682	Ttra_2_133
Ttra_KNC48683	Ttra_2_134
Ttra_KNC48684	Ttra_2_135
Ttra_KNC48685	Ttra_2_136
Ttra_KNC48686	Ttra_2_137
Ttra_KNC48687	Ttra_2_138
Ttra_KNC48688	Ttra_2_139
Ttra_KNC48689	Ttra_2_140
Ttra_KNC48690	Ttra_2_141
Ttra_KNC48691	Ttra_2_142
Ttra_KNC48692	Ttra_2_143
Ttra_KNC48693	Ttra_2_144
Ttra_KNC48694	Ttra_2_145
Ttra_KNC48695	Ttra_2_146
Ttra_KNC48696	Ttra_2_147
Ttra_KNC48697	Ttra_2_148
Ttra_KNC48698	Ttra_2_149
Ttra_KNC48699	Ttra_2_150
Ttra_KNC48700	Ttra_2_151
Ttra_KNC48701	Ttra_2_152
Ttra_KNC48702	Ttra_2_153
Ttra_KNC48703	Ttra_2_154
Ttra_KNC48704	Ttra_2_155
Ttra_KNC48705	Ttra_2_156
Ttra_KNC48706	Ttra_2_157
Ttra_KNC48707	Ttra_2_158
Ttra_KNC48708	Ttra_2_159
Ttra_KNC48709	Ttra_2_160
Ttra_KNC48710	Ttra_2_161
Ttra_KNC48711	Ttra_2_162
Ttra_KNC48712	Ttra_2_163
Ttra_KNC48713	Ttra_2_164
Ttra_KNC48714	Ttra_2_165
Ttra_KNC48715	Ttra_2_166
Ttra_KNC48716	Ttra_2_167
Ttra_KNC48717	Ttra_2_168
Ttra_KNC48718	Ttra_2_169
Ttra_KNC48719	Ttra_2_170
Ttra_KNC48720	Ttra_2_171
Ttra_KNC48721	Ttra_2_172
Ttra_KNC48722	Ttra_2_173
Ttra_KNC48723	Ttra_2_174
Ttra_KNC48724	Ttra_2_175
Ttra_KNC48725	Ttra_2_176
Ttra_KNC48726	Ttra_2_177
Ttra_KNC48727	Ttra_2_178
Ttra_KNC48728	Ttra_2_179
Ttra_KNC48729	Ttra_2_180
Ttra_KNC48730	Ttra_2_181
Ttra_KNC48731	Ttra_2_182
Ttra_KNC48732	Ttra_2_183
Ttra_KNC48733	Ttra_2_184
Ttra_KNC48734	Ttra_2_185
Ttra_KNC48735	Ttra_2_186
Ttra_KNC48736	Ttra_2_187
Ttra_KNC48737	Ttra_2_188
Ttra_KNC48738	Ttra_2_189
Ttra_KNC48739	Ttra_2_190
Ttra_KNC48740	Ttra_2_191
Ttra_KNC48741	Ttra_2_192
Ttra_KNC48742	Ttra_2_193
Ttra_KNC48743	Ttra_2_194
Ttra_KNC48744	Ttra_2_195
Ttra_KNC48745	Ttra_2_196
Ttra_KNC48746	Ttra_2_197
Ttra_KNC48747	Ttra_2_198
Ttra_KNC48748	Ttra_2_199
Ttra_KNC48749	Ttra_2_200
Ttra_KNC48750	Ttra_2_201
Ttra_KNC48751	Ttra_2_202
Ttra_KNC48752	Ttra_2_203
Ttra_KNC48753	Ttra_2_204
Ttra_KNC48754	Ttra_2_205
Ttra_KNC48755	Ttra_2_206
Ttra_KNC48756	Ttra_2_207
Ttra_KNC48757	Ttra_2_208
Ttra_KNC48758	Ttra_2_209
Ttra_KNC48759	Ttra_2_210
Ttra_KNC48760	Ttra_2_211
Ttra_KNC48761	Ttra_2_212
Ttra_KNC48762	Ttra_2_213
Ttra_KNC48763	Ttra_2_214
Ttra_KNC48764	Ttra_2_215
Ttra_KNC48765	Ttra_2_216
Ttra_KNC48766	Ttra_2_217
Ttra_KNC48767	Ttra_2_218
Ttra_KNC48768	Ttra_2_219
Ttra_KNC48769	Ttra_2_220
Ttra_KNC48770	Ttra_2_221
Ttra_KNC48771	Ttra_2_222
Ttra_KNC48772	Ttra_2_223
Ttra_KNC48773	Ttra_2_224
Ttra_KNC48774	Ttra_2_225
Ttra_KNC48775	Ttra_2_226
Ttra_KNC48776	Ttra_2_227
Ttra_KNC48777	Ttra_2_228
Ttra_KNC48778	Ttra_2_229
Ttra_KNC48779	Ttra_2_230
Ttra_KNC48780	Ttra_2_231
Ttra_KNC48781	Ttra_2_232
Ttra_KNC48782	Ttra_2_233
Ttra_KNC48783	Ttra_2_234
Ttra_KNC48784	Ttra_2_235
Ttra_KNC48785	Ttra_2_236
Ttra_KNC48786	Ttra_2_237
Ttra_KNC48787	Ttra_2_238
Ttra_KNC48788	Ttra_2_239
Ttra_KNC48789	Ttra_2_240
Ttra_KNC48790	Ttra_2_241
Ttra_KNC48791	Ttra_2_242
Ttra_KNC48792	Ttra_2_243
Ttra_KNC48793	Ttra_2_244
Ttra_KNC48794	Ttra_2_245
Ttra_KNC48795	Ttra_2_246
Ttra_KNC48796	Ttra_2_247
Ttra_KNC48797	Ttra_2_248
Ttra_KNC48798	Ttra_2_249
Ttra_KNC48799	Ttra_2_250
Ttra_KNC48800	Ttra_2_251
Ttra_KNC48801	Ttra_2_252
Ttra_KNC48802	Ttra_2_253
Ttra_KNC48803	Ttra_2_254
Ttra_KNC48804	Ttra_2_255
Ttra_KNC48805	Ttra_2_256
Ttra_KNC48806	Ttra_2_257
Ttra_KNC48807	Ttra_2_258
Ttra_KNC48808	Ttra_2_259
Ttra_KNC48809	Ttra_2_260
Ttra_KNC48810	Ttra_2_261
Ttra_KNC48811	Ttra_2_262
Ttra_KNC48812	Ttra_2_263
Ttra_KNC48813	Ttra_2_264
Ttra_KNC48814	Ttra_2_265
Ttra_KNC48815	Ttra_2_266
Ttra_KNC48816	Ttra_2_267
Ttra_KNC48817	Ttra_2_268
Ttra_KNC48818	Ttra_2_269
Ttra_KNC50441	Ttra_3_1
Ttra_KNC50442	Ttra_3_2
Ttra_KNC50443	Ttra_3_3
Ttra_KNC50444	Ttra_3_4
Ttra_KNC50445	Ttra_3_5
Ttra_KNC50446	Ttra_3_6
Ttra_KNC50447	Ttra_3_7
Ttra_KNC50448	Ttra_3_8
Ttra_KNC50449	Ttra_3_9
Ttra_KNC50450	Ttra_3_10
Ttra_KNC50451	Ttra_3_11
Ttra_KNC50452	Ttra_3_12
Ttra_KNC50453	Ttra_3_13
Ttra_KNC50454	Ttra_3_14
Ttra_KNC50455	Ttra_3_15
Ttra_KNC50456	Ttra_3_16
Ttra_KNC50457	Ttra_3_17
Ttra_KNC50458	Ttra_3_18
Ttra_KNC50459	Ttra_3_19
Ttra_KNC50460	Ttra_3_20
Ttra_KNC50461	Ttra_3_21
Ttra_KNC50462	Ttra_3_22
Ttra_KNC50463	Ttra_3_23
Ttra_KNC50464	Ttra_3_24
Ttra_KNC50465	Ttra_3_25
Ttra_KNC50466	Ttra_3_26
Ttra_KNC50467	Ttra_3_27
Ttra_KNC50468	Ttra_3_28
Ttra_KNC50469	Ttra_3_29
Ttra_KNC50470	Ttra_3_30
Ttra_KNC50471	Ttra_3_31
Ttra_KNC50472	Ttra_3_32
Ttra_KNC50473	Ttra_3_33
Ttra_KNC50474	Ttra_3_34
Ttra_KNC50475	Ttra_3_35
Ttra_KNC50476	Ttra_3_36
Ttra_KNC50477	Ttra_3_37
Ttra_KNC50478	Ttra_3_38
Ttra_KNC50479	Ttra_3_39
Ttra_KNC50480	Ttra_3_40
Ttra_KNC50481	Ttra_3_41
Ttra_KNC50482	Ttra_3_42
Ttra_KNC50483	Ttra_3_43
Ttra_KNC50484	Ttra_3_44
Ttra_KNC50485	Ttra_3_45
Ttra_KNC50486	Ttra_3_46
Ttra_KNC50487	Ttra_3_47
Ttra_KNC50488	Ttra_3_48
Ttra_KNC50489	Ttra_3_49
Ttra_KNC50490	Ttra_3_50
Ttra_KNC50491	Ttra_3_51
Ttra_KNC50492	Ttra_3_52
Ttra_KNC50493	Ttra_3_53
Ttra_KNC50494	Ttra_3_54
Ttra_KNC50495	Ttra_3_55
Ttra_KNC50496	Ttra_3_56
Ttra_KNC50497	Ttra_3_57
Ttra_KNC50498	Ttra_3_58
Ttra_KNC50499	Ttra_3_59
Ttra_KNC50500	Ttra_3_60
Ttra_KNC50501	Ttra_3_61
Ttra_KNC50502	Ttra_3_62
Ttra_KNC50503	Ttra_3_63
Ttra_KNC50504	Ttra_3_64
Ttra_KNC50505	Ttra_3_65
Ttra_KNC50506	Ttra_3_66
Ttra_KNC50507	Ttra_3_67
Ttra_KNC50508	Ttra_3_68
Ttra_KNC50509	Ttra_3_69
Ttra_KNC50510	Ttra_3_70
Ttra_KNC50511	Ttra_3_71
Ttra_KNC50512	Ttra_3_72
Ttra_KNC50513	Ttra_3_73
Ttra_KNC50514	Ttra_3_74
Ttra_KNC50515	Ttra_3_75
Ttra_KNC50516	Ttra_3_76
Ttra_KNC50517	Ttra_3_77
Ttra_KNC50518	Ttra_3_78
Ttra_KNC50519	Ttra_3_79
Ttra_KNC50520	Ttra_3_80
Ttra_KNC50521	Ttra_3_81
Ttra_KNC50522	Ttra_3_82
Ttra_KNC50523	Ttra_3_83
Ttra_KNC50524	Ttra_3_84
Ttra_KNC50525	Ttra_3_85
Ttra_KNC50526	Ttra_3_86
Ttra_KNC50527	Ttra_3_87
Ttra_KNC50528	Ttra_3_88
Ttra_KNC50529	Ttra_3_89
Ttra_KNC50530	Ttra_3_90
Ttra_KNC50531	Ttra_3_91
Ttra_KNC50532	Ttra_3_92
Ttra_KNC50533	Ttra_3_93
Ttra_KNC50534	Ttra_3_94
Ttra_KNC50535	Ttra_3_95
Ttra_KNC50536	Ttra_3_96
Ttra_KNC50537	Ttra_3_97
Ttra_KNC50538	Ttra_3_98
Ttra_KNC50539	Ttra_3_99
Ttra_KNC50540	Ttra_3_100
Ttra_KNC50541	Ttra_3_101
Ttra_KNC50542	Ttra_3_102
Ttra_KNC50543	Ttra_3_103
Ttra_KNC50544	Ttra_3_104
Ttra_KNC50545	Ttra_3_105
Ttra_KNC50546	Ttra_3_106
Ttra_KNC50547	Ttra_3_107
Ttra_KNC50548	Ttra_3_108
Ttra_KNC50549	Ttra_3_109
Ttra_KNC50550	Ttra_3_110
Ttra_KNC50551	Ttra_3_111
Ttra_KNC50552	Ttra_3_112
