Rirr_XM_025323691.1	Rirr_1_1
Rirr_XM_025312299.1	Rirr_1_180
Rirr_XM_025312300.1	Rirr_1_181
Rirr_XM_025312301.1	Rirr_1_182
Rirr_XM_025323733.1	Rirr_1_183
Rirr_XM_025334298.1	Rirr_1_184
Rirr_XM_025312302.1	Rirr_1_185
Rirr_XM_025312303.1	Rirr_1_186
Rirr_XM_025312304.1	Rirr_1_187
Rirr_XM_025312305.1	Rirr_1_188
Rirr_XM_025312306.1	Rirr_1_189
Rirr_XM_025323348.1	Rirr_1_190
Rirr_XM_025312307.1	Rirr_1_191
Rirr_XM_025312308.1	Rirr_1_192
Rirr_XM_025312309.1	Rirr_1_193
Rirr_XM_025312310.1	Rirr_1_194
Rirr_XM_025312311.1	Rirr_1_195
Rirr_XM_025312312.1	Rirr_1_196
Rirr_XM_025312313.1	Rirr_1_197
Rirr_XM_025312314.1	Rirr_1_198
Rirr_XM_025312315.1	Rirr_1_199
Rirr_XM_025312316.1	Rirr_1_200
Rirr_XM_025308929.1	Rirr_1_201
Rirr_XM_025312317.1	Rirr_1_202
Rirr_XM_025331018.1	Rirr_1_203
Rirr_XM_025312318.1	Rirr_1_204
Rirr_XM_025312319.1	Rirr_1_205
Rirr_XM_025323734.1	Rirr_1_206
Rirr_XM_025323735.1	Rirr_1_207
Rirr_XM_025333363.1	Rirr_2_1
Rirr_XM_025312320.1	Rirr_2_2
Rirr_XM_025323736.1	Rirr_2_3
Rirr_XM_025333364.1	Rirr_2_4
Rirr_XM_025329866.1	Rirr_2_5
Rirr_XM_025323737.1	Rirr_2_6
Rirr_XM_025323349.1	Rirr_2_7
Rirr_XM_025331274.1	Rirr_2_8
Rirr_XM_025333365.1	Rirr_2_9
Rirr_XM_025331019.1	Rirr_2_10
Rirr_XM_025312321.1	Rirr_2_11
Rirr_XM_025331275.1	Rirr_2_12
Rirr_XM_025308830.1	Rirr_2_13
Rirr_XM_025309732.1	Rirr_2_14
Rirr_XM_025312322.1	Rirr_2_15
Rirr_XM_025309733.1	Rirr_2_16
Rirr_XM_025312323.1	Rirr_2_17
Rirr_XM_025309734.1	Rirr_2_18
Rirr_XM_025312324.1	Rirr_2_19
Rirr_XM_025333366.1	Rirr_2_20
Rirr_XM_025312325.1	Rirr_2_21
Rirr_XM_025312326.1	Rirr_2_22
Rirr_XM_025323738.1	Rirr_2_23
Rirr_XM_025309735.1	Rirr_2_24
Rirr_XM_025323739.1	Rirr_2_25
Rirr_XM_025323740.1	Rirr_2_26
Rirr_XM_025331276.1	Rirr_2_27
Rirr_XM_025331277.1	Rirr_2_28
Rirr_XM_025323741.1	Rirr_2_29
Rirr_XM_025331278.1	Rirr_2_30
Rirr_XM_025333367.1	Rirr_2_31
Rirr_XM_025333368.1	Rirr_2_32
Rirr_XM_025331279.1	Rirr_2_33
Rirr_XM_025323742.1	Rirr_2_34
Rirr_XM_025333369.1	Rirr_2_35
Rirr_XM_025312327.1	Rirr_2_36
Rirr_XM_025323743.1	Rirr_2_37
Rirr_XM_025312328.1	Rirr_2_38
Rirr_XM_025312329.1	Rirr_2_39
Rirr_XM_025308935.1	Rirr_2_40
Rirr_XM_025323744.1	Rirr_2_41
Rirr_XM_025323745.1	Rirr_2_42
Rirr_XM_025323746.1	Rirr_2_43
Rirr_XM_025312330.1	Rirr_2_44
Rirr_XM_025329867.1	Rirr_2_45
Rirr_XM_025323747.1	Rirr_2_46
Rirr_XM_025323748.1	Rirr_2_47
Rirr_XM_025323749.1	Rirr_2_48
Rirr_XM_025323750.1	Rirr_2_49
Rirr_XM_025323751.1	Rirr_2_50
Rirr_XM_025309736.1	Rirr_2_51
Rirr_XM_025309737.1	Rirr_2_52
Rirr_XM_025323752.1	Rirr_2_53
Rirr_XM_025333370.1	Rirr_2_54
Rirr_XM_025331280.1	Rirr_2_55
Rirr_XM_025331281.1	Rirr_2_56
Rirr_XM_025312331.1	Rirr_2_57
Rirr_XM_025312332.1	Rirr_2_58
Rirr_XM_025312333.1	Rirr_2_59
Rirr_XM_025331282.1	Rirr_2_60
Rirr_XM_025323753.1	Rirr_2_61
Rirr_XM_025329868.1	Rirr_2_62
Rirr_XM_025323754.1	Rirr_2_63
Rirr_XM_025309738.1	Rirr_2_64
Rirr_XM_025323755.1	Rirr_2_65
Rirr_XM_025323756.1	Rirr_2_66
Rirr_XM_025323757.1	Rirr_2_67
Rirr_XM_025333371.1	Rirr_2_68
Rirr_XM_025329307.1	Rirr_2_69
Rirr_XM_025333372.1	Rirr_2_70
Rirr_XM_025312334.1	Rirr_2_71
Rirr_XM_025312335.1	Rirr_2_72
Rirr_XM_025329869.1	Rirr_2_73
Rirr_XM_025323758.1	Rirr_2_74
Rirr_XM_025323759.1	Rirr_2_75
Rirr_XM_025329308.1	Rirr_2_76
Rirr_XM_025333373.1	Rirr_2_77
Rirr_XM_025309739.1	Rirr_2_78
Rirr_XM_025309740.1	Rirr_2_79
Rirr_XM_025329870.1	Rirr_2_80
Rirr_XM_025329871.1	Rirr_2_81
Rirr_XM_025323760.1	Rirr_2_82
Rirr_XM_025323761.1	Rirr_2_83
Rirr_XM_025331283.1	Rirr_2_84
Rirr_XM_025329872.1	Rirr_2_85
Rirr_XM_025331284.1	Rirr_2_86
Rirr_XM_025333374.1	Rirr_2_87
Rirr_XM_025312336.1	Rirr_2_88
Rirr_XM_025323762.1	Rirr_2_89
Rirr_XM_025323763.1	Rirr_2_90
Rirr_XM_025331285.1	Rirr_2_91
Rirr_XM_025309741.1	Rirr_2_92
Rirr_XM_025323764.1	Rirr_2_93
Rirr_XM_025312337.1	Rirr_2_94
Rirr_XM_025323350.1	Rirr_2_95
Rirr_XM_025331286.1	Rirr_2_96
Rirr_XM_025312338.1	Rirr_2_97
Rirr_XM_025333375.1	Rirr_2_98
Rirr_XM_025331287.1	Rirr_2_99
Rirr_XM_025331288.1	Rirr_2_100
Rirr_XM_025333376.1	Rirr_2_101
Rirr_XM_025323765.1	Rirr_2_102
Rirr_XM_025329873.1	Rirr_2_103
Rirr_XM_025331289.1	Rirr_2_104
Rirr_XM_025308934.1	Rirr_2_105
Rirr_XM_025331290.1	Rirr_2_106
Rirr_XM_025312339.1	Rirr_2_107
Rirr_XM_025323766.1	Rirr_2_108
Rirr_XM_025331291.1	Rirr_2_109
Rirr_XM_025312340.1	Rirr_2_110
Rirr_XM_025333377.1	Rirr_2_111
Rirr_XM_025312341.1	Rirr_2_112
Rirr_XM_025308937.1	Rirr_2_113
Rirr_XM_025329309.1	Rirr_2_114
Rirr_XM_025323767.1	Rirr_2_115
Rirr_XM_025323768.1	Rirr_2_116
Rirr_XM_025308751.1	Rirr_2_117
Rirr_XM_025331292.1	Rirr_2_118
Rirr_XM_025312342.1	Rirr_2_119
Rirr_XM_025329874.1	Rirr_2_120
Rirr_XM_025312343.1	Rirr_2_121
Rirr_XM_025331293.1	Rirr_2_122
Rirr_XM_025333378.1	Rirr_2_123
Rirr_XM_025312344.1	Rirr_2_124
Rirr_XM_025312345.1	Rirr_2_125
Rirr_XM_025309742.1	Rirr_2_126
Rirr_XM_025331294.1	Rirr_2_127
Rirr_XM_025312346.1	Rirr_2_128
Rirr_XM_025329875.1	Rirr_2_129
Rirr_XM_025312347.1	Rirr_2_130
Rirr_XM_025329876.1	Rirr_2_131
Rirr_XM_025333379.1	Rirr_2_132
Rirr_XM_025308932.1	Rirr_2_133
Rirr_XM_025312348.1	Rirr_2_134
Rirr_XM_025323769.1	Rirr_2_135
Rirr_XM_025333380.1	Rirr_2_136
Rirr_XM_025308882.1	Rirr_2_137
Rirr_XM_025323770.1	Rirr_2_138
Rirr_XM_025312349.1	Rirr_2_139
Rirr_XM_025312350.1	Rirr_2_140
Rirr_XM_025309743.1	Rirr_2_141
Rirr_XM_025329877.1	Rirr_2_142
Rirr_XM_025312351.1	Rirr_2_143
Rirr_XM_025312352.1	Rirr_2_144
Rirr_XM_025331295.1	Rirr_2_145
Rirr_XM_025312353.1	Rirr_2_146
Rirr_XM_025312354.1	Rirr_2_147
Rirr_XM_025312355.1	Rirr_2_148
Rirr_XM_025309744.1	Rirr_2_149
Rirr_XM_025308936.1	Rirr_2_150
Rirr_XM_025323771.1	Rirr_2_151
Rirr_XM_025312356.1	Rirr_2_152
Rirr_XM_025329310.1	Rirr_2_153
Rirr_XM_025308933.1	Rirr_2_154
Rirr_XM_025329878.1	Rirr_2_155
Rirr_XM_025333381.1	Rirr_2_156
Rirr_XM_025309745.1	Rirr_2_157
Rirr_XM_025312357.1	Rirr_2_158
Rirr_XM_025323772.1	Rirr_2_159
Rirr_XM_025323773.1	Rirr_2_160
Rirr_XM_025329311.1	Rirr_2_161
Rirr_XM_025331020.1	Rirr_2_162
Rirr_XM_025312358.1	Rirr_2_163
Rirr_XM_025333382.1	Rirr_2_164
Rirr_XM_025309746.1	Rirr_2_165
Rirr_XM_025309747.1	Rirr_2_166
Rirr_XM_025333383.1	Rirr_2_167
Rirr_XM_025309748.1	Rirr_2_168
Rirr_XM_025323774.1	Rirr_2_169
Rirr_XM_025323775.1	Rirr_2_170
Rirr_XM_025331296.1	Rirr_2_171
Rirr_XM_025333384.1	Rirr_2_172
Rirr_XM_025309749.1	Rirr_2_173
Rirr_XM_025312359.1	Rirr_2_174
Rirr_XM_025333385.1	Rirr_2_175
Rirr_XM_025312360.1	Rirr_2_176
Rirr_XM_025323776.1	Rirr_2_177
Rirr_XM_025312361.1	Rirr_2_178
Rirr_XM_025323777.1	Rirr_2_179
Rirr_XM_025331297.1	Rirr_2_180
Rirr_XM_025312362.1	Rirr_2_181
Rirr_XM_025312363.1	Rirr_2_182
Rirr_XM_025323778.1	Rirr_2_183
Rirr_XM_025331298.1	Rirr_2_184
Rirr_XM_025312364.1	Rirr_2_185
Rirr_XM_025323779.1	Rirr_2_186
Rirr_XM_025333386.1	Rirr_2_187
Rirr_XM_025331021.1	Rirr_2_188
Rirr_XM_025329312.1	Rirr_2_189
Rirr_XM_025309750.1	Rirr_2_190
Rirr_XM_025309751.1	Rirr_2_191
Rirr_XM_025309752.1	Rirr_2_192
Rirr_XM_025329879.1	Rirr_2_193
Rirr_XM_025309753.1	Rirr_2_194
Rirr_XM_025331299.1	Rirr_3_1
Rirr_XM_025323780.1	Rirr_3_2
Rirr_XM_025309754.1	Rirr_3_3
Rirr_XM_025309755.1	Rirr_3_4
Rirr_XM_025312365.1	Rirr_3_5
Rirr_XM_025312366.1	Rirr_3_6
Rirr_XM_025323781.1	Rirr_3_7
Rirr_XM_025312367.1	Rirr_3_8
Rirr_XM_025323782.1	Rirr_3_9
Rirr_XM_025323783.1	Rirr_3_10
Rirr_XM_025331022.1	Rirr_3_11
Rirr_XM_025312368.1	Rirr_3_12
Rirr_XM_025312369.1	Rirr_3_13
Rirr_XM_025312370.1	Rirr_3_14
Rirr_XM_025312371.1	Rirr_3_15
Rirr_XM_025331300.1	Rirr_3_16
Rirr_XM_025312372.1	Rirr_3_17
Rirr_XM_025312373.1	Rirr_3_18
Rirr_XM_025331023.1	Rirr_3_19
Rirr_XM_025312374.1	Rirr_3_20
Rirr_XM_025312375.1	Rirr_3_21
Rirr_XM_025312376.1	Rirr_3_22
Rirr_XM_025312377.1	Rirr_3_23
Rirr_XM_025312378.1	Rirr_3_24
Rirr_XM_025312379.1	Rirr_3_25
Rirr_XM_025312380.1	Rirr_3_26
Rirr_XM_025312381.1	Rirr_3_27
Rirr_XM_025331301.1	Rirr_3_28
Rirr_XM_025312382.1	Rirr_3_29
Rirr_XM_025312383.1	Rirr_3_30
Rirr_XM_025323784.1	Rirr_3_31
Rirr_XM_025333772.1	Rirr_3_32
Rirr_XM_025323785.1	Rirr_3_33
Rirr_XM_025333776.1	Rirr_3_34
Rirr_XM_025323786.1	Rirr_3_35
Rirr_XM_025312384.1	Rirr_3_36
Rirr_XM_025312385.1	Rirr_3_37
Rirr_XM_025323787.1	Rirr_3_38
Rirr_XM_025323788.1	Rirr_3_39
Rirr_XM_025323789.1	Rirr_3_40
Rirr_XM_025312386.1	Rirr_3_41
Rirr_XM_025333777.1	Rirr_3_42
Rirr_XM_025329427.1	Rirr_3_43
Rirr_XM_025312387.1	Rirr_3_44
Rirr_XM_025312388.1	Rirr_3_45
Rirr_XM_025312389.1	Rirr_3_46
Rirr_XM_025312390.1	Rirr_3_47
Rirr_XM_025312391.1	Rirr_3_48
Rirr_XM_025308943.1	Rirr_3_49
Rirr_XM_025312392.1	Rirr_3_50
Rirr_XM_025312393.1	Rirr_3_51
Rirr_XM_025308939.1	Rirr_3_52
Rirr_XM_025308558.1	Rirr_3_53
Rirr_XM_025309756.1	Rirr_3_54
Rirr_XM_025329880.1	Rirr_3_55
Rirr_XM_025331302.1	Rirr_3_56
Rirr_XM_025312394.1	Rirr_3_57
Rirr_XM_025333778.1	Rirr_3_58
Rirr_XM_025312396.1	Rirr_3_59
Rirr_XM_025329881.1	Rirr_3_60
Rirr_XM_025323790.1	Rirr_3_61
Rirr_XM_025323791.1	Rirr_3_62
Rirr_XM_025308938.1	Rirr_3_63
Rirr_XM_025331303.1	Rirr_3_64
Rirr_XM_025312397.1	Rirr_3_65
Rirr_XM_025329428.1	Rirr_3_66
Rirr_XM_025333779.1	Rirr_3_67
Rirr_XM_025323792.1	Rirr_3_68
Rirr_XM_025331304.1	Rirr_3_69
Rirr_XM_025323793.1	Rirr_3_70
Rirr_XM_025331305.1	Rirr_3_71
Rirr_XM_025323794.1	Rirr_3_72
Rirr_XM_025333780.1	Rirr_3_73
Rirr_XM_025331024.1	Rirr_3_74
Rirr_XM_025331306.1	Rirr_3_75
Rirr_XM_025312398.1	Rirr_3_76
Rirr_XM_025312399.1	Rirr_3_77
Rirr_XM_025329429.1	Rirr_3_78
Rirr_XM_025309757.1	Rirr_3_79
Rirr_XM_025308768.1	Rirr_3_80
Rirr_XM_025323795.1	Rirr_3_81
Rirr_XM_025312400.1	Rirr_3_82
Rirr_XM_025331307.1	Rirr_3_83
Rirr_XM_025312401.1	Rirr_3_84
Rirr_XM_025309758.1	Rirr_3_85
Rirr_XM_025323796.1	Rirr_3_86
Rirr_XM_025329430.1	Rirr_3_87
Rirr_XM_025333781.1	Rirr_3_88
Rirr_XM_025312402.1	Rirr_3_89
Rirr_XM_025312403.1	Rirr_3_90
Rirr_XM_025309759.1	Rirr_3_91
Rirr_XM_025312404.1	Rirr_3_92
Rirr_XM_025309760.1	Rirr_3_93
Rirr_XM_025312405.1	Rirr_3_94
Rirr_XM_025312406.1	Rirr_3_95
Rirr_XM_025323797.1	Rirr_3_96
Rirr_XM_025329431.1	Rirr_3_97
Rirr_XM_025329882.1	Rirr_3_98
Rirr_XM_025329432.1	Rirr_3_99
Rirr_XM_025309761.1	Rirr_3_100
Rirr_XM_025309762.1	Rirr_3_101
Rirr_XM_025323351.1	Rirr_3_102
Rirr_XM_025312407.1	Rirr_3_103
Rirr_XM_025333782.1	Rirr_3_104
Rirr_XM_025329883.1	Rirr_3_105
Rirr_XM_025309763.1	Rirr_3_106
Rirr_XM_025312408.1	Rirr_3_107
Rirr_XM_025333784.1	Rirr_3_108
Rirr_XM_025333783.1	Rirr_3_109
Rirr_XM_025329433.1	Rirr_3_110
Rirr_XM_025323352.1	Rirr_3_111
Rirr_XM_025308941.1	Rirr_3_112
Rirr_XM_025309764.1	Rirr_3_113
Rirr_XM_025333785.1	Rirr_3_114
Rirr_XM_025323798.1	Rirr_3_115
Rirr_XM_025323799.1	Rirr_3_116
Rirr_XM_025309765.1	Rirr_3_117
Rirr_XM_025329434.1	Rirr_3_118
Rirr_XM_025312409.1	Rirr_3_119
Rirr_XM_025312410.1	Rirr_3_120
Rirr_XM_025312411.1	Rirr_3_121
Rirr_XM_025308714.1	Rirr_3_122
Rirr_XM_025333786.1	Rirr_3_123
Rirr_XM_025323800.1	Rirr_3_124
Rirr_XM_025333787.1	Rirr_3_125
Rirr_XM_025312412.1	Rirr_3_126
Rirr_XM_025331308.1	Rirr_3_127
Rirr_XM_025323801.1	Rirr_3_128
Rirr_XM_025331309.1	Rirr_3_129
Rirr_XM_025333788.1	Rirr_3_130
Rirr_XM_025308942.1	Rirr_3_131
Rirr_XM_025323802.1	Rirr_3_132
Rirr_XM_025323353.1	Rirr_3_133
Rirr_XM_025323803.1	Rirr_3_134
Rirr_XM_025331310.1	Rirr_3_135
Rirr_XM_025312413.1	Rirr_3_136
Rirr_XM_025312414.1	Rirr_3_137
Rirr_XM_025309766.1	Rirr_3_138
Rirr_XM_025312415.1	Rirr_3_139
Rirr_XM_025323804.1	Rirr_3_140
Rirr_XM_025312416.1	Rirr_3_141
Rirr_XM_025312417.1	Rirr_3_142
Rirr_XM_025312418.1	Rirr_3_143
Rirr_XM_025312419.1	Rirr_3_144
Rirr_XM_025312420.1	Rirr_3_145
Rirr_XM_025308940.1	Rirr_3_146
Rirr_XM_025312421.1	Rirr_3_147
Rirr_XM_025323805.1	Rirr_3_148
Rirr_XM_025323806.1	Rirr_3_149
Rirr_XM_025312422.1	Rirr_3_150
Rirr_XM_025312423.1	Rirr_3_151
Rirr_XM_025312424.1	Rirr_3_152
Rirr_XM_025323807.1	Rirr_3_153
Rirr_XM_025312425.1	Rirr_3_154
Rirr_XM_025308909.1	Rirr_3_155
Rirr_XM_025323808.1	Rirr_3_156
Rirr_XM_025331311.1	Rirr_3_157
Rirr_XM_025329884.1	Rirr_3_158
Rirr_XM_025309767.1	Rirr_3_159
Rirr_XM_025312426.1	Rirr_3_160
Rirr_XM_025312427.1	Rirr_3_161
Rirr_XM_025333789.1	Rirr_3_162
Rirr_XM_025333790.1	Rirr_3_163
Rirr_XM_025312428.1	Rirr_3_164
Rirr_XM_025312429.1	Rirr_3_165
Rirr_XM_025329885.1	Rirr_3_166
Rirr_XM_025329435.1	Rirr_3_167
Rirr_XM_025329886.1	Rirr_3_168
Rirr_XM_025331312.1	Rirr_3_169
Rirr_XM_025323809.1	Rirr_3_170
Rirr_XM_025329887.1	Rirr_3_171
Rirr_XM_025333792.1	Rirr_3_172
Rirr_XM_025333791.1	Rirr_3_173
Rirr_XM_025312430.1	Rirr_3_174
Rirr_XM_025312431.1	Rirr_3_175
Rirr_XM_025333793.1	Rirr_3_176
Rirr_XM_025309768.1	Rirr_3_177
Rirr_XM_025308846.1	Rirr_3_178
Rirr_XM_025309769.1	Rirr_3_179
Rirr_XM_025312432.1	Rirr_3_180
Rirr_XM_025312433.1	Rirr_3_181
Rirr_XM_025312434.1	Rirr_3_182
Rirr_XM_025312435.1	Rirr_3_183
Rirr_XM_025312436.1	Rirr_3_184
Rirr_XM_025333794.1	Rirr_3_185
Rirr_XM_025312437.1	Rirr_3_186
Rirr_XM_025323810.1	Rirr_3_187
Rirr_XM_025333796.1	Rirr_3_188
Rirr_XM_025333795.1	Rirr_3_189
Rirr_XM_025333797.1	Rirr_3_190
Rirr_XM_025312438.1	Rirr_3_191
Rirr_XM_025308733.1	Rirr_3_192
Rirr_XM_025323811.1	Rirr_3_193
Rirr_XM_025309770.1	Rirr_3_194
Rirr_XM_025309771.1	Rirr_3_195
Rirr_XM_025331313.1	Rirr_3_196
Rirr_XM_025312439.1	Rirr_3_197
Rirr_XM_025312440.1	Rirr_3_198
Rirr_XM_025312441.1	Rirr_3_199
Rirr_XM_025333798.1	Rirr_3_200
Rirr_XM_025312442.1	Rirr_3_201
Rirr_XM_025312443.1	Rirr_3_202
Rirr_XM_025312444.1	Rirr_3_203
Rirr_XM_025323812.1	Rirr_3_204
Rirr_XM_025312445.1	Rirr_3_205
Rirr_XM_025323813.1	Rirr_3_206
