Phatri_Phatr3_J31400.t1	Phatri_1_1
Phatri_Phatr3_EG01753.t1	Phatri_1_101
Phatri_Phatr3_J42498.t1	Phatri_1_102
Phatri_Phatr3_EG01826.t1	Phatri_1_103
Phatri_Phatr3_J42500.t1	Phatri_1_104
Phatri_Phatr3_J42501.t1	Phatri_1_105
Phatri_Phatr3_EG01854.t1	Phatri_1_106
Phatri_Phatr3_EG01855.t1	Phatri_1_107
Phatri_Phatr3_J42502.t1	Phatri_1_108
Phatri_Phatr3_J42503.t1	Phatri_1_109
Phatri_Phatr3_J8683.t1	Phatri_1_110
Phatri_Phatr3_J42504.t1	Phatri_1_111
Phatri_Phatr3_EG01833.t1	Phatri_1_112
Phatri_Phatr3_J42505.t1	Phatri_1_113
Phatri_Phatr3_J31508.t1	Phatri_1_114
Phatri_Phatr3_EG02200.t1	Phatri_1_115
Phatri_Phatr3_EG02192.t1	Phatri_1_116
Phatri_Phatr3_J42507.t1	Phatri_1_117
Phatri_Phatr3_J31511.t1	Phatri_1_118
Phatri_Phatr3_J1598.t1	Phatri_1_119
Phatri_Phatr3_J42510.t1	Phatri_1_120
Phatri_Phatr3_EG01794.t1	Phatri_1_121
Phatri_Phatr3_EG01884.t1	Phatri_1_122
Phatri_Phatr3_J42512.t1	Phatri_1_123
Phatri_Phatr3_EG01811.t1	Phatri_1_124
Phatri_Phatr3_EG01762.t1	Phatri_1_125
Phatri_Phatr3_J42513.t1	Phatri_1_126
Phatri_Phatr3_J42514.t1	Phatri_1_127
Phatri_Phatr3_J31518.t1	Phatri_1_128
Phatri_Phatr3_J42515.t1	Phatri_1_129
Phatri_Phatr3_J53939.t1	Phatri_1_130
Phatri_Phatr3_J24353.t1	Phatri_1_131
Phatri_Phatr3_J42518.t1	Phatri_1_132
Phatri_Phatr3_J42519.t1	Phatri_1_133
Phatri_Phatr3_J17226.t1	Phatri_1_134
Phatri_Phatr3_J31525.t1	Phatri_1_135
Phatri_Phatr3_J42521.t1	Phatri_1_136
Phatri_Phatr3_J17228.t1	Phatri_1_137
Phatri_Phatr3_J42523.t1	Phatri_1_138
Phatri_Phatr3_J31529.t1	Phatri_1_139
Phatri_Phatr3_J24362.t1	Phatri_1_140
Phatri_Phatr3_J6528.t1	Phatri_1_141
Phatri_Phatr3_J17238.t1	Phatri_1_142
Phatri_Phatr3_EG02195.t1	Phatri_1_143
Phatri_Phatr3_EG02474.t1	Phatri_1_144
Phatri_Phatr3_EG01778.t1	Phatri_1_145
Phatri_Phatr3_J31535.t1	Phatri_1_146
Phatri_Phatr3_J42527.t1	Phatri_1_147
Phatri_Phatr3_J31537.t1	Phatri_1_148
Phatri_Phatr3_J31539.t1	Phatri_1_149
Phatri_Phatr3_J42528.t1	Phatri_1_150
Phatri_Phatr3_EG01769.t1	Phatri_1_151
Phatri_Phatr3_J42529.t1	Phatri_1_152
Phatri_Phatr3_J42530.t1	Phatri_1_153
Phatri_Phatr3_J42531.t1	Phatri_1_154
Phatri_Phatr3_J31544.t1	Phatri_1_155
Phatri_Phatr3_J9386.t1	Phatri_1_156
Phatri_Phatr3_EG01806.t1	Phatri_1_157
Phatri_Phatr3_EG01807.t1	Phatri_1_158
Phatri_Phatr3_J9180.t1	Phatri_1_159
Phatri_Phatr3_J42534.t1	Phatri_1_160
Phatri_Phatr3_J42535.t1	Phatri_1_161
Phatri_Phatr3_J9538.t1	Phatri_1_162
Phatri_Phatr3_EG01766.t1	Phatri_1_163
Phatri_Phatr3_EG01776.t1	Phatri_1_164
Phatri_Phatr3_EG01784.t1	Phatri_1_165
Phatri_Phatr3_J42537.t1	Phatri_1_166
Phatri_Phatr3_J51345.t1	Phatri_1_167
Phatri_Phatr3_J42538.t1	Phatri_1_168
Phatri_Phatr3_J42539.t1	Phatri_1_169
Phatri_Phatr3_J9342.t1	Phatri_1_170
Phatri_Phatr3_J31556.t1	Phatri_1_171
Phatri_Phatr3_EG02412.t1	Phatri_1_172
Phatri_Phatr3_J31559.t1	Phatri_1_173
Phatri_Phatr3_J42543.t1	Phatri_1_174
Phatri_Phatr3_J9185.t1	Phatri_1_175
Phatri_Phatr3_EG02183.t1	Phatri_1_176
Phatri_Phatr3_EG02182.t1	Phatri_1_177
Phatri_Phatr3_J42546.t1	Phatri_1_178
Phatri_Phatr3_J42547.t1	Phatri_1_179
Phatri_Phatr3_J42548.t1	Phatri_1_180
Phatri_Phatr3_J17259.t1	Phatri_1_181
Phatri_Phatr3_J3062.t1	Phatri_1_182
Phatri_Phatr3_J17265.t1	Phatri_1_183
Phatri_Phatr3_J9546.t1	Phatri_1_184
Phatri_Phatr3_J42552.t1	Phatri_1_185
Phatri_Phatr3_EG01787.t1	Phatri_1_186
Phatri_Phatr3_J83.t1	Phatri_1_187
Phatri_Phatr3_J31571.t1	Phatri_1_188
Phatri_Phatr3_J42555.t1	Phatri_1_189
Phatri_Phatr3_J42556.t1	Phatri_1_190
Phatri_Phatr3_J42557.t1	Phatri_1_191
Phatri_Phatr3_J5762.t1	Phatri_1_192
Phatri_Phatr3_J42559.t1	Phatri_1_193
Phatri_Phatr3_J42560.t1	Phatri_1_194
Phatri_Phatr3_J31578.t1	Phatri_1_195
Phatri_Phatr3_J42561.t1	Phatri_1_196
Phatri_Phatr3_J17276.t1	Phatri_1_197
Phatri_Phatr3_J42563.t1	Phatri_1_198
Phatri_Phatr3_J42564.t1	Phatri_1_199
Phatri_Phatr3_J42565.t1	Phatri_1_200
Phatri_Phatr3_J31584.t1	Phatri_1_201
Phatri_Phatr3_J42566.t1	Phatri_1_202
Phatri_Phatr3_J42567.t1	Phatri_1_203
Phatri_Phatr3_EG02435.t1	Phatri_1_204
Phatri_Phatr3_EG02436.t1	Phatri_1_205
Phatri_Phatr3_J42570.t1	Phatri_1_206
Phatri_Phatr3_EG02165.t1	Phatri_1_207
Phatri_Phatr3_EG02170.t1	Phatri_1_208
Phatri_Phatr3_EG02437.t1	Phatri_1_209
Phatri_Phatr3_J9444.t1	Phatri_1_210
Phatri_Phatr3_J42574.t1	Phatri_1_211
Phatri_Phatr3_J31594.t1	Phatri_1_212
Phatri_Phatr3_J3211.t1	Phatri_1_213
Phatri_Phatr3_J42576.t1	Phatri_1_214
Phatri_Phatr3_J42577.t1	Phatri_1_215
Phatri_Phatr3_J42578.t1	Phatri_1_216
Phatri_Phatr3_J31599.t1	Phatri_1_217
Phatri_Phatr3_J9321.t1	Phatri_1_218
Phatri_Phatr3_EG01858.t1	Phatri_1_219
Phatri_Phatr3_J51305.t1	Phatri_1_220
Phatri_Phatr3_J42584.t1	Phatri_1_221
Phatri_Phatr3_EG02197.t1	Phatri_1_222
Phatri_Phatr3_EG02191.t1	Phatri_1_223
Phatri_Phatr3_J42585.t1	Phatri_1_224
Phatri_Phatr3_J42586.t1	Phatri_1_225
Phatri_Phatr3_J42587.t1	Phatri_1_226
Phatri_Phatr3_J42588.t1	Phatri_1_227
Phatri_Phatr3_J17300.t1	Phatri_1_228
Phatri_Phatr3_J42590.t1	Phatri_1_229
Phatri_Phatr3_J42591.t1	Phatri_1_230
Phatri_Phatr3_J42592.t1	Phatri_1_231
Phatri_Phatr3_J42593.t1	Phatri_1_232
Phatri_Phatr3_J42594.t1	Phatri_1_233
Phatri_Phatr3_J42595.t1	Phatri_1_234
Phatri_Phatr3_J31617.t1	Phatri_1_235
Phatri_Phatr3_J42596.t1	Phatri_1_236
Phatri_Phatr3_J31619.t1	Phatri_1_237
Phatri_Phatr3_J31620.t1	Phatri_1_238
Phatri_Phatr3_EG01797.t1	Phatri_1_239
Phatri_Phatr3_J974.t1	Phatri_1_240
Phatri_Phatr3_J17304.t1	Phatri_1_241
Phatri_Phatr3_J9283.t1	Phatri_1_242
Phatri_Phatr3_J42600.t1	Phatri_1_243
Phatri_Phatr3_J31625.t1	Phatri_1_244
Phatri_Phatr3_J9653.t1	Phatri_1_245
Phatri_Phatr3_J24439.t1	Phatri_1_246
Phatri_Phatr3_J42603.t1	Phatri_1_247
Phatri_Phatr3_J42604.t1	Phatri_1_248
Phatri_Phatr3_J42605.t1	Phatri_1_249
Phatri_Phatr3_EG01879.t1	Phatri_1_250
Phatri_Phatr3_J42606.t1	Phatri_1_251
Phatri_Phatr3_J8167.t1	Phatri_1_252
Phatri_Phatr3_J31632.t1	Phatri_1_253
Phatri_Phatr3_J9123.t1	Phatri_1_254
Phatri_Phatr3_J42608.t1	Phatri_1_255
Phatri_Phatr3_J42609.t1	Phatri_1_256
Phatri_Phatr3_EG02202.t1	Phatri_1_257
Phatri_Phatr3_EG02185.t1	Phatri_1_258
Phatri_Phatr3_J8835.t1	Phatri_1_259
Phatri_Phatr3_J42611.t1	Phatri_1_260
Phatri_Phatr3_J42612.t1	Phatri_1_261
Phatri_Phatr3_J42613.t1	Phatri_1_262
Phatri_Phatr3_J42614.t1	Phatri_1_263
Phatri_Phatr3_J3241.t1	Phatri_1_264
Phatri_Phatr3_J42616.t1	Phatri_1_265
Phatri_Phatr3_J9327.t1	Phatri_1_266
Phatri_Phatr3_EG01793.t1	Phatri_1_267
Phatri_Phatr3_J17324.t1	Phatri_1_268
Phatri_Phatr3_J9199.t1	Phatri_1_269
Phatri_Phatr3_J42619.t1	Phatri_1_270
Phatri_Phatr3_J17326.t1	Phatri_1_271
Phatri_Phatr3_EG01749.t1	Phatri_1_272
Phatri_Phatr3_J31649.t1	Phatri_1_273
Phatri_Phatr3_J31650.t1	Phatri_1_274
Phatri_Phatr3_J41659.t1	Phatri_1_275
Phatri_Phatr3_J31652.t1	Phatri_1_276
Phatri_Phatr3_J17332.t1	Phatri_1_277
Phatri_Phatr3_J4761.t1	Phatri_1_278
Phatri_Phatr3_J42624.t1	Phatri_1_279
Phatri_Phatr3_J42625.t1	Phatri_1_280
Phatri_Phatr3_J31657.t1	Phatri_1_281
Phatri_Phatr3_J31658.t1	Phatri_1_282
Phatri_Phatr3_J42626.t1	Phatri_1_283
Phatri_Phatr3_J17335.t1	Phatri_1_284
Phatri_Phatr3_J3851.t1	Phatri_1_285
Phatri_Phatr3_J31662.t1	Phatri_1_286
Phatri_Phatr3_J31663.t1	Phatri_1_287
Phatri_Phatr3_J8877.t1	Phatri_1_288
Phatri_Phatr3_J31665.t1	Phatri_1_289
Phatri_Phatr3_J3171.t1	Phatri_1_290
Phatri_Phatr3_J17344.t1	Phatri_1_291
Phatri_Phatr3_J24474.t1	Phatri_1_292
Phatri_Phatr3_J9278.t1	Phatri_1_293
Phatri_Phatr3_J42635.t1	Phatri_1_294
Phatri_Phatr3_J42636.t1	Phatri_1_295
Phatri_Phatr3_EG01869.t1	Phatri_1_296
Phatri_Phatr3_J42638.t1	Phatri_1_297
Phatri_Phatr3_EG01841.t1	Phatri_1_298
Phatri_Phatr3_EG01822.t1	Phatri_1_299
Phatri_Phatr3_J53961.t1	Phatri_1_300
Phatri_Phatr3_J8407.t1	Phatri_1_301
Phatri_Phatr3_J42642.t1	Phatri_1_302
Phatri_Phatr3_J42643.t1	Phatri_1_303
Phatri_Phatr3_J42644.t1	Phatri_1_304
Phatri_Phatr3_J42645.t1	Phatri_1_305
Phatri_Phatr3_J42646.t1	Phatri_1_306
Phatri_Phatr3_J42647.t1	Phatri_1_307
Phatri_Phatr3_J31683.t1	Phatri_1_308
Phatri_Phatr3_J31684.t1	Phatri_1_309
Phatri_Phatr3_EG01814.t1	Phatri_1_310
Phatri_Phatr3_J42649.t1	Phatri_1_311
Phatri_Phatr3_J42650.t1	Phatri_1_312
Phatri_Phatr3_J17362.t1	Phatri_1_313
Phatri_Phatr3_J24493.t1	Phatri_1_314
Phatri_Phatr3_EG02175.t1	Phatri_1_315
Phatri_Phatr3_EG02169.t1	Phatri_1_316
Phatri_Phatr3_EG02171.t1	Phatri_1_317
Phatri_Phatr3_J42654.t1	Phatri_1_318
Phatri_Phatr3_EG01818.t1	Phatri_1_319
Phatri_Phatr3_J9639.t1	Phatri_1_320
Phatri_Phatr3_J42656.t1	Phatri_1_321
Phatri_Phatr3_J31693.t1	Phatri_1_322
Phatri_Phatr3_J8663.t1	Phatri_1_323
Phatri_Phatr3_J9197.t1	Phatri_1_324
Phatri_Phatr3_J9168.t1	Phatri_1_325
Phatri_Phatr3_J17372.t1	Phatri_1_326
Phatri_Phatr3_J42658.t1	Phatri_1_327
Phatri_Phatr3_J42659.t1	Phatri_1_328
Phatri_Phatr3_J5466.t1	Phatri_1_329
Phatri_Phatr3_J42660.t1	Phatri_1_330
Phatri_Phatr3_EG01774.t1	Phatri_1_331
Phatri_Phatr3_J53964.t1	Phatri_1_332
Phatri_Phatr3_J42663.t1	Phatri_1_333
Phatri_Phatr3_EG02403.t1	Phatri_1_334
Phatri_Phatr3_EG01821.t1	Phatri_1_335
Phatri_Phatr3_J31704.t1	Phatri_1_336
Phatri_Phatr3_EG01809.t1	Phatri_1_337
Phatri_Phatr3_EG02479.t1	Phatri_1_338
Phatri_Phatr3_EG02434.t1	Phatri_1_339
Phatri_Phatr3_J42668.t1	Phatri_1_340
Phatri_Phatr3_J5889.t1	Phatri_1_341
Phatri_Phatr3_J42670.t1	Phatri_1_342
Phatri_Phatr3_J42671.t1	Phatri_1_343
Phatri_Phatr3_J42672.t1	Phatri_1_344
Phatri_Phatr3_J42673.t1	Phatri_1_345
Phatri_Phatr3_J31713.t1	Phatri_1_346
Phatri_Phatr3_J8658.t1	Phatri_1_347
Phatri_Phatr3_J42675.t1	Phatri_1_348
Phatri_Phatr3_J42676.t1	Phatri_1_349
Phatri_Phatr3_J42677.t1	Phatri_1_350
Phatri_Phatr3_J31718.t1	Phatri_1_351
Phatri_Phatr3_J53967.t1	Phatri_1_352
Phatri_Phatr3_J9164.t1	Phatri_1_353
Phatri_Phatr3_J42680.t1	Phatri_1_354
Phatri_Phatr3_J31722.t1	Phatri_1_355
Phatri_Phatr3_J9251.t1	Phatri_1_356
Phatri_Phatr3_J17401.t1	Phatri_1_357
Phatri_Phatr3_J31725.t1	Phatri_1_358
Phatri_Phatr3_J42683.t1	Phatri_1_359
Phatri_Phatr3_J1550.t1	Phatri_1_360
Phatri_Phatr3_J42685.t1	Phatri_1_361
Phatri_Phatr3_J42686.t1	Phatri_1_362
Phatri_Phatr3_J42687.t1	Phatri_1_363
Phatri_Phatr3_J31731.t1	Phatri_1_364
Phatri_Phatr3_EG02466.t1	Phatri_1_365
Phatri_Phatr3_J42689.t1	Phatri_1_366
Phatri_Phatr3_J42690.t1	Phatri_1_367
Phatri_Phatr3_J53969.t1	Phatri_1_368
Phatri_Phatr3_J17408.t1	Phatri_1_369
Phatri_Phatr3_J6915.t1	Phatri_1_370
Phatri_Phatr3_J42694.t1	Phatri_1_371
Phatri_Phatr3_J41667.t1	Phatri_1_372
Phatri_Phatr3_J31740.t1	Phatri_1_373
Phatri_Phatr3_J31741.t1	Phatri_1_374
Phatri_Phatr3_J8976.t1	Phatri_1_375
Phatri_Phatr3_EG02477.t1	Phatri_1_376
Phatri_Phatr3_J42697.t1	Phatri_1_377
Phatri_Phatr3_J42698.t1	Phatri_1_378
Phatri_Phatr3_J42699.t1	Phatri_1_379
Phatri_Phatr3_J24547.t1	Phatri_1_380
Phatri_Phatr3_J31748.t1	Phatri_1_381
Phatri_Phatr3_J42701.t1	Phatri_1_382
Phatri_Phatr3_EG02470.t1	Phatri_1_383
Phatri_Phatr3_J9200.t1	Phatri_1_384
Phatri_Phatr3_EG02473.t1	Phatri_1_385
Phatri_Phatr3_J31753.t1	Phatri_1_386
Phatri_Phatr3_EG02172.t1	Phatri_1_387
Phatri_Phatr3_EG02178.t1	Phatri_1_388
Phatri_Phatr3_J9277.t1	Phatri_1_389
Phatri_Phatr3_J42708.t1	Phatri_1_390
Phatri_Phatr3_J9547.t1	Phatri_1_391
Phatri_Phatr3_J8720.t1	Phatri_1_392
Phatri_Phatr3_EG01773.t1	Phatri_1_393
Phatri_Phatr3_J9427.t1	Phatri_1_394
Phatri_Phatr3_J9490.t1	Phatri_1_395
Phatri_Phatr3_J42712.t1	Phatri_1_396
Phatri_Phatr3_J31763.t1	Phatri_1_397
Phatri_Phatr3_J31764.t1	Phatri_1_398
Phatri_Phatr3_J8686.t1	Phatri_1_399
Phatri_Phatr3_EG02471.t1	Phatri_1_400
Phatri_Phatr3_J6927.t1	Phatri_1_401
Phatri_Phatr3_J31768.t1	Phatri_1_402
Phatri_Phatr3_J6258.t1	Phatri_1_403
Phatri_Phatr3_J8940.t1	Phatri_1_404
Phatri_Phatr3_J9011.t1	Phatri_1_405
Phatri_Phatr3_J31772.t1	Phatri_1_406
Phatri_Phatr3_J42720.t1	Phatri_1_407
Phatri_Phatr3_J42721.t1	Phatri_1_408
Phatri_Phatr3_J42722.t1	Phatri_1_409
Phatri_Phatr3_EG02478.t1	Phatri_1_410
Phatri_Phatr3_EG02480.t1	Phatri_1_411
Phatri_Phatr3_EG02433.t1	Phatri_1_412
Phatri_Phatr3_J1784.t1	Phatri_1_413
Phatri_Phatr3_J31778.t1	Phatri_1_414
Phatri_Phatr3_J8717.t1	Phatri_1_415
Phatri_Phatr3_J42726.t1	Phatri_1_416
Phatri_Phatr3_J31781.t1	Phatri_1_417
Phatri_Phatr3_J3362.t1	Phatri_1_418
Phatri_Phatr3_J8950.t1	Phatri_1_419
Phatri_Phatr3_EG01868.t1	Phatri_1_420
Phatri_Phatr3_J42729.t1	Phatri_1_421
Phatri_Phatr3_EG02463.t1	Phatri_1_422
Phatri_Phatr3_J8657.t1	Phatri_1_423
Phatri_Phatr3_J42732.t1	Phatri_1_424
Phatri_Phatr3_J9040.t1	Phatri_1_425
Phatri_Phatr3_J9255.t1	Phatri_1_426
Phatri_Phatr3_J42734.t1	Phatri_1_427
Phatri_Phatr3_J42735.t1	Phatri_1_428
Phatri_Phatr3_EG02467.t1	Phatri_1_429
Phatri_Phatr3_J3527.t1	Phatri_1_430
Phatri_Phatr3_EG02468.t1	Phatri_1_431
Phatri_Phatr3_EG02476.t1	Phatri_1_432
Phatri_Phatr3_J42740.t1	Phatri_1_433
Phatri_Phatr3_EG02469.t1	Phatri_1_434
Phatri_Phatr3_J42742.t1	Phatri_1_435
Phatri_Phatr3_J42743.t1	Phatri_1_436
Phatri_Phatr3_EG01876.t1	Phatri_1_437
Phatri_Phatr3_J42744.t1	Phatri_1_438
Phatri_Phatr3_J8917.t1	Phatri_1_439
Phatri_Phatr3_J42746.t1	Phatri_1_440
Phatri_Phatr3_J24610.t1	Phatri_1_441
Phatri_Phatr3_EG01852.t1	Phatri_1_442
Phatri_Phatr3_J9266.t1	Phatri_1_443
Phatri_Phatr3_J42749.t1	Phatri_1_444
Phatri_Phatr3_J42750.t1	Phatri_1_445
Phatri_Phatr3_EG02465.t1	Phatri_1_446
Phatri_Phatr3_EG02475.t1	Phatri_1_447
Phatri_Phatr3_EG02481.t1	Phatri_1_448
Phatri_Phatr3_EG02472.t1	Phatri_1_449
Phatri_Phatr3_J31810.t1	Phatri_1_450
Phatri_Phatr3_J31811.t1	Phatri_1_451
Phatri_Phatr3_J41676.t1	Phatri_1_452
Phatri_Phatr3_J42754.t1	Phatri_1_453
Phatri_Phatr3_J42755.t1	Phatri_1_454
Phatri_Phatr3_EG01783.t1	Phatri_1_455
Phatri_Phatr3_J31815.t1	Phatri_1_456
Phatri_Phatr3_EG01861.t1	Phatri_1_457
Phatri_Phatr3_J31816.t1	Phatri_1_458
Phatri_Phatr3_J42756.t1	Phatri_1_459
Phatri_Phatr3_J42757.t1	Phatri_1_460
Phatri_Phatr3_J31819.t1	Phatri_1_461
Phatri_Phatr3_J42758.t1	Phatri_1_462
Phatri_Phatr3_J8772.t1	Phatri_1_463
Phatri_Phatr3_EG01875.t1	Phatri_1_464
Phatri_Phatr3_J31822.t1	Phatri_1_465
Phatri_Phatr3_J17487.t1	Phatri_1_466
Phatri_Phatr3_J8993.t1	Phatri_1_467
Phatri_Phatr3_EG01853.t1	Phatri_1_468
Phatri_Phatr3_J42762.t1	Phatri_1_469
Phatri_Phatr3_J6580.t1	Phatri_1_470
Phatri_Phatr3_J31827.t1	Phatri_1_471
Phatri_Phatr3_J42763.t1	Phatri_1_472
Phatri_Phatr3_J6934.t1	Phatri_1_473
Phatri_Phatr3_J9609.t1	Phatri_1_474
Phatri_Phatr3_J9078.t1	Phatri_1_475
Phatri_Phatr3_J31831.t1	Phatri_1_476
Phatri_Phatr3_J8670.t1	Phatri_1_477
Phatri_Phatr3_J42767.t1	Phatri_1_478
Phatri_Phatr3_J31834.t1	Phatri_1_479
Phatri_Phatr3_J31835.t1	Phatri_1_480
Phatri_Phatr3_J42768.t1	Phatri_1_481
Phatri_Phatr3_EG01817.t1	Phatri_1_482
Phatri_Phatr3_EG01764.t1	Phatri_1_483
Phatri_Phatr3_J42770.t1	Phatri_1_484
Phatri_Phatr3_J17495.t1	Phatri_1_485
Phatri_Phatr3_J31840.t1	Phatri_1_486
Phatri_Phatr3_J31841.t1	Phatri_1_487
Phatri_Phatr3_J7349.t1	Phatri_1_488
Phatri_Phatr3_J8945.t1	Phatri_1_489
Phatri_Phatr3_J42774.t1	Phatri_1_490
Phatri_Phatr3_J17504.t1	Phatri_1_491
Phatri_Phatr3_J31846.t1	Phatri_1_492
Phatri_Phatr3_EG01835.t1	Phatri_1_493
Phatri_Phatr3_J42776.t1	Phatri_1_494
Phatri_Phatr3_J1358.t1	Phatri_1_495
Phatri_Phatr3_J42778.t1	Phatri_1_496
Phatri_Phatr3_J42779.t1	Phatri_1_497
Phatri_Phatr3_EG01761.t1	Phatri_1_498
Phatri_Phatr3_J42781.t1	Phatri_1_499
Phatri_Phatr3_EG02459.t1	Phatri_1_500
Phatri_Phatr3_EG02460.t1	Phatri_1_501
Phatri_Phatr3_EG02174.t1	Phatri_1_502
Phatri_Phatr3_J53980.t1	Phatri_1_503
Phatri_Phatr3_J9171.t1	Phatri_1_504
Phatri_Phatr3_J42786.t1	Phatri_1_505
Phatri_Phatr3_J42787.t1	Phatri_1_506
Phatri_Phatr3_J31861.t1	Phatri_1_507
Phatri_Phatr3_J42788.t1	Phatri_1_508
Phatri_Phatr3_J9475.t1	Phatri_1_509
Phatri_Phatr3_J42790.t1	Phatri_1_510
Phatri_Phatr3_J42791.t1	Phatri_1_511
Phatri_Phatr3_J31866.t1	Phatri_1_512
Phatri_Phatr3_J9147.t1	Phatri_1_513
