Skow_gene-ATP6	Skow_1_1
Skow_XM_006811272.1	Skow_64_11
Skow_XM_006811281.1	Skow_64_12
Skow_XM_006811282.1	Skow_64_13
Skow_XM_006811284.1	Skow_65_1
Skow_XM_002730548.1	Skow_65_2
Skow_NM_001168111.1	Skow_65_3
Skow_XM_006811283.1	Skow_65_4
Skow_XM_006811285.1	Skow_65_5
Skow_XM_002730549.2	Skow_65_6
Skow_XM_002730550.2	Skow_65_7
Skow_XM_006811286.1	Skow_65_8
Skow_XM_002730553.1	Skow_65_9
Skow_XM_002730551.2	Skow_65_10
Skow_XM_006811287.1	Skow_65_11
Skow_XM_006811288.1	Skow_65_12
Skow_XM_006811289.1	Skow_65_13
Skow_XM_006811290.1	Skow_66_1
Skow_XM_006811294.1	Skow_66_2
Skow_XM_006811295.1	Skow_66_3
Skow_XM_006811296.1	Skow_66_4
Skow_XM_006811297.1	Skow_66_5
Skow_XM_006811298.1	Skow_66_6
Skow_XM_006811299.1	Skow_66_7
Skow_XM_006811300.1	Skow_66_8
Skow_XM_006811301.1	Skow_66_9
Skow_XM_006811302.1	Skow_66_10
Skow_XM_006811303.1	Skow_66_11
Skow_XM_006811291.1	Skow_66_12
Skow_XM_006811304.1	Skow_66_13
Skow_XM_002730557.2	Skow_66_14
Skow_XM_002730559.2	Skow_66_15
Skow_XM_006811305.1	Skow_66_16
Skow_XM_006811293.1	Skow_66_17
Skow_XM_006811306.1	Skow_66_18
Skow_XM_006811309.1	Skow_67_1
Skow_XM_006811310.1	Skow_67_2
Skow_XM_002730563.2	Skow_67_3
Skow_XM_002730564.2	Skow_67_4
Skow_XM_002730565.2	Skow_67_5
Skow_XM_002730567.2	Skow_67_6
Skow_XM_006811311.1	Skow_67_7
Skow_XM_006811312.1	Skow_67_8
Skow_XM_006811308.1	Skow_67_9
Skow_XM_006811313.1	Skow_68_1
Skow_XM_006811314.1	Skow_69_1
Skow_XM_006811315.1	Skow_69_2
Skow_XM_006811316.1	Skow_70_1
Skow_XM_006811317.1	Skow_70_2
Skow_XM_006811318.1	Skow_71_1
Skow_XM_006811319.1	Skow_71_2
Skow_XM_006811320.1	Skow_71_3
Skow_NM_001184936.1	Skow_71_4
Skow_XM_006811321.1	Skow_71_5
Skow_XM_006811322.1	Skow_72_1
Skow_XM_006811323.1	Skow_72_2
Skow_XM_006811324.1	Skow_73_1
Skow_XM_002730570.2	Skow_73_2
Skow_XM_006811325.1	Skow_74_1
Skow_XM_006811326.1	Skow_75_1
Skow_XM_006811327.1	Skow_75_2
Skow_XM_006811328.1	Skow_75_3
Skow_XM_006811329.1	Skow_76_1
Skow_XM_002730573.2	Skow_77_1
Skow_NM_001184799.1	Skow_77_2
Skow_XM_006811330.1	Skow_78_1
Skow_XM_002730575.2	Skow_78_2
Skow_XM_006811331.1	Skow_78_3
Skow_XM_006811332.1	Skow_78_4
Skow_XM_006811336.1	Skow_79_1
Skow_XM_006811334.1	Skow_79_2
Skow_XM_006811335.1	Skow_79_3
Skow_XM_006811337.1	Skow_79_4
Skow_XM_002730579.2	Skow_80_1
Skow_NM_001164999.1	Skow_80_2
Skow_XM_002730580.2	Skow_80_3
Skow_XM_006811338.1	Skow_80_4
Skow_NM_001168166.1	Skow_81_1
Skow_XM_006811339.1	Skow_82_1
Skow_NM_001164899.1	Skow_82_2
Skow_XM_006811340.1	Skow_83_1
Skow_XM_006811341.1	Skow_84_1
Skow_XM_006811342.1	Skow_85_1
Skow_XM_006811343.1	Skow_86_1
Skow_XM_006811344.1	Skow_86_2
Skow_XM_006811345.1	Skow_86_3
Skow_XM_006811346.1	Skow_86_4
Skow_XM_006811347.1	Skow_87_1
Skow_XM_006811348.1	Skow_88_1
Skow_XM_006811349.1	Skow_89_1
Skow_XM_006811350.1	Skow_90_1
Skow_XM_006811351.1	Skow_91_1
Skow_XM_006811352.1	Skow_92_1
Skow_XM_006811353.1	Skow_93_1
Skow_XM_006811354.1	Skow_94_1
Skow_XM_006811355.1	Skow_95_1
Skow_XM_006811356.1	Skow_96_1
Skow_XM_006811357.1	Skow_97_1
Skow_XM_002730585.1	Skow_98_1
Skow_XM_006811358.1	Skow_99_1
Skow_XM_006811359.1	Skow_100_1
Skow_XM_006811360.1	Skow_101_1
Skow_XM_006811361.1	Skow_102_1
Skow_XM_006811362.1	Skow_103_1
Skow_XM_006811363.1	Skow_104_1
Skow_XM_006811364.1	Skow_105_1
Skow_XM_006811365.1	Skow_106_1
Skow_XM_006811366.1	Skow_107_1
Skow_XM_002730592.2	Skow_108_1
Skow_XM_002730594.2	Skow_108_2
Skow_XM_006811367.1	Skow_109_1
Skow_XM_006811368.1	Skow_110_1
Skow_XM_006811369.1	Skow_111_1
Skow_XM_006811370.1	Skow_111_2
Skow_XM_002730598.2	Skow_112_1
Skow_XM_006811371.1	Skow_113_1
Skow_XM_002730599.1	Skow_114_1
Skow_XM_006811372.1	Skow_115_1
Skow_XM_002730604.2	Skow_116_1
Skow_XM_002730600.2	Skow_116_2
Skow_XM_006811376.1	Skow_116_3
Skow_XM_006811377.1	Skow_116_4
Skow_XM_006811378.1	Skow_116_5
Skow_XM_006811373.1	Skow_116_6
Skow_XM_006811375.1	Skow_116_7
Skow_XM_002730607.1	Skow_116_8
Skow_NM_001168076.1	Skow_116_9
Skow_XM_002730608.1	Skow_116_10
Skow_XM_006811379.1	Skow_116_11
Skow_XM_006811382.1	Skow_117_1
Skow_XM_006811383.1	Skow_117_2
Skow_XM_006811380.1	Skow_117_3
Skow_XM_006811384.1	Skow_117_4
Skow_XM_006811385.1	Skow_117_5
Skow_XM_006811381.1	Skow_117_6
Skow_XM_006811386.1	Skow_117_7
Skow_XM_006811387.1	Skow_117_8
Skow_XM_002730615.2	Skow_118_1
Skow_XM_002730616.2	Skow_118_2
Skow_XM_002730617.2	Skow_118_3
Skow_XM_006811389.1	Skow_118_4
Skow_XM_006811388.1	Skow_118_5
Skow_XM_006811390.1	Skow_119_1
Skow_XM_002730619.2	Skow_119_2
Skow_XM_006811391.1	Skow_119_3
Skow_XM_006811392.1	Skow_119_4
Skow_XM_006811393.1	Skow_120_1
Skow_XM_006811394.1	Skow_120_2
Skow_XM_006811395.1	Skow_121_1
Skow_XM_006811396.1	Skow_121_2
Skow_XM_006811397.1	Skow_121_3
Skow_NM_001168181.1	Skow_122_1
Skow_XM_006811398.1	Skow_122_2
Skow_XM_002730622.2	Skow_123_1
Skow_XM_006811399.1	Skow_124_1
Skow_XM_006811400.1	Skow_125_1
Skow_XM_006811401.1	Skow_126_1
Skow_XM_006811402.1	Skow_127_1
Skow_XM_006811403.1	Skow_127_2
Skow_XM_006811404.1	Skow_128_1
Skow_XM_002730626.2	Skow_129_1
Skow_XM_006811405.1	Skow_130_1
Skow_XM_002730627.2	Skow_131_1
Skow_XM_006811406.1	Skow_132_1
Skow_XM_006811407.1	Skow_133_1
Skow_XM_006811408.1	Skow_134_1
Skow_XM_006811409.1	Skow_135_1
Skow_XM_006811410.1	Skow_136_1
Skow_XM_006811411.1	Skow_137_1
Skow_XM_006811412.1	Skow_138_1
Skow_XM_006811413.1	Skow_139_1
Skow_XM_006811414.1	Skow_140_1
Skow_XM_006811415.1	Skow_141_1
Skow_XM_006811416.1	Skow_141_2
Skow_XM_006811417.1	Skow_141_3
Skow_XM_006811418.1	Skow_142_1
Skow_XM_006811419.1	Skow_143_1
Skow_XM_006811420.1	Skow_144_1
Skow_XM_006811421.1	Skow_145_1
Skow_XM_002730631.2	Skow_146_1
Skow_XM_006811423.1	Skow_147_1
Skow_XM_002730632.2	Skow_147_2
Skow_NM_001168142.1	Skow_147_3
Skow_XM_006811424.1	Skow_147_4
Skow_XM_006811425.1	Skow_147_5
Skow_XM_006811422.1	Skow_147_6
Skow_XM_002730639.2	Skow_147_7
Skow_XM_002730633.2	Skow_147_8
Skow_XM_006811426.1	Skow_147_9
Skow_XM_002730634.2	Skow_147_10
Skow_XM_002730640.2	Skow_147_11
Skow_XM_002730641.1	Skow_147_12
Skow_XM_002730642.2	Skow_147_13
Skow_XM_006811427.1	Skow_147_14
Skow_XM_006811428.1	Skow_147_15
Skow_XM_006811429.1	Skow_147_16
Skow_XM_006811430.1	Skow_147_17
Skow_XM_006811431.1	Skow_147_18
Skow_XM_006811432.1	Skow_147_19
Skow_XM_002730643.2	Skow_147_20
Skow_XM_006811433.1	Skow_147_21
Skow_XM_002730645.1	Skow_147_22
Skow_XM_006811434.1	Skow_147_23
Skow_XM_002730646.1	Skow_147_24
Skow_XM_006811435.1	Skow_147_25
Skow_XM_002730647.2	Skow_147_26
Skow_XM_006811436.1	Skow_147_27
Skow_XM_006811437.1	Skow_147_28
Skow_XM_006811438.1	Skow_147_29
Skow_XM_006811441.1	Skow_148_1
Skow_XM_006811442.1	Skow_148_2
Skow_XM_006811439.1	Skow_148_3
Skow_XM_002730654.1	Skow_148_4
Skow_XM_006811443.1	Skow_148_5
Skow_XM_006811444.1	Skow_148_6
Skow_XM_002730651.2	Skow_148_7
Skow_XM_006811445.1	Skow_148_8
Skow_XM_006811446.1	Skow_148_9
Skow_XM_002730656.1	Skow_148_10
Skow_XM_006811447.1	Skow_148_11
Skow_XM_006811448.1	Skow_148_12
Skow_XM_006811440.1	Skow_148_13
Skow_XM_002730659.2	Skow_148_14
Skow_XM_006811449.1	Skow_148_15
Skow_XM_006811450.1	Skow_148_16
Skow_XM_006811451.1	Skow_148_17
Skow_XM_006811468.1	Skow_149_1
Skow_NM_001171234.1	Skow_149_2
Skow_XM_006811452.1	Skow_149_3
Skow_XM_006811469.1	Skow_149_4
Skow_XM_006811470.1	Skow_149_5
Skow_XM_002730664.2	Skow_149_6
Skow_XM_002730677.2	Skow_149_7
Skow_XM_006811461.1	Skow_149_8
Skow_XM_002730667.2	Skow_149_9
Skow_XM_006811471.1	Skow_149_10
Skow_XM_006811465.1	Skow_149_11
Skow_XM_006811472.1	Skow_149_12
Skow_XM_006811473.1	Skow_149_13
Skow_XM_006811474.1	Skow_149_14
Skow_XM_002730681.1	Skow_149_15
Skow_XM_002730668.2	Skow_149_16
Skow_XM_006811466.1	Skow_149_17
Skow_XM_002730670.2	Skow_149_18
Skow_XM_006811475.1	Skow_149_19
Skow_XM_002730673.2	Skow_149_20
Skow_XM_002730682.2	Skow_149_21
Skow_XM_006811476.1	Skow_149_22
Skow_XM_006811477.1	Skow_149_23
Skow_XM_006811478.1	Skow_149_24
Skow_XM_006811479.1	Skow_149_25
Skow_XM_002730661.2	Skow_149_26
Skow_XM_002730675.2	Skow_149_27
Skow_XM_002730662.2	Skow_149_28
Skow_XM_006811467.1	Skow_149_29
Skow_XM_002730686.1	Skow_150_1
Skow_XM_006811480.1	Skow_150_2
Skow_XM_006811481.1	Skow_150_3
Skow_XM_002730690.1	Skow_150_4
Skow_XM_002730687.1	Skow_150_5
Skow_XM_006811482.1	Skow_150_6
Skow_XM_002730694.1	Skow_151_1
Skow_XM_006811484.1	Skow_151_2
Skow_XM_006811485.1	Skow_151_3
Skow_XM_006811486.1	Skow_151_4
Skow_XM_006811487.1	Skow_151_5
Skow_XM_002730692.2	Skow_151_6
Skow_XM_006811488.1	Skow_151_7
Skow_XM_006811489.1	Skow_151_8
Skow_XM_006811490.1	Skow_151_9
Skow_XM_006811491.1	Skow_151_10
Skow_XM_002730698.2	Skow_151_11
Skow_XM_002730693.2	Skow_151_12
Skow_XM_006811492.1	Skow_151_13
Skow_XM_006811493.1	Skow_151_14
Skow_XM_006811483.1	Skow_151_15
Skow_XM_006811494.1	Skow_151_16
Skow_XM_002730700.2	Skow_151_17
Skow_XM_006811506.1	Skow_152_1
Skow_XM_006811507.1	Skow_152_2
Skow_XM_006811508.1	Skow_152_3
Skow_XM_002730705.2	Skow_152_4
Skow_XM_006811495.1	Skow_152_5
Skow_XM_006811509.1	Skow_152_6
Skow_XM_002730707.2	Skow_152_7
Skow_XM_002730709.2	Skow_152_8
Skow_XM_002730710.2	Skow_152_9
Skow_XM_006811496.1	Skow_152_10
Skow_XM_002730712.2	Skow_152_11
Skow_XM_006811497.1	Skow_152_12
Skow_XM_002730714.2	Skow_152_13
Skow_XM_006811510.1	Skow_152_14
Skow_XM_002730715.2	Skow_152_15
Skow_XM_006811511.1	Skow_152_16
Skow_XM_006811498.1	Skow_152_17
Skow_XM_002730701.2	Skow_152_18
Skow_XM_006811499.1	Skow_152_19
Skow_XM_006811502.1	Skow_152_20
Skow_XM_006811504.1	Skow_152_21
Skow_XM_002730722.2	Skow_152_22
Skow_XM_006811512.1	Skow_152_23
Skow_XM_006811513.1	Skow_152_24
