Otau_gene-OstapCp01	Otau_1_1
Otau_gene-OstapCp61	Otau_1_61
Otau_gene-OstapMp01	Otau_2_1
Otau_gene-OstapMp02	Otau_2_2
Otau_gene-OstapMp03	Otau_2_3
Otau_gene-OstapMp04	Otau_2_4
Otau_gene-OstapMp05	Otau_2_5
Otau_gene-OstapMp06	Otau_2_6
Otau_gene-OstapMp07	Otau_2_7
Otau_gene-OstapMp08	Otau_2_8
Otau_gene-OstapMp09	Otau_2_9
Otau_gene-OstapMp10	Otau_2_10
Otau_gene-OstapMp11	Otau_2_11
Otau_gene-OstapMp12	Otau_2_12
Otau_gene-OstapMp13	Otau_2_13
Otau_gene-OstapMp14	Otau_2_14
Otau_gene-OstapMp15	Otau_2_15
Otau_gene-OstapMp16	Otau_2_16
Otau_gene-OstapMp17	Otau_2_17
Otau_gene-OstapMp18	Otau_2_18
Otau_gene-OstapMp19	Otau_2_19
Otau_gene-OstapMp20	Otau_2_20
Otau_gene-OstapMp21	Otau_2_21
Otau_gene-OstapMp22	Otau_2_22
Otau_gene-OstapMp23	Otau_2_23
Otau_gene-OstapMp24	Otau_2_24
Otau_gene-OstapMp25	Otau_2_25
Otau_gene-OstapMp26	Otau_2_26
Otau_gene-OstapMp27	Otau_2_27
Otau_gene-OstapMp28	Otau_2_28
Otau_gene-OstapMp29	Otau_2_29
Otau_gene-OstapMp30	Otau_2_30
Otau_gene-OstapMp31	Otau_2_31
Otau_gene-OstapMp32	Otau_2_32
Otau_gene-OstapMp33	Otau_2_33
Otau_gene-OstapMp34	Otau_2_34
Otau_gene-OstapMp35	Otau_2_35
Otau_gene-OstapMp36	Otau_2_36
Otau_gene-OstapMp37	Otau_2_37
Otau_gene-OstapMp38	Otau_2_38
Otau_gene-OstapMp39	Otau_2_39
Otau_gene-OstapMp40	Otau_2_40
Otau_gene-OstapMp41	Otau_2_41
Otau_gene-OstapMp42	Otau_2_42
Otau_gene-OstapMp43	Otau_2_43
Otau_XM_003074014.1	Otau_3_1
Otau_XM_003074015.1	Otau_3_2
Otau_XM_003074016.1	Otau_3_3
Otau_XM_003074017.1	Otau_3_4
Otau_XM_003074018.2	Otau_3_5
Otau_XM_003074019.2	Otau_3_6
Otau_XM_003074021.1	Otau_3_7
Otau_XM_003074022.1	Otau_3_8
Otau_XM_022985208.1	Otau_3_9
Otau_XM_022985209.1	Otau_3_10
Otau_XM_022985213.1	Otau_3_11
Otau_XM_003074025.2	Otau_3_12
Otau_XM_003074026.2	Otau_3_13
Otau_XM_003074027.1	Otau_3_14
Otau_XM_003074028.1	Otau_3_15
Otau_XM_003074029.1	Otau_3_16
Otau_XM_022985214.1	Otau_3_17
Otau_XM_003074031.1	Otau_3_18
Otau_XM_022985215.1	Otau_3_19
Otau_XM_003074034.1	Otau_3_20
Otau_XM_003074035.2	Otau_3_21
Otau_XM_022985216.1	Otau_3_22
Otau_XM_003074037.2	Otau_3_23
Otau_XM_003074039.1	Otau_3_24
Otau_XM_003074040.1	Otau_3_25
Otau_XM_003074041.1	Otau_3_26
Otau_XM_003074042.2	Otau_3_27
Otau_XM_022985217.1	Otau_3_28
Otau_XM_003074044.2	Otau_3_29
Otau_XM_003074045.1	Otau_3_30
Otau_XM_022985219.1	Otau_3_31
Otau_XM_022985220.1	Otau_3_32
Otau_XM_022985221.1	Otau_3_33
Otau_XM_003074048.2	Otau_3_34
Otau_XM_003074049.2	Otau_3_35
Otau_XM_003074050.2	Otau_3_36
Otau_XM_022985222.1	Otau_3_37
Otau_XM_003074052.1	Otau_3_38
Otau_XM_003074053.1	Otau_3_39
Otau_XM_022985223.1	Otau_3_40
Otau_XM_003074055.2	Otau_3_41
Otau_XM_003074056.2	Otau_3_42
Otau_XM_003074057.2	Otau_3_43
Otau_XM_003074058.2	Otau_3_44
Otau_XM_022985224.1	Otau_3_45
Otau_XM_003074059.2	Otau_3_46
Otau_XM_022985225.1	Otau_3_47
Otau_XM_003074061.1	Otau_3_48
Otau_XM_022985226.1	Otau_3_49
Otau_XM_022985227.1	Otau_3_50
Otau_XM_003074064.2	Otau_3_51
Otau_XM_022985229.1	Otau_3_52
Otau_XM_022985230.1	Otau_3_53
Otau_XM_003074067.2	Otau_3_54
Otau_XM_003074068.2	Otau_3_55
Otau_XM_003074069.2	Otau_3_56
Otau_XM_022985231.1	Otau_3_57
Otau_XM_022985232.1	Otau_3_58
Otau_XM_003074072.1	Otau_3_59
Otau_XM_003074073.2	Otau_3_60
Otau_XM_022985234.1	Otau_3_61
Otau_XM_022985235.1	Otau_3_62
Otau_XM_003074075.2	Otau_3_63
Otau_XM_022985236.1	Otau_3_64
Otau_XM_003074077.2	Otau_3_65
Otau_XM_003074078.1	Otau_3_66
Otau_XM_003074079.2	Otau_3_67
Otau_XM_022985237.1	Otau_3_68
Otau_XM_003074081.2	Otau_3_69
Otau_XM_003074082.1	Otau_3_70
Otau_XM_003074085.2	Otau_3_71
Otau_XM_022985238.1	Otau_3_72
Otau_XM_003074087.1	Otau_3_73
Otau_XM_003074088.1	Otau_3_74
Otau_XM_003074089.2	Otau_3_75
Otau_XM_022985239.1	Otau_3_76
Otau_XM_003074090.1	Otau_3_77
Otau_XM_003074091.2	Otau_3_78
Otau_XM_003074092.2	Otau_3_79
Otau_XM_022985240.1	Otau_3_80
Otau_XM_022985241.1	Otau_3_81
Otau_XM_022985242.1	Otau_3_82
Otau_XM_003074098.2	Otau_3_83
Otau_XM_022985243.1	Otau_3_84
Otau_XM_003074100.1	Otau_3_85
Otau_XM_003074101.1	Otau_3_86
Otau_XM_022985244.1	Otau_3_87
Otau_XM_022985245.1	Otau_3_88
Otau_XM_022985246.1	Otau_3_89
Otau_XM_022985247.1	Otau_3_90
Otau_XM_003074105.1	Otau_3_91
Otau_XM_003074106.2	Otau_3_92
Otau_XM_003074107.2	Otau_3_93
Otau_XM_003074109.1	Otau_3_94
Otau_XM_003074110.1	Otau_3_95
Otau_XM_022985248.1	Otau_3_96
Otau_XM_022985249.1	Otau_3_97
Otau_XM_003074114.1	Otau_3_98
Otau_XM_003074115.2	Otau_3_99
Otau_XM_022985250.1	Otau_3_100
Otau_XM_003074117.2	Otau_3_101
Otau_XM_003074118.2	Otau_3_102
Otau_XM_003074119.2	Otau_3_103
Otau_XM_003074120.1	Otau_3_104
Otau_XM_022985251.1	Otau_3_105
Otau_XM_003074123.1	Otau_3_106
Otau_XM_003074124.2	Otau_3_107
Otau_XM_003074125.2	Otau_3_108
Otau_XM_003074126.2	Otau_3_109
Otau_XM_003074127.2	Otau_3_110
Otau_XM_003074128.2	Otau_3_111
Otau_XM_003074129.2	Otau_3_112
Otau_XM_022985252.1	Otau_3_113
Otau_XM_003074131.1	Otau_3_114
Otau_XM_022985253.1	Otau_3_115
Otau_XM_022985254.1	Otau_3_116
Otau_XM_022985255.1	Otau_3_117
Otau_XM_022985256.1	Otau_3_118
Otau_XM_003074133.1	Otau_3_119
Otau_XM_003074137.2	Otau_3_120
Otau_XM_022985258.1	Otau_3_121
Otau_XM_003074139.1	Otau_3_122
Otau_XM_003074140.2	Otau_3_123
Otau_XM_022985259.1	Otau_3_124
Otau_XM_003074142.1	Otau_3_125
Otau_XM_003074143.1	Otau_3_126
Otau_XM_003074144.2	Otau_3_127
Otau_XM_022985260.1	Otau_3_128
Otau_XM_003074145.2	Otau_3_129
Otau_XM_003074146.2	Otau_3_130
Otau_XM_003074147.1	Otau_3_131
Otau_XM_003074148.2	Otau_3_132
Otau_XM_003074149.2	Otau_3_133
Otau_XM_022985261.1	Otau_3_134
Otau_XM_003074151.2	Otau_3_135
Otau_XM_003074152.1	Otau_3_136
Otau_XM_022985262.1	Otau_3_137
Otau_XM_003074154.2	Otau_3_138
Otau_XM_022985263.1	Otau_3_139
Otau_XM_022985264.1	Otau_3_140
Otau_XM_003074157.1	Otau_3_141
Otau_XM_003074158.2	Otau_3_142
Otau_XM_022985265.1	Otau_3_143
Otau_XM_022985266.1	Otau_3_144
Otau_XM_022985267.1	Otau_3_145
Otau_XM_003074169.2	Otau_3_146
Otau_XM_022985268.1	Otau_3_147
Otau_XM_022985269.1	Otau_3_148
Otau_XM_003074167.1	Otau_3_149
Otau_XM_003074166.1	Otau_3_150
Otau_XM_003074164.2	Otau_3_151
Otau_XM_022985271.1	Otau_3_152
Otau_XM_022985272.1	Otau_3_153
Otau_XM_022985273.1	Otau_3_154
Otau_XM_003074161.2	Otau_3_155
Otau_XM_003074160.1	Otau_3_156
Otau_XM_022985274.1	Otau_3_157
Otau_XM_003074173.2	Otau_3_158
Otau_XM_022985275.1	Otau_3_159
Otau_XM_022985276.1	Otau_3_160
Otau_XM_003074175.2	Otau_3_161
Otau_XM_022985278.1	Otau_3_162
Otau_XM_022985279.1	Otau_3_163
Otau_XM_022985280.1	Otau_3_164
Otau_XM_022985281.1	Otau_3_165
Otau_XM_003074177.2	Otau_3_166
Otau_XM_003074178.1	Otau_3_167
Otau_XM_003074179.1	Otau_3_168
Otau_XM_003074180.1	Otau_3_169
Otau_XM_022985282.1	Otau_3_170
Otau_XM_003074184.1	Otau_3_171
Otau_XM_022985284.1	Otau_3_172
Otau_XM_022985285.1	Otau_3_173
Otau_XM_003074187.2	Otau_3_174
Otau_XM_003074188.1	Otau_3_175
Otau_XM_003074189.1	Otau_3_176
Otau_XM_022985286.1	Otau_3_177
Otau_XM_022985287.1	Otau_3_178
Otau_XM_022985288.1	Otau_3_179
Otau_XM_003074194.2	Otau_3_180
Otau_XM_022985289.1	Otau_3_181
Otau_XM_003074197.1	Otau_3_182
Otau_XM_022985290.1	Otau_3_183
Otau_XM_022985291.1	Otau_3_184
Otau_XM_003074199.1	Otau_3_185
Otau_XM_022985292.1	Otau_3_186
Otau_XM_022985293.1	Otau_3_187
Otau_XM_003074203.1	Otau_3_188
Otau_XM_003074204.1	Otau_3_189
Otau_XM_022985294.1	Otau_3_190
Otau_XM_022985296.1	Otau_3_191
Otau_XM_003074206.2	Otau_3_192
Otau_XM_003074207.2	Otau_3_193
Otau_XM_003074208.2	Otau_3_194
Otau_XM_022985297.1	Otau_3_195
Otau_XM_022985298.1	Otau_3_196
Otau_XM_003074212.1	Otau_3_197
Otau_XM_022985299.1	Otau_3_198
Otau_XM_003074214.1	Otau_3_199
Otau_XM_003074215.2	Otau_3_200
Otau_XM_022985301.1	Otau_3_201
Otau_XM_022985302.1	Otau_3_202
Otau_XM_003074217.2	Otau_3_203
Otau_XM_003074218.2	Otau_3_204
Otau_XM_003074219.2	Otau_3_205
Otau_XM_003074220.1	Otau_3_206
Otau_XM_003074221.1	Otau_3_207
Otau_XM_003074222.1	Otau_3_208
Otau_XM_003074223.1	Otau_3_209
Otau_XM_003074224.2	Otau_3_210
Otau_XM_003074225.1	Otau_3_211
Otau_XM_003074226.1	Otau_3_212
Otau_XM_003074227.2	Otau_3_213
Otau_XM_022985304.1	Otau_3_214
Otau_XM_022985305.1	Otau_3_215
Otau_XM_003074229.2	Otau_3_216
Otau_XM_003074230.1	Otau_3_217
Otau_XM_003074231.2	Otau_3_218
Otau_XM_022985306.1	Otau_3_219
Otau_XM_003074233.1	Otau_3_220
Otau_XM_003074234.1	Otau_3_221
Otau_XM_022985307.1	Otau_3_222
Otau_XM_022985308.1	Otau_3_223
Otau_XM_003074237.2	Otau_3_224
Otau_XM_003074238.2	Otau_3_225
Otau_XM_022985309.1	Otau_3_226
Otau_XM_022985310.1	Otau_3_227
Otau_XM_022985311.1	Otau_3_228
Otau_XM_003074241.2	Otau_3_229
Otau_XM_003074242.2	Otau_3_230
Otau_XM_003074243.1	Otau_3_231
Otau_XM_003074244.1	Otau_3_232
Otau_XM_022985313.1	Otau_3_233
Otau_XM_003074247.1	Otau_3_234
Otau_XM_003074248.2	Otau_3_235
Otau_XM_022985314.1	Otau_3_236
Otau_XM_003074249.2	Otau_3_237
Otau_XM_022985315.1	Otau_3_238
Otau_XM_022985316.1	Otau_3_239
Otau_XM_003074252.1	Otau_3_240
Otau_XM_022985317.1	Otau_3_241
Otau_XM_003074254.1	Otau_3_242
Otau_XM_022985318.1	Otau_3_243
Otau_XM_022985319.1	Otau_3_244
Otau_XM_022985320.1	Otau_3_245
Otau_XM_022985321.1	Otau_3_246
Otau_XM_003074258.2	Otau_3_247
Otau_XM_003074259.1	Otau_3_248
Otau_XM_003074260.1	Otau_3_249
Otau_XM_022985322.1	Otau_3_250
Otau_XM_003074262.1	Otau_3_251
Otau_XM_003074263.2	Otau_3_252
Otau_XM_022985323.1	Otau_3_253
Otau_XM_003074265.2	Otau_3_254
Otau_XM_003074266.1	Otau_3_255
Otau_XM_003074267.1	Otau_3_256
Otau_XM_003074268.1	Otau_3_257
Otau_XM_003074269.1	Otau_3_258
Otau_XM_003074270.1	Otau_3_259
Otau_XM_003074271.2	Otau_3_260
Otau_XM_022985325.1	Otau_3_261
Otau_XM_003074272.2	Otau_3_262
Otau_XM_003074273.1	Otau_3_263
Otau_XM_003074274.1	Otau_3_264
Otau_XM_003074275.2	Otau_3_265
Otau_XM_022985326.1	Otau_3_266
Otau_XM_003074283.2	Otau_3_267
Otau_XM_022985327.1	Otau_3_268
Otau_XM_003074285.2	Otau_3_269
Otau_XM_022985328.1	Otau_3_270
Otau_XM_022985330.1	Otau_3_271
Otau_XM_003074287.1	Otau_3_272
Otau_XM_022985331.1	Otau_3_273
Otau_XM_022985332.1	Otau_3_274
Otau_XM_022985333.1	Otau_3_275
Otau_XM_003074291.1	Otau_3_276
Otau_XM_003074292.1	Otau_3_277
Otau_XM_003074293.1	Otau_3_278
Otau_XM_022985334.1	Otau_3_279
Otau_XM_003074295.1	Otau_3_280
Otau_XM_003074296.1	Otau_3_281
Otau_XM_022985335.1	Otau_3_282
Otau_XM_003074298.1	Otau_3_283
Otau_XM_003074299.1	Otau_3_284
Otau_XM_003074300.1	Otau_3_285
Otau_XM_003074301.2	Otau_3_286
Otau_XM_003074302.2	Otau_3_287
Otau_XM_003074303.2	Otau_3_288
Otau_XM_003074304.1	Otau_3_289
Otau_XM_003074305.1	Otau_3_290
Otau_XM_003074306.1	Otau_3_291
Otau_XM_022985337.1	Otau_3_292
Otau_XM_022985338.1	Otau_3_293
Otau_XM_022985339.1	Otau_3_294
Otau_XM_003074311.2	Otau_3_295
Otau_XM_022985340.1	Otau_3_296
Otau_XM_003074312.1	Otau_3_297
Otau_XM_022985341.1	Otau_3_298
Otau_XM_022985342.1	Otau_3_299
Otau_XM_022985343.1	Otau_3_300
Otau_XM_022985344.1	Otau_3_301
Otau_XM_022985345.1	Otau_3_302
Otau_XM_022985346.1	Otau_3_303
Otau_XM_022985347.1	Otau_3_304
Otau_XM_003074315.2	Otau_3_305
Otau_XM_003074316.1	Otau_3_306
Otau_XM_003074317.1	Otau_3_307
Otau_XM_003074318.1	Otau_3_308
Otau_XM_003074319.2	Otau_3_309
Otau_XM_022985348.1	Otau_3_310
Otau_XM_022985350.1	Otau_3_311
Otau_XM_003074320.1	Otau_3_312
Otau_XM_003074321.1	Otau_3_313
Otau_XM_003074322.2	Otau_3_314
Otau_XM_022985351.1	Otau_3_315
Otau_XM_003074324.2	Otau_3_316
Otau_XM_003074325.1	Otau_3_317
Otau_XM_003074326.1	Otau_3_318
Otau_XM_003074327.1	Otau_3_319
Otau_XM_003074328.2	Otau_3_320
Otau_XM_022985353.1	Otau_3_321
Otau_XM_003074329.2	Otau_3_322
Otau_XM_003074330.1	Otau_3_323
Otau_XM_003074331.1	Otau_3_324
Otau_XM_022985354.1	Otau_3_325
Otau_XM_003074333.1	Otau_3_326
Otau_XM_003074334.1	Otau_3_327
Otau_XM_003074335.1	Otau_3_328
Otau_XM_003074336.1	Otau_3_329
Otau_XM_003074337.2	Otau_3_330
Otau_XM_022985355.1	Otau_3_331
Otau_XM_022985356.1	Otau_3_332
Otau_XM_022985357.1	Otau_3_333
Otau_XM_022985358.1	Otau_3_334
Otau_XM_003074342.2	Otau_3_335
Otau_XM_022985359.1	Otau_3_336
Otau_XM_022985360.1	Otau_3_337
Otau_XM_022985361.1	Otau_3_338
Otau_XM_003074346.2	Otau_3_339
Otau_XM_003074347.2	Otau_3_340
Otau_XM_003074348.1	Otau_3_341
Otau_XM_003074349.1	Otau_3_342
Otau_XM_022985362.1	Otau_3_343
Otau_XM_003074351.2	Otau_3_344
Otau_XM_003074352.1	Otau_3_345
Otau_XM_022985363.1	Otau_3_346
Otau_XM_022985364.1	Otau_3_347
Otau_XM_003074354.1	Otau_3_348
Otau_XM_003074355.1	Otau_3_349
Otau_XM_003074356.1	Otau_3_350
Otau_XM_022985365.1	Otau_3_351
Otau_XM_003074358.2	Otau_3_352
Otau_XM_003074359.1	Otau_3_353
Otau_XM_022985366.1	Otau_3_354
Otau_XM_022985367.1	Otau_3_355
Otau_XM_003074361.2	Otau_3_356
Otau_XM_022985368.1	Otau_3_357
Otau_XM_022985369.1	Otau_3_358
Otau_XM_003074363.2	Otau_3_359
Otau_XM_022985370.1	Otau_3_360
Otau_XM_003074365.2	Otau_3_361
Otau_XM_003074366.2	Otau_3_362
Otau_XM_022985371.1	Otau_3_363
Otau_XM_022985372.1	Otau_3_364
Otau_XM_003074368.2	Otau_3_365
Otau_XM_022985373.1	Otau_3_366
Otau_XM_003074370.2	Otau_3_367
Otau_XM_022985374.1	Otau_3_368
Otau_XM_003074372.2	Otau_3_369
Otau_XM_003074373.1	Otau_3_370
Otau_XM_003074374.2	Otau_3_371
Otau_XM_022985375.1	Otau_3_372
Otau_XM_022985376.1	Otau_3_373
Otau_XM_003074376.1	Otau_3_374
Otau_XM_003074377.2	Otau_3_375
Otau_XM_003074378.2	Otau_3_376
Otau_XM_003074379.1	Otau_3_377
Otau_XM_003074380.1	Otau_3_378
Otau_XM_022985377.1	Otau_3_379
Otau_XM_022985378.1	Otau_3_380
Otau_XM_003074382.2	Otau_3_381
Otau_XM_022985379.1	Otau_3_382
Otau_XM_003074384.2	Otau_3_383
Otau_XM_003074386.2	Otau_3_384
Otau_XM_003074387.2	Otau_3_385
Otau_XM_003074388.2	Otau_3_386
Otau_XM_022985380.1	Otau_3_387
Otau_XM_022985381.1	Otau_3_388
Otau_XM_003074390.2	Otau_3_389
Otau_XM_022985382.1	Otau_3_390
Otau_XM_003074392.1	Otau_3_391
Otau_XM_022985384.1	Otau_3_392
Otau_XM_022985385.1	Otau_3_393
Otau_XM_003074397.2	Otau_3_394
Otau_XM_003074398.1	Otau_3_395
Otau_XM_022985386.1	Otau_3_396
Otau_XM_022985387.1	Otau_3_397
Otau_XM_003074401.2	Otau_3_398
Otau_XM_022985388.1	Otau_3_399
Otau_XM_003074403.2	Otau_3_400
Otau_XM_003074404.1	Otau_3_401
Otau_XM_003074405.1	Otau_3_402
Otau_XM_022985390.1	Otau_3_403
Otau_XM_022985391.1	Otau_3_404
Otau_XM_003074408.1	Otau_3_405
Otau_XM_022985392.1	Otau_3_406
Otau_XM_003074410.1	Otau_3_407
Otau_XM_003074411.2	Otau_3_408
Otau_XM_022985393.1	Otau_3_409
Otau_XM_003074413.2	Otau_3_410
Otau_XM_003074414.2	Otau_3_411
Otau_XM_022985396.1	Otau_3_412
Otau_XM_022985397.1	Otau_3_413
Otau_XM_022985398.1	Otau_3_414
Otau_XM_022985399.1	Otau_3_415
Otau_XM_022985400.1	Otau_3_416
Otau_XM_003074419.2	Otau_3_417
Otau_XM_003074420.2	Otau_3_418
Otau_XM_003074421.2	Otau_3_419
Otau_XM_022985401.1	Otau_3_420
Otau_XM_022985403.1	Otau_3_421
Otau_XM_022985404.1	Otau_3_422
Otau_XM_022985405.1	Otau_3_423
Otau_XM_003074427.2	Otau_3_424
Otau_XM_003074429.1	Otau_3_425
Otau_XM_003074430.1	Otau_3_426
Otau_XM_003074431.1	Otau_3_427
Otau_XM_003074432.2	Otau_3_428
Otau_XM_022985406.1	Otau_3_429
Otau_XM_003074434.2	Otau_3_430
Otau_XM_003074435.2	Otau_3_431
Otau_XM_022985407.1	Otau_3_432
Otau_XM_022985408.1	Otau_3_433
Otau_XM_022985409.1	Otau_3_434
Otau_XM_003074439.2	Otau_3_435
Otau_XM_003074440.2	Otau_3_436
Otau_XM_003074441.2	Otau_3_437
Otau_XM_003074442.2	Otau_3_438
Otau_XM_003074443.2	Otau_3_439
Otau_XM_003074444.1	Otau_3_440
Otau_XM_003074445.1	Otau_3_441
Otau_XM_022985410.1	Otau_3_442
Otau_XM_003074447.2	Otau_3_443
Otau_XM_003074448.1	Otau_3_444
Otau_XM_022985411.1	Otau_3_445
Otau_XM_003074449.2	Otau_3_446
Otau_XM_003074450.1	Otau_3_447
Otau_XM_022985412.1	Otau_3_448
Otau_XM_003074452.1	Otau_3_449
Otau_XM_022985413.1	Otau_3_450
Otau_XM_022985415.1	Otau_3_451
Otau_XM_003074455.2	Otau_3_452
Otau_XM_003074456.1	Otau_3_453
Otau_XM_003074457.2	Otau_3_454
Otau_XM_003074458.2	Otau_3_455
Otau_XM_003074459.1	Otau_3_456
Otau_XM_003074460.2	Otau_3_457
Otau_XM_003074462.2	Otau_3_458
Otau_XM_003074465.2	Otau_3_459
Otau_XM_003074466.1	Otau_3_460
Otau_XM_022985416.1	Otau_3_461
Otau_XM_022985417.1	Otau_3_462
Otau_XM_022985418.1	Otau_3_463
Otau_XM_022985419.1	Otau_3_464
Otau_XM_022985420.1	Otau_3_465
Otau_XM_022985421.1	Otau_3_466
Otau_XM_003074474.2	Otau_3_467
Otau_XM_022985422.1	Otau_3_468
Otau_XM_003074475.2	Otau_3_469
Otau_XM_003074476.2	Otau_3_470
Otau_XM_022985423.1	Otau_3_471
Otau_XM_022985424.1	Otau_3_472
Otau_XM_003074480.2	Otau_3_473
Otau_XM_003074481.1	Otau_3_474
Otau_XM_003074482.2	Otau_3_475
Otau_XM_003074483.2	Otau_3_476
Otau_XM_003074484.1	Otau_3_477
Otau_XM_003074485.2	Otau_3_478
Otau_XM_022985425.1	Otau_3_479
Otau_XM_022985426.1	Otau_3_480
Otau_XM_022985427.1	Otau_3_481
Otau_XM_003074486.2	Otau_3_482
Otau_XM_003074487.1	Otau_3_483
Otau_XM_003074488.1	Otau_3_484
Otau_XM_003074489.2	Otau_3_485
Otau_XM_003074490.2	Otau_3_486
Otau_XM_022985428.1	Otau_3_487
Otau_XM_003074492.1	Otau_3_488
Otau_XM_022985429.1	Otau_3_489
Otau_XM_022985430.1	Otau_3_490
Otau_XM_003074494.1	Otau_3_491
Otau_XM_003074495.1	Otau_3_492
Otau_XM_022985432.1	Otau_3_493
Otau_XM_003074497.1	Otau_3_494
Otau_XM_022985433.1	Otau_3_495
Otau_XM_022985434.1	Otau_3_496
Otau_XM_003074500.1	Otau_3_497
Otau_XM_022985435.1	Otau_3_498
Otau_XM_022985436.1	Otau_3_499
Otau_XM_003074503.1	Otau_3_500
Otau_XM_003074504.2	Otau_3_501
Otau_XM_022985438.1	Otau_3_502
Otau_XM_022985439.1	Otau_3_503
Otau_XM_022985440.1	Otau_3_504
Otau_XM_022985441.1	Otau_3_505
Otau_XM_022985442.1	Otau_3_506
Otau_XM_022985443.1	Otau_3_507
Otau_XM_022985444.1	Otau_3_508
Otau_XM_022985445.1	Otau_3_509
Otau_XM_003074509.2	Otau_3_510
Otau_XM_022985448.1	Otau_3_511
Otau_XM_022985449.1	Otau_3_512
Otau_XM_003074511.1	Otau_3_513
Otau_XM_003074512.2	Otau_3_514
Otau_XM_022985450.1	Otau_3_515
Otau_XM_003074514.2	Otau_3_516
Otau_XM_003074515.1	Otau_3_517
Otau_XM_022985451.1	Otau_3_518
Otau_XM_022985452.1	Otau_3_519
Otau_XM_003074517.1	Otau_3_520
Otau_XM_003074518.2	Otau_3_521
Otau_XM_022985454.1	Otau_3_522
Otau_XM_003074522.1	Otau_3_523
Otau_XM_003074523.1	Otau_3_524
Otau_XM_003074524.1	Otau_3_525
Otau_XM_003074525.1	Otau_3_526
Otau_XM_022985455.1	Otau_3_527
Otau_XM_003074527.2	Otau_3_528
Otau_XM_022985456.1	Otau_3_529
Otau_XM_022985457.1	Otau_3_530
Otau_XM_003074533.1	Otau_3_531
Otau_XM_003074534.2	Otau_3_532
Otau_XM_022985458.1	Otau_3_533
Otau_XM_022985459.1	Otau_3_534
Otau_XM_022985460.1	Otau_3_535
Otau_XM_003074536.2	Otau_3_536
Otau_XM_003074537.2	Otau_3_537
Otau_XM_022985461.1	Otau_3_538
Otau_XM_003074539.1	Otau_3_539
Otau_XM_003074540.1	Otau_3_540
Otau_XM_003074541.2	Otau_3_541
Otau_XM_022985462.1	Otau_3_542
Otau_XM_003074544.2	Otau_3_543
Otau_XM_022985463.1	Otau_3_544
Otau_XM_022985464.1	Otau_3_545
Otau_XM_003074546.1	Otau_3_546
Otau_XM_003074547.1	Otau_3_547
Otau_XM_022985465.1	Otau_3_548
Otau_XM_003074550.2	Otau_3_549
Otau_XM_003074551.1	Otau_3_550
Otau_XM_003074552.1	Otau_3_551
Otau_XM_003074553.2	Otau_3_552
Otau_XM_022985466.1	Otau_3_553
Otau_XM_003074554.2	Otau_3_554
Otau_XM_003074555.1	Otau_3_555
Otau_XM_003074556.1	Otau_3_556
