Spur_gene-ND1	Spur_1_1
Spur_XM_030978426.1	Spur_151_11
Spur_NM_001114196.1	Spur_151_12
Spur_XM_011662969.1	Spur_151_13
Spur_XM_030978276.1	Spur_151_14
Spur_XM_030978286.1	Spur_151_15
Spur_XM_030978293.1	Spur_151_16
Spur_XM_001175797.4	Spur_151_17
Spur_XM_030978463.1	Spur_151_18
Spur_XM_030978465.1	Spur_151_19
Spur_XM_030978301.1	Spur_151_20
Spur_XM_030978307.1	Spur_151_21
Spur_XM_030978475.1	Spur_151_22
Spur_XM_030978483.1	Spur_151_23
Spur_XM_003724835.3	Spur_151_24
Spur_XM_011683118.2	Spur_151_25
Spur_XM_030978326.1	Spur_151_26
Spur_XM_030978486.1	Spur_151_27
Spur_XM_011664116.2	Spur_151_28
Spur_XM_030978516.1	Spur_152_1
Spur_XM_030978543.1	Spur_152_2
Spur_XM_011675298.2	Spur_152_3
Spur_XM_030978528.1	Spur_152_4
Spur_XM_030978503.1	Spur_152_5
Spur_XM_030978566.1	Spur_152_6
Spur_XM_030978608.1	Spur_152_7
Spur_XM_030978620.1	Spur_152_8
Spur_XM_030978509.1	Spur_152_9
Spur_XM_030978637.1	Spur_152_10
Spur_XM_030978628.1	Spur_152_11
Spur_XM_030978659.1	Spur_153_1
Spur_XM_030978652.1	Spur_153_2
Spur_XM_030978668.1	Spur_153_3
Spur_XM_003726201.3	Spur_153_4
Spur_XM_011676904.2	Spur_153_5
Spur_XM_030978701.1	Spur_153_6
Spur_XM_030978719.1	Spur_153_7
Spur_XM_030978729.1	Spur_153_8
Spur_XM_030978740.1	Spur_153_9
Spur_XM_030978759.1	Spur_154_1
Spur_XM_030978750.1	Spur_154_2
Spur_XM_030978954.1	Spur_154_3
Spur_XM_011680691.2	Spur_154_4
Spur_XM_030978966.1	Spur_154_5
Spur_XM_030978770.1	Spur_154_6
Spur_XM_030978777.1	Spur_154_7
Spur_XM_030978971.1	Spur_154_8
Spur_XM_030978975.1	Spur_154_9
Spur_XM_030978978.1	Spur_154_10
Spur_XM_030978793.1	Spur_154_11
Spur_XM_030978801.1	Spur_154_12
Spur_XM_011672316.2	Spur_154_13
Spur_XM_011682671.2	Spur_154_14
Spur_XM_030978837.1	Spur_154_15
Spur_XM_030978854.1	Spur_154_16
Spur_XM_030978884.1	Spur_154_17
Spur_XM_030978892.1	Spur_154_18
Spur_XM_030978910.1	Spur_154_19
Spur_XM_774942.4	Spur_154_20
Spur_XM_030978941.1	Spur_154_21
Spur_XM_030978947.1	Spur_154_22
Spur_XM_030979772.1	Spur_155_1
Spur_XM_030979003.1	Spur_155_2
Spur_XM_030979119.1	Spur_155_3
Spur_XM_030979137.1	Spur_155_4
Spur_XM_003729724.3	Spur_155_5
Spur_XM_030979156.1	Spur_155_6
Spur_XM_030979010.1	Spur_155_7
Spur_XM_030979162.1	Spur_155_8
Spur_XM_030979178.1	Spur_155_9
Spur_XM_030979168.1	Spur_155_10
Spur_XM_030979208.1	Spur_155_11
Spur_XM_030979219.1	Spur_155_12
Spur_XM_030979232.1	Spur_155_13
Spur_XM_030979240.1	Spur_155_14
Spur_XM_030979015.1	Spur_155_15
Spur_XM_030979251.1	Spur_155_16
Spur_XM_030979261.1	Spur_155_17
Spur_XM_003730483.3	Spur_155_18
Spur_XM_030979274.1	Spur_155_19
Spur_XM_003729198.2	Spur_155_20
Spur_XM_030979279.1	Spur_155_21
Spur_XM_030979018.1	Spur_155_22
Spur_XM_011673512.2	Spur_155_23
Spur_XM_783395.5	Spur_155_24
Spur_NM_001349028.1	Spur_155_25
Spur_XM_030979303.1	Spur_155_26
Spur_XM_030979316.1	Spur_155_27
Spur_XM_030979324.1	Spur_155_28
Spur_XM_778816.5	Spur_155_29
Spur_XM_030979353.1	Spur_155_30
Spur_XM_001185644.3	Spur_155_31
Spur_XM_775191.5	Spur_155_32
Spur_XM_775259.5	Spur_155_33
Spur_XM_030979396.1	Spur_155_34
Spur_XM_030979404.1	Spur_155_35
Spur_XM_003727184.3	Spur_155_36
Spur_XM_011675801.2	Spur_155_37
Spur_XM_011675802.2	Spur_155_38
Spur_XM_030979439.1	Spur_155_39
Spur_XM_003726388.3	Spur_155_40
Spur_XM_030979020.1	Spur_155_41
Spur_XM_030979468.1	Spur_155_42
Spur_XM_030979508.1	Spur_155_43
Spur_XM_030979522.1	Spur_155_44
Spur_XM_030979022.1	Spur_155_45
Spur_XM_011678206.2	Spur_155_46
Spur_XM_030979538.1	Spur_155_47
Spur_XM_030979556.1	Spur_155_48
Spur_XM_030979027.1	Spur_155_49
Spur_XM_030979564.1	Spur_155_50
Spur_XM_003726387.3	Spur_155_51
Spur_XM_030979579.1	Spur_155_52
Spur_XM_030979592.1	Spur_155_53
Spur_XM_030979604.1	Spur_155_54
Spur_XM_030979615.1	Spur_155_55
Spur_XM_030979648.1	Spur_155_56
Spur_XM_001177494.4	Spur_155_57
Spur_XM_030979652.1	Spur_155_58
Spur_XM_030979668.1	Spur_155_59
Spur_XM_030979033.1	Spur_155_60
Spur_XM_030979042.1	Spur_155_61
Spur_XM_030979688.1	Spur_155_62
Spur_XM_030979052.1	Spur_155_63
Spur_XM_030979062.1	Spur_155_64
Spur_XM_030979066.1	Spur_155_65
Spur_XM_784971.5	Spur_155_66
Spur_XM_030979073.1	Spur_155_67
Spur_XM_003724699.3	Spur_155_68
Spur_XM_030979079.1	Spur_155_69
Spur_XM_030979720.1	Spur_155_70
Spur_XM_030979726.1	Spur_155_71
Spur_XM_030979736.1	Spur_155_72
Spur_XM_030979089.1	Spur_155_73
Spur_XM_030979101.1	Spur_155_74
Spur_XM_030979105.1	Spur_155_75
Spur_XM_030979115.1	Spur_155_76
Spur_XM_030980021.1	Spur_156_1
Spur_XM_030980035.1	Spur_156_2
Spur_XM_030980043.1	Spur_156_3
Spur_XM_030980054.1	Spur_156_4
Spur_XM_030980062.1	Spur_156_5
Spur_XM_030980073.1	Spur_156_6
Spur_XM_030980086.1	Spur_156_7
Spur_XM_030980093.1	Spur_156_8
Spur_XM_775261.5	Spur_156_9
Spur_XM_030980000.1	Spur_156_10
Spur_XM_011675999.2	Spur_156_11
Spur_XM_030980011.1	Spur_156_12
Spur_XM_030979936.1	Spur_156_13
Spur_XM_030980153.1	Spur_156_14
Spur_XM_030980157.1	Spur_156_15
Spur_XM_030980159.1	Spur_156_16
Spur_XM_030980160.1	Spur_156_17
Spur_XM_011681365.2	Spur_156_18
Spur_XM_030980169.1	Spur_156_19
Spur_XM_030980163.1	Spur_156_20
Spur_XM_030980179.1	Spur_157_1
Spur_XM_030980204.1	Spur_157_2
Spur_XM_030980187.1	Spur_157_3
Spur_XM_030980210.1	Spur_157_4
Spur_XM_011674873.2	Spur_157_5
Spur_XM_030980221.1	Spur_157_6
Spur_XM_778219.5	Spur_157_7
Spur_XM_778287.5	Spur_157_8
Spur_XM_030980236.1	Spur_157_9
Spur_XM_003725771.3	Spur_157_10
Spur_XM_030980270.1	Spur_157_11
Spur_XM_030980278.1	Spur_157_12
Spur_XM_030980342.1	Spur_157_13
Spur_XM_030980289.1	Spur_157_14
Spur_XM_030980347.1	Spur_157_15
Spur_XM_030980353.1	Spur_157_16
Spur_XM_030980306.1	Spur_157_17
Spur_XM_030980319.1	Spur_157_18
Spur_XM_030980357.1	Spur_157_19
Spur_XM_030980326.1	Spur_157_20
Spur_XM_030980376.1	Spur_158_1
Spur_XM_030980368.1	Spur_158_2
Spur_XM_030980474.1	Spur_158_3
Spur_XM_030980386.1	Spur_158_4
Spur_XM_030980482.1	Spur_158_5
Spur_XM_030980419.1	Spur_158_6
Spur_XM_030980429.1	Spur_158_7
Spur_XM_011682833.2	Spur_158_8
Spur_XM_030980449.1	Spur_158_9
Spur_XM_030980457.1	Spur_158_10
Spur_XM_030980465.1	Spur_158_11
Spur_XM_030980504.1	Spur_159_1
Spur_XM_030980492.1	Spur_159_2
Spur_XM_030980552.1	Spur_160_1
Spur_XM_003725498.3	Spur_160_2
Spur_XM_030980758.1	Spur_160_3
Spur_XM_030980569.1	Spur_160_4
Spur_XM_030980577.1	Spur_160_5
Spur_XM_030980589.1	Spur_160_6
Spur_XM_775035.5	Spur_160_7
Spur_XM_030980544.1	Spur_160_8
Spur_XM_030980611.1	Spur_160_9
Spur_XM_030980625.1	Spur_160_10
Spur_XM_011674203.2	Spur_160_11
Spur_XM_030980619.1	Spur_160_12
Spur_XM_030980657.1	Spur_160_13
Spur_XM_030980666.1	Spur_160_14
Spur_XM_030980764.1	Spur_160_15
Spur_XM_003729280.3	Spur_160_16
Spur_XM_030980692.1	Spur_160_17
Spur_XM_030980777.1	Spur_160_18
Spur_XM_030980697.1	Spur_160_19
Spur_XM_030980519.1	Spur_160_20
Spur_XM_030980708.1	Spur_160_21
Spur_XM_030980719.1	Spur_160_22
Spur_XM_030980732.1	Spur_160_23
Spur_XM_030980743.1	Spur_160_24
Spur_XM_030980786.1	Spur_160_25
Spur_XM_030980799.1	Spur_160_26
Spur_XM_030980807.1	Spur_160_27
Spur_XM_030980750.1	Spur_160_28
Spur_XM_030980813.1	Spur_160_29
Spur_XM_011664892.2	Spur_161_1
Spur_XM_030981556.1	Spur_161_2
Spur_XM_030980888.1	Spur_161_3
Spur_XM_030981162.1	Spur_161_4
Spur_XM_030981170.1	Spur_161_5
Spur_XM_030980897.1	Spur_161_6
Spur_XM_030981190.1	Spur_161_7
Spur_XM_030980906.1	Spur_161_8
Spur_XM_030981201.1	Spur_161_9
Spur_XM_030980927.1	Spur_161_10
Spur_XM_030981214.1	Spur_161_11
Spur_XM_030980936.1	Spur_161_12
Spur_XM_003730019.2	Spur_161_13
Spur_XM_030980950.1	Spur_161_14
Spur_XM_030980961.1	Spur_161_15
Spur_XM_030981231.1	Spur_161_16
Spur_XM_030981223.1	Spur_161_17
Spur_XM_030980967.1	Spur_161_18
Spur_XM_030980975.1	Spur_161_19
Spur_XM_030981248.1	Spur_161_20
Spur_XM_003725650.3	Spur_161_21
Spur_XM_030981258.1	Spur_161_22
Spur_XM_030980988.1	Spur_161_23
Spur_XM_030981269.1	Spur_161_24
Spur_XM_030981281.1	Spur_161_25
Spur_XM_030981316.1	Spur_161_26
Spur_XM_011669090.1	Spur_161_27
Spur_XM_011669087.2	Spur_161_28
Spur_XM_030981015.1	Spur_161_29
Spur_XM_030981023.1	Spur_161_30
Spur_XM_030981038.1	Spur_161_31
Spur_XM_030981339.1	Spur_161_32
Spur_XM_030981045.1	Spur_161_33
Spur_XM_030981346.1	Spur_161_34
Spur_XM_030981053.1	Spur_161_35
Spur_XM_030981062.1	Spur_161_36
Spur_XM_030980869.1	Spur_161_37
Spur_XM_011667623.2	Spur_161_38
Spur_XM_011671156.2	Spur_161_39
Spur_XM_030981347.1	Spur_161_40
Spur_XM_030981349.1	Spur_161_41
Spur_XM_030981079.1	Spur_161_42
Spur_XM_030981086.1	Spur_161_43
Spur_XM_030981356.1	Spur_161_44
Spur_XM_782967.3	Spur_161_45
Spur_XM_030981393.1	Spur_161_46
Spur_XM_011677810.2	Spur_161_47
Spur_XM_030981414.1	Spur_161_48
Spur_XM_003723860.3	Spur_161_49
Spur_XM_030981457.1	Spur_161_50
Spur_XM_030981462.1	Spur_161_51
Spur_XM_030981095.1	Spur_161_52
Spur_XM_030981104.1	Spur_161_53
Spur_XM_030981115.1	Spur_161_54
Spur_XM_011677823.1	Spur_161_55
Spur_XM_789954.5	Spur_161_56
Spur_XM_030981477.1	Spur_161_57
Spur_XM_030981131.1	Spur_161_58
Spur_XM_011677806.2	Spur_161_59
Spur_XM_030981498.1	Spur_161_60
Spur_XM_030981507.1	Spur_161_61
Spur_XM_030981522.1	Spur_161_62
Spur_XM_794579.5	Spur_161_63
Spur_XM_030981544.1	Spur_161_64
Spur_XM_030981552.1	Spur_161_65
Spur_XM_030981618.1	Spur_162_1
Spur_XM_030981628.1	Spur_162_2
Spur_XM_030981649.1	Spur_162_3
Spur_XM_030981852.1	Spur_162_4
Spur_XM_030981655.1	Spur_162_5
Spur_XM_030981668.1	Spur_162_6
Spur_XM_030981697.1	Spur_162_7
Spur_XM_030981705.1	Spur_162_8
Spur_XM_030981717.1	Spur_162_9
Spur_XM_030981729.1	Spur_162_10
Spur_XM_011671070.2	Spur_162_11
Spur_XM_030981562.1	Spur_162_12
Spur_XM_030981572.1	Spur_162_13
Spur_XM_011675052.2	Spur_162_14
Spur_XM_030981585.1	Spur_162_15
Spur_XM_030981753.1	Spur_162_16
Spur_XM_030981770.1	Spur_162_17
Spur_XM_030981591.1	Spur_162_18
Spur_XM_030981781.1	Spur_162_19
Spur_XM_030981597.1	Spur_162_20
Spur_XM_030981801.1	Spur_162_21
Spur_XM_030981808.1	Spur_162_22
Spur_XM_030981608.1	Spur_162_23
Spur_XM_030981835.1	Spur_162_24
Spur_XM_011672330.2	Spur_162_25
Spur_XM_030981916.1	Spur_163_1
Spur_XM_030981940.1	Spur_163_2
Spur_XM_030982200.1	Spur_163_3
Spur_XM_030981944.1	Spur_163_4
Spur_XM_030981950.1	Spur_163_5
Spur_XM_030981954.1	Spur_163_6
Spur_XM_030981964.1	Spur_163_7
Spur_XM_030981977.1	Spur_163_8
Spur_XM_030981987.1	Spur_163_9
Spur_XM_030981995.1	Spur_163_10
Spur_XM_793870.4	Spur_163_11
Spur_XM_030982015.1	Spur_163_12
Spur_XM_030982034.1	Spur_163_13
Spur_XM_030981889.1	Spur_163_14
Spur_XM_030981898.1	Spur_163_15
Spur_XM_792979.4	Spur_163_16
Spur_XM_030982067.1	Spur_163_17
Spur_XM_030982079.1	Spur_163_18
Spur_XM_030981883.1	Spur_163_19
Spur_XM_030982088.1	Spur_163_20
Spur_XM_011684513.2	Spur_163_21
Spur_NM_214579.2	Spur_163_22
Spur_XM_030982122.1	Spur_163_23
Spur_XM_030982139.1	Spur_163_24
Spur_XM_030982169.1	Spur_163_25
Spur_XM_011682665.2	Spur_163_26
Spur_XM_030982194.1	Spur_163_27
Spur_XM_030982218.1	Spur_164_1
Spur_XM_030982209.1	Spur_164_2
Spur_XM_030982284.1	Spur_164_3
Spur_XM_030982293.1	Spur_164_4
Spur_XM_030982305.1	Spur_164_5
Spur_XM_030982314.1	Spur_164_6
Spur_XM_030982322.1	Spur_164_7
Spur_XM_030982329.1	Spur_164_8
Spur_XM_030982335.1	Spur_164_9
Spur_XM_011677860.1	Spur_164_10
Spur_XM_011677425.2	Spur_164_11
Spur_XM_030982352.1	Spur_164_12
Spur_XM_030982363.1	Spur_164_13
Spur_XM_030982271.1	Spur_164_14
Spur_XM_030982377.1	Spur_164_15
Spur_XM_030982410.1	Spur_165_1
Spur_XM_003730258.3	Spur_165_2
Spur_XM_030982456.1	Spur_165_3
Spur_XM_030982462.1	Spur_165_4
Spur_XM_030982469.1	Spur_165_5
Spur_XM_795089.5	Spur_165_6
Spur_XM_030982515.1	Spur_165_7
Spur_XM_011662543.2	Spur_165_8
Spur_XM_030982527.1	Spur_165_9
Spur_XM_030982392.1	Spur_165_10
Spur_XM_030982534.1	Spur_165_11
Spur_XM_011669533.2	Spur_165_12
Spur_XM_030982548.1	Spur_165_13
Spur_XM_030982555.1	Spur_165_14
Spur_XM_030982563.1	Spur_165_15
Spur_XM_030982572.1	Spur_165_16
Spur_XM_011676423.2	Spur_165_17
Spur_XM_030982403.1	Spur_165_18
Spur_XM_030982599.1	Spur_165_19
Spur_XM_030982615.1	Spur_165_20
Spur_XM_788761.5	Spur_166_1
Spur_XM_030982627.1	Spur_166_2
Spur_XM_030982632.1	Spur_166_3
Spur_XM_030982639.1	Spur_166_4
Spur_XM_030982636.1	Spur_166_5
Spur_XM_003727271.3	Spur_166_6
Spur_XM_030982650.1	Spur_166_7
Spur_XM_030982664.1	Spur_166_8
Spur_XM_003730197.3	Spur_167_1
Spur_XM_011669800.2	Spur_167_2
Spur_XM_030982799.1	Spur_167_3
Spur_XM_003730196.3	Spur_167_4
Spur_XM_030982821.1	Spur_167_5
Spur_XM_030982833.1	Spur_167_6
Spur_XM_030982845.1	Spur_167_7
Spur_XM_030982856.1	Spur_167_8
Spur_XM_011680594.2	Spur_167_9
Spur_XM_030982755.1	Spur_167_10
Spur_XM_030982897.1	Spur_167_11
Spur_XM_030982902.1	Spur_167_12
Spur_NM_001079557.2	Spur_167_13
Spur_XM_030982761.1	Spur_167_14
Spur_XM_030982917.1	Spur_167_15
Spur_XM_030982912.1	Spur_167_16
