Gracho_gnl_WGS_NBIV_mrna.BWQ96_00001	Gracho_1_1
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00095	Gracho_1_95
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00096	Gracho_1_96
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00097	Gracho_1_97
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00098	Gracho_1_98
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00099	Gracho_1_99
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00100	Gracho_1_100
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00101	Gracho_1_101
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00102	Gracho_1_102
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00103	Gracho_1_103
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00104	Gracho_1_104
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00105	Gracho_1_105
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00106	Gracho_1_106
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00107	Gracho_1_107
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00108	Gracho_1_108
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00109	Gracho_1_109
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00110	Gracho_1_110
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00111	Gracho_1_111
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00112	Gracho_1_112
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00113	Gracho_1_113
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00114	Gracho_1_114
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00115	Gracho_1_115
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00116	Gracho_1_116
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00117	Gracho_1_117
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00118	Gracho_1_118
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00119	Gracho_1_119
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00120	Gracho_1_120
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00121	Gracho_1_121
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00122	Gracho_1_122
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00123	Gracho_1_123
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00124	Gracho_1_124
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00125	Gracho_1_125
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00126	Gracho_1_126
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00127	Gracho_1_127
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00128	Gracho_1_128
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00129	Gracho_1_129
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00130	Gracho_1_130
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00131	Gracho_1_131
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00132	Gracho_1_132
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00133	Gracho_1_133
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00134	Gracho_1_134
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00135	Gracho_1_135
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00136	Gracho_1_136
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00137	Gracho_1_137
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00138	Gracho_1_138
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00139	Gracho_1_139
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00140	Gracho_1_140
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00141	Gracho_1_141
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00142	Gracho_1_142
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00143	Gracho_1_143
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00144	Gracho_1_144
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00145	Gracho_1_145
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00146	Gracho_1_146
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00147	Gracho_1_147
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00148	Gracho_1_148
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00149	Gracho_1_149
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00150	Gracho_1_150
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00151	Gracho_1_151
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00152	Gracho_1_152
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00153	Gracho_1_153
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00154	Gracho_1_154
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00155	Gracho_1_155
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00156	Gracho_1_156
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00157	Gracho_1_157
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00158	Gracho_1_158
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00159	Gracho_1_159
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00160	Gracho_1_160
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00161	Gracho_1_161
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00162	Gracho_1_162
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00163	Gracho_1_163
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00164	Gracho_1_164
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00165	Gracho_1_165
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00166	Gracho_1_166
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00167	Gracho_1_167
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00168	Gracho_1_168
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00169	Gracho_1_169
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00170	Gracho_1_170
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00171	Gracho_1_171
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00172	Gracho_1_172
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00173	Gracho_1_173
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00174	Gracho_1_174
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00175	Gracho_1_175
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00176	Gracho_1_176
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00177	Gracho_1_177
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00178	Gracho_1_178
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00179	Gracho_1_179
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00180	Gracho_1_180
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00181	Gracho_1_181
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00182	Gracho_1_182
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00183	Gracho_1_183
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00184	Gracho_1_184
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00185	Gracho_1_185
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00186	Gracho_1_186
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00187	Gracho_1_187
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00188	Gracho_1_188
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00189	Gracho_1_189
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00190	Gracho_1_190
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00191	Gracho_1_191
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00192	Gracho_1_192
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00193	Gracho_1_193
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00194	Gracho_1_194
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00195	Gracho_1_195
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00196	Gracho_1_196
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00197	Gracho_1_197
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00198	Gracho_1_198
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00199	Gracho_1_199
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00200	Gracho_1_200
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00201	Gracho_1_201
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00202	Gracho_1_202
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00203	Gracho_1_203
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00204	Gracho_1_204
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00205	Gracho_1_205
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00206	Gracho_1_206
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00207	Gracho_1_207
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00208	Gracho_1_208
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00209	Gracho_1_209
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00210	Gracho_1_210
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00211	Gracho_1_211
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00212	Gracho_1_212
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00213	Gracho_1_213
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00214	Gracho_1_214
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00215	Gracho_1_215
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00216	Gracho_1_216
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00217	Gracho_1_217
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00218	Gracho_1_218
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00219	Gracho_1_219
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00220	Gracho_1_220
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00221	Gracho_1_221
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00222	Gracho_1_222
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00223	Gracho_1_223
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00224	Gracho_1_224
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00225	Gracho_1_225
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00226	Gracho_1_226
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00227	Gracho_1_227
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00228	Gracho_1_228
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00229	Gracho_1_229
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00230	Gracho_1_230
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00231	Gracho_1_231
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00232	Gracho_1_232
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00233	Gracho_1_233
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00234	Gracho_1_234
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00235	Gracho_1_235
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00236	Gracho_1_236
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00237	Gracho_1_237
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00238	Gracho_1_238
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00239	Gracho_1_239
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00240	Gracho_1_240
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00241	Gracho_1_241
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00242	Gracho_1_242
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00243	Gracho_1_243
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00244	Gracho_1_244
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00245	Gracho_1_245
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00246	Gracho_1_246
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00247	Gracho_1_247
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00248	Gracho_1_248
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00249	Gracho_1_249
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00250	Gracho_1_250
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00251	Gracho_1_251
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00252	Gracho_1_252
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00253	Gracho_1_253
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00254	Gracho_1_254
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00255	Gracho_1_255
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00256	Gracho_1_256
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00257	Gracho_1_257
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00258	Gracho_1_258
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00259	Gracho_1_259
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00260	Gracho_1_260
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00261	Gracho_1_261
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00262	Gracho_1_262
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00263	Gracho_1_263
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00264	Gracho_1_264
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00265	Gracho_1_265
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00266	Gracho_1_266
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00267	Gracho_1_267
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00268	Gracho_1_268
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00269	Gracho_1_269
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00270	Gracho_1_270
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00271	Gracho_1_271
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00272	Gracho_1_272
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00273	Gracho_1_273
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00274	Gracho_1_274
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00275	Gracho_1_275
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00276	Gracho_1_276
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00277	Gracho_1_277
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00278	Gracho_1_278
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00279	Gracho_1_279
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00280	Gracho_1_280
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00281	Gracho_1_281
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00282	Gracho_1_282
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00283	Gracho_1_283
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00284	Gracho_1_284
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00285	Gracho_1_285
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00286	Gracho_1_286
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00287	Gracho_1_287
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00288	Gracho_1_288
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00289	Gracho_1_289
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00290	Gracho_1_290
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00291	Gracho_1_291
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00292	Gracho_1_292
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00293	Gracho_1_293
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00294	Gracho_1_294
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00295	Gracho_1_295
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00296	Gracho_1_296
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00297	Gracho_1_297
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00298	Gracho_1_298
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00299	Gracho_1_299
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00300	Gracho_1_300
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00301	Gracho_1_301
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00302	Gracho_1_302
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00303	Gracho_1_303
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00304	Gracho_1_304
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00305	Gracho_1_305
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00306	Gracho_1_306
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00307	Gracho_1_307
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00308	Gracho_1_308
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00309	Gracho_1_309
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00310	Gracho_1_310
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00311	Gracho_1_311
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00312	Gracho_1_312
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00313	Gracho_1_313
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00314	Gracho_1_314
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00315	Gracho_1_315
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00316	Gracho_1_316
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00317	Gracho_1_317
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00318	Gracho_1_318
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00319	Gracho_1_319
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00320	Gracho_1_320
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00321	Gracho_1_321
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00322	Gracho_1_322
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00323	Gracho_1_323
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00324	Gracho_1_324
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00325	Gracho_1_325
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00326	Gracho_1_326
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00327	Gracho_1_327
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00328	Gracho_1_328
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00329	Gracho_1_329
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00330	Gracho_1_330
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00331	Gracho_1_331
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00332	Gracho_1_332
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00333	Gracho_1_333
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00334	Gracho_1_334
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00335	Gracho_1_335
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00336	Gracho_1_336
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00337	Gracho_1_337
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00338	Gracho_1_338
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00339	Gracho_1_339
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00340	Gracho_1_340
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00341	Gracho_1_341
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00342	Gracho_1_342
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00343	Gracho_1_343
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00344	Gracho_1_344
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00345	Gracho_1_345
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00346	Gracho_1_346
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00347	Gracho_1_347
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00348	Gracho_1_348
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00352	Gracho_2_1
