Phoaus_g1.t1	Phoaus_1_1
Phoaus_g105.t1	Phoaus_1_105
Phoaus_g106.t1	Phoaus_1_106
Phoaus_g107.t1	Phoaus_1_107
Phoaus_g108.t1	Phoaus_1_108
Phoaus_g109.t1	Phoaus_1_109
Phoaus_g110.t1	Phoaus_1_110
Phoaus_g111.t1	Phoaus_1_111
Phoaus_g112.t1	Phoaus_1_112
Phoaus_g113.t1	Phoaus_1_113
Phoaus_g114.t1	Phoaus_1_114
Phoaus_g115.t1	Phoaus_1_115
Phoaus_g116.t1	Phoaus_1_116
Phoaus_g117.t1	Phoaus_1_117
Phoaus_g118.t1	Phoaus_1_118
Phoaus_g119.t1	Phoaus_1_119
Phoaus_g120.t1	Phoaus_1_120
Phoaus_g121.t1	Phoaus_1_121
Phoaus_g122.t1	Phoaus_1_122
Phoaus_g123.t1	Phoaus_1_123
Phoaus_g124.t1	Phoaus_1_124
Phoaus_g125.t1	Phoaus_1_125
Phoaus_g126.t1	Phoaus_1_126
Phoaus_g127.t1	Phoaus_1_127
Phoaus_g128.t1	Phoaus_1_128
Phoaus_g129.t1	Phoaus_1_129
Phoaus_g130.t1	Phoaus_1_130
Phoaus_g131.t1	Phoaus_1_131
Phoaus_g132.t1	Phoaus_1_132
Phoaus_g133.t1	Phoaus_1_133
Phoaus_g134.t1	Phoaus_1_134
Phoaus_g135.t1	Phoaus_1_135
Phoaus_g136.t1	Phoaus_1_136
Phoaus_g137.t1	Phoaus_1_137
Phoaus_g138.t1	Phoaus_1_138
Phoaus_g139.t1	Phoaus_1_139
Phoaus_g140.t1	Phoaus_1_140
Phoaus_g141.t1	Phoaus_1_141
Phoaus_g142.t1	Phoaus_1_142
Phoaus_g143.t1	Phoaus_1_143
Phoaus_g144.t1	Phoaus_1_144
Phoaus_g145.t1	Phoaus_1_145
Phoaus_g146.t1	Phoaus_1_146
Phoaus_g147.t1	Phoaus_1_147
Phoaus_g148.t1	Phoaus_1_148
Phoaus_g149.t1	Phoaus_1_149
Phoaus_g150.t1	Phoaus_1_150
Phoaus_g151.t1	Phoaus_1_151
Phoaus_g152.t1	Phoaus_1_152
Phoaus_g153.t1	Phoaus_1_153
Phoaus_g154.t1	Phoaus_1_154
Phoaus_g155.t1	Phoaus_1_155
Phoaus_g156.t1	Phoaus_1_156
Phoaus_g157.t1	Phoaus_1_157
Phoaus_g158.t1	Phoaus_1_158
Phoaus_g159.t1	Phoaus_1_159
Phoaus_g160.t1	Phoaus_1_160
Phoaus_g161.t1	Phoaus_1_161
Phoaus_g162.t1	Phoaus_1_162
Phoaus_g163.t1	Phoaus_1_163
Phoaus_g164.t1	Phoaus_1_164
Phoaus_g165.t1	Phoaus_1_165
Phoaus_g166.t1	Phoaus_1_166
Phoaus_g167.t1	Phoaus_1_167
Phoaus_g168.t1	Phoaus_1_168
Phoaus_g169.t1	Phoaus_1_169
Phoaus_g170.t1	Phoaus_1_170
Phoaus_g171.t1	Phoaus_1_171
Phoaus_g172.t1	Phoaus_1_172
Phoaus_g173.t1	Phoaus_1_173
Phoaus_g174.t1	Phoaus_1_174
Phoaus_g175.t1	Phoaus_1_175
Phoaus_g176.t1	Phoaus_1_176
Phoaus_g177.t1	Phoaus_1_177
Phoaus_g178.t1	Phoaus_1_178
Phoaus_g179.t1	Phoaus_1_179
Phoaus_g180.t1	Phoaus_1_180
Phoaus_g181.t1	Phoaus_1_181
Phoaus_g182.t1	Phoaus_1_182
Phoaus_g183.t1	Phoaus_1_183
Phoaus_g184.t1	Phoaus_1_184
Phoaus_g185.t1	Phoaus_1_185
Phoaus_g186.t1	Phoaus_1_186
Phoaus_g187.t1	Phoaus_1_187
Phoaus_g188.t1	Phoaus_1_188
Phoaus_g189.t1	Phoaus_1_189
Phoaus_g190.t1	Phoaus_1_190
Phoaus_g191.t1	Phoaus_1_191
Phoaus_g192.t1	Phoaus_1_192
Phoaus_g193.t1	Phoaus_1_193
Phoaus_g194.t1	Phoaus_1_194
Phoaus_g195.t1	Phoaus_1_195
Phoaus_g196.t1	Phoaus_1_196
Phoaus_g197.t1	Phoaus_1_197
Phoaus_g198.t1	Phoaus_1_198
Phoaus_g199.t1	Phoaus_1_199
Phoaus_g200.t1	Phoaus_1_200
Phoaus_g201.t1	Phoaus_1_201
Phoaus_g202.t1	Phoaus_1_202
Phoaus_g203.t1	Phoaus_1_203
Phoaus_g204.t1	Phoaus_1_204
Phoaus_g205.t1	Phoaus_1_205
Phoaus_g206.t1	Phoaus_1_206
Phoaus_g207.t1	Phoaus_1_207
Phoaus_g208.t1	Phoaus_1_208
Phoaus_g209.t1	Phoaus_1_209
Phoaus_g210.t1	Phoaus_1_210
Phoaus_g211.t1	Phoaus_1_211
Phoaus_g212.t1	Phoaus_1_212
Phoaus_g213.t1	Phoaus_1_213
Phoaus_g214.t1	Phoaus_1_214
Phoaus_g215.t1	Phoaus_1_215
Phoaus_g216.t1	Phoaus_1_216
Phoaus_g217.t1	Phoaus_1_217
Phoaus_g218.t1	Phoaus_1_218
Phoaus_g219.t1	Phoaus_1_219
Phoaus_g220.t1	Phoaus_1_220
Phoaus_g221.t1	Phoaus_1_221
Phoaus_g222.t1	Phoaus_1_222
Phoaus_g223.t1	Phoaus_1_223
Phoaus_g224.t1	Phoaus_1_224
Phoaus_g225.t1	Phoaus_1_225
Phoaus_g226.t1	Phoaus_1_226
Phoaus_g227.t1	Phoaus_1_227
Phoaus_g228.t1	Phoaus_1_228
Phoaus_g229.t1	Phoaus_1_229
Phoaus_g230.t1	Phoaus_1_230
Phoaus_g231.t1	Phoaus_1_231
Phoaus_g232.t1	Phoaus_1_232
Phoaus_g233.t1	Phoaus_1_233
Phoaus_g234.t1	Phoaus_1_234
Phoaus_g235.t1	Phoaus_1_235
Phoaus_g236.t1	Phoaus_1_236
Phoaus_g237.t1	Phoaus_1_237
Phoaus_g238.t1	Phoaus_1_238
Phoaus_g1110.t1	Phoaus_2_1
Phoaus_g1111.t1	Phoaus_2_2
Phoaus_g1112.t1	Phoaus_2_3
Phoaus_g1113.t1	Phoaus_2_4
Phoaus_g1114.t1	Phoaus_2_5
Phoaus_g1115.t1	Phoaus_2_6
Phoaus_g1116.t1	Phoaus_2_7
Phoaus_g1117.t1	Phoaus_2_8
Phoaus_g1118.t1	Phoaus_2_9
Phoaus_g1119.t1	Phoaus_2_10
Phoaus_g1120.t1	Phoaus_2_11
Phoaus_g1121.t1	Phoaus_2_12
Phoaus_g1122.t1	Phoaus_2_13
Phoaus_g1123.t1	Phoaus_2_14
Phoaus_g1124.t1	Phoaus_2_15
Phoaus_g1125.t1	Phoaus_2_16
Phoaus_g1126.t1	Phoaus_2_17
Phoaus_g1127.t1	Phoaus_2_18
Phoaus_g1128.t1	Phoaus_2_19
Phoaus_g1129.t1	Phoaus_2_20
Phoaus_g1130.t1	Phoaus_2_21
Phoaus_g1131.t1	Phoaus_2_22
Phoaus_g1132.t1	Phoaus_2_23
Phoaus_g1133.t1	Phoaus_2_24
Phoaus_g1134.t1	Phoaus_2_25
Phoaus_g1135.t1	Phoaus_2_26
Phoaus_g1136.t1	Phoaus_2_27
Phoaus_g1137.t1	Phoaus_2_28
Phoaus_g1138.t1	Phoaus_2_29
Phoaus_g1139.t1	Phoaus_2_30
Phoaus_g1140.t1	Phoaus_2_31
Phoaus_g1141.t1	Phoaus_2_32
Phoaus_g1142.t1	Phoaus_2_33
Phoaus_g1143.t1	Phoaus_2_34
Phoaus_g1144.t1	Phoaus_2_35
Phoaus_g1145.t1	Phoaus_2_36
Phoaus_g1146.t1	Phoaus_2_37
Phoaus_g1147.t1	Phoaus_2_38
Phoaus_g1148.t1	Phoaus_2_39
Phoaus_g1149.t1	Phoaus_2_40
Phoaus_g1150.t1	Phoaus_2_41
Phoaus_g1151.t1	Phoaus_2_42
Phoaus_g1152.t1	Phoaus_2_43
Phoaus_g1153.t1	Phoaus_2_44
Phoaus_g1154.t1	Phoaus_2_45
Phoaus_g1155.t1	Phoaus_2_46
Phoaus_g1156.t1	Phoaus_2_47
Phoaus_g1157.t1	Phoaus_2_48
Phoaus_g1158.t1	Phoaus_2_49
Phoaus_g1159.t1	Phoaus_2_50
Phoaus_g1160.t1	Phoaus_2_51
Phoaus_g1161.t1	Phoaus_2_52
Phoaus_g1162.t1	Phoaus_2_53
Phoaus_g1163.t1	Phoaus_2_54
Phoaus_g1164.t1	Phoaus_2_55
Phoaus_g1165.t1	Phoaus_2_56
Phoaus_g1166.t1	Phoaus_2_57
Phoaus_g1167.t1	Phoaus_2_58
Phoaus_g1168.t1	Phoaus_2_59
Phoaus_g1169.t1	Phoaus_2_60
Phoaus_g1170.t1	Phoaus_2_61
Phoaus_g1171.t1	Phoaus_2_62
Phoaus_g1172.t1	Phoaus_2_63
Phoaus_g1173.t1	Phoaus_2_64
Phoaus_g1174.t1	Phoaus_2_65
Phoaus_g1175.t1	Phoaus_2_66
Phoaus_g1176.t1	Phoaus_2_67
Phoaus_g1177.t1	Phoaus_2_68
Phoaus_g1178.t1	Phoaus_2_69
Phoaus_g1179.t1	Phoaus_2_70
Phoaus_g1180.t1	Phoaus_2_71
Phoaus_g1181.t1	Phoaus_2_72
Phoaus_g1182.t1	Phoaus_2_73
Phoaus_g1183.t1	Phoaus_2_74
Phoaus_g1184.t1	Phoaus_2_75
Phoaus_g1185.t1	Phoaus_2_76
Phoaus_g1186.t1	Phoaus_2_77
Phoaus_g1187.t1	Phoaus_2_78
Phoaus_g1188.t1	Phoaus_2_79
Phoaus_g1189.t1	Phoaus_2_80
Phoaus_g1190.t1	Phoaus_2_81
Phoaus_g1191.t1	Phoaus_2_82
Phoaus_g1192.t1	Phoaus_2_83
Phoaus_g6054.t1	Phoaus_3_1
Phoaus_g6055.t1	Phoaus_3_2
Phoaus_g6056.t1	Phoaus_3_3
Phoaus_g6057.t1	Phoaus_3_4
Phoaus_g6058.t1	Phoaus_3_5
Phoaus_g6059.t1	Phoaus_3_6
Phoaus_g6060.t1	Phoaus_3_7
Phoaus_g6061.t1	Phoaus_3_8
Phoaus_g6062.t1	Phoaus_3_9
Phoaus_g6063.t1	Phoaus_3_10
Phoaus_g6064.t1	Phoaus_3_11
Phoaus_g6065.t1	Phoaus_3_12
Phoaus_g6066.t1	Phoaus_3_13
Phoaus_g6067.t1	Phoaus_3_14
Phoaus_g6068.t1	Phoaus_3_15
Phoaus_g6069.t1	Phoaus_3_16
Phoaus_g6070.t1	Phoaus_3_17
Phoaus_g6071.t1	Phoaus_3_18
Phoaus_g6072.t1	Phoaus_3_19
Phoaus_g6073.t1	Phoaus_3_20
Phoaus_g6074.t1	Phoaus_3_21
Phoaus_g6075.t1	Phoaus_3_22
Phoaus_g6076.t1	Phoaus_3_23
Phoaus_g6077.t1	Phoaus_3_24
Phoaus_g6078.t1	Phoaus_3_25
Phoaus_g6079.t1	Phoaus_3_26
Phoaus_g6080.t1	Phoaus_3_27
Phoaus_g6081.t1	Phoaus_3_28
Phoaus_g6082.t1	Phoaus_3_29
Phoaus_g6083.t1	Phoaus_3_30
Phoaus_g6084.t1	Phoaus_3_31
Phoaus_g6085.t1	Phoaus_3_32
Phoaus_g6086.t1	Phoaus_3_33
Phoaus_g6087.t1	Phoaus_3_34
Phoaus_g6088.t1	Phoaus_3_35
Phoaus_g6089.t1	Phoaus_3_36
Phoaus_g6090.t1	Phoaus_3_37
Phoaus_g18790.t1	Phoaus_4_1
Phoaus_g18791.t1	Phoaus_4_2
Phoaus_g18792.t1	Phoaus_4_3
Phoaus_g18793.t1	Phoaus_4_4
Phoaus_g18794.t1	Phoaus_5_1
Phoaus_g18795.t1	Phoaus_5_2
Phoaus_g18796.t1	Phoaus_6_1
Phoaus_g18797.t1	Phoaus_6_2
Phoaus_g18798.t1	Phoaus_6_3
Phoaus_g18799.t1	Phoaus_6_4
Phoaus_g18800.t1	Phoaus_6_5
Phoaus_g18801.t1	Phoaus_7_1
Phoaus_g18802.t1	Phoaus_8_1
Phoaus_g18803.t1	Phoaus_8_2
Phoaus_g18804.t1	Phoaus_8_3
Phoaus_g18805.t1	Phoaus_8_4
Phoaus_g18806.t1	Phoaus_9_1
Phoaus_g18807.t1	Phoaus_9_2
Phoaus_g18808.t1	Phoaus_9_3
Phoaus_g18809.t1	Phoaus_10_1
Phoaus_g18810.t1	Phoaus_10_2
Phoaus_g18811.t1	Phoaus_11_1
Phoaus_g6091.t1	Phoaus_12_1
Phoaus_g6092.t1	Phoaus_12_2
Phoaus_g6093.t1	Phoaus_12_3
Phoaus_g6094.t1	Phoaus_12_4
Phoaus_g6095.t1	Phoaus_12_5
Phoaus_g6096.t1	Phoaus_12_6
Phoaus_g6097.t1	Phoaus_12_7
Phoaus_g6098.t1	Phoaus_12_8
Phoaus_g6099.t1	Phoaus_12_9
Phoaus_g6100.t1	Phoaus_12_10
Phoaus_g6101.t1	Phoaus_12_11
Phoaus_g6102.t1	Phoaus_12_12
Phoaus_g6103.t1	Phoaus_12_13
Phoaus_g6104.t1	Phoaus_12_14
Phoaus_g6105.t1	Phoaus_12_15
Phoaus_g6106.t1	Phoaus_12_16
Phoaus_g6107.t1	Phoaus_12_17
Phoaus_g6108.t1	Phoaus_12_18
Phoaus_g6109.t1	Phoaus_12_19
Phoaus_g6110.t1	Phoaus_12_20
Phoaus_g6111.t1	Phoaus_12_21
Phoaus_g6112.t1	Phoaus_12_22
Phoaus_g6113.t1	Phoaus_12_23
Phoaus_g6114.t1	Phoaus_12_24
Phoaus_g6115.t1	Phoaus_12_25
Phoaus_g6116.t1	Phoaus_12_26
Phoaus_g6117.t1	Phoaus_12_27
Phoaus_g6118.t1	Phoaus_12_28
Phoaus_g6119.t1	Phoaus_12_29
Phoaus_g6120.t1	Phoaus_12_30
Phoaus_g6121.t1	Phoaus_12_31
Phoaus_g6122.t1	Phoaus_12_32
Phoaus_g6123.t1	Phoaus_12_33
Phoaus_g6124.t1	Phoaus_12_34
Phoaus_g6125.t1	Phoaus_12_35
Phoaus_g6126.t1	Phoaus_12_36
Phoaus_g6127.t1	Phoaus_12_37
Phoaus_g6128.t1	Phoaus_12_38
Phoaus_g6129.t1	Phoaus_12_39
Phoaus_g6130.t1	Phoaus_12_40
Phoaus_g6131.t1	Phoaus_12_41
Phoaus_g6132.t1	Phoaus_12_42
Phoaus_g6133.t1	Phoaus_12_43
Phoaus_g6134.t1	Phoaus_12_44
Phoaus_g18812.t1	Phoaus_13_1
Phoaus_g18813.t1	Phoaus_13_2
Phoaus_g18814.t1	Phoaus_14_1
Phoaus_g18815.t1	Phoaus_14_2
Phoaus_g18816.t1	Phoaus_15_1
Phoaus_g18817.t1	Phoaus_15_2
Phoaus_g18818.t1	Phoaus_15_3
Phoaus_g18819.t1	Phoaus_15_4
Phoaus_g18820.t1	Phoaus_15_5
Phoaus_g18821.t1	Phoaus_16_1
Phoaus_g18822.t1	Phoaus_16_2
Phoaus_g18823.t1	Phoaus_17_1
Phoaus_g18824.t1	Phoaus_17_2
Phoaus_g18825.t1	Phoaus_17_3
Phoaus_g18826.t1	Phoaus_17_4
Phoaus_g18827.t1	Phoaus_17_5
Phoaus_g18828.t1	Phoaus_17_6
Phoaus_g18829.t1	Phoaus_18_1
Phoaus_g18830.t1	Phoaus_18_2
Phoaus_g18831.t1	Phoaus_19_1
Phoaus_g18832.t1	Phoaus_19_2
Phoaus_g18833.t1	Phoaus_19_3
Phoaus_g18834.t1	Phoaus_19_4
Phoaus_g18835.t1	Phoaus_20_1
Phoaus_g18836.t1	Phoaus_20_2
Phoaus_g18837.t1	Phoaus_20_3
Phoaus_g18838.t1	Phoaus_20_4
Phoaus_g18839.t1	Phoaus_20_5
Phoaus_g18840.t1	Phoaus_21_1
Phoaus_g18841.t1	Phoaus_21_2
Phoaus_g6135.t1	Phoaus_22_1
Phoaus_g6136.t1	Phoaus_22_2
Phoaus_g6137.t1	Phoaus_22_3
Phoaus_g6138.t1	Phoaus_22_4
Phoaus_g6139.t1	Phoaus_22_5
Phoaus_g6140.t1	Phoaus_22_6
Phoaus_g6141.t1	Phoaus_22_7
Phoaus_g6142.t1	Phoaus_22_8
Phoaus_g6143.t1	Phoaus_22_9
Phoaus_g6144.t1	Phoaus_22_10
Phoaus_g6145.t1	Phoaus_22_11
Phoaus_g6146.t1	Phoaus_22_12
Phoaus_g6147.t1	Phoaus_22_13
Phoaus_g6148.t1	Phoaus_22_14
Phoaus_g6149.t1	Phoaus_22_15
Phoaus_g6150.t1	Phoaus_22_16
Phoaus_g6151.t1	Phoaus_22_17
Phoaus_g6152.t1	Phoaus_22_18
Phoaus_g6153.t1	Phoaus_22_19
Phoaus_g6154.t1	Phoaus_22_20
Phoaus_g6155.t1	Phoaus_22_21
Phoaus_g6156.t1	Phoaus_22_22
Phoaus_g6157.t1	Phoaus_22_23
Phoaus_g6158.t1	Phoaus_22_24
Phoaus_g6159.t1	Phoaus_22_25
Phoaus_g6160.t1	Phoaus_22_26
Phoaus_g6161.t1	Phoaus_22_27
Phoaus_g6162.t1	Phoaus_22_28
Phoaus_g6163.t1	Phoaus_22_29
Phoaus_g6164.t1	Phoaus_22_30
Phoaus_g6165.t1	Phoaus_22_31
Phoaus_g6166.t1	Phoaus_22_32
Phoaus_g6167.t1	Phoaus_22_33
Phoaus_g6168.t1	Phoaus_22_34
Phoaus_g6169.t1	Phoaus_22_35
Phoaus_g6170.t1	Phoaus_22_36
Phoaus_g6171.t1	Phoaus_22_37
Phoaus_g6172.t1	Phoaus_22_38
Phoaus_g6173.t1	Phoaus_22_39
Phoaus_g6174.t1	Phoaus_22_40
Phoaus_g6175.t1	Phoaus_22_41
Phoaus_g6176.t1	Phoaus_22_42
Phoaus_g18842.t1	Phoaus_23_1
Phoaus_g18843.t1	Phoaus_23_2
Phoaus_g18844.t1	Phoaus_24_1
Phoaus_g18845.t1	Phoaus_24_2
Phoaus_g18846.t1	Phoaus_25_1
Phoaus_g18847.t1	Phoaus_26_1
Phoaus_g18848.t1	Phoaus_26_2
Phoaus_g18849.t1	Phoaus_26_3
Phoaus_g18850.t1	Phoaus_26_4
Phoaus_g18851.t1	Phoaus_26_5
Phoaus_g18852.t1	Phoaus_27_1
Phoaus_g18853.t1	Phoaus_27_2
Phoaus_g18854.t1	Phoaus_28_1
Phoaus_g18855.t1	Phoaus_28_2
Phoaus_g18856.t1	Phoaus_28_3
Phoaus_g18857.t1	Phoaus_29_1
Phoaus_g18858.t1	Phoaus_29_2
Phoaus_g18859.t1	Phoaus_29_3
Phoaus_g18860.t1	Phoaus_30_1
Phoaus_g18861.t1	Phoaus_30_2
Phoaus_g18862.t1	Phoaus_30_3
Phoaus_g18863.t1	Phoaus_31_1
Phoaus_g18864.t1	Phoaus_31_2
Phoaus_g18865.t1	Phoaus_32_1
Phoaus_g6177.t1	Phoaus_33_1
Phoaus_g6178.t1	Phoaus_33_2
Phoaus_g6179.t1	Phoaus_33_3
Phoaus_g6180.t1	Phoaus_33_4
Phoaus_g6181.t1	Phoaus_33_5
Phoaus_g6182.t1	Phoaus_33_6
Phoaus_g6183.t1	Phoaus_33_7
Phoaus_g6184.t1	Phoaus_33_8
Phoaus_g6185.t1	Phoaus_33_9
Phoaus_g6186.t1	Phoaus_33_10
Phoaus_g6187.t1	Phoaus_33_11
Phoaus_g6188.t1	Phoaus_33_12
Phoaus_g6189.t1	Phoaus_33_13
Phoaus_g6190.t1	Phoaus_33_14
Phoaus_g6191.t1	Phoaus_33_15
Phoaus_g6192.t1	Phoaus_33_16
Phoaus_g6193.t1	Phoaus_33_17
Phoaus_g6194.t1	Phoaus_33_18
Phoaus_g6195.t1	Phoaus_33_19
Phoaus_g6196.t1	Phoaus_33_20
Phoaus_g6197.t1	Phoaus_33_21
Phoaus_g6198.t1	Phoaus_33_22
Phoaus_g6199.t1	Phoaus_33_23
Phoaus_g6200.t1	Phoaus_33_24
Phoaus_g6201.t1	Phoaus_33_25
Phoaus_g6202.t1	Phoaus_33_26
Phoaus_g6203.t1	Phoaus_33_27
Phoaus_g6204.t1	Phoaus_33_28
Phoaus_g6205.t1	Phoaus_33_29
Phoaus_g6206.t1	Phoaus_33_30
Phoaus_g6207.t1	Phoaus_33_31
Phoaus_g18866.t1	Phoaus_34_1
Phoaus_g18867.t1	Phoaus_34_2
Phoaus_g18868.t1	Phoaus_34_3
Phoaus_g18869.t1	Phoaus_34_4
Phoaus_g18870.t1	Phoaus_34_5
Phoaus_g18871.t1	Phoaus_35_1
Phoaus_g18872.t1	Phoaus_36_1
Phoaus_g18873.t1	Phoaus_36_2
Phoaus_g18874.t1	Phoaus_37_1
Phoaus_g18875.t1	Phoaus_38_1
Phoaus_g18876.t1	Phoaus_38_2
Phoaus_g18877.t1	Phoaus_38_3
Phoaus_g18878.t1	Phoaus_38_4
Phoaus_g18879.t1	Phoaus_38_5
Phoaus_g18880.t1	Phoaus_38_6
Phoaus_g18881.t1	Phoaus_38_7
Phoaus_g18882.t1	Phoaus_38_8
Phoaus_g18883.t1	Phoaus_39_1
Phoaus_g18884.t1	Phoaus_39_2
Phoaus_g18885.t1	Phoaus_39_3
Phoaus_g18886.t1	Phoaus_40_1
Phoaus_g18887.t1	Phoaus_40_2
Phoaus_g18888.t1	Phoaus_40_3
Phoaus_g18889.t1	Phoaus_41_1
Phoaus_g18890.t1	Phoaus_41_2
Phoaus_g18891.t1	Phoaus_41_3
Phoaus_g18892.t1	Phoaus_41_4
Phoaus_g18893.t1	Phoaus_42_1
Phoaus_g18894.t1	Phoaus_43_1
Phoaus_g18895.t1	Phoaus_43_2
Phoaus_g18896.t1	Phoaus_43_3
Phoaus_g18897.t1	Phoaus_43_4
Phoaus_g6208.t1	Phoaus_44_1
Phoaus_g6209.t1	Phoaus_44_2
Phoaus_g6210.t1	Phoaus_44_3
Phoaus_g6211.t1	Phoaus_44_4
Phoaus_g6212.t1	Phoaus_44_5
Phoaus_g6213.t1	Phoaus_44_6
Phoaus_g6214.t1	Phoaus_44_7
Phoaus_g6215.t1	Phoaus_44_8
Phoaus_g6216.t1	Phoaus_44_9
Phoaus_g6217.t1	Phoaus_44_10
Phoaus_g6218.t1	Phoaus_44_11
Phoaus_g6219.t1	Phoaus_44_12
Phoaus_g6220.t1	Phoaus_44_13
Phoaus_g6221.t1	Phoaus_44_14
Phoaus_g6222.t1	Phoaus_44_15
Phoaus_g6223.t1	Phoaus_44_16
Phoaus_g6224.t1	Phoaus_44_17
Phoaus_g6225.t1	Phoaus_44_18
Phoaus_g6226.t1	Phoaus_44_19
Phoaus_g6227.t1	Phoaus_44_20
Phoaus_g6228.t1	Phoaus_44_21
Phoaus_g6229.t1	Phoaus_44_22
Phoaus_g6230.t1	Phoaus_44_23
Phoaus_g6231.t1	Phoaus_44_24
Phoaus_g6232.t1	Phoaus_44_25
Phoaus_g6233.t1	Phoaus_44_26
Phoaus_g6234.t1	Phoaus_44_27
Phoaus_g6235.t1	Phoaus_44_28
Phoaus_g6236.t1	Phoaus_44_29
Phoaus_g6237.t1	Phoaus_44_30
Phoaus_g6238.t1	Phoaus_44_31
Phoaus_g6239.t1	Phoaus_44_32
Phoaus_g6240.t1	Phoaus_44_33
Phoaus_g6241.t1	Phoaus_44_34
Phoaus_g6242.t1	Phoaus_44_35
