Porumb_gnl_WGS_MXAK_Pum0014s0001.1.V1.5	Porumb_1_1
Porumb_gnl_WGS_MXAK_Pum0014s0103.1.V1.5	Porumb_1_103
Porumb_gnl_WGS_MXAK_Pum0014s0104.1.V1.5	Porumb_1_104
Porumb_gnl_WGS_MXAK_Pum0014s0105.1.V1.5	Porumb_1_105
Porumb_gnl_WGS_MXAK_Pum0014s0106.1.V1.5	Porumb_1_106
Porumb_gnl_WGS_MXAK_Pum0014s0107.1.V1.5	Porumb_1_107
Porumb_gnl_WGS_MXAK_Pum0014s0108.1.V1.5	Porumb_1_108
Porumb_gnl_WGS_MXAK_Pum0014s0109.1.V1.5	Porumb_1_109
Porumb_gnl_WGS_MXAK_Pum0014s0110.1.V1.5	Porumb_1_110
Porumb_gnl_WGS_MXAK_Pum0014s0111.1.V1.5	Porumb_1_111
Porumb_gnl_WGS_MXAK_Pum0014s0112.1.V1.5	Porumb_1_112
Porumb_gnl_WGS_MXAK_Pum0014s0113.1.V1.5	Porumb_1_113
Porumb_gnl_WGS_MXAK_Pum0014s0114.1.V1.5	Porumb_1_114
Porumb_gnl_WGS_MXAK_Pum0014s0115.1.V1.5	Porumb_1_115
Porumb_gnl_WGS_MXAK_Pum0014s0116.1.V1.5	Porumb_1_116
Porumb_gnl_WGS_MXAK_Pum0014s0117.1.V1.5	Porumb_1_117
Porumb_gnl_WGS_MXAK_Pum0014s0118.1.V1.5	Porumb_1_118
Porumb_gnl_WGS_MXAK_Pum0014s0119.1.V1.5	Porumb_1_119
Porumb_gnl_WGS_MXAK_Pum0014s0120.1.V1.5	Porumb_1_120
Porumb_gnl_WGS_MXAK_Pum0014s0121.1.V1.5	Porumb_1_121
Porumb_gnl_WGS_MXAK_Pum0014s0122.1.V1.5	Porumb_1_122
Porumb_gnl_WGS_MXAK_Pum0014s0123.1.V1.5	Porumb_1_123
Porumb_gnl_WGS_MXAK_Pum0014s0124.1.V1.5	Porumb_1_124
Porumb_gnl_WGS_MXAK_Pum0014s0125.1.V1.5	Porumb_1_125
Porumb_gnl_WGS_MXAK_Pum0014s0126.1.V1.5	Porumb_1_126
Porumb_gnl_WGS_MXAK_Pum0014s0127.1.V1.5	Porumb_1_127
Porumb_gnl_WGS_MXAK_Pum0014s0128.1.V1.5	Porumb_1_128
Porumb_gnl_WGS_MXAK_Pum0014s0129.1.V1.5	Porumb_1_129
Porumb_gnl_WGS_MXAK_Pum0021s0001.1.V1.5	Porumb_2_1
Porumb_gnl_WGS_MXAK_Pum0021s0002.1.V1.5	Porumb_2_2
Porumb_gnl_WGS_MXAK_Pum0021s0003.1.V1.5	Porumb_2_3
Porumb_gnl_WGS_MXAK_Pum0021s0004.1.V1.5	Porumb_2_4
Porumb_gnl_WGS_MXAK_Pum0021s0005.1.V1.5	Porumb_2_5
Porumb_gnl_WGS_MXAK_Pum0021s0006.1.V1.5	Porumb_2_6
Porumb_gnl_WGS_MXAK_Pum0021s0007.1.V1.5	Porumb_2_7
Porumb_gnl_WGS_MXAK_Pum0021s0008.1.V1.5	Porumb_2_8
Porumb_gnl_WGS_MXAK_Pum0021s0009.1.V1.5	Porumb_2_9
Porumb_gnl_WGS_MXAK_Pum0021s0010.1.V1.5	Porumb_2_10
Porumb_gnl_WGS_MXAK_Pum0021s0011.1.V1.5	Porumb_2_11
Porumb_gnl_WGS_MXAK_Pum0021s0012.1.V1.5	Porumb_2_12
Porumb_gnl_WGS_MXAK_Pum0021s0013.1.V1.5	Porumb_2_13
Porumb_gnl_WGS_MXAK_Pum0021s0014.1.V1.5	Porumb_2_14
Porumb_gnl_WGS_MXAK_Pum0021s0015.1.V1.5	Porumb_2_15
Porumb_gnl_WGS_MXAK_Pum0021s0016.1.V1.5	Porumb_2_16
Porumb_gnl_WGS_MXAK_Pum0021s0017.1.V1.5	Porumb_2_17
Porumb_gnl_WGS_MXAK_Pum0021s0018.1.V1.5	Porumb_2_18
Porumb_gnl_WGS_MXAK_Pum0021s0019.1.V1.5	Porumb_2_19
Porumb_gnl_WGS_MXAK_Pum0021s0020.1.V1.5	Porumb_2_20
Porumb_gnl_WGS_MXAK_Pum0021s0021.1.V1.5	Porumb_2_21
Porumb_gnl_WGS_MXAK_Pum0021s0022.1.V1.5	Porumb_2_22
Porumb_gnl_WGS_MXAK_Pum0021s0023.1.V1.5	Porumb_2_23
Porumb_gnl_WGS_MXAK_Pum0021s0024.1.V1.5	Porumb_2_24
Porumb_gnl_WGS_MXAK_Pum0021s0025.1.V1.5	Porumb_2_25
Porumb_gnl_WGS_MXAK_Pum0021s0026.1.V1.5	Porumb_2_26
Porumb_gnl_WGS_MXAK_Pum0021s0027.1.V1.5	Porumb_2_27
Porumb_gnl_WGS_MXAK_Pum0021s0028.1.V1.5	Porumb_2_28
Porumb_gnl_WGS_MXAK_Pum0021s0029.1.V1.5	Porumb_2_29
Porumb_gnl_WGS_MXAK_Pum0021s0030.1.V1.5	Porumb_2_30
Porumb_gnl_WGS_MXAK_Pum0021s0031.1.V1.5	Porumb_2_31
Porumb_gnl_WGS_MXAK_Pum0021s0032.1.V1.5	Porumb_2_32
Porumb_gnl_WGS_MXAK_Pum0021s0033.1.V1.5	Porumb_2_33
Porumb_gnl_WGS_MXAK_Pum0021s0034.1.V1.5	Porumb_2_34
Porumb_gnl_WGS_MXAK_Pum0021s0035.1.V1.5	Porumb_2_35
Porumb_gnl_WGS_MXAK_Pum0021s0036.1.V1.5	Porumb_2_36
Porumb_gnl_WGS_MXAK_Pum0021s0037.1.V1.5	Porumb_2_37
Porumb_gnl_WGS_MXAK_Pum0021s0038.1.V1.5	Porumb_2_38
Porumb_gnl_WGS_MXAK_Pum0021s0039.1.V1.5	Porumb_2_39
Porumb_gnl_WGS_MXAK_Pum0021s0040.1.V1.5	Porumb_2_40
Porumb_gnl_WGS_MXAK_Pum0021s0041.1.V1.5	Porumb_2_41
Porumb_gnl_WGS_MXAK_Pum0021s0042.1.V1.5	Porumb_2_42
Porumb_gnl_WGS_MXAK_Pum0021s0043.1.V1.5	Porumb_2_43
Porumb_gnl_WGS_MXAK_Pum0021s0044.1.V1.5	Porumb_2_44
Porumb_gnl_WGS_MXAK_Pum0021s0045.1.V1.5	Porumb_2_45
Porumb_gnl_WGS_MXAK_Pum0021s0046.1.V1.5	Porumb_2_46
Porumb_gnl_WGS_MXAK_Pum0021s0047.1.V1.5	Porumb_2_47
Porumb_gnl_WGS_MXAK_Pum0021s0048.1.V1.5	Porumb_2_48
Porumb_gnl_WGS_MXAK_Pum0021s0049.1.V1.5	Porumb_2_49
Porumb_gnl_WGS_MXAK_Pum0021s0050.1.V1.5	Porumb_2_50
Porumb_gnl_WGS_MXAK_Pum0021s0051.1.V1.5	Porumb_2_51
Porumb_gnl_WGS_MXAK_Pum0022s0001.1.V1.5	Porumb_3_1
Porumb_gnl_WGS_MXAK_Pum0022s0002.1.V1.5	Porumb_3_2
Porumb_gnl_WGS_MXAK_Pum0022s0003.1.V1.5	Porumb_3_3
Porumb_gnl_WGS_MXAK_Pum0022s0004.1.V1.5	Porumb_3_4
Porumb_gnl_WGS_MXAK_Pum0022s0005.1.V1.5	Porumb_3_5
Porumb_gnl_WGS_MXAK_Pum0022s0006.1.V1.5	Porumb_3_6
Porumb_gnl_WGS_MXAK_Pum0022s0007.1.V1.5	Porumb_3_7
Porumb_gnl_WGS_MXAK_Pum0022s0008.1.V1.5	Porumb_3_8
Porumb_gnl_WGS_MXAK_Pum0022s0009.1.V1.5	Porumb_3_9
Porumb_gnl_WGS_MXAK_Pum0022s0010.1.V1.5	Porumb_3_10
Porumb_gnl_WGS_MXAK_Pum0022s0011.1.V1.5	Porumb_3_11
Porumb_gnl_WGS_MXAK_Pum0022s0012.1.V1.5	Porumb_3_12
Porumb_gnl_WGS_MXAK_Pum0022s0013.1.V1.5	Porumb_3_13
Porumb_gnl_WGS_MXAK_Pum0022s0014.1.V1.5	Porumb_3_14
Porumb_gnl_WGS_MXAK_Pum0022s0015.1.V1.5	Porumb_3_15
Porumb_gnl_WGS_MXAK_Pum0022s0016.1.V1.5	Porumb_3_16
Porumb_gnl_WGS_MXAK_Pum0022s0017.1.V1.5	Porumb_3_17
Porumb_gnl_WGS_MXAK_Pum0022s0018.1.V1.5	Porumb_3_18
Porumb_gnl_WGS_MXAK_Pum0022s0019.1.V1.5	Porumb_3_19
Porumb_gnl_WGS_MXAK_Pum0022s0020.1.V1.5	Porumb_3_20
Porumb_gnl_WGS_MXAK_Pum0022s0021.1.V1.5	Porumb_3_21
Porumb_gnl_WGS_MXAK_Pum0022s0022.1.V1.5	Porumb_3_22
Porumb_gnl_WGS_MXAK_Pum0022s0023.1.V1.5	Porumb_3_23
Porumb_gnl_WGS_MXAK_Pum0022s0024.1.V1.5	Porumb_3_24
Porumb_gnl_WGS_MXAK_Pum0022s0025.1.V1.5	Porumb_3_25
Porumb_gnl_WGS_MXAK_Pum0022s0026.1.V1.5	Porumb_3_26
Porumb_gnl_WGS_MXAK_Pum0022s0027.1.V1.5	Porumb_3_27
Porumb_gnl_WGS_MXAK_Pum0022s0028.1.V1.5	Porumb_3_28
Porumb_gnl_WGS_MXAK_Pum0022s0029.1.V1.5	Porumb_3_29
Porumb_gnl_WGS_MXAK_Pum0022s0030.1.V1.5	Porumb_3_30
Porumb_gnl_WGS_MXAK_Pum0022s0031.1.V1.5	Porumb_3_31
Porumb_gnl_WGS_MXAK_Pum0022s0032.1.V1.5	Porumb_3_32
Porumb_gnl_WGS_MXAK_Pum0022s0033.1.V1.5	Porumb_3_33
Porumb_gnl_WGS_MXAK_Pum0022s0034.1.V1.5	Porumb_3_34
Porumb_gnl_WGS_MXAK_Pum0022s0035.1.V1.5	Porumb_3_35
Porumb_gnl_WGS_MXAK_Pum0022s0036.1.V1.5	Porumb_3_36
Porumb_gnl_WGS_MXAK_Pum0022s0037.1.V1.5	Porumb_3_37
Porumb_gnl_WGS_MXAK_Pum0022s0038.1.V1.5	Porumb_3_38
Porumb_gnl_WGS_MXAK_Pum0022s0039.1.V1.5	Porumb_3_39
Porumb_gnl_WGS_MXAK_Pum0022s0040.1.V1.5	Porumb_3_40
Porumb_gnl_WGS_MXAK_Pum0022s0041.1.V1.5	Porumb_3_41
Porumb_gnl_WGS_MXAK_Pum0022s0042.1.V1.5	Porumb_3_42
Porumb_gnl_WGS_MXAK_Pum0022s0043.1.V1.5	Porumb_3_43
Porumb_gnl_WGS_MXAK_Pum0022s0044.1.V1.5	Porumb_3_44
Porumb_gnl_WGS_MXAK_Pum0022s0045.1.V1.5	Porumb_3_45
Porumb_gnl_WGS_MXAK_Pum0022s0046.1.V1.5	Porumb_3_46
Porumb_gnl_WGS_MXAK_Pum0022s0047.1.V1.5	Porumb_3_47
Porumb_gnl_WGS_MXAK_Pum0022s0048.1.V1.5	Porumb_3_48
Porumb_gnl_WGS_MXAK_Pum0022s0049.1.V1.5	Porumb_3_49
Porumb_gnl_WGS_MXAK_Pum0022s0050.1.V1.5	Porumb_3_50
Porumb_gnl_WGS_MXAK_Pum0022s0051.1.V1.5	Porumb_3_51
Porumb_gnl_WGS_MXAK_Pum0022s0052.1.V1.5	Porumb_3_52
Porumb_gnl_WGS_MXAK_Pum0022s0053.1.V1.5	Porumb_3_53
Porumb_gnl_WGS_MXAK_Pum0022s0054.1.V1.5	Porumb_3_54
Porumb_gnl_WGS_MXAK_Pum0022s0055.1.V1.5	Porumb_3_55
Porumb_gnl_WGS_MXAK_Pum0022s0056.1.V1.5	Porumb_3_56
Porumb_gnl_WGS_MXAK_Pum0022s0057.1.V1.5	Porumb_3_57
Porumb_gnl_WGS_MXAK_Pum0022s0058.1.V1.5	Porumb_3_58
Porumb_gnl_WGS_MXAK_Pum0022s0059.1.V1.5	Porumb_3_59
Porumb_gnl_WGS_MXAK_Pum0022s0060.1.V1.5	Porumb_3_60
Porumb_gnl_WGS_MXAK_Pum0022s0061.1.V1.5	Porumb_3_61
Porumb_gnl_WGS_MXAK_Pum0022s0062.1.V1.5	Porumb_3_62
Porumb_gnl_WGS_MXAK_Pum0022s0063.1.V1.5	Porumb_3_63
Porumb_gnl_WGS_MXAK_Pum0022s0064.1.V1.5	Porumb_3_64
Porumb_gnl_WGS_MXAK_Pum0022s0065.1.V1.5	Porumb_3_65
Porumb_gnl_WGS_MXAK_Pum0022s0066.1.V1.5	Porumb_3_66
Porumb_gnl_WGS_MXAK_Pum0022s0067.1.V1.5	Porumb_3_67
Porumb_gnl_WGS_MXAK_Pum0022s0068.1.V1.5	Porumb_3_68
Porumb_gnl_WGS_MXAK_Pum0022s0069.1.V1.5	Porumb_3_69
Porumb_gnl_WGS_MXAK_Pum0022s0070.1.V1.5	Porumb_3_70
Porumb_gnl_WGS_MXAK_Pum0022s0071.1.V1.5	Porumb_3_71
Porumb_gnl_WGS_MXAK_Pum0022s0072.1.V1.5	Porumb_3_72
Porumb_gnl_WGS_MXAK_Pum0022s0073.1.V1.5	Porumb_3_73
Porumb_gnl_WGS_MXAK_Pum0022s0074.1.V1.5	Porumb_3_74
Porumb_gnl_WGS_MXAK_Pum0022s0075.1.V1.5	Porumb_3_75
Porumb_gnl_WGS_MXAK_Pum0022s0076.1.V1.5	Porumb_3_76
Porumb_gnl_WGS_MXAK_Pum0022s0077.1.V1.5	Porumb_3_77
Porumb_gnl_WGS_MXAK_Pum0022s0078.1.V1.5	Porumb_3_78
Porumb_gnl_WGS_MXAK_Pum0022s0079.1.V1.5	Porumb_3_79
Porumb_gnl_WGS_MXAK_Pum0022s0080.1.V1.5	Porumb_3_80
Porumb_gnl_WGS_MXAK_Pum0022s0081.1.V1.5	Porumb_3_81
Porumb_gnl_WGS_MXAK_Pum0022s0082.1.V1.5	Porumb_3_82
Porumb_gnl_WGS_MXAK_Pum0022s0083.1.V1.5	Porumb_3_83
Porumb_gnl_WGS_MXAK_Pum0022s0084.1.V1.5	Porumb_3_84
Porumb_gnl_WGS_MXAK_Pum0022s0085.1.V1.5	Porumb_3_85
Porumb_gnl_WGS_MXAK_Pum0022s0086.1.V1.5	Porumb_3_86
Porumb_gnl_WGS_MXAK_Pum0022s0087.1.V1.5	Porumb_3_87
Porumb_gnl_WGS_MXAK_Pum0022s0088.1.V1.5	Porumb_3_88
Porumb_gnl_WGS_MXAK_Pum0022s0089.1.V1.5	Porumb_3_89
Porumb_gnl_WGS_MXAK_Pum0022s0090.1.V1.5	Porumb_3_90
Porumb_gnl_WGS_MXAK_Pum0022s0091.1.V1.5	Porumb_3_91
Porumb_gnl_WGS_MXAK_Pum0022s0092.1.V1.5	Porumb_3_92
Porumb_gnl_WGS_MXAK_Pum0022s0093.1.V1.5	Porumb_3_93
Porumb_gnl_WGS_MXAK_Pum0022s0094.1.V1.5	Porumb_3_94
Porumb_gnl_WGS_MXAK_Pum0022s0095.1.V1.5	Porumb_3_95
Porumb_gnl_WGS_MXAK_Pum0022s0096.1.V1.5	Porumb_3_96
Porumb_gnl_WGS_MXAK_Pum0022s0097.1.V1.5	Porumb_3_97
Porumb_gnl_WGS_MXAK_Pum0022s0098.1.V1.5	Porumb_3_98
Porumb_gnl_WGS_MXAK_Pum0022s0099.1.V1.5	Porumb_3_99
Porumb_gnl_WGS_MXAK_Pum0022s0100.1.V1.5	Porumb_3_100
Porumb_gnl_WGS_MXAK_Pum0022s0101.1.V1.5	Porumb_3_101
Porumb_gnl_WGS_MXAK_Pum0022s0102.1.V1.5	Porumb_3_102
Porumb_gnl_WGS_MXAK_Pum0022s0103.1.V1.5	Porumb_3_103
Porumb_gnl_WGS_MXAK_Pum0022s0104.1.V1.5	Porumb_3_104
Porumb_gnl_WGS_MXAK_Pum0022s0105.1.V1.5	Porumb_3_105
Porumb_gnl_WGS_MXAK_Pum0022s0106.1.V1.5	Porumb_3_106
Porumb_gnl_WGS_MXAK_Pum0022s0107.1.V1.5	Porumb_3_107
Porumb_gnl_WGS_MXAK_Pum0022s0108.1.V1.5	Porumb_3_108
Porumb_gnl_WGS_MXAK_Pum0022s0109.1.V1.5	Porumb_3_109
Porumb_gnl_WGS_MXAK_Pum0022s0110.1.V1.5	Porumb_3_110
Porumb_gnl_WGS_MXAK_Pum0022s0111.1.V1.5	Porumb_3_111
Porumb_gnl_WGS_MXAK_Pum0022s0112.1.V1.5	Porumb_3_112
Porumb_gnl_WGS_MXAK_Pum0022s0113.1.V1.5	Porumb_3_113
Porumb_gnl_WGS_MXAK_Pum0022s0114.1.V1.5	Porumb_3_114
Porumb_gnl_WGS_MXAK_Pum0023s0001.1.V1.5	Porumb_4_1
Porumb_gnl_WGS_MXAK_Pum0023s0002.1.V1.5	Porumb_4_2
Porumb_gnl_WGS_MXAK_Pum0023s0003.1.V1.5	Porumb_4_3
Porumb_gnl_WGS_MXAK_Pum0023s0004.1.V1.5	Porumb_4_4
Porumb_gnl_WGS_MXAK_Pum0023s0005.1.V1.5	Porumb_4_5
Porumb_gnl_WGS_MXAK_Pum0023s0006.1.V1.5	Porumb_4_6
Porumb_gnl_WGS_MXAK_Pum0023s0007.1.V1.5	Porumb_4_7
Porumb_gnl_WGS_MXAK_Pum0023s0008.1.V1.5	Porumb_4_8
Porumb_gnl_WGS_MXAK_Pum0023s0009.1.V1.5	Porumb_4_9
Porumb_gnl_WGS_MXAK_Pum0023s0010.1.V1.5	Porumb_4_10
Porumb_gnl_WGS_MXAK_Pum0023s0011.1.V1.5	Porumb_4_11
Porumb_gnl_WGS_MXAK_Pum0023s0012.1.V1.5	Porumb_4_12
Porumb_gnl_WGS_MXAK_Pum0023s0013.1.V1.5	Porumb_4_13
Porumb_gnl_WGS_MXAK_Pum0023s0014.1.V1.5	Porumb_4_14
Porumb_gnl_WGS_MXAK_Pum0023s0015.1.V1.5	Porumb_4_15
Porumb_gnl_WGS_MXAK_Pum0023s0016.1.V1.5	Porumb_4_16
Porumb_gnl_WGS_MXAK_Pum0023s0017.1.V1.5	Porumb_4_17
Porumb_gnl_WGS_MXAK_Pum0023s0018.1.V1.5	Porumb_4_18
Porumb_gnl_WGS_MXAK_Pum0023s0019.1.V1.5	Porumb_4_19
Porumb_gnl_WGS_MXAK_Pum0023s0020.1.V1.5	Porumb_4_20
Porumb_gnl_WGS_MXAK_Pum0023s0021.1.V1.5	Porumb_4_21
Porumb_gnl_WGS_MXAK_Pum0023s0022.1.V1.5	Porumb_4_22
Porumb_gnl_WGS_MXAK_Pum0023s0023.1.V1.5	Porumb_4_23
Porumb_gnl_WGS_MXAK_Pum0023s0024.1.V1.5	Porumb_4_24
Porumb_gnl_WGS_MXAK_Pum0023s0025.1.V1.5	Porumb_4_25
Porumb_gnl_WGS_MXAK_Pum0023s0026.1.V1.5	Porumb_4_26
Porumb_gnl_WGS_MXAK_Pum0023s0027.1.V1.5	Porumb_4_27
Porumb_gnl_WGS_MXAK_Pum0023s0028.1.V1.5	Porumb_4_28
Porumb_gnl_WGS_MXAK_Pum0023s0029.1.V1.5	Porumb_4_29
Porumb_gnl_WGS_MXAK_Pum0023s0030.1.V1.5	Porumb_4_30
