Aano_EGB05519	PHD SNF2_N Helicase_C
Apla_XP_022082641.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Apla_XP_022082648.1	zf-RING_UBOX zf-B_box PHD Bromodomain
Apla_XP_022082887.1	PHD
Apla_XP_022082888.1	PHD
Apla_XP_022084537.1	EPL1 PHD_2 zf-HC5HC2H_2
Apla_XP_022085110.1	PHD
Apla_XP_022085616.1	Cupin_8 zf-CXXC PHD_4
Apla_XP_022085617.1	Cupin_8 zf-CXXC PHD_4
Apla_XP_022087009.1	PHD
Apla_XP_022087295.1	ubiquitin TTD PHD SAD_SRA zf-C3HC4
Apla_XP_022087897.1	PHD SAM_1
Apla_XP_022087899.1	PHD SAM_1
Apla_XP_022090421.1	HTH_Tnp_Tc5 PHD
Apla_XP_022090455.1	HTH_Tnp_Tc5 DDE_1 PHD
Apla_XP_022090947.1	Requiem_N PHD
Apla_XP_022090948.1	Requiem_N PHD
Apla_XP_022091079.1	MBT Tudor_2 PHD
Apla_XP_022091753.1	PWWP HMG_box PHD PWWP AWS SET C5HCH
Apla_XP_022093744.1	PHD
Apla_XP_022093913.1	PHD zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
Apla_XP_022093914.1	PHD zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
Apla_XP_022094970.1	PHD_2
Apla_XP_022094971.1	PHD_2
Apla_XP_022094995.1	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD PHD Bromodomain
Apla_XP_022096294.1	PHD PHF12_MRG_bd
Apla_XP_022096369.1	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD PHD PHD Bromodomain
Apla_XP_022097968.1	PHD
Apla_XP_022097969.1	PHD
Apla_XP_022099200.1	zf-CXXC PHD PHD zf-HC5HC2H FYRN FYRC SET
Apla_XP_022099348.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Apla_XP_022101249.1	PHD zf-MYST MOZ_SAS
Apla_XP_022101253.1	PHD zf-MYST MOZ_SAS
Apla_XP_022101254.1	PHD zf-MYST MOZ_SAS
Apla_XP_022101942.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Apla_XP_022101943.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2
Apla_XP_022102588.1	HARE-HTH ASXH PHD_3
Apla_XP_022103132.1	PHD
Apla_XP_022104216.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Apla_XP_022105582.1	PHD zf-HC5HC2H_2 PHD
Apla_XP_022105698.1	zf-RING_2 PHD
Apla_XP_022106240.1	PHD BRK TFIIS_M SPOC
Apla_XP_022106241.1	PHD BRK TFIIS_M SPOC
Apla_XP_022106505.1	MBD DDT WHIM1 PHD PHD Bromodomain
Apla_XP_022106514.1	MBD DDT WHIM1 PHD PHD Bromodomain
Apla_XP_022106515.1	MBD DDT WHIM1 PHD PHD Bromodomain
Apla_XP_022106517.1	MBD DDT WHIM1 PHD Bromodomain
Apla_XP_022106518.1	MBD DDT WHIM1 PHD PHD Bromodomain
Apla_XP_022107874.1	zf-HC5HC2H PHD PHD PHD zf-HC5HC2H_2 FYRN FYRC SET
Apla_XP_022107878.1	zf-HC5HC2H PHD PHD PHD zf-HC5HC2H_2 FYRN FYRC SET
Apla_XP_022107936.1	Tudor_2 PHD Mtf2_C
Apla_XP_022108494.1	PHD SET
Apla_XP_022110832.1	PHD
Apla_XP_022111440.1	PHD
Apla_XP_022111568.1	PHD
Apla_XP_022111688.1	Integrase_H2C2 rve PHD TatD_DNase
Aplker_103520	PHD
Aplker_25197	PHD
Aplker_35992	Bromodomain PHD HAT_KAT11 ZZ zf-TAZ
Aplker_40180	PHD
Aplker_51022	PLU-1 PLU-1 PLU-1 PHD PHD
Aplker_54716	PHD
Aplker_60894	PHD_2 zf-HC5HC2H_2
Aplker_61146	Chromo SNF2_N PHD
Aplker_61507	PHD Cohesin_HEAT Nipped-B_C
Aplker_84823	JmjN ARID PHD JmjC
Aplker_96780	PHD BRK
Aplker_97307	PWWP PHD Bromodomain
Aque_Aqu2.1.00048_001	PHD
Aque_Aqu2.1.02345_001	PHD
Aque_Aqu2.1.03103_001	PHD
Aque_Aqu2.1.03228_001	PHD
Aque_Aqu2.1.03869_001	PHD
Aque_Aqu2.1.04401_001	PHD
Aque_Aqu2.1.05360_001	Peptidase_C48 PHD
Aque_Aqu2.1.06505_001	YqaJ PHD
Aque_Aqu2.1.10140_001	PHD
Aque_Aqu2.1.11343_001	PHD
Aque_Aqu2.1.11749_001	PHD
Aque_Aqu2.1.12291_001	PHD
Aque_Aqu2.1.12546_001	PHD
Aque_Aqu2.1.12784_001	PHD
Aque_Aqu2.1.13567_001	PHD
Aque_Aqu2.1.14730_001	YqaJ PHD
Aque_Aqu2.1.15140_001	PHD
Aque_Aqu2.1.15574_001	PHD
Aque_Aqu2.1.16622_001	
Aque_Aqu2.1.18444_001	Peptidase_C48 PHD
Aque_Aqu2.1.20481_001	zf-CXXC PHD zf-HC5HC2H FYRC SET
Aque_Aqu2.1.20688_001	PHD zf-MYST MOZ_SAS
Aque_Aqu2.1.20721_001	PHD_2 zf-HC5HC2H_2
Aque_Aqu2.1.21995_001	PHD
Aque_Aqu2.1.24021_001	JmjN PHD_2
Aque_Aqu2.1.24220_001	YqaJ PHD
Aque_Aqu2.1.26008_001	Tudor_2 PHD zf-MYND
Aque_Aqu2.1.26521_001	PHD
Aque_Aqu2.1.28654_001	PHD
Aque_Aqu2.1.30571_001	Peptidase_C48 PHD
Aque_Aqu2.1.31583_001	zf-TRAF PHD
Aque_Aqu2.1.31646_001	YqaJ PHD
Aque_Aqu2.1.31947_001	PHD Cupin_8 JHD
Aque_Aqu2.1.32257_001	Requiem_N PHD RNA_pol_L RNA_pol_A_bac
Aque_Aqu2.1.32901_001	PHD BRK TFIIS_M SPOC
Aque_Aqu2.1.33937_001	PHD Bromodomain
Aque_Aqu2.1.34136_001	JmjN ARID JmjC zf-C5HC2 PLU-1 PHD
Aque_Aqu2.1.35037_001	PHD
Aque_Aqu2.1.35122_001	MBD WHIM1 PHD PHD Bromodomain
Aque_Aqu2.1.35177_001	zf-RING_2 PHD
Aque_Aqu2.1.36114_001	PHD
Aque_Aqu2.1.36508_001	PHD PHD FHA
Aque_Aqu2.1.36877_001	PHD
Aque_Aqu2.1.38449_001	PWWP PHD PWWP AWS SET
Aque_Aqu2.1.38774_001	ubiquitin TTD PHD SAD_SRA zf-C3HC4_3
Aque_Aqu2.1.38799_001	WAC_Acf1_DNA_bd DDT WSD PHD Bromodomain
Aque_Aqu2.1.39233_001	PHD
Aque_Aqu2.1.39659_001	PHD
Aque_Aqu2.1.40239_001	PHD
Aque_Aqu2.1.40294_001	PHD
Aque_Aqu2.1.40505_001	PHD
Aque_Aqu2.1.42232_001	PHD zf-HC5HC2H_2 PHD
Aque_Aqu2.1.42281_001	Bromo_TP PHD
Aque_Aqu2.1.42551_001	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Aque_Aqu2.1.42711_001	PHD SET
Aque_Aqu2.1.43720_001	PHD_2 zf-HC5HC2H_2
Aque_Aqu2.1.44401_001	PHD
Atha_AT1G05380.1	Jas PHD
Atha_AT1G05830.1	PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Atha_AT1G14510.1	Alfin PHD
Atha_AT1G33420.1	PHD
Atha_AT1G50620.1	PHD
Atha_AT1G63490.4	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PLU-1
Atha_AT1G66170.1	PHD
Atha_AT1G67220.1	PHD HAT_KAT11 ZZ zf-TAZ
Atha_AT1G77250.1	PHD PHD
Atha_AT1G77800.3	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Atha_AT1G79350.1	AAA_34 PHD Helicase_C_4
Atha_AT2G01810.1	PHD
Atha_AT2G02470.1	Alfin PHD
Atha_AT2G19260.1	PHD ELM2
Atha_AT2G25170.3	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Atha_AT2G31650.1	LBR_tudor PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Atha_AT2G36720.1	Jas PHD
Atha_AT2G37520.1	Jas Jas PHD
Atha_AT3G01460.1	PHD MBD FYRN FYRC PHD WHIM1 WSD
Atha_AT3G05670.1	zf-RING_2 PHD
Atha_AT3G11200.1	Alfin PHD
Atha_AT3G14740.2	PHD zf-HC5HC2H_2
Atha_AT3G14980.1	Jas PHD
Atha_AT3G19510.1	PHD Homeodomain
Atha_AT3G20280.1	PHD
Atha_AT3G42790.1	Alfin PHD
Atha_AT3G53680.2	Jas Jas PHD
Atha_AT3G61740.1	PWWP PHD SAND PHD_2 zf-HC5HC2H_2 SET
Atha_AT4G10930.1	PHD
Atha_AT4G12620.1	PHD BAH AAA AAA_lid_10
Atha_AT4G14700.1	PHD BAH AAA AAA_lid_10
Atha_AT4G14920.3	Jas PHD
Atha_AT4G22140.1	BAH PHD
Atha_AT4G27910.1	PWWP PHD PHD_2 zf-HC5HC2H_2 SET
Atha_AT4G29940.1	PHD Homeodomain
Atha_AT4G39100.1	BAH PHD
Atha_AT5G05610.1	Alfin PHD
Atha_AT5G09790.2	PHD SET
Atha_AT5G12400.1	DDT PHD
Atha_AT5G20510.1	Alfin PHD
Atha_AT5G22760.1	DDT WHIM1 PHD
Atha_AT5G24330.1	PHD
Atha_AT5G26210.1	Alfin PHD
Atha_AT5G35210.1	DDT WHIM1 PHD
Atha_AT5G36670.1	Jas PHD
Atha_AT5G36740.1	Jas PHD
Atha_AT5G44800.1	PHD Chromo SNF2_N Helicase_C DUF1087
Atha_AT5G53430.1	PWWP PHD PHD_2 zf-HC5HC2H_2 SET
Atha_AT5G58610.3	Agenet Jas PHD
Atri_ERM93545	ING PHD
Atri_ERM93773	PHD Chromo Chromo SNF2_N Helicase_C DUF1087
Atri_ERM93816	PHD
Atri_ERM93817	PHD
Atri_ERM95079	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PLU-1 PLU-1 PHD
Atri_ERM95140	zf-TAZ PHD HAT_KAT11
Atri_ERM95501	BAH PHD
Atri_ERM96685	PHD Homeodomain
Atri_ERM97617	PHD_2 zf-HC5HC2H_2 zf-HC5HC2H_2
Atri_ERM99751	PHD
Atri_ERM99796	Alfin PHD
Atri_ERM99900	PHD Cohesin_HEAT Nipped-B_C
Atri_ERN02848	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Atri_ERN03959	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Atri_ERN04860	Agenet Jas PHD
Atri_ERN05090	DDT WHIM1 PHD
Atri_ERN05231	Alfin PHD
Atri_ERN05491	PHD ELM2
Atri_ERN05905	PHD Bromodomain PHD WHIM1
Atri_ERN09321	PHD
Atri_ERN11051	PHD
Atri_ERN11177	Alfin PHD
Atri_ERN11345	zf-TAZ PHD HAT_KAT11
Atri_ERN11779	PHD BAH AAA AAA_lid_10
Atri_ERN12466	PHD ELM2
Atri_ERN12467	PHD Homeodomain
Atri_ERN12716	PHD
Atri_ERN12722	PHD
Atri_ERN12724	PHD
Atri_ERN13226	DDT PHD
Atri_ERN13236	PHD PHD
Atri_ERN13661	PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Atri_ERN14104	zf-RING_2 PHD EloA-BP1
Atri_ERN14130	PWWP PHD PHD_2 zf-HC5HC2H_2 SET
Atri_ERN14258	Jas PHD_2 zf-HC5HC2H_2 SET
Atri_ERN15892	PHD
Atri_ERN16161	Jas PHD
Atri_ERN16814	zf-RING_2 PHD
Atri_ERN19309	PHD
Atri_ERN19886	PHD Chromo Chromo SNF2_N Helicase_C
Auraur_scaffold105.g22.t1	PHD PHD
Auraur_scaffold121.g4.t1	PHD
Auraur_scaffold1227.g4.t1	DDT PHD
Auraur_scaffold1276.g4.t1	PHD_2
Auraur_scaffold1329.g6.t1	PHD Exo_endo_phos RVT_1
Auraur_scaffold1356.g2.t1	ARID PHD
Auraur_scaffold1370.g5.t1	PHD Exo_endo_phos_2
Auraur_scaffold138.g11.t2	zf-B_box PHD Bromodomain
Auraur_scaffold1424.g1.t1	PHD Exo_endo_phos_2
Auraur_scaffold1463.g3.t1	EPL1 PHD_2 zf-HC5HC2H_2
Auraur_scaffold1520.g2.t1	PHD Exo_endo_phos_2 RVT_1
Auraur_scaffold1556.g1.t1	PHD
Auraur_scaffold1566.g8.t1	PHD
Auraur_scaffold1574.g2.t1	ALS2CR8 MULE Peptidase_C48 PHD
Auraur_scaffold1885.g5.t1	PHD Exo_endo_phos RVT_1
Auraur_scaffold1915.g4.t1	PHD_2 zf-HC5HC2H_2
Auraur_scaffold1942.g2.t1	PHD Exo_endo_phos_2
Auraur_scaffold207.g14.t1	PHD zf-HC5HC2H FYRN
Auraur_scaffold207.g14.t2	zf-CXXC PHD
Auraur_scaffold20.g20.t1	PHD
Auraur_scaffold20.g20.t2	PHD
Auraur_scaffold2249.g1.t1	PHD
Auraur_scaffold2276.g3.t1	PHD JmjC JHD
Auraur_scaffold2276.g3.t2	PHD JmjC JHD
Auraur_scaffold2504.g2.t1	PHD Peptidase_C48
Auraur_scaffold259.g20.t1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2
Auraur_scaffold2737.g1.t1	DUF4371 PHD
Auraur_scaffold32.g23.t1	PHD SAM_1
Auraur_scaffold340.g14.t3	PHD zf-MYST MOZ_SAS
Auraur_scaffold36.g34.t1	PHD
Auraur_scaffold372.g18.t1	PHD UCH Peptidase_C48
Auraur_scaffold387.g8.t1	Requiem_N PHD
Auraur_scaffold3.g51.t1	PHD
Auraur_scaffold3.g51.t3	PHD
Auraur_scaffold4006.g1.t1	PHD
Auraur_scaffold4.g9.t1	PHD Chromo
Auraur_scaffold54.g2.t1	HTH_psq PHD
Auraur_scaffold6.g22.t1	PHD
Auraur_scaffold6.g22.t4	PHD
Auraur_scaffold71.g37.t2	PHD
Auraur_scaffold745.g15.t1	PHD
Auraur_scaffold806.g9.t1	MULE PHD
Auraur_scaffold834.g7.t1	PHD Exo_endo_phos_2
Auraur_scaffold96.g34.t1	PHD
Auraur_scaffold9.g33.t1	WSD PHD Bromodomain
Aurlim_112014	PHD HAT_KAT11 zf-TAZ
Aurlim_115816	PHD
Aurlim_137048	PHD
Aurlim_149187	PHD
Aurlim_38342	PLU-1 PLU-1 PLU-1 PHD
Aurlim_42876	PHD
Aurlim_44826	zf-TAZ Bromodomain PHD HAT_KAT11 ZZ zf-TAZ
Aurlim_47990	SNF2_N Helicase_C PHD zf-HC5HC2H
Aurlim_55325	PHD
Aurlim_60358	zf-TAZ Bromodomain PHD HAT_KAT11 ZZ zf-TAZ
Aurlim_74692	PHD
Aurlim_80042	JmjN ARID PHD JmjC
Aurlim_8447	PHD_2 zf-HC5HC2H_2
Azfi_s0001.g000157	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Azfi_s0002.g001568	PHD Homeodomain
Azfi_s0003.g007745	PHD Cohesin_HEAT Nipped-B_C
Azfi_s0003.g007813	Alfin PHD
Azfi_s0003.g007869	PHD
Azfi_s0004.g008435	BAH PHD
Azfi_s0005.g009272	PHD
Azfi_s0006.g009840	PHD_2 zf-HC5HC2H_2 PHD_2
Azfi_s0006.g009963	EPL1 PHD zf-HC5HC2H_2
Azfi_s0006.g010269	Agenet MBD Jas PHD
Azfi_s0007.g010662	PWWP PHD Chromo SNF2_N Helicase_C DUF1087
Azfi_s0007.g011121	PHD Homeodomain
Azfi_s0008.g011423	PHD EloA-BP1
Azfi_s0009.g011903	PHD Acetyltransf_1
Azfi_s0024.g020365	Alfin PHD
Azfi_s0032.g024649	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Azfi_s0032.g024968	PHD PHD
Azfi_s0048.g030658	PHD Myb_DNA-binding
Azfi_s0049.g030786	Agenet Jas PHD
Azfi_s0051.g031239	zf-TAZ PHD HAT_KAT11 ZZ ZZ zf-TAZ
Azfi_s0054.g033848	PWWP FYRC PHD_2 zf-HC5HC2H_2 SET
Azfi_s0060.g034827	PHD
Azfi_s0063.g035330	PHD PHD
Azfi_s0065.g035942	PHD
Azfi_s0068.g036351	BRCT PTCB-BRCT BRCT PHD
Azfi_s0074.g037333	BAH PHD
Azfi_s0075.g037610	Alfin PHD
Azfi_s0082.g038670	BAH PHD
Azfi_s0087.g042229	DDT PHD
Azfi_s0090.g042609	PHD BAH
Azfi_s0090.g042624	PHD SET
Azfi_s0092.g043010	PHD MBD PHD WHIM1 WSD
Azfi_s0092.g043087	PWWP PHD PHD_2
Azfi_s0093.g043317	Alfin PHD
Azfi_s0102.g044616	JmjC zf-C5HC2 PLU-1 PLU-1 PLU-1 PHD
Azfi_s0110.g045488	PHD Homeodomain
Azfi_s0111.g045609	zf-RING_2 PHD
Azfi_s0117.g046546	PHD_2 zf-HC5HC2H_2 SET
Azfi_s0117.g046586	zf-RING_2 PHD
Azfi_s0121.g046902	PHD BAH AAA AAA_lid_10
Azfi_s0123.g048409	PHD
Azfi_s0129.g048917	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Azfi_s0170.g055617	PHD zf-C3HC4_3 SAD_SRA zf-RING_UBOX
Azfi_s0215.g058370	PHD_2 zf-HC5HC2H_2 SET
Azfi_s0232.g059315	PHD zf-HC5HC2H_2
Azfi_s0244.g059922	Alfin PHD
Azfi_s0271.g061215	PWWP PHD SAND PHD_2 zf-HC5HC2H_2 SET
Azfi_s0301.g063715	Alfin PHD
Azfi_s0519.g075228	Jas PHD
Azfi_s0591.g078755	EPL1 PHD_2 zf-HC5HC2H_2
Azfi_s0601.g078900	Jas PHD
Azfi_s1017.g095262	PHD
Bden_EGF77019	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Bden_EGF77251	PHD
Bden_EGF77888	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Bden_EGF82203	PHD_2 zf-HC5HC2H_2
Bden_EGF82747	BAH PHD_2 zf-HC5HC2H_2
Bden_EGF83309	PHD
Bden_EGF83924	CRC_subunit PHD
Bden_EGF83961	PHD
Bdis_KQJ82814	Alfin PHD
Bdis_KQJ83904	ING PHD
Bdis_KQJ84484	AAA_34 PHD Helicase_C_4
