orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
Acetyltransf_1.HG1.15:like:NAT8/NAT8L:likeclu:38	Coka,Morelo	Eukaryota	Alveolata,Amoebozoa,Ancyromonadida,ArchaeCry,Blastocladiomycota,CRuMs,Chytridiomycota,DiatPelag,Dikarya,Discoba,Esil,Falb,Haptista,Hemimastigophora,Holozoa,Labyrinthulea,Malawimonadidae,Metamonada,Meteor,Mucorales,Ngad,Oomycota,Pygbif,Rall,Rhizaria,Rirr,Ttra,Umbram,Zoopagomycota	1	29	24
Acetyltransf_1.HG1.16:like:NAT14:likeclu:23	Coka,Esil	Phaeophyceae		1	0	3
Acetyltransf_1.HG1.17:like:NAT14:likeclu:23	Cocsub,Coka,Crei,Cvar,Esil,Mpus,Otau,Pavlsp,Vcar	Diaphoratickes	Alveolata,Cpar,Cryptista,DiatPelag,Labyrinthulea,Ngad,Oomycota,Prymnesiophyceae,Rhizaria,Rhodophyta,Streptophyta,Ulvophyceae	1	12	28
Acetyltransf_1.HG1.18:like:NAT14:likeclu:23	Acoe,Atha,Atri,Azfi,Bdis,Bnat,Caulen,Cmer,Cocsub,Coka,Crei,Cvar,Ehux,Klenit,Marpol,Mgut,Mpus,Pavlsp,Phatri,Ppat,Sacu,Sbic,Smoe,Sphfal,Ulvmut,Vcar	Diaphoratickes	Aano,Alveolata,Chabra,Chrtob,Cpar,Cryptista,Esil,EurhPorp,Labyrinthulea,Ngad,Oomycota,Otau,Plabra,Retfil,Tpse	1	15	75
Acetyltransf_1.HG1.19:like:NAT8/NAT8L:likeclu:38	Acas,Amobb2,Andgod,Bnat,Bodsal,Chocri,Clim,Cmer,Cocsub,Coka,Concor,Ctel,Cvar,Ddis,Diprot,Fabtro,Gefoke,Gonavo,Gpro,Gracho,Malcal,Maljak,Manpla,Mcir,Meteor,Morelo,Ngru,Nutlon,Ocar,Pisp,Plamic,Recame,Secula,Spom,Tadh,Tetwil,Tielac,Ttra,Umbram	Eukaryota	Acytosteliales,Alveolata,Ancsig,Aque,ArtTardi,Basidiomycota,Blastocladiomycota,Calcarea,ChlorUlvophy,Choanoflagellata,Chytridiomycetes,Cnidaria,Coerev,Cpar,Deuterostomia,DiatPelag,Emue,Esil,Falb,Filasterea,Gthe,Haptista,Helrob,Hemimastigophora,Ichthyosporea,Jakoba,Kryptozoa,Labyrinthulea,Mamiellophyceae,Masbal,Metamonada,Mlei,Mollusca,Ngad,Oomycota,Pbla,Phakir,Plabra,Plafun,Platyhelminta,Porpur,Porumb,Pygbif,Rall,Retfil,Rhidel,Rigram,Rirr,Streptophyta,Styinc,Trypanosomatida,saccharomyceta	1	52	156
Acetyltransf_1.HG1.1:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Cocsub,Crei,Cvar,Mpus,Ulvmut,Vcar	Chlorophyta	Caulen,Otau	1	2	13
Acetyltransf_1.HG1.20:like:NAT14:likeclu:23	Aano,Chrtob,Coka,Ehux,Esil,Gefoke,Maljak,Ngad,Phatri	Eukaryota	Alveolata,AmorCRUM,Ancyromonadida,ArchaeCry,Discoba,Hemimastigophora,Labyrinthulea,Malcal,Metamonada,Meteor,Oomycota,Pavlsp,Rhizaria,Tpse	1	14	31
Acetyltransf_1.HG1.21:like:NAT14:likeclu:23	Mpus,Otau	Mamiellophyceae		1	0	3
Acetyltransf_1.HG1.22:like:NAT14:likeclu:23	Aano,Bremin,Chrtob,Coka,Ehux,Esil,Gthe,Ngad,Pavlsp,Phatri,Plafun,Porpur,Symmic,Vitbra	Eukaryota	Ancyromonadida,Apicomplexa,CRuMs,Ciliata,Cmer,Cpar,Cvel,Discoba,Eurhodophytina,EvoDiscosea,Gonavo,Hemimastigophora,Labyrinthulea,Malawimonadidae,Metamonada,Meteor,Obazoa,Oomycota,Perkma,Rhizaria,Tpse,Viridiplantae	1	22	53
Acetyltransf_1.HG1.23:NAT14	Acoe,Atha,Atri,Azfi,Bdis,Caulen,Cocsub,Crei,Cvar,Hsap,Klenit,Marpol,Mgut,Mpus,Sacu,Sbic,Smoe,Ulvmut,Vcar	Eukaryota	Ambulacraria,Amoebozoa,Ancyromonadida,Bralan,Bryophyta,CRuMs,Chabra,Choanoflagellata,Cint,CniTri,Cpar,Cryptista,Discoba,Drer,Filasterea,Hemimastigophora,Holomycota,Malawimonadidae,Metamonada,Meteor,Mlei,Otau,Porifera,Protostomia,Pygbif,Rhodophyta,SARHap,Teretosporea,Ttra	1	29	59
Acetyltransf_1.HG1.24:like:NAT8/NAT8L:likeclu:38	Ngru,Tthe	Eukaryota	Amobb2,AmorCRUM,Ancyromonadida,ApiDino,ArchaeCry,Euglenozoa,Haptista,Hemimastigophora,Jakobida,Malawimonadidae,Metamonada,Meteor,Oxytri,Phakir,Ptet,Rhizaria,Stramenopiles	1	17	16
Acetyltransf_1.HG1.25:like:NAT14:likeclu:23	Bremin,Ehux	SARHap	ApiChrom,Chrtob,Ciliata,Pavlsp,Perkma,Rhizaria,Stramenopiles,Symmic	1	8	12
Acetyltransf_1.HG1.26:like:NAT14:likeclu:23	Chrtob,Ehux,Pavlsp	Haptista		1	0	6
Acetyltransf_1.HG1.27:like:NAT14:likeclu:23	Acoe,Atha,Atri,Azfi,Bdis,Klenit,Marpol,Mgut,Ppat,Sacu,Sbic,Smoe,Sphfal	Streptophyta	Chabra	1	1	33
Acetyltransf_1.HG1.28:like:NAT14:likeclu:23	Coka,Ehux,Fabtro,Gthe,Manpla,Pavlsp	Eukaryota	Alveolata,Amorphea,AncyPlano,Archaeplastida,Chrtob,DiatPelag,Discoba,Esil,Gonavo,Hemimastigophora,Labyrinthulea,Malawimonadidae,Metamonada,Meteor,Ngad,Oomycota,Rhizaria,RigiDiph	1	18	26
Acetyltransf_1.HG1.29:like:NAT14:likeclu:23	Chabra,Coka,Ehux,Mpus,Otau,Vitbra	Diaphoratickes	Apicomplexa,Chrtob,Ciliata,Cpar,Cryptista,Cvel,DiatPelag,Dinozoa,Embryophyta,Esil,Klenit,Labyrinthulea,Ngad,Oomycota,Pavlsp,Rhizaria,Rhodophyta,Tetraphytina	1	18	30
Acetyltransf_1.HG1.2:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Amobb2,Bnat,Coka,Cvar,Ddis,Ehux,Fabtro,Manpla,Mpus,Otau,Pavlsp,Porpur,Porumb,Symmic	Eukaryota	Acas,Acytosteliales,AncyPlano,ApiChrom,Bremin,ChlorUlvophy,Chrtob,Ciliata,Cmer,Cocsub,Cpar,Cryptista,DiatPelag,Esil,Euglenozoa,Florideophyceae,Hemimastigophora,Jakobida,Labyrinthulea,Malawimonadidae,Masbal,Metamonada,Meteor,Ngad,Obazoa,Oomycota,Perkma,Plabra,Plafun,Retfil,RigiDiph,Streptophyta,TetraPhary,Tielac	1	34	59
Acetyltransf_1.HG1.30:like:NAT8/NAT8L:likeclu:38	Bnat,Cavfas,Cfra,Cneo,Ddis,Morelo,Nk52,Pinf,Plafun,Rhidel,Skow,Tthe,Umay,Umbram	Eukaryota	Acas,Alblai,Ancyromonadida,ApiDino,ArchaeCry,Ascomycota,Blastocladiomycota,CRuMs,Ccin,Choanoflagellata,Chordata,Chytridiomycota,Clim,CniTri,Discoba,Echinodermata,Falb,Filasterea,Haptista,Hemimastigophora,Hetalb,Ihof,Labyrinthulea,Malawimonadidae,Masbal,Mcir,Metamonada,Meteor,Mlei,Ochrophyta,Oxytri,Pbla,Plabra,Porifera,Protostomia,Ptet,Ptyfla,Pygbif,Rall,Retfil,Rirr,Sappar,Sarc,Tielac,Ttra,Zoopagomycota	1	46	67
Acetyltransf_1.HG1.31:like:NAT14:likeclu:23	Cocsub,Klenit,Ulvmut	Viridiplantae	Caulen,Chabra,Chlorophyceae,Cvar,Embryophyta,Mamiellophyceae	1	6	11
Acetyltransf_1.HG1.32:like:NAT14:likeclu:23	Ehux,Gthe,Pavlsp	Diaphoratickes	Archaeplastida,Chrtob,Gonavo,SAR	1	4	10
Acetyltransf_1.HG1.33:like:NAT14:likeclu:23	Ehux,Pavlsp	Haptista	Chrtob	1	1	4
Acetyltransf_1.HG1.34:like:NAT14:likeclu:23	Mpus,Otau	Mamiellophyceae		1	0	3
Acetyltransf_1.HG1.35:like:NAT14:likeclu:23	Coka,Mpus,Otau	Diaphoratickes	Alveolata,Cpar,Cryptista,DiatPelag,Esil,Haptista,Labyrinthulea,Ngad,Oomycota,Rhizaria,Rhodophyta,Streptophyta,Tetraphytina	1	13	17
Acetyltransf_1.HG1.36:like:NAT14:likeclu:23	Caulen,Cocsub,Crei,Cvar,Mpus,Otau,Vcar	Chlorophyta	Ulvmut	1	1	15
Acetyltransf_1.HG1.37:like:NAT14:likeclu:23	Acoe,Atha,Atri,Azfi,Bdis,Caulen,Chabra,Cocsub,Crei,Cvar,Klenit,Marpol,Mgut,Ppat,Sacu,Sbic,Smoe,Sphfal,Vcar	Viridiplantae	Mamiellophyceae,Ulvmut	1	2	40
Acetyltransf_1.HG1.38:NAT8/NAT8L	Acas,Adig,Andgod,Auraur,Bralan,Ccin,Chrtob,Coka,Cowc,Crei,Ctel,Cvel,Ddis,Drer,Eimten,Exapal,Fabtro,Gefoke,Gonavo,Gpro,Hsap,Jakbah,Klenit,Lcom,Lgig,Linana,Malcal,Maljak,Ngru,Nk52,Nvec,Pfal,Phakir,Pinf,Porpur,Porumb,Ptyfla,Recame,Sappar,Scil,Secula,Skow,Spimul,Spis,Tcas,Tgon,Umbram,Vcar,Vitbra	Eukaryota	Acytosteliales,Alblai,Amobb2,AncyPlano,Arachnida,Ascomycota,Blastocladiomycota,CRuMs,Cgig,Chabra,Choanoflagellata,Chytridiomycetes,Ciliata,Cint,Clim,Cmer,Cneo,Cpar,Demospongiae,DiatPelag,Dinozoa,Dmel,Dpul,Echinodermata,Ehux,Embryophyta,Esil,Euglenozoa,Falb,Florideophyceae,Gthe,Helrob,Hemkuk,Hydrozoa,Icthyophonida,Jaklib,Labyrinthulea,Mamiellophyceae,Masbal,Metamonada,Meteor,Mlei,MortGlomMuco,Morvir,Mvib,Ngad,Notgen,Ocar,Pavlsp,Phoaus,Pisp,Plafun,Platyhelminta,Pygbif,Rall,Rhizaria,Styinc,Tadh,Tardigrada,Tielac,Trebouxiophyceae,Ttra,Ulvophyceae,Umay,Zoopagomycota	1	65	206
Acetyltransf_1.HG1.39:like:NAT14:likeclu:23	Cocsub,Crei,Mpus,Sphfal,Ulvmut,Vcar	Viridiplantae	Caulen,Charophyta,Cvar,Marpol,Otau,Ppat,Tracheophyta	1	7	19
Acetyltransf_1.HG1.3:like:NAT14:likeclu:23	Cvel,Drer,Jaklib,Umay	Eukaryota	Agaricomycotina,Ambulacraria,Amoebozoa,Ancyromonadida,Andalucina,Apicomplexa,ArchaeCry,Ascomycota,Blastocladiomycota,Bralan,CRuMs,Choanoflagellata,Chytridiomycota,Ciliata,Cint,CniTri,Dinozoa,Discicristata,Falb,Filasterea,Haptista,Hemimastigophora,Hsap,Jakbah,Malawimonadidae,Metamonada,Meteor,Mlei,Mucoromycota,Porifera,Protostomia,Pygbif,Rall,Recame,Rhizaria,Secula,Stramenopiles,Teretosporea,Ttra,Vitbra,Zoopagomycota	1	41	39
Acetyltransf_1.HG1.40:like:NAT14:likeclu:23	Bnat,Ehux,Gthe	Diaphoratickes	Archaeplastida,Chrtob,Gonavo,Pavlsp,Plabra,Retfil,StrAlv	1	7	13
Acetyltransf_1.HG1.41:like:NAT14:likeclu:23	Klenit,Marpol,Ppat,Sphfal	Streptophyta	Chabra,Tracheophyta	1	2	11
Acetyltransf_1.HG1.42:like:NAT14:likeclu:23	Acoe,Atha,Atri,Azfi,Bdis,Klenit,Mgut,Sacu,Sbic	Streptophyta	Bryophyta,Chabra,Marpol,Smoe	1	4	22
Acetyltransf_1.HG1.43:like:NAT14:likeclu:23	Bremin,Ehux,Ngad,Pavlsp,Symmic,Vitbra	SARHap	Apicomplexa,Chrtob,Ciliata,Cvel,DiatPelag,Labyrinthulea,Oomycota,Perkma,Phaeophyceae,Rhizaria	1	10	21
Acetyltransf_1.HG1.44:like:NAT14:likeclu:23	Bremin,Coka,Esil,Mpus,Ngad,Otau,Phatri	Diaphoratickes	Aano,ApiChrom,Ciliata,Cpar,Cryptista,Haptista,Labyrinthulea,Oomycota,Perkma,Rhizaria,Rhodophyta,Streptophyta,Symmic,Tetraphytina,Tpse	1	15	28
Acetyltransf_1.HG1.45:like:NAT14:likeclu:23	Ehux,Phatri,Tpse	SARHap	Aano,Alveolata,Chrtob,Labyrinthulea,Oomycota,Pavlsp,PhaeoNanno,Rhizaria	1	8	13
Acetyltransf_1.HG1.46:like:NAT14:likeclu:23	Aano,Chrtob,Coka,Ehux,Esil,Gthe,Pavlsp,Tpse	Diaphoratickes	Alveolata,Archaeplastida,Gonavo,Labyrinthulea,Ngad,Oomycota,Phatri,Rhizaria	1	8	26
Acetyltransf_1.HG1.47:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Morelo	Morelo		1	0	1
Acetyltransf_1.HG1.48:like:NAT14:likeclu:23	Vitbra	Vitbra		1	0	1
Acetyltransf_1.HG1.49:like:NAT14:likeclu:23	Gthe	Gthe		1	0	1
Acetyltransf_1.HG1.4:like:NAT14:likeclu:23	Aano,Bnat,Coka,Cvel,Diprot,Ehux,Esil,Gthe,Ngad,Vitbra	Eukaryota	Amorphea,Ancyromonadida,Apicomplexa,Archaeplastida,Chrtob,Ciliata,Diatomista,Dinozoa,Discoba,Gonavo,Hemimastigophora,Labyrinthulea,Malawimonadidae,Manpla,Metamonada,Meteor,Oomycota,Pavlsp,Plabra,Retfil,Rigram	1	21	36
Acetyltransf_1.HG1.50:like:NAT14:likeclu:23	Pavlsp	Pavlsp		1	0	1
Acetyltransf_1.HG1.51:like:NAT14:likeclu:23	Ehux	Ehux		1	0	1
Acetyltransf_1.HG1.52:like:NAT8/NAT8L:likeclu:38	Linana	Linana		1	0	1
Acetyltransf_1.HG1.5:like:NAT14:likeclu:23	Amobb2,Crei,Manpla,Otau,Vcar	Eukaryota	Amorphea,Ancyromonadida,Cpar,Cryptista,Euglenozoa,Hemimastigophora,Jakobida,Malawimonadidae,Metamonada,Meteor,Mpus,Rhodophyta,RigiDiph,SARHap,Streptophyta,TetraPhary,Trebouxiophyceae,Ulvophyceae	1	18	20
Acetyltransf_1.HG1.6:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Andgod,Gpro	Eukaryota	Amoebozoa,Ancyromonadida,Blastocladiomycota,CRuMs,Chytridiomycetes,Diaphoratickes,Discicristata,Falb,Hemimastigophora,Histionina,Holozoa,Malawimonadidae,Metamonada,Meteor,Pisp,Pygbif,Rall,Styinc,TerFun,Ttra	1	20	15
Acetyltransf_1.HG1.7:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Aplker,Carmem,Gefoke,Gpro,Gracho,Klenit,Manpla,Retfil,Spun,Ttra,Umay	Eukaryota	Agaricomycotina,Alveolata,Amoebozoa,Ancyromonadida,Ascomycota,Bden,Blastocladiomycota,Cercozoa,Chabra,Chlorophyta,Chocri,Cmer,Cpar,Cryptista,DiploKip,Discoba,Embryophyta,Falb,Gyrista,Haptista,Hemimastigophora,Holozoa,Malawimonas,Meteor,Mucoromycota,Pisp,Porpur,Porumb,Pygbif,Rall,RigiDiph,Thraustochytrida,Tvag,Zoopagomycota	1	34	47
Acetyltransf_1.HG1.8:like:NAT14:likeclu:23	Cocsub,Phatri,Tpse	Diaphoratickes	Aano,Alveolata,ChlorUlvophy,Cpar,Cryptista,Cvar,Haptista,Labyrinthulea,Mamiellophyceae,Oomycota,PhaeoNanno,Rhizaria,Rhodophyta,Streptophyta	1	14	18
Acetyltransf_1.HG1.9:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Morelo,Spun	Eufungi	Bden,Blastocladiomycota,Dikarya,MonoblNeocal,Mucorales,Rirr,Umbram,Zoopagomycota	1	8	10
Acetyltransf_1.HG10.0:NAA40	Acoe,Alblai,Ancsig,Andgod,Apla,Aplker,Aque,Atha,Atri,Auraur,Aurlim,Bdis,Bralan,Cang,Carmem,Caulen,Cfra,Cgig,Chabra,Clim,Clyhem,Cmer,Cneo,Cocsub,Coka,Concor,Cowc,Crei,Cscu,Ctel,Cvar,Cvel,Diprot,Dmel,Dpul,Drer,Emue,Emul,Esil,Exapal,Fabtro,Falb,Gefoke,Glam,Gthe,Hduj,Hemkuk,Honfer,Hsap,Hydvul,Jakbah,Jaklib,Klenit,Lcom,Lgig,Linana,Lpol,Maljak,Manpla,Marpol,Mcir,Meteor,Mgut,Mlei,Morelo,Morvir,Mpus,Ncra,Ngad,Nk52,Notgen,Nvec,Otau,Pbla,Perkma,Pfal,Phakir,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porpur,Ppat,Ptyfla,Pygbif,Rall,Ramvar,Recame,Rhidel,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Secula,Skow,Sman,Smoe,Sphfal,Spimul,Spis,Spom,Spun,Spur,Styinc,Tadh,Tcas,Tetwil,Tgon,Tpse,Ttra,Tvag,Ulvmut,Umay,Umbram,Vcar,Vitbra	Eukaryota	Aano,Adig,Amac,Amobb2,Azfi,Bden,Bnat,Ccin,Choanoflagellata,Ciliata,Cint,Coerev,Cpar,Dinoflagellata,Eimten,Euglenozoa,Eurhodophytina,EvoDiscosea,Gonavo,Gpro,Haptista,Helrob,Ihof,Kipbia,Malcal,Mvib,Ngru,Nutlon,Ocar,Retfil,Scil,Tmel	1	32	288
Acetyltransf_1.HG10.1:like:NAA40:likeclu:0	Aplker,Ccin,Chocri,Ehux,Gonavo,Mbre,Ncra,Sappar,Sros	Eukaryota	Alveolata,Amoebozoa,Ancyromonadida,Blastocladiomycota,CRuMs,Chrtob,Chytridiomycota,Cmer,Cneo,Cpar,Discoba,Falb,Filasterea,Gracho,Gthe,Hemimastigophora,Malawimonadidae,Metamonada,Metazoa,Meteor,Mucoromycota,Ochrophyta,Pavlsp,PhytAlbu,Porpur,Porumb,Pygbif,Rall,Rhizaria,Scer,Spom,Teretosporea,Thraustochytrida,Tmel,Ttra,Umay,Viridiplantae,Zoopagomycota	1	38	46
Acetyltransf_1.HG10.2:like:NAA40:likeclu:0	Ehux,Masbal	Eukaryota	Acas,Ancyromonadida,ArchaeCry,CRuMs,Chrtob,Discoba,Eumycetozoa,Hemimastigophora,Malawimonadidae,Metamonada,Meteor,Obazoa,Pavlsp,Plafun,SAR	1	15	12
