Orthogroup	Orthogroup annotation	Gene family	Gene type	Num genes	Num species	Num lineages	LECA presence probability	LECA presence support	Closest homologs in...	Closest homologs score	Consensus architecture	Hsap symbol	Dmel symbol	Scer symbol	Atha symbol
Acetyltransf_1.HG14.1	NAT9	Acetyltransf_1	Acetylase	108	97	9	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Bacteria	1.000	Acetyltransf_3	NAT9	CG11539	NA	NA
Acetyltransf_1.HG1.38	NAT8/NAT8L	Acetyltransf_1	Acetylase	103	49	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae	Bacteria	0.969	Acetyltransf_1	NAT8,NAT8L	NA	NA	NA
Acetyltransf_1.HG12.2	NA	Acetyltransf_1	Acetylase	93	46	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Metamonada	Bacteria	0.990	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.0	like:GNPNAT1/NAA80	Acetyltransf_1	Acetylase	122	50	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	0.979	Acetyltransf_1	NA	NA	NA	NSI
Acetyltransf_1.HG25.1	NA	Acetyltransf_1	Acetylase	29	24	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Bacteria	0.900	zf-C2H2_3,Acetyltransf_13	NA	NA	NA	NA
Acetyltransf_1.HG23.0	NA	Acetyltransf_1	Acetylase	17	17	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	0.605	Acetyltransf_9	NA	NA	NA	NA
Acetyltransf_1.HG7.2	NA	Acetyltransf_1	Acetylase	34	32	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG30.0	NA	Acetyltransf_1	Acetylase	24	19	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG21.0	NA	Acetyltransf_1	Acetylase	62	28	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora	Archaea	0.595	Acetyltransf_1	NA	NA	NA	HLS1
Acetyltransf_1.HG2.17	NAA50	Acetyltransf_1	Acetylase	120	103	8	1.000	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae	Other eukaryotic	0.992	Acetyltransf_1	NAA50	san	NAT5	NA
Acetyltransf_1.HG15.1	NA	Acetyltransf_1	Acetylase	54	39	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG12.0	NA	Acetyltransf_1	Acetylase	22	15	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	0.900	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG18.0	NA	Acetyltransf_1	Acetylase	83	28	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	0.994	Acetyltransf_1,Acetyltransf_18	NA	NA	NA	NA
Acetyltransf_1.HG31.0	NA	Acetyltransf_1	Acetylase	19	13	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.0	KAT14	Acetyltransf_1	Acetylase	64	58	7	1.000	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	0.943	Acetyltransf_1	KAT14	Atac2	NA	NA
Acetyltransf_1.HG17.2	NA	Acetyltransf_1	Acetylase	33	24	7	1.000	AmorCRUM,Ancyromonadida,Discoba,Malawimonadidae	Bacteria	0.755	FR47	NA	CG5783,Glyat,CG12560	NA	NA
Acetyltransf_1.HG1.2	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	19	14	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	0.873	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.0	NA	Acetyltransf_1	Acetylase	28	24	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	0.969	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG2.6	like:NAA50/NAA60	Acetyltransf_1	Acetylase	17	14	6	1.000	AmorCRUM,Diaphoratickes,Malawimonadidae	Bacteria	0.932	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG12.1	NA	Acetyltransf_1	Acetylase	25	18	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	0.982	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.1	NA	Acetyltransf_1	Acetylase	31	21	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	0.909	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG23.1	NA	Acetyltransf_1	Acetylase	20	17	6	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Bacteria	0.787	Acetyltransf_9	NA	NA	NA	NA
Acetyltransf_1.HG20.1	NA	Acetyltransf_1	Acetylase	60	20	6	0.999	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	0.868	Acetyltransf_1	NA	AgmNAT,AANATL2,AANATL3,AANATL4,AANAT1	NA	NA
Acetyltransf_1.HG27.0	NA	Acetyltransf_1	Acetylase	29	28	6	0.999	AmorCRUM,Diaphoratickes,Discoba	Bacteria	1.000	Hat1_N,Acetyltransf_1	NA	NA	NA	HAG2
Acetyltransf_1.HG1.7	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	12	11	6	0.997	AmorCRUM,Diaphoratickes,Malawimonadidae	Bacteria	0.667	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG34.0	NA	Acetyltransf_1	Acetylase	15	10	6	0.996	AmorCRUM,Ancyromonadida,Meteor	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.10	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	18	12	6	0.994	AmorCRUM,Discoba,Hemimastigophora,Malawimonadidae	Bacteria	0.900	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.4	like:NAA50/NAA60	Acetyltransf_1	Acetylase	35	17	6	0.916	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Bacteria	0.646	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.3	like:NAA50/NAA60	Acetyltransf_1	Acetylase	15	10	6	0.713	NA	Other eukaryotic	0.850	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG6.0	like:NAA10/NAA11	Acetyltransf_1	Acetylase	18	15	6	0.207	NA	Other eukaryotic	0.822	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG8.0	like:NAA20	Acetyltransf_1	Acetylase	14	9	6	0.060	NA	Other eukaryotic	0.900	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG22.0	NA	Acetyltransf_1	Acetylase	47	19	5	1.000	AmorCRUM,Diaphoratickes,Discoba	Bacteria	0.789	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG15.0	NA	Acetyltransf_1	Acetylase	37	31	5	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	0.933	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG28.1	NA	Acetyltransf_1	Acetylase	19	18	5	0.999	AmorCRUM,Malawimonadidae	Bacteria	1.000	NAGidase,Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.16	like:NAA50	Acetyltransf_1	Acetylase	36	32	5	0.998	AmorCRUM,Diaphoratickes,Discoba,Meteor	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.4	NAA80	Acetyltransf_1	Acetylase	53	49	5	0.997	AmorCRUM,Ancyromonadida,Diaphoratickes,Meteor	Bacteria	0.987	Acetyltransf_1	NAA80	Naa80	NA	NA
Acetyltransf_1.HG19.1	NA	Acetyltransf_1	Acetylase	63	46	5	0.993	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	1.000	AA_kinase,Acetyltransf_1	NA	NA	NA	NAGS1,NAGS2
Acetyltransf_1.HG2.1	like:NAA50/NAA60	Acetyltransf_1	Acetylase	11	10	5	0.991	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae	Bacteria	0.714	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.13	like:NAA30	Acetyltransf_1	Acetylase	12	7	5	0.989	AmorCRUM,Discoba,Malawimonadidae	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.6	NA	Acetyltransf_1	Acetylase	13	8	5	0.987	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	1.000	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG2.15	like:NAA50	Acetyltransf_1	Acetylase	8	8	5	0.977	AmorCRUM,Diaphoratickes,Discoba	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.12	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	26	15	5	0.840	NA	Bacteria	0.844	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.2	NA	Acetyltransf_1	Acetylase	6	6	5	0.650	NA	Bacteria	1.000	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG32.1	NA	Acetyltransf_1	Acetylase	12	9	5	0.370	NA	Bacteria	0.937	No consensus	NA	NA	NA	NA
Acetyltransf_1.HG42.0	NA	Acetyltransf_1	Acetylase	5	5	5	0.228	NA	Bacteria	0.714	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG19.0	NA	Acetyltransf_1	Acetylase	6	6	5	0.191	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.2	like:GNPNAT1	Acetyltransf_1	Acetylase	11	11	5	0.166	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.3	NA	Acetyltransf_1	Acetylase	19	16	5	0.121	NA	Bacteria	0.816	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG33.0	NA	Acetyltransf_1	Acetylase	16	13	5	0.079	NA	Bacteria	0.956	Acetyltransf_CG	NA	NA	NA	NA
Acetyltransf_1.HG26.0	NA	Acetyltransf_1	Acetylase	30	21	4	0.999	AmorCRUM,Ancyromonadida	Bacteria	1.000	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG1.28	like:NAT14	Acetyltransf_1	Acetylase	9	6	4	0.998	AmorCRUM,Ancyromonadida,Diaphoratickes	Bacteria	0.710	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG29.0	NA	Acetyltransf_1	Acetylase	26	19	4	0.986	AmorCRUM,Diaphoratickes,Discoba	Archaea	0.612	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.0	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	24	23	4	0.984	AmorCRUM,Diaphoratickes	Other eukaryotic	0.722	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG36.0	NA	Acetyltransf_1	Acetylase	13	8	4	0.836	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.11	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	6	5	4	0.726	NA	Bacteria	0.783	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG28.0	NA	Acetyltransf_1	Acetylase	8	8	4	0.639	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG41.0	NA	Acetyltransf_1	Acetylase	6	4	4	0.257	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.4	NA	Acetyltransf_1	Acetylase	29	17	4	0.211	NA	Bacteria	0.667	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG24.0	NA	Acetyltransf_1	Acetylase	9	9	4	0.014	NA	Other eukaryotic	0.684	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG20.0	NA	Acetyltransf_1	Acetylase	9	7	4	0.011	NA	Bacteria	0.882	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.4	like:NAT14	Acetyltransf_1	Acetylase	12	10	3	0.943	AmorCRUM,Diaphoratickes	Other eukaryotic	0.533	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.22	like:NAT14	Acetyltransf_1	Acetylase	25	14	3	0.907	AmorCRUM,Diaphoratickes	Other eukaryotic	0.976	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.30	like:NAT8/NAT8L	Acetyltransf_1	Acetylase	17	14	3	0.854	NA	Bacteria	0.832	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.5	like:NAT14	Acetyltransf_1	Acetylase	5	5	3	0.831	NA	Bacteria	0.744	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG10.1	like:NAA40	Acetyltransf_1	Acetylase	9	9	3	0.381	NA	Other eukaryotic	0.889	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.10	like:NAA50	Acetyltransf_1	Acetylase	12	8	3	0.239	NA	Bacteria	0.817	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG32.0	NA	Acetyltransf_1	Acetylase	7	6	3	0.077	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.9	like:NAA50	Acetyltransf_1	Acetylase	5	5	3	0.016	NA	Bacteria	0.833	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.3	like:NAA80	Acetyltransf_1	Acetylase	7	7	3	0.012	NA	Archaea	0.706	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG38.0	NA	Acetyltransf_1	Acetylase	7	6	3	0.012	NA	Bacteria	0.842	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.2	like:NAA50/NAA60	Acetyltransf_1	Acetylase	4	4	3	0.005	NA	Bacteria	0.615	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG13.5	NA	Acetyltransf_1	Acetylase	4	3	3	0.003	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG14.0	like:NAT9	Acetyltransf_1	Acetylase	4	4	3	0.002	NA	Other eukaryotic	0.667	Acetyltransf_3	NA	NA	NA	NA
Acetyltransf_1.HG1.3	like:NAT14	Acetyltransf_1	Acetylase	4	4	3	0.001	NA	Bacteria	0.706	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG43.0	NA	Acetyltransf_1	Acetylase	5	5	3	0.001	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG46.0	NA	Acetyltransf_1	Acetylase	4	4	3	0.001	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG9.0	like:ELP3	Acetyltransf_1	Acetylase	35	25	3	0.000	NA	Archaea	1.000	Radical_SAM,Radical_SAM_C,Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.20	like:NAT14	Acetyltransf_1	Acetylase	15	9	2	0.947	AmorCRUM,Diaphoratickes,Malawimonadidae	Other eukaryotic	0.694	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG7.1	NA	Acetyltransf_1	Acetylase	7	6	2	0.900	AmorCRUM,Diaphoratickes	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.18	like:NAT14	Acetyltransf_1	Acetylase	36	26	2	0.620	NA	Bacteria	0.736	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG10.3	like:NAA40	Acetyltransf_1	Acetylase	6	6	2	0.559	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.17	like:NAT14	Acetyltransf_1	Acetylase	9	9	2	0.553	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG24.1	NA	Acetyltransf_1	Acetylase	20	9	2	0.472	NA	Other eukaryotic	1.000		NA	NA	NA	NA
Acetyltransf_1.HG2.13	like:NAA50	Acetyltransf_1	Acetylase	4	4	2	0.335	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.14	like:NAA50	Acetyltransf_1	Acetylase	12	11	2	0.294	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.29	like:NAT14	Acetyltransf_1	Acetylase	8	6	2	0.256	NA	Other eukaryotic	0.872	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.46	like:NAT14	Acetyltransf_1	Acetylase	11	8	2	0.236	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.40	like:NAT14	Acetyltransf_1	Acetylase	4	3	2	0.105	NA	Other eukaryotic	0.588	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG45.0	NA	Acetyltransf_1	Acetylase	4	3	2	0.067	NA	Other eukaryotic	1.000		NA	NA	NA	NA
Acetyltransf_1.HG1.44	like:NAT14	Acetyltransf_1	Acetylase	8	7	2	0.063	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.11	like:NAA50	Acetyltransf_1	Acetylase	2	2	2	0.043	NA	Bacteria	0.526	Acetyltransf_7	NA	NA	NA	NA
Acetyltransf_1.HG25.0	NA	Acetyltransf_1	Acetylase	2	2	2	0.024	NA	Bacteria	1.000	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG1.32	like:NAT14	Acetyltransf_1	Acetylase	4	3	2	0.020	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.35	like:NAT14	Acetyltransf_1	Acetylase	3	3	2	0.014	NA	Other eukaryotic	0.667	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.7	like:NAA50/NAA60	Acetyltransf_1	Acetylase	2	2	2	0.004	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG40.0	NA	Acetyltransf_1	Acetylase	3	2	2	0.004	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.6	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	2	2	2	0.003	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.5	like:NAA50/NAA60	Acetyltransf_1	Acetylase	2	2	2	0.003	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG11.0	NA	Acetyltransf_1	Acetylase	5	3	2	0.003	NA	Bacteria	1.000	No consensus	NA	NA	NA	NA
Acetyltransf_1.HG1.24	like:NAT8/NAT8L	Acetyltransf_1	Acetylase	4	2	2	0.003	NA	Other eukaryotic	0.757	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG37.0	NA	Acetyltransf_1	Acetylase	11	9	2	0.002	NA	Other eukaryotic	0.890	Acetyltransf_1,BRCT	NA	NA	NA	NA
Acetyltransf_1.HG1.23	NAT14	Acetyltransf_1	Acetylase	21	19	2	0.002	NA	Bacteria	0.874	Acetyltransf_1	NAT14	NA	NA	NA
Acetyltransf_1.HG39.0	NA	Acetyltransf_1	Acetylase	7	7	2	0.002	NA	Bacteria	1.000	Acetyltransf_1,MIOX	NA	NA	NA	NA
Acetyltransf_1.HG1.15	like:NAT8/NAT8L	Acetyltransf_1	Acetylase	2	2	2	0.002	NA	Other eukaryotic	0.588	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG10.2	like:NAA40	Acetyltransf_1	Acetylase	2	2	2	0.001	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG17.1	NA	Acetyltransf_1	Acetylase	25	9	2	0.001	NA	Other eukaryotic	0.835	Gly_acyl_tr_N,FR47	NA	NA	NA	NA
Acetyltransf_1.HG1.8	like:NAT14	Acetyltransf_1	Acetylase	3	3	2	0.001	NA	Other eukaryotic	0.714	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.12	like:NAA50	Acetyltransf_1	Acetylase	3	2	2	0.001	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG5.0	like:KAT2A/KAT2B	Acetyltransf_1	Acetylase	24	22	2	0.000	NA	Other eukaryotic	1.000	Acetyltransf_1,Bromodomain	NA	NA	GCN5	NA
Acetyltransf_1.HG1.43	like:NAT14	Acetyltransf_1	Acetylase	6	6	1	0.434	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.31	like:NAT14	Acetyltransf_1	Acetylase	3	3	1	0.068	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.1	like:GNPNAT1/NAA80	Acetyltransf_1	Acetylase	3	3	1	0.026	NA	Bacteria	1.000		NA	NA	NA	NA
Acetyltransf_1.HG1.45	like:NAT14	Acetyltransf_1	Acetylase	3	3	1	0.011	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.1	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	6	6	1	0.008	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG2.19	like:NAA50	Acetyltransf_1	Acetylase	1	1	1	0.007	NA	Other eukaryotic	1.000		NA	NA	NA	NA
Acetyltransf_1.HG1.33	like:NAT14	Acetyltransf_1	Acetylase	2	2	1	0.006	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.39	like:NAT14	Acetyltransf_1	Acetylase	7	6	1	0.005	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.16	like:NAT14	Acetyltransf_1	Acetylase	2	2	1	0.004	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG1.9	like:NAA30/NAT8/NAT8L/NAT14	Acetyltransf_1	Acetylase	2	2	1	0.004	NA	Bacteria	1.000	Acetyltransf_1	NA	NA	NA	NA
Acetyltransf_1.HG3.7	like:NAA80	Acetyltransf_1	Acetylase	1	1	1	0.004	NA	Bacteria	1.000	Acetyltransf_10	NA	NA	NA	NA
Acetyltransf_1.HG1.25	like:NAT14	Acetyltransf_1	Acetylase	3	2	1	0.003	NA	Other eukaryotic	1.000	Acetyltransf_1,Inositol_P	NA	NA	NA	NA
Acetyltransf_1.HG1.41	like:NAT14	Acetyltransf_1	Acetylase	6	4	1	0.003	NA	Other eukaryotic	1.000	Acetyltransf_1	NA	NA	NA	NA
