og_class	orthogroup	Pattern	og_id	og_tmp	og_name	og_name_short	og_id_short	gene_class	gene_type	domains	search	inflation	min_size	sum_gain	sum_loss	sum_pres_total	sum_pres_extant	n_presence_bin	ancestral_support_string	ancestral_support_count	ancestral_support_summary
Chromo	Chromo.HG1.7:like:CBX1/CBX3/CBX5:likeclu:9	0010000000000100200100001415000000000014000000000000000000001000000100000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000	Chromo.HG1.7	Chromo.HG1.7:like_CBX1/CBX3/CBX5	like:CBX1/CBX3/CBX5	like:CBX1/CBX3/CBX5	Chromo.HG1.7 | like:CBX1/CBX3/CBX5	Readers	Readers	Chromo,Chromo_shadow	GA	1.1	2	NA	NA	41.1680399394888	14	14	BilCniTri,Porifera	2	BilCniTri,Porifera
CupinJmjC	CupinJmjC.HG5.0:NA	0002220000000000000000001112010000000113000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000002200000000000000000000000000000	CupinJmjC.HG5.0	CupinJmjC.HG5.0:NA	NA	NA	CupinJmjC.HG5.0 | NA	Methylation	Demethylase	Cupin_4,Cupin_8,JmjC	GA	1.1	2	NA	NA	41.0939154294372	14	14	BilCniTri,Porifera	2	BilCniTri,Porifera
Histone	Histone.HG1.3:MACROH2A1/MACROH2A2	2201111100021001110111000111111110111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010002000	Histone.HG1.3	Histone.HG1.3:MACROH2A1/MACROH2A2	MACROH2A1/MACROH2A2	MACROH2A1/MACROH2A2	Histone.HG1.3 | MACROH2A1/MACROH2A2	Histones	Histones	Histone,CBFD_NFYB_HMF,CENP-T_C	0.001	1.2	2	NA	NA	65.8560651926424	31	31	BilCniTri,Porifera	2	BilCniTri,Porifera
Histone	Histone.HG12.0:TAF11/TAF11L3/TAF11L4/TAF11L5/TAF11L6/TAF11L7/TAF11L8/TAF11L9/TAF11L10/TAF11L13	(10)101100011111001111110001111010000100010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000	Histone.HG12.0	Histone.HG12.0:TAF11/TAF11L3/TAF11L4/TAF11L5/TAF11L6/TAF11L7/TAF11L8/TAF11L9/TAF11L10/TAF11L13	TAF11/TAF11L3/TAF11L4/TAF11L5/TAF11L6/TAF11L7/TAF11L8/TAF11L9/TAF11L10/TAF11L13	TAF11/TAF11L3/TAF11L4/TAF11L5/TAF11L6/TAF11L7/T...	Histone.HG12.0 | TAF11/TAF11L3/TAF11L4/TAF11L5/TAF11L6/TAF11L7/T...	Histones	Histones	Histone,CBFD_NFYB_HMF,CENP-T_C	0.001	1.2	2	NA	NA	61.0527798091557	24	24	BilCniTri,Porifera	2	BilCniTri,Porifera
Histone	Histone.HG2.18:like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2:likeclu:0/5	0000000011200000000000000000000001100011000000000000000000000000000000000031001010000000100000010000000000001000000050000000000000000000210134(12)20000000010000000001000100000	Histone.HG2.18	Histone.HG2.18:like_CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2...	Histone.HG2.18 | like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2...	Histones	Histones	Histone,CBFD_NFYB_HMF,CENP-T_C	0.001	1.2	2	NA	NA	46.7854510477564	25	25	Mlei,Porifera	2	Mlei,Porifera
Histone	Histone.HG4.2:CHRAC1	1101001011121101101212111111110211111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000	Histone.HG4.2	Histone.HG4.2:CHRAC1	CHRAC1	CHRAC1	Histone.HG4.2 | CHRAC1	Histones	Histones	Histone,CBFD_NFYB_HMF,CENP-T_C	0.001	1.2	2	NA	NA	74.4789079185089	34	34	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
LinkerHistone	LinkerHistone.HG1.11:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6:likeclu:16/20	0000000000500100000000001111000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	LinkerHistone.HG1.11	LinkerHistone.HG1.11:like_H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	LinkerHistone.HG1.11 | like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	Histones	Histones	Linker_histone	GA	1.1	2	NA	NA	19.3098536022506	7	7	BilCniTri,Porifera	2	BilCniTri,Porifera
LinkerHistone	LinkerHistone.HG1.13:H1-8	1111(10)(16)1102021002210313000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000	LinkerHistone.HG1.13	LinkerHistone.HG1.13:H1-8	H1-8	H1-8	LinkerHistone.HG1.13 | H1-8	Histones	Histones	Linker_histone	GA	1.1	2	NA	NA	49.7377980431927	20	20	BilCniTri,Porifera	2	BilCniTri,Porifera
LinkerHistone	LinkerHistone.HG1.19:like:H1-0:likeclu:20	00012100001011186(11)6022000000001000100003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	LinkerHistone.HG1.19	LinkerHistone.HG1.19:like_H1-0	like:H1-0	like:H1-0	LinkerHistone.HG1.19 | like:H1-0	Histones	Histones	Linker_histone	GA	1.1	2	NA	NA	44.5785199684746	16	16	BilCniTri,Porifera	2	BilCniTri,Porifera
LinkerHistone	LinkerHistone.HG1.20:H1-0	111000210000000000004000(15)(10)46001610100002000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	LinkerHistone.HG1.20	LinkerHistone.HG1.20:H1-0	H1-0	H1-0	LinkerHistone.HG1.20 | H1-0	Histones	Histones	Linker_histone	GA	1.1	2	NA	NA	46.3569744736116	16	16	BilCniTri,Porifera	2	BilCniTri,Porifera
PHD	PHD.HG1.3:BPTF	1102213113413002121112101111111101000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	PHD.HG1.3	PHD.HG1.3:BPTF	BPTF	BPTF	PHD.HG1.3 | BPTF	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	66.0892307447869	30	30	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
PHD	PHD.HG11.0:like:PYGO1/PYGO2:likeclu:2	00050150000000001003001000116(11)8000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	PHD.HG11.0	PHD.HG11.0:like_PYGO1/PYGO2	like:PYGO1/PYGO2	like:PYGO1/PYGO2	PHD.HG11.0 | like:PYGO1/PYGO2	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	40.7990001545756	12	12	BilCniTri,Porifera	2	BilCniTri,Porifera
PHD	PHD.HG11.1:like:PYGO1/PYGO2:likeclu:2	0005000000000000000000003000000(19)02410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000	PHD.HG11.1	PHD.HG11.1:like_PYGO1/PYGO2	like:PYGO1/PYGO2	like:PYGO1/PYGO2	PHD.HG11.1 | like:PYGO1/PYGO2	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	24.7665214972863	7	7	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
PHD	PHD.HG4.0:PHRF1	2011100112112001111011001001110010111011000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000	PHD.HG4.0	PHD.HG4.0:PHRF1	PHRF1	PHRF1	PHD.HG4.0 | PHRF1	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	65.8945216680232	28	28	BilCniTri,Porifera	2	BilCniTri,Porifera
PHD	PHD.HG6.3:like:DPF1/DPF2/KAT6A/KAT6B/PHF10:likeclu:4/6/8	0011102202035212110212111201111110000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000	PHD.HG6.3	PHD.HG6.3:like_DPF1/DPF2/KAT6A/KAT6B/PHF10	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	like:DPF1/DPF2/KAT6A/KAT6B/PHF10	PHD.HG6.3 | like:DPF1/DPF2/KAT6A/KAT6B/PHF10	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	66.0222984761065	29	29	BilCniTri,Porifera	2	BilCniTri,Porifera
PHD	PHD.HG6.8:KAT6A/KAT6B	3101003300162001111111111101211111111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	PHD.HG6.8	PHD.HG6.8:KAT6A/KAT6B	KAT6A/KAT6B	KAT6A/KAT6B	PHD.HG6.8 | KAT6A/KAT6B	Readers	Readers	PHD,PHD_2,PHD_3,PHD_4	GA	1.3	2	NA	NA	68.0702678464704	31	31	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
PTIP	PTIP.HG1.9:ECT2	1111231114112011112111001111112210211000000000000000000000000000000000000001000000000000000000000000000010000000000000000100000000000010000000000000000000000000000000000000	PTIP.HG1.9	PTIP.HG1.9:ECT2	ECT2	ECT2	PTIP.HG1.9 | ECT2	Complexes	KMT2	BRCT	GA	1.1	2	NA	NA	75.4808389835887	37	37	BilCniTri,Porifera	2	BilCniTri,Porifera
PTIP	PTIP.HG8.0:DNTT	1101001000011010010001000201020200100100000000000000100000010000000000000000000000000000010001000011000000000000000000000000000000000000000000000000000000000000000000000000	PTIP.HG8.0	PTIP.HG8.0:DNTT	DNTT	DNTT	PTIP.HG8.0 | DNTT	Complexes	KMT2	BRCT	GA	1.1	2	NA	NA	56.628746376117	21	21	BilCniTri,Porifera	2	BilCniTri,Porifera
PWWP	PWWP.HG1.18:ZMYND11	12110111020310000011010011110101000011(15)2000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000	PWWP.HG1.18	PWWP.HG1.18:ZMYND11	ZMYND11	ZMYND11	PWWP.HG1.18 | ZMYND11	Readers	Readers	PWWP	GA	1.1	2	NA	NA	60.9902365399725	24	24	BilCniTri,Porifera	2	BilCniTri,Porifera
PWWP	PWWP.HG1.3:DNMT3A/DNMT3B	2500113200022001000011001111101101120011000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000	PWWP.HG1.3	PWWP.HG1.3:DNMT3A/DNMT3B	DNMT3A/DNMT3B	DNMT3A/DNMT3B	PWWP.HG1.3 | DNMT3A/DNMT3B	Readers	Readers	PWWP	GA	1.1	2	NA	NA	61.5771425739957	25	25	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
SAM	SAM.HG1.14:SAMD8	1512101100111112011211111111010211000010000000000000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000	SAM.HG1.14	SAM.HG1.14:SAMD8	SAMD8	SAMD8	SAM.HG1.14 | SAMD8	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	70.8417407354881	31	31	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
SAM	SAM.HG1.2:SARM1	1101112216142112211111100000000000000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SAM.HG1.2	SAM.HG1.2:SARM1	SARM1	SARM1	SAM.HG1.2 | SARM1	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	53.6595944256316	24	24	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG14.0:SAMD3	1004000000000000000100000122001000050000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000	SAM.HG14.0	SAM.HG14.0:SAMD3	SAMD3	SAMD3	SAM.HG14.0 | SAMD3	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	34.173468807804	10	10	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG2.13:like:DDHD2/SEC23IP:likeclu:15	0011101105134110010211001211000000001163000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000	SAM.HG2.13	SAM.HG2.13:like_DDHD2/SEC23IP	like:DDHD2/SEC23IP	like:DDHD2/SEC23IP	SAM.HG2.13 | like:DDHD2/SEC23IP	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	62.4410834836739	25	25	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG2.17:ANKS6	1010101100001001100111000211113110010111000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SAM.HG2.17	SAM.HG2.17:ANKS6	ANKS6	ANKS6	SAM.HG2.17 | ANKS6	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	59.9430228561039	24	24	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG2.20:like:ANKS3/ANKS6/ASZ1:likeclu:17/18	0000000000000000000000001223220200103000000000000000000000000000000000000000000000000000000000000000000002000000000000000000034000000000000000000000000000000000000000000000	SAM.HG2.20	SAM.HG2.20:like_ANKS3/ANKS6/ASZ1	like:ANKS3/ANKS6/ASZ1	like:ANKS3/ANKS6/ASZ1	SAM.HG2.20 | like:ANKS3/ANKS6/ASZ1	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	39.0917129656801	12	12	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG2.5:TNKS/TNKS2	3611101111111000100111111111111101111111000100000000000000000000000000000000000000000000020100000000000000000000000000000100000000000000000000000000000000000000000000000000	SAM.HG2.5	SAM.HG2.5:TNKS/TNKS2	TNKS/TNKS2	TNKS/TNKS2	SAM.HG2.5 | TNKS/TNKS2	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	74.1958809325964	37	37	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
SAM	SAM.HG3.10:ANKS1A/ANKS1B	2200121213171001110211001221111211100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SAM.HG3.10	SAM.HG3.10:ANKS1A/ANKS1B	ANKS1A/ANKS1B	ANKS1A/ANKS1B	SAM.HG3.10 | ANKS1A/ANKS1B	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	68.1328644602168	31	31	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
SAM	SAM.HG3.11:INPPL1	1211112200000000100202000000100000000133000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000	SAM.HG3.11	SAM.HG3.11:INPPL1	INPPL1	INPPL1	SAM.HG3.11 | INPPL1	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	45.3175654732133	17	17	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG3.6:SAMD5/SAMSN1/SASH1/SASH3	4500110025052001121112000000000000000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000	SAM.HG3.6	SAM.HG3.6:SAMD5/SAMSN1/SASH1/SASH3	SAMD5/SAMSN1/SASH1/SASH3	SAMD5/SAMSN1/SASH1/SASH3	SAM.HG3.6 | SAMD5/SAMSN1/SASH1/SASH3	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	45.4042649202031	18	18	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG3.8:CASKIN1/CASKIN2	2301111315152111112111111221110111112001000000000000000000002000010000000000000100000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000	SAM.HG3.8	SAM.HG3.8:CASKIN1/CASKIN2	CASKIN1/CASKIN2	CASKIN1/CASKIN2	SAM.HG3.8 | CASKIN1/CASKIN2	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	86.0339216982031	41	41	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
SAM	SAM.HG4.0:PHC1/PHC2/PHC3	3511111324171001212211001121201100321000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SAM.HG4.0	SAM.HG4.0:PHC1/PHC2/PHC3	PHC1/PHC2/PHC3	PHC1/PHC2/PHC3	SAM.HG4.0 | PHC1/PHC2/PHC3	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	66.9744999204769	30	30	BilCniTri,Porifera	2	BilCniTri,Porifera
SAM	SAM.HG7.10:NA	0000000000000000000000003554331200010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SAM.HG7.10	SAM.HG7.10:NA	NA	NA	SAM.HG7.10 | NA	Complexes	PC1	SAM_1	GA	1.2	2	NA	NA	22.811218595353	10	10	BilCniTri,Porifera	2	BilCniTri,Porifera
SET	SET.HG6.2:like:KMT5A:likeclu:6	0500000000000002100000000010000001020001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	SET.HG6.2	SET.HG6.2:like_KMT5A	like:KMT5A	like:KMT5A	SET.HG6.2 | like:KMT5A	Methylation	Methylase	SET	GA	1.1	2	NA	NA	15.6192937040404	7	7	Mlei,Porifera	2	Mlei,Porifera
TTD	TTD.HG1.0:UHRF1/UHRF2	2111111103121001112111001211111101113111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TTD.HG1.0	TTD.HG1.0:UHRF1/UHRF2	UHRF1/UHRF2	UHRF1/UHRF2	TTD.HG1.0 | UHRF1/UHRF2	Readers	Readers	TTD	GA	1.1	2	NA	NA	71.3274202175416	34	34	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
TUDOR	TUDOR.HG1.1:TDRD12	1100000000300000000012000000010000500011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000	TUDOR.HG1.1	TUDOR.HG1.1:TDRD12	TDRD12	TDRD12	TUDOR.HG1.1 | TDRD12	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	32.3268900515564	10	10	BilCniTri,Porifera	2	BilCniTri,Porifera
TUDOR	TUDOR.HG1.18:TDRD9	1110102111121121100211001121110201112132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.18	TUDOR.HG1.18:TDRD9	TDRD9	TDRD9	TUDOR.HG1.18 | TDRD9	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	70.0864580495457	32	32	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
TUDOR	TUDOR.HG1.21:like:TDRD6/TDRD15:likeclu:20	0001152100011001100221002121012100000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.21	TUDOR.HG1.21:like_TDRD6/TDRD15	like:TDRD6/TDRD15	like:TDRD6/TDRD15	TUDOR.HG1.21 | like:TDRD6/TDRD15	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	53.4144432620306	21	21	BilCniTri,Porifera	2	BilCniTri,Porifera
TUDOR	TUDOR.HG1.23:like:TDRD6/TDRD15:likeclu:20	0001000000000000000000003021110000111002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.23	TUDOR.HG1.23:like_TDRD6/TDRD15	like:TDRD6/TDRD15	like:TDRD6/TDRD15	TUDOR.HG1.23 | like:TDRD6/TDRD15	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	26.604140243533	10	10	BilCniTri,Porifera	2	BilCniTri,Porifera
TUDOR	TUDOR.HG1.24:like:TDRD6/TDRD15:likeclu:20	0000000000010000000100000001000201210010000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.24	TUDOR.HG1.24:like_TDRD6/TDRD15	like:TDRD6/TDRD15	like:TDRD6/TDRD15	TUDOR.HG1.24 | like:TDRD6/TDRD15	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	28.1671797752352	10	10	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
TUDOR	TUDOR.HG1.25:RNF17	1001100000010100000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.25	TUDOR.HG1.25:RNF17	RNF17	RNF17	TUDOR.HG1.25 | RNF17	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	25.6779450337914	7	7	BilCniTri,Porifera	2	BilCniTri,Porifera
TUDOR	TUDOR.HG1.26:TDRD1	1200000010110000000000000000100000110100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	TUDOR.HG1.26	TUDOR.HG1.26:TDRD1	TDRD1	TDRD1	TUDOR.HG1.26 | TDRD1	Readers	Readers	TUDOR	GA	1.1	2	NA	NA	26.9804138677828	10	10	BilCniTri,Porifera	2	BilCniTri,Porifera
