gene	architecture	core_class_string	TE_class_string	is_contiguous_assembly	num_expressed	is_expressed	is_contiguous_coverage	is_monoexonic	is_in_cluster	is_validated	species	TE_class	TE_type	TE_classtype	TE_domain_string	architecture_simple	evidence_status	structure_status	core_class_string_simple
Drer_ENSDARP00000133704.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Drer_ENSDARP00000137461.2	Retrotrans_gag RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVT_1	Retrotrans_gag,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000145402.1	Retrotrans_gag RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVT_1	Retrotrans_gag,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000146588.1	Retrotrans_gag RVP_2 RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVP_2,RVT_1	Retrotrans_gag,RVP_2,RVT_1,RT_RNaseH_2,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000147080.1	Retrotrans_gag RVP_2 RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVP_2,RVT_1	Retrotrans_gag,RVP_2,RVT_1,RT_RNaseH_2,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000148850.1	Retrotrans_gag RVP_2 RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVP_2,RVT_1	Retrotrans_gag,RVP_2,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000149264.1	Retrotrans_gag RVP_2 RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVP_2,RVT_1	Retrotrans_gag,RVP_2,RVT_1,RT_RNaseH_2,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000149682.1	Retrotrans_gag RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVT_1	Retrotrans_gag,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000150011.1	Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,rve	Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000151310.1	Retrotrans_gag RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVT_1	Retrotrans_gag,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000152166.1	Retrotrans_gag RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVT_1	Retrotrans_gag,RVT_1,RT_RNaseH_2,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Drer_ENSDARP00000154854.1	THAP MBT MBT MBT MBT	MBT	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Activator	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	DNA	hAT	DNA hAT	THAP	THAP,MBT	broken assembly, no expression	multiexon, no cluster	Others
Drer_ENSDARP00000157588.1	Retrotrans_gag RVP_2 RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Drer	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,Retrotrans_gag,rve,RVP_2,RVT_1	Retrotrans_gag,RVP_2,RVT_1,RT_RNaseH,Integrase_H2C2,rve,Chromo	contiguous assembly, no expression	multiexon, no cluster	Chromo
Bralan_BL01168_cuf0	rve Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Maverick	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Bralan	DNA	DNA_Polymerase	DNA DNA_Polymerase	rve	rve,Chromo	broken assembly, no expression	multiexon, no cluster	Chromo
Bralan_BL03346_cuf0	rve zf-CW	zf-CW	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Bralan	RT	Gypsy-ERV	RT Gypsy-ERV	rve	rve,zf-CW	broken assembly, no expression	multiexon, no cluster	zf-CW
Bralan_BL19600_cuf1	rve zf-CW	zf-CW	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	NA	FALSE	FALSE	TRUE	FALSE	TRUE	Bralan	RT	Gypsy-ERV	RT Gypsy-ERV	rve	rve,zf-CW	contiguous assembly, no expression	monoexon, no cluster	zf-CW
Bralan_BL23301_evm0	Asp_protease RVT_1 RT_RNaseH Integrase_H2C2 rve zf-CW	zf-CW	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Bralan	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,rve,RVT_1	Asp_protease,RVT_1,RT_RNaseH,Integrase_H2C2,rve,zf-CW	broken assembly, no expression	multiexon, no cluster	zf-CW
Bralan_BL28866_evm0	MULE PHD	PHD	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;hAT;Tip100	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Bralan	DNA	hAT	DNA hAT	MULE	MULE,PHD	broken assembly, no expression	multiexon, no cluster	PHD
Bralan_BL73523_cuf0	Integrase_H2C2 rve zf-CW	zf-CW	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	FALSE	NA	FALSE	FALSE	FALSE	FALSE	TRUE	Bralan	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,rve	Integrase_H2C2,rve,zf-CW	broken assembly, no expression	multiexon, no cluster	zf-CW
Skow_XP_002732568.2	WD40 WD40 WD40 HIRA_B Hira Peptidase_A17 Integrase_H2C2 Hira	Hira,WD40	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Bel-Pao	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Skow	RT	Long_Terminal_Repeat_Element	RT Long_Terminal_Repeat_Element	Integrase_H2C2	WD40,HIRA_B,Hira,Peptidase_A17,Integrase_H2C2	contiguous assembly, partial expression	multiexon, no cluster	Others
Skow_XP_006813022.1	Acetyltransf_1 DDE_3	Acetyltransf_1	NA	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Skow	Unknown	NA	Unknown	DDE_3	Acetyltransf_1,DDE_3	contiguous assembly, partial expression	multiexon, no cluster	Acetyltransf_1
Skow_XP_006817544.1	PAX LRR_8 SAM_1 zf-C3HC4_3	SAM	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-1	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Skow	DNA	Helicase	DNA Helicase	PAX	PAX,LRR_8,SAM_1,zf-C3HC4_3	contiguous assembly, partial expression	multiexon, no cluster	SAM
Skow_XP_006820466.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;MuDR	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Skow	DNA	Mutator-like	DNA Mutator-like	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, partial expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Ptyfla_pfl_40v0_9_20150316_1g13958.t1	PHD Helicase_C DUF1087 DUF1086 CHDCT2	PHD	Interspersed_Repeat;Unknown	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Ptyfla	Unknown	Interspersed_Repeat	Unknown	DUF1087	PHD,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, partial expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Ptyfla_pfl_40v0_9_20150316_1g15345.t1	PTCB-BRCT BRCT Helitron_like_N PIF1	PTIP	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-1	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Ptyfla	DNA	Helicase	DNA Helicase	Helitron_like_N	PTCB-BRCT,BRCT,Helitron_like_N,PIF1	broken assembly, no expression	multiexon, no cluster	PTIP
Ptyfla_pfl_40v0_9_20150316_1g16730.t1	Integrase_H2C2 Chromo	Chromo	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Ptyfla	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2	Integrase_H2C2,Chromo	contiguous assembly, complete expression	multiexon, no cluster	Chromo
Ptyfla_pfl_40v0_9_20150316_1g29542.t1	Transposase_21	SET	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;EnSpm	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Ptyfla	DNA	CMC	DNA CMC	Transposase_21	Transposase_21	contiguous assembly, partial expression	multiexon, no cluster	SET
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	Integrase_H2C2 rve PHD	PHD	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Ptyfla	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,rve	Integrase_H2C2,rve,PHD	contiguous assembly, partial expression	multiexon, no cluster	PHD
Spur_XP_030827910.1	zf-CXXC DDE_Tnp_IS1595	zf-CXXC	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Merlin	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Spur	DNA	Transposase	DNA Transposase	DDE_Tnp_IS1595	zf-CXXC,DDE_Tnp_IS1595	contiguous assembly, complete expression	multiexon, no cluster	zf-CXXC
Spur_XP_030838378.1	Exo_endo_phos RVT_1 Histone	Histone	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-2;R1-like;R1-group;I-group;Jockey	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Spur	RT	I-group	RT I-group	RVT_1	Exo_endo_phos,RVT_1,Histone	contiguous assembly, complete expression	multiexon, no cluster	Histone
Spur_XP_030839454.1	RVT_1 BRCT BRCT_2	PTIP	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	Spur	RT	L2-group	RT L2-group	RVT_1	RVT_1,BRCT,BRCT_2	contiguous assembly, partial expression	multiexon, no cluster	PTIP
Spur_XP_030841878.1	NACHT PHD RVT_1	PHD	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-2;R1-like;CR1-group;CR1	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Spur	RT	CR1-group	RT CR1-group	RVT_1	NACHT,PHD,RVT_1	contiguous assembly, complete expression	multiexon, no cluster	PHD
Spur_XP_030842506.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Spur	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Spur_XP_030842515.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Spur	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	broken assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Spur_XP_030842516.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Spur	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	broken assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Spur_XP_030850087.1	PHD Exo_endo_phos_2 RVT_1	PHD	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;LINE;Group-II;Group-2;R1-like;CR1-group;CR1	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Spur	RT	CR1-group	RT CR1-group	RVT_1	PHD,Exo_endo_phos_2,RVT_1	contiguous assembly, complete expression	multiexon, no cluster	PHD
Apla_XP_022090421.1	HTH_Tnp_Tc5 PHD	PHD	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Fot1	TRUE	1	TRUE	TRUE	FALSE	TRUE	TRUE	Apla	DNA	Tc2-group	DNA Tc2-group	HTH_Tnp_Tc5	HTH_Tnp_Tc5,PHD	contiguous assembly, complete expression	multiexon, cluster	PHD
Apla_XP_022090455.1	HTH_Tnp_Tc5 DDE_1 PHD	PHD	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Tc1-Mariner;Tc2-group;Fot1	TRUE	1	TRUE	TRUE	FALSE	TRUE	TRUE	Apla	DNA	Tc2-group	DNA Tc2-group	DDE_1,HTH_Tnp_Tc5	HTH_Tnp_Tc5,DDE_1,PHD	contiguous assembly, complete expression	multiexon, cluster	PHD
Apla_XP_022104216.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Apla	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Apla_XP_022111688.1	Integrase_H2C2 rve PHD TatD_DNase	PHD	Interspersed_Repeat;Transposable_Element;Class_I_Retrotransposition;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Apla	RT	Gypsy-ERV	RT Gypsy-ERV	Integrase_H2C2,rve	Integrase_H2C2,rve,PHD,TatD_DNase	contiguous assembly, complete expression	multiexon, no cluster	PHD
Dmel_FBpp0074766	PHD Chromo Chromo SNF2_N Helicase_C DUF1087	Chromo,PHD,SNF2_N	Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Mutator-like;MuDR	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	Dmel	DNA	Mutator-like	DNA Mutator-like	DUF1087	PHD,Chromo,SNF2_N,Helicase_C,DUF1087	no evidence	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Dmel_FBpp0099808	CHDNT PHD PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	FALSE	NA	FALSE	FALSE	FALSE	FALSE	FALSE	Dmel	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	no evidence	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Tcas_XP_001812556.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Tcas	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	broken assembly, no expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Tcas_XP_008195833.1	MBD CENP-B_N DDT WHIM1 WSD PHD PHD Bromodomain	Bromodomain,PHD	NA	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Tcas	Unknown	NA	Unknown	CENP-B_N	MBD,CENP-B_N,DDT,WHIM1,WSD,PHD,Bromodomain	broken assembly, no expression	multiexon, no cluster	Bromodomain,PHD
Tcas_XP_008197696.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2	Chromo,PHD,SNF2_N	Interspersed_Repeat;Unknown	TRUE	1	TRUE	TRUE	FALSE	FALSE	TRUE	Tcas	Unknown	Interspersed_Repeat	Unknown	DUF1087	CHDNT,PHD,Chromo,SNF2_N,Helicase_C,DUF1087,DUF1086,CHDCT2	contiguous assembly, complete expression	multiexon, no cluster	Chromo+SNF2_N+(PHD+others)
Tcas_XP_008200466.1	THAP MBT MBD	MBT	NA	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Tcas	Unknown	NA	Unknown	THAP	THAP,MBT,MBD	broken assembly, no expression	multiexon, no cluster	Others
Tcas_XP_015837090.1	MBD CENP-B_N DDT WHIM1 WSD PHD PHD Bromodomain	Bromodomain,PHD	NA	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Tcas	Unknown	NA	Unknown	CENP-B_N	MBD,CENP-B_N,DDT,WHIM1,WSD,PHD,Bromodomain	broken assembly, no expression	multiexon, no cluster	Bromodomain,PHD
Tcas_XP_015837091.1	MBD CENP-B_N DDT WHIM1 WSD PHD PHD Bromodomain	Bromodomain,PHD	NA	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE	Tcas	Unknown	NA	Unknown	CENP-B_N	MBD,CENP-B_N,DDT,WHIM1,WSD,PHD,Bromodomain	broken assembly, no expression	multiexon, no cluster	Bromodomain,PHD
