gene	name
Atha_AT5G20420	CLSY2
Atha_AT5G22750	SM3L2
Atha_AT5G41360	XPB2
Atha_AT5G41370	XPB1
Atha_AT5G43530	SM3L3
Atha_AT5G44800	F4KBP5
Atha_AT5G63950	Q8W103
Atha_AT5G66750	DDM1
Scer_SCRT_00195	SWR1
Scer_SCRT_00756	SLH1
Scer_SCRT_01066	MRH4
Scer_SCRT_01143	INO80
Scer_SCRT_01155	RAD54
Scer_SCRT_01583	ULS1
Scer_SCRT_01670	SNF2
Scer_SCRT_01685	ISW2
Scer_SCRT_02413	MOT1
Scer_SCRT_02725	ISW1
Scer_SCRT_02733	PRP5
Scer_SCRT_02853	RAD16
Scer_SCRT_02894	RDH54
Scer_SCRT_03104	DBP6
Scer_SCRT_03690	RAD26
Scer_SCRT_04201	IRC20
Scer_SCRT_04638	CHD1
Scer_SCRT_05020	RAD5
Scer_SCRT_05299	STH1
Scer_SCRT_05316	RAD25
Scer_SCRT_05589	IRC5
Scer_SCRT_05654	FUN30
Dmel_FBpp0071529	DOM
Dmel_FBpp0072192	Q9W1A8
Dmel_FBpp0073828	Q9VXW2
Dmel_FBpp0074766	CHD3
Dmel_FBpp0074936	Q9VVK8
Dmel_FBpp0075106	DDX51
Dmel_FBpp0075280	M9PFS6
Dmel_FBpp0075933	M9PF88
Dmel_FBpp0075982	B7Z0G1
Dmel_FBpp0076706	Q9VRV2
Dmel_FBpp0077357	RAD54
Dmel_FBpp0077358	CHD1
Dmel_FBpp0077674	Q9VPT3
Dmel_FBpp0078631	SMAL1
Dmel_FBpp0079496	SMRCD
Dmel_FBpp0081255	TTF2
Dmel_FBpp0083185	INO80
Dmel_FBpp0084212	ATRX
Dmel_FBpp0086954	ISWI
Dmel_FBpp0099808	Q59E34
Dmel_FBpp0289115	B7Z002
Dmel_FBpp0289909	Q9VHY2
Dmel_FBpp0290929	Q9VF02
