Hsap	Homo_sapiens
Aque	Amphimedon_queenslandica
Emue	Ephydatia_muelleri
Tetwil	Tethya_wilhelma
Euncar	Eunapius_carteri
Xestes	Xestospongia_testudinaria
Halamb	Haliclona_amboinensis
Stycar	Stylissa_carteri
Plespi	Pleraplysilla_spinifera
Scil	Sycon_ciliatum
Lcom	Leucosolenia_complicata
Clacor	Clathrina_coriacea
Gracom	Grantia_compressa
Leuniv	Leuconia_nivea
Ocar	Oscarella_carmela
Plajan	Plakina_jani
Mbre	Monosiga_brevicollis
Sros	Salpingoeca_rosetta
Cowc	Capsaspora_owczarzaki
Mvib	Ministeria_vibrans
Clim	Corallochytrium_limacisporum
Chrper	Chromosphaera_perkinsii
Cfra	Creolimax_fragrantissima
Ihof	Ichthyophonus_hoferi
Sarc	Sphaeroforma_arctica
Aspory	Aspergillus_oryzae
Claful	Cladosporium_fulvum
Fusgra	Fusarium_graminearum
Ncra	Neurospora_crassa
Tmel	Tuber_melanosporum
Scer	Saccharomyces_cerevisiae
Ylip	Yarrowia_lipolytica
Spom	Schizosaccharomyces_pombe
Ccin	Coprinopsis_cinerea
Cneo	Cryptococcus_neoformans
Umay	Ustilago_maydis
Amac	Allomyces_macrogynus
Cang	Catenaria_anguillulae
Spun	Spizellomyces_punctatus
Rhiglo	Rhizoclosmatium_globosum
Bden	Batrachochytrium_dendrobatidis
Gpro	Gonapodya_prolifera
Pisp	Piromyces_spE2
Rall	Rozella_allomycis
Rirr	Rhizophagus_irregularis
Morelo	Mortierella_elongata
Mcir	Mucor_circinelloides
Rhidel	Rhizopus_delemar
Umbram	Umbelopsis_ramanniana
Pbla	Phycomyces_blakesleeanus
Concor	Conidiobolus_coronatus
Coerev	Coemansia_reversa
Enccun	Encephalitozoon_cuniculi
Nempar	Nematocida_parisii
Falb	Fonticula_alba
Ttra	Thecamonas_trahens
Pygbif	Pygsuia_biforma
Ddis	Dictyostelium_discoideum
Tielac	Tieghemostelium_lacteum
Hetalb	Heterostelium_album
Cavfas	Cavenderia_fasciculata
Masbal	Mastigamoeba_balamuthi
Acas	Acanthamoeba_castellanii
Plafun	Planoprotostelium_fungivorum
Rigram	Rigifila_ramosa
Diprot	Diphylleia_rotans
Manpla	Mantamonas_plastica
Nutlon	Nutomonas_longa
Ancsig	Ancyromonas_sigmoides
Fabtro	Fabomonas_tropica
Plamic	Planomonas_micra
Malcal	Malawimonas_californiana
Maljak	Malawimonas_jakobiformis
Gefoke	Gefionella_okellyi_(strain_249)
Atha	Arabidopsis_thaliana
Erygut	Erythranthe_guttata
Acoe	Aquilegia_coerulea
Bdis	Brachypodium_distachyon
Osat	Oryza_sativa
Sbic	Sorghum_bicolor
Atri	Amborella_trichopoda
Salcuc	Salvinia_cucullata
Azofil	Azolla_filiculoides
Smoe	Selaginella_moellendorffii
Ppat	Physcomitrella_patens
Sphfal	Sphagnum_fallax
Marpol	Marchantia_polymorpha
Chabra	Chara_braunii
Klenit	Klebsormidium_nitens
Crei	Chlamydomonas_reinhardtii
Vcar	Volvox_carteri
Cocsub	Coccomyxa_subellipsoidea
Cvar	Chlorella_variabilis
Ulvmut	Ulva_mutabilis
Caulen	Caulerpa_lentillifera
Otau	Ostreococcus_tauri
Mpus	Micromonas_pusilla
Cmer	Cyanidioschyzon_merolae
Porumb	Porphyra_umbilicalis
Porpur	Porphyridium_purpureum
Gracho	Gracilariopsis_chorda
Chocri	Chondrus_crispus
Cpar	Cyanophora_paradoxa
Gthe	Guillardia_theta
Crypsp	Cryptophyceae_sp.
	Chroomonas_mesostigmatica
	Cryptomonas_paramecium
	Hemiselmis_andersenii
Gonavo	Goniomonas_avonlea
Ehux	Emiliania_huxleyi
Chrtob	Chrysochromulina_tobin
Pavlsp	Pavlovales_sp._CCMP2436
Esil	Ectocarpus_siliculosus
Coka	Cladosiphon_okamuranus
Ngad	Nannochloropsis_gaditana
Aano	Aureococcus_anophagefferens
Phatri	Phaeodactylum_tricornutum
Tpse	Thalassiosira_pseudonana
Pinf	Phytophthora_infestans
Sappar	Saprolegnia_parasitica
Alblai	Albugo_laibachii
Honfer	Hondaea_fermentalgiana
Aurlim	Aurantiochytrium_limacinum
Schagg	Schizochytrium_aggregatum
Aplker	Aplanochytrium_kerguelense
Pfal	Plasmodium_falciparum
Tgon	Toxoplasma_gondii
Eimten	Eimeria_tenella
Vitbra	Vitrella_brassicaformis
Cvel	Chromera_velia
Perkma	Perkinsus_marinus
Bremin	Breviolum_minutum
Symmic	Symbiodinium_microadriaticum
Ptet	Paramecium_tetraurelia
Oxytri	Oxytricha_trifallax
Tthe	Tetrahymena_thermophila
Retfil	Reticulomyxa_filosa
Bnat	Bigelowiella_natans
Plabra	Plasmodiophora_brassicae
Hemkuk	Hemimastix_kukwesjijk
Spimul	Spironema_multiciliatum
Meteor	Meteora_sp.
Ngru	Naegleria_gruberi
Phakir	Pharyngomonas_kirbyi
Amobb2	Amoeba_sp._BB2
Bodsal	Bodo_saltans
Tcru	Trypanosoma_cruzi
Lmaj	Leishmania_major
Lepsey	Leptomonas_seymouri
Strcul	Strigomonas_culicis
Styinc	Stygiella_incarcerata
Andgod	Andalucia_godoyi
Recame	Reclinomonas_americana
Secula	Seculamonas_sp.
Jakbah	Jakoba_bahamiensis
Jaklib	Jakoba_libera
Tvag	Trichomonas_vaginalis
Glam	Giardia_lamblia
Carmem	Carpediemonas_membranifera
Kipbia	Kipferlia_bialata
