aOG	ancestral_evidence_string	gene_fam	num_lineages	num_species	num_genes	refOGs	refOGs_label	list_genes
aOG.eur_Histone23	AmorCRUM,Diaphoratickes	Histone	2	3	3	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Oxytri_EJY71828,Scil_scpid109697,Vcar_XP_002956803.1
aOG.eur_Histone24	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Histone	8	32	33	Histone.HG1.7:H2AZ1/H2AZ2	H2AZ1/H2AZ2	Acas_ELR14213,Acoe_PIA31597.1,Ancsig_Gene.787,Bnat_JGI_V11_92772,Carmem_328.p2,Chabra_GBG75157,Clyhem_TCONS_00016426-protein,Cvar_XP_005851876.1,Diprot_Gene.7675,Dmel_FBpp0084434,Gefoke_MALSP_09193.mRNA.1,Hemkuk_5888_TR2036_c0_g1,Jakbah_JAKBA_09793.mRNA.1,Jaklib_JAKLI_17144.mRNA.1,Klenit_GAQ82314.1,Maljak_MALJA_07666.mRNA.1,Meteor_CRO19MET_NODE_7926.p3,Mpus_XP_003059832.1,Ngru_EFC47670,Nutlon_comp8186_c0_seq1.p2,Oxytri_EJY87399,Pavlsp_958067,Phoaus_g5572.t1,Plafun_PRP82517,Plamic_ANCSI_03004.mRNA.1,Recame_RECAM_09894.mRNA.1,Rigram_Gene.4645,Secula_SECUL_08256.mRNA.1,Spimul_1287_TR691_c0_g1,Spun_KNC99939,Ulvmut_UM008_01871,Vitbra_CEL95164.1,Vitbra_CEM31146.1
aOG.eur_Histone25	Ancyromonadida,Diaphoratickes,Malawimonadidae	Histone	3	3	3	Histone.HG2.5:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Ancsig_Gene.67593,Aplker_92133,Gefoke_MALSP_18279.mRNA.1
aOG.eur_Histone26	AmorCRUM,Malawimonadidae	Histone	2	3	4	Histone.HG2.5:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Gefoke_MALSP_01664.mRNA.1,Manpla_Gene.630,Plafun_PRP81381,Plafun_PRP86973
aOG.eur_Histone27	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Histone	7	17	18	Histone.HG2.1:like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2:likeclu:0/5,Histone.HG2.4:like:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2:likeclu:5,Histone.HG2.5:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2,like:CENPA/H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2,like:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Adig_XP_015748861.1,Amobb2_AMBB2_05074.mRNA.1,Amobb2_AMBB2_08451.mRNA.1,Bralan_BL24307_evm1,Carmem_7178.p1,Chrtob_KOO34945.1,Cvar_XP_005843099.1,Ehux_EOD22945,Exapal_XP_020900503.1,Hemkuk_301_TR91_c0_g1,Malcal_MALCA_06249.mRNA.1,Meteor_CRO19MET_NODE_11236.p2,Pinf_PITG_03551T0,Porpur_KAA8495290.1,Ppat_Pp3c20_8550V3.2,Smoe_EFJ23416,Sphfal_Sphfalx01G178100.1.p,Spimul_8487_TR4455_c0_g1
aOG.eur_Histone28	AmorCRUM	Histone	1	1	1	Histone.HG4.0:NFYC	NFYC	Nk52_evm1s2119
aOG.eur_Histone29	Discoba	Histone	1	1	1	Histone.HG8.0:DR1	DR1	Phakir_PHAKIR_07148.mRNA.1
aOG.eur_Histone3	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Histone	4	7	7	Histone.HG4.0:NFYC	NFYC	Acas_ELR17600,Amobb2_AMBB2_11984.mRNA.1,Chabra_GBG82575,Linana_g3076.t1,Pinf_PITG_10986T0,Plamic_ANCSI_03352.mRNA.1,Sappar_KDO23627
aOG.eur_Histone30	Diaphoratickes	Histone	1	1	1	Histone.HG2.0:CENPA	CENPA	Otau_XP_022838268.1
aOG.eur_Histone31	Diaphoratickes	Histone	1	1	1	Histone.HG2.0:CENPA	CENPA	Gonavo_comp24565_c0_seq1_6_ORF4_163
aOG.eur_Histone32	Diaphoratickes	Histone	1	1	1	Histone.HG2.0:CENPA	CENPA	Aplker_29866
aOG.eur_Histone33	AmorCRUM	Histone	1	1	1	Histone.HG2.0:CENPA	CENPA	Acas_ELR20612
aOG.eur_Histone34	AmorCRUM	Histone	1	1	1	Histone.HG2.0:CENPA	CENPA	Sros_EGD78231
aOG.eur_Histone35	Malawimonadidae	Histone	1	1	1	Histone.HG2.5:H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	H3-2/H3-3A/H3-3B/H3-4/H3-5/H3C1/H3C2/H3C3/H3C4/H3C6/H3C7/H3C8/H3C10/H3C11/H3C12/H3C13/H3C14/H3C15/H3Y1/H3Y2	Maljak_MALJA_08473.mRNA.1
aOG.eur_Histone36	AmorCRUM	Histone	1	1	1	Histone.HG3.5:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2	CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2	Skow_XP_006819186.1
aOG.eur_Histone37	Hemimastigophora	Histone	1	1	1	Histone.HG1.9:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Spimul_5108_TR2555_c0_g1
aOG.eur_Histone38	Diaphoratickes	Histone	1	1	1	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Cocsub_XP_005643617.1
aOG.eur_Histone39	Diaphoratickes	Histone	1	1	1	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Otau_XP_022840316.1
aOG.eur_Histone4	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora	Histone	5	13	14	Histone.HG5.1:NFYB	NFYB	Amobb2_AMBB2_06103.mRNA.1,Amobb2_AMBB2_06103.mRNA.3,Cavfas_EGG15179,Ddis_EAL67648,Esil_CBN79369,Fabtro_Gene.24369,Hemkuk_7437_TR2543_c0_g1,Hetalb_XP_020436670.1,Lpol_XP_022242177.1,Ngad_EWM28041,Nk52_evm2s214,Phatri_Phatr3_J54067.p1,Pisp_OUM70260.1,Plamic_ANCSI_02881.mRNA.1
aOG.eur_Histone40	Diaphoratickes	Histone	1	1	1	Histone.HG1.12:like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX:likeclu:17	like:AL031777.2/H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX	Ngad_EWM21571
aOG.eur_Histone41	Discoba	Histone	1	1	1	Histone.HG1.5:like:SOS1/SOS2:likeclu:1	like:SOS1/SOS2	Secula_SECUL_02467.mRNA.1
aOG.eur_Histone42	AmorCRUM	Histone	1	1	1	Histone.HG1.3:MACROH2A1/MACROH2A2	MACROH2A1/MACROH2A2	Tadh_P50221
aOG.eur_Histone5	Diaphoratickes,Meteor	Histone	2	2	2	Histone.HG11.0:TAF12	TAF12	Gonavo_comp59747_c0_seq1_6_ORF12_253,Meteor_CRO19MET_NODE_11307.p1
aOG.eur_Histone6	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae	Histone	6	9	9	Histone.HG8.0:DR1	DR1	Amobb2_AMBB2_03252.mRNA.1,Ddis_EAL72169,Diprot_Gene.12166,Fabtro_Gene.21018,Gonavo_comp50404_c0_seq1_6_ORF9_158,Hemkuk_22479_TR7490_c0_g1,Maljak_MALJA_13261.mRNA.1,Mcir_OAD07277,Rirr_GBC16911
aOG.eur_Histone7	AmorCRUM,Discoba	Histone	2	2	2	Histone.HG2.0:CENPA	CENPA	Amobb2_AMBB2_08234.mRNA.1,Spur_XP_003723879.1
aOG.eur_Histone8	AmorCRUM,Diaphoratickes,Discoba,Metamonada	Histone	4	9	10	Histone.HG3.5:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2,Histone.HG3.7:like:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2:likeclu:5	CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2,like:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2	Amobb2_AMBB2_02668.mRNA.1,Carmem_6448.p4,Chabra_GBG65727,Chabra_GBG70472,Cmer_CMN145CT,Dmel_FBpp0085281,Drer_ENSDARP00000126712.1,Porumb_OSX71619.1,Ulvmut_UM001_04361,Vcar_XP_002951705.1
aOG.eur_Histone9	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada	Histone	7	19	19	Histone.HG3.5:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2	CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW1/H2BW2	Acas_ELR19361,Ancsig_Gene.3129,Diprot_Gene.844,Gefoke_MALSP_04632.mRNA.1,Gonavo_comp60860_c0_seq2_6_ORF8_161,Hemkuk_7606_TR2615_c0_g1,Malcal_MALCA_07106.mRNA.1,Maljak_MALJA_01026.mRNA.1,Manpla_Gene.796,Morelo_OAQ25178,Phatri_Phatr3_J11823.p1,Plabra_CEO95284,Plafun_PRP84035,Plamic_ANCSI_04748.mRNA.1,Recame_RECAM_10453.mRNA.1,Schagg_85068,Secula_SECUL_01527.mRNA.1,Tpse_ACI64530,Tvag_XP_001301678.1
aOG.eur_LinkerHistone0	AmorCRUM,Diaphoratickes,Metamonada	LinkerHistone	3	4	4	LinkerHistone.HG1.14:like:H1-1/H1-2/H1-3/H1-4/H1-5/H1-6:likeclu:16,LinkerHistone.HG1.3:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6:likeclu:16/20	like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6,like:H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	Carmem_6448.p1,Dmel_FBpp0085248,Mpus_XP_003064715.1,Pavlsp_904603
aOG.eur_LinkerHistone1	AmorCRUM	LinkerHistone	1	1	1	LinkerHistone.HG1.3:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6:likeclu:16/20	like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	Sarc_Sarc4_g22285T
aOG.eur_LinkerHistone2	Diaphoratickes	LinkerHistone	1	1	1	LinkerHistone.HG1.3:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6:likeclu:16/20	like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6	Phatri_Phatr3_J16960.p1
aOG.eur_Acetyltransf_10	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	21	22	Acetyltransf_1.HG2.12:like:NAA50:likeclu:17,Acetyltransf_1.HG2.13:like:NAA50:likeclu:17,Acetyltransf_1.HG2.15:like:NAA50:likeclu:17,Acetyltransf_1.HG2.16:like:NAA50:likeclu:17,Acetyltransf_1.HG2.17:NAA50,Acetyltransf_1.HG32.1:NA	like:NAA50,NA,NAA50	Aano_EGB03190,Acas_ELR18170,Amobb2_AMBB2_13160.mRNA.1,Atri_ERN09642,Bremin_symbB.v1.2.008129.t1,Chrtob_KOO26157.1,Gefoke_MALSP_08832.mRNA.1,Hemkuk_4599_TR1589_c0_g1,Manpla_Gene.49754,Mcir_OAC99232,Meteor_CRO19MET_NODE_10829.p2,Nutlon_comp11854_c0_seq1.p1,Nvec_NVE15056,Ppat_Pp3c13_8050V3.1,Recame_RECAM_05380.mRNA.1,Rigram_Gene.36139,Sphfal_Sphfalx07G041000.1.p,Spur_XP_030833703.1,Symmic_Smic40139,Tvag_XP_001321375.1,Tvag_XP_001330697.1,Umbram_240346
